Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Youri Tielemans,beBEL,CC,27-357,34,34,"2,915",32.4,2,7,9,2,0,1,4,0,3.0,2.3,6.9,9.2,37,226,44,0.06,0.22,0.28,0.06,0.28,0.09,0.21,0.31,0.07,0.28,Partidos,116.0,3.58,75.0,31.0,3.0,4.0,2.0,1.0,12.0,0.37,9.0,3.0,0.0,0.0,0.0,0.0,82.0,56.0,30.0,44.0,8.0,39.0,72.0,54.2,33.0,36.0,15.0,21.0,21.0,103.0,45.0,3.0,1639.0,1988.0,82.4,28103.0,9982.0,763.0,847.0,90.1,714.0,815.0,87.6,134.0,249.0,53.8,5.6,0.1,59.0,221.0,35.0,4.0,1782.0,199.0,93.0,23.0,8.0,115.0,2.0,84.0,62.0,8.0,1.0,7.0,11.0,30.6,1.11,0.34,0.06,0.18,20.4,0.06,-1.0,-0.3,2296.0,41.0,30.0,52.6,18.0,31.6,1242.0,9.0,30.0,28.0,1610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,95.3,86,27,0,,0,1.68,52,44,+8,+0.25,+2.11,50.1,41.4,+8.8,+0.27,+1.17,0.0,40.0,53.0,56.0,0.0,0.0,140.0,55.0,/es/jugadores/56f7a928/Youri-Tielemans
Emiliano Martínez,arARG,PO,32-239,33,33,"2,880",32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos,6.0,0.19,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,16.0,6.0,986.0,1248.0,79.0,25707.0,15650.0,174.0,178.0,97.8,573.0,584.0,98.1,239.0,479.0,49.9,0.1,-0.5,2.0,21.0,0.0,0.0,1005.0,236.0,78.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,,,,,0.0,0.0,1307.0,0.0,1.0,100.0,0.0,0.0,794.0,0.0,1.0,0.0,718.0,45.0,1.41,129.0,83.0,65.9,15.0,9.0,9.0,5.0,15.2,1.0,1.0,1.0,1.0,50.0,1.0,2.0,43.2,0.33,-1.8,-0.05,1083.0,117.0,25.7,30.1,57.0,44.6,443.0,47.0,10.6,29.0,0.91,13.8,87,94.1,87,31,0,,0,1.64,52,45,+7,+0.22,+1.22,50.2,41.4,+8.8,+0.27,+1.00,0.0,1.0,5.0,3.0,0.0,0.0,28.0,88.9,/es/jugadores/7956236f/Emiliano-Martinez
Morgan Rogers,engENG,"DL,CC",22-277,33,33,"2,763",30.7,8,8,16,8,0,0,9,0,6.1,6.1,6.9,13.0,102,113,171,0.26,0.26,0.52,0.26,0.52,0.20,0.22,0.42,0.20,0.42,Partidos,95.0,3.1,71.0,0.0,12.0,7.0,5.0,0.0,13.0,0.42,11.0,0.0,1.0,0.0,1.0,0.0,35.0,18.0,13.0,13.0,9.0,18.0,38.0,47.4,20.0,24.0,7.0,17.0,5.0,40.0,19.0,2.0,606.0,820.0,73.9,8871.0,3021.0,345.0,424.0,81.4,180.0,235.0,76.6,44.0,55.0,80.0,4.2,1.1,45.0,69.0,51.0,2.0,768.0,47.0,2.0,18.0,5.0,21.0,9.0,0.0,0.0,0.0,0.0,5.0,19.0,36.5,1.69,0.62,0.15,0.42,15.8,0.12,1.9,1.9,1229.0,133.0,60.0,41.4,66.0,45.5,718.0,32.0,102.0,67.0,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,90.3,84,17,0,,0,1.64,48,39,+9,+0.29,+1.51,47.9,39.8,+8.1,+0.26,+0.50,0.0,46.0,47.0,18.0,1.0,0.0,103.0,20.4,/es/jugadores/2e5915f1/Morgan-Rogers
Ezri Konsa,engENG,DF,27-188,30,29,"2,576",28.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,16,73,11,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.05,0.03,0.05,Partidos,23.0,0.8,18.0,2.0,1.0,2.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,19.0,9.0,4.0,18.0,22.0,81.8,4.0,17.0,9.0,8.0,21.0,53.0,95.0,3.0,1372.0,1480.0,92.7,22993.0,7566.0,598.0,621.0,96.3,707.0,739.0,95.7,52.0,80.0,65.0,0.5,-0.4,5.0,93.0,1.0,0.0,1357.0,122.0,74.0,6.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.31,0.1,0.11,0.33,9.1,0.1,0.1,0.1,1693.0,20.0,7.0,41.2,7.0,41.2,986.0,2.0,16.0,9.0,1177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,84.2,87,28,1,45,1,1.70,44,43,+1,+0.03,-0.71,42.8,38.3,+4.5,+0.16,-0.37,0.0,6.0,42.0,17.0,0.0,0.0,86.0,56.3,/es/jugadores/0313a347/Ezri-Konsa
Ollie Watkins,engENG,DL,29-120,34,27,"2,263",25.1,15,7,22,13,2,2,2,0,14.5,13.0,2.9,15.9,50,28,143,0.60,0.28,0.87,0.52,0.80,0.58,0.12,0.70,0.52,0.63,Partidos,50.0,1.99,33.0,0.0,4.0,7.0,6.0,0.0,11.0,0.44,7.0,0.0,1.0,1.0,2.0,0.0,9.0,6.0,0.0,5.0,4.0,3.0,11.0,27.3,8.0,11.0,3.0,8.0,7.0,16.0,14.0,2.0,277.0,376.0,73.7,3489.0,579.0,175.0,222.0,78.8,73.0,90.0,81.1,9.0,12.0,75.0,1.6,4.1,22.0,11.0,11.0,0.0,367.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,42.1,3.02,1.27,0.17,0.41,12.2,0.17,0.5,0.0,620.0,153.0,9.0,23.7,25.0,65.8,363.0,35.0,51.0,44.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,74.0,77,9,7,25,0,1.68,45,38,+7,+0.28,+0.50,40.7,33.8,+6.9,+0.27,+0.23,0.0,27.0,29.0,6.0,2.0,0.0,39.0,43.0,/es/jugadores/aed3a70f/Ollie-Watkins
Lucas Digne,frFRA,DF,31-283,30,27,"2,241",24.9,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,54,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.21,0.03,0.21,Partidos,63.0,2.53,39.0,18.0,1.0,4.0,0.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,62.0,36.0,37.0,16.0,9.0,42.0,62.0,67.7,20.0,23.0,4.0,19.0,25.0,87.0,82.0,1.0,924.0,1232.0,75.0,14998.0,4806.0,470.0,533.0,88.2,375.0,477.0,78.6,58.0,146.0,39.7,3.9,-0.4,35.0,43.0,29.0,18.0,984.0,246.0,41.0,2.0,4.0,138.0,146.0,57.0,37.0,10.0,0.0,2.0,3.0,23.1,0.52,0.12,0.0,0.0,22.7,0.06,-0.8,-0.8,1473.0,28.0,9.0,47.4,9.0,47.4,669.0,4.0,17.0,15.0,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,73.2,79,12,3,33,4,1.50,33,36,-3,-0.12,-1.00,31.1,33.7,-2.6,-0.10,-1.19,0.0,20.0,14.0,36.0,0.0,0.0,98.0,56.7,/es/jugadores/1b84dbe1/Lucas-Digne
John McGinn,sctSCO,"CC,DL",30-193,30,24,"1,992",22.1,1,3,4,1,0,0,7,0,2.9,2.6,3.4,6.0,30,90,70,0.05,0.14,0.18,0.05,0.18,0.13,0.15,0.28,0.12,0.27,Partidos,66.0,2.98,51.0,5.0,0.0,4.0,5.0,1.0,6.0,0.27,6.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,10.0,13.0,8.0,11.0,26.0,42.3,15.0,20.0,2.0,18.0,14.0,45.0,14.0,3.0,635.0,767.0,82.8,10675.0,2779.0,304.0,332.0,91.6,263.0,304.0,86.5,55.0,92.0,59.8,2.4,-0.4,27.0,60.0,27.0,7.0,718.0,48.0,23.0,7.0,2.0,50.0,3.0,14.0,7.0,3.0,0.0,1.0,5.0,19.2,1.17,0.23,0.04,0.2,16.2,0.1,-1.9,-1.6,965.0,52.0,17.0,39.5,12.0,27.9,530.0,6.0,33.0,25.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65.1,78,11,6,21,0,1.70,30,34,-4,-0.18,-0.94,34.2,31.5,+2.7,+0.12,-0.27,0.0,43.0,63.0,22.0,1.0,0.0,92.0,60.0,/es/jugadores/90f91999/John-McGinn
Pau Torres,esESP,DF,28-103,20,20,"1,729",19.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,74,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos,12.0,0.62,9.0,0.0,0.0,3.0,0.0,0.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,20.0,14.0,11.0,7.0,2.0,9.0,15.0,60.0,6.0,14.0,10.0,4.0,9.0,29.0,60.0,2.0,1032.0,1169.0,88.3,17916.0,6794.0,447.0,472.0,94.7,509.0,547.0,93.1,64.0,125.0,51.2,0.4,-0.1,2.0,93.0,7.0,0.0,1060.0,105.0,60.0,4.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,25.0,0.42,0.1,0.0,0.0,11.7,0.06,-0.5,-0.5,1293.0,15.0,15.0,88.2,2.0,11.8,803.0,0.0,3.0,3.0,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,56.5,86,19,0,,4,1.45,27,31,-4,-0.21,-0.82,28.0,24.5,+3.6,+0.19,-0.07,0.0,6.0,7.0,14.0,0.0,0.0,53.0,42.1,/es/jugadores/532e1e4f/Pau-Torres
Matty Cash,plPOL,DF,27-265,23,20,"1,710",19.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,44,38,70,0.05,0.05,0.11,0.05,0.11,0.02,0.06,0.07,0.02,0.07,Partidos,22.0,1.16,20.0,1.0,1.0,0.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,24.0,19.0,3.0,23.0,33.0,69.7,10.0,17.0,6.0,11.0,21.0,67.0,55.0,2.0,607.0,772.0,78.6,10099.0,2861.0,295.0,329.0,89.7,260.0,326.0,79.8,40.0,81.0,49.4,1.2,-0.1,10.0,36.0,8.0,4.0,640.0,132.0,16.0,0.0,1.0,30.0,116.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,0.53,0.21,0.1,0.25,19.0,0.03,0.7,0.7,963.0,37.0,15.0,46.9,14.0,43.8,479.0,4.0,17.0,6.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,55.9,80,12,3,38,2,1.70,31,20,+11,+0.58,+0.98,27.8,23.3,+4.5,+0.23,+0.04,0.0,24.0,15.0,26.0,0.0,2.0,61.0,47.2,/es/jugadores/2389cdc2/Matty-Cash
Jacob Ramsey,engENG,"DL,CC",23-336,26,18,"1,485",16.5,1,3,4,1,0,0,2,0,1.4,1.4,2.1,3.5,57,64,103,0.06,0.18,0.24,0.06,0.24,0.09,0.12,0.21,0.09,0.21,Partidos,49.0,2.97,38.0,0.0,4.0,1.0,6.0,0.0,8.0,0.48,7.0,0.0,0.0,0.0,1.0,0.0,29.0,15.0,14.0,9.0,6.0,10.0,20.0,50.0,10.0,21.0,3.0,18.0,7.0,36.0,8.0,1.0,470.0,550.0,85.5,6225.0,1446.0,324.0,352.0,92.0,117.0,139.0,84.2,14.0,19.0,73.7,2.1,0.9,18.0,30.0,20.0,1.0,546.0,1.0,0.0,3.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,23.5,1.03,0.24,0.06,0.25,16.1,0.08,-0.4,-0.4,712.0,66.0,24.0,57.1,10.0,23.8,466.0,19.0,39.0,21.0,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,48.5,67,2,8,35,0,1.77,24,24,0,0.00,-0.29,22.6,22.1,+0.5,+0.03,-0.35,0.0,12.0,24.0,15.0,1.0,0.0,74.0,37.5,/es/jugadores/1544f145/Jacob-Ramsey
