Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,17,Everton,engENG,1.Premier League,6,216,0,0,,,,,,,,,6,216,0,0,2,216,2.4,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.83,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,216,36,6.3,2.4,2,,1.0,4,,,,,,,,,,,,,,0,0,,2.0,,,,,,,,,,,,,"£ 11,038(€ 12,707, $13,928)","£ 574,000(€ 660,751, $724,276)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2012-2013,18,Leeds United,engENG,2.Championship,4,261,0,0,,,,,,,,,4,261,0,0,3,261,2.9,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.34,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,261,65,6.3,2.9,3,,,1,,,,,,,,,,,,,,0,0,,2.0,,,,,,,,,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2012-2013,18,Sheffield Weds,engENG,2.Championship,13,"1,117",4,1,,,,,,,,,13,"1,117",4,1,12,"1,117",12.4,4,1,5,3,1,1,2,0,,,,,,,,0.32,0.08,0.4,0.24,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9.0,,,0.73,,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,117",86,27.0,12.4,12,,,1,,,,,,,,,,,,,,2,0,,7.0,,,,,,,,,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2012-2013,18,Everton,engENG,1.Premier League,7,209,0,0,,,,,,,,,7,209,0,0,2,209,2.3,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.86,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,209,30,6.1,2.3,2,,0.0,5,,,,,,,,,,,,,,2,0,,4.0,,,,,,,,,,,,,"£ 48,000(€ 55,254, $60,567)","£ 2,496,000(€ 2,873,230, $3,149,463)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2013-2014,19,Everton,engENG,1.Premier League,34,"2,282",6,0,,,,,,,,,34,"2,282",6,0,25,"2,282",25.4,6,0,6,6,0,0,5,0,,,,,,,,0.24,0.0,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,25.0,,,0.99,,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,282",67,66.7,25.4,25,,12.0,9,,,,,,,,,,,,,,5,0,,25.0,,,,,,,,,,,,,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2014-2015,20,Everton,engENG,1.Premier League,29,"1,961",2,2,2.0,156.0,0.0,0.0,5.0,362.0,0.0,0.0,36,"2,479",2,2,22,"1,961",21.8,2,2,4,2,0,1,1,0,,,,,,,,0.09,0.09,0.18,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14.0,,,0.64,,0.14,,,0,1,,,,,,,,,,,,,,,,,,,,,,"1,961",68,57.3,21.8,22,,12.0,7,,2.0,1.31,23.0,22.0,1.0,0.05,0.23,,,,,,1,0,,19.0,,,,,,,,,,,,,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2015-2016,21,Everton,engENG,1.Premier League,38,"3,075",8,8,10.0,827.0,4.0,2.0,,,,,48,"3,902",12,10,36,"3,075",34.2,8,8,16,6,2,2,4,0,,,,,,,,0.23,0.23,0.47,0.18,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,29.0,,,0.85,,0.21,,,2,2,,,,,,,,,,,,,,,,,,,,,,"3,075",81,89.9,34.2,36,,22.0,2,,0.0,1.24,53.0,51.0,2.0,0.06,-0.46,,,,,,4,0,,29.0,,,,,,,,,,,,,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2016-2017,22,Everton,engENG,1.Premier League,36,"2,899",5,8,3.0,242.0,1.0,0.0,,,,,39,"3,141",6,8,32,"2,899",32.2,5,8,13,5,0,0,5,0,,,,,,,,0.16,0.25,0.4,0.16,0.4,,,,,,,26.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,89.0,30.0,33.7,2.76,0.93,0.06,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,899",81,84.8,32.2,32,,19.0,4,,2.0,1.64,53.0,36.0,17.0,0.53,0.36,,,,,,5,0,0.0,49.0,38.0,8.0,114.0,13.0,26.0,0.0,0.0,0.0,,,,,"£ 96,154(€ 110,686, $121,327)","£ 5,000,000(€ 5,755,670, $6,309,021)",,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2017-2018,23,Chelsea,engENG,Jr.PL2 — Div. 1,1,63,0,1,,,,,,,,,1,63,0,1,1,63,0.7,0,1,1,0,0,0,0,0,,,,,,,,0.0,1.43,1.43,0.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,63,63,3.2,0.7,1,63.0,0.0,0,,0.0,3.0,2.0,0.0,2.0,2.86,3.0,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,"£ 96,154(€ 110,686, $121,327)","£ 5,000,000(€ 5,755,670, $6,309,021)",,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
2017-2018,23,Chelsea,engENG,1.Premier League,2,129,0,0,2.0,79.0,0.0,0.0,,,,,4,208,0,0,2,129,1.4,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,7.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.53,0.07,0.6,0.53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,39.0,53.0,73.6,560.0,96.0,23.0,28.0,82.1,9.0,13.0,69.2,3.0,6.0,50.0,0,0.1,0.0,-0.1,2.0,0.0,2.0,1.0,4.0,53.0,52.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,1.0,5.0,32.0,28.0,6.0,64.0,6.0,5.0,83.3,1.0,16.7,42.0,267.0,137.0,7.0,1.0,1.0,2.0,3.0,53.0,13.0,0,2.0,1.0,50.0,1.4,0.7,0.0,0.0,13.1,0.0,0,0,0.8,0.8,0.38,-0.8,-0.8,4.0,2.79,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,65,3.8,1.4,2,,0.0,0,,6.0,0.0,0.0,4.0,-4.0,-2.79,-3.56,1.4,2.8,-1.4,-0.97,-1.57,0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0,"€ 30,000(£ 25,809, $32,804)","€ 1,560,000(£ 1,342,084, $1,705,799)",Estimación no verificada,https://fbref.com/es/jugadores/3a24769f/Ross-Barkley
