Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,17.0,Nordsjælland,dkDEN,1.Danish Superliga,17.0,"1,236",1.0,3.0,,,,,,,,,17.0,"1,236",1.0,3.0,13.0,"1,236",13.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,,,,,,,,0.07,0.22,0.29,0.07,0.29,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9.0,,0.0,0.66,,0.11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,236",73.0,38.1,13.7,13.0,,11.0,4.0,,3.0,1.06,21.0,20.0,1.0,0.07,-0.69,,,,,,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 2,500(£ 2,172, $2,740)","€ 130,000(£ 112,921, $142,477)",,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2018-2019,18.0,Nordsjælland,dkDEN,1.Danish Superliga,31.0,"2,294",1.0,6.0,,,,,,,,,31.0,"2,294",1.0,6.0,26.0,"2,294",25.5,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.04,0.24,0.27,0.04,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,294",74.0,70.8,25.5,26.0,85.0,16.0,5.0,16.0,1.0,1.23,36.0,40.0,-4.0,-0.16,-0.35,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 2,500(£ 2,172, $2,740)","€ 130,000(£ 112,921, $142,477)",,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2019-2020,19.0,Nordsjælland,dkDEN,1.Danish Superliga,35.0,"2,788",11.0,6.0,,,,,,,,,35.0,"2,788",11.0,6.0,31.0,"2,788",31.0,11.0,6.0,17.0,11.0,0.0,0.0,3.0,0.0,,,,,,,,0.36,0.19,0.55,0.36,0.55,,,,,,,37.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,75.0,31.0,41.3,2.42,1.0,0.15,0.35,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,788",80.0,86.0,31.0,31.0,86.0,21.0,4.0,30.0,0.0,1.26,49.0,47.0,2.0,0.06,-0.53,,,,,,3.0,0.0,0.0,34.0,31.0,4.0,24.0,22.0,37.0,,,0.0,,,,,"£ 30,000(€ 34,871, $38,130)","£ 1,560,000(€ 1,813,299, $1,982,771)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2020-2021,20.0,Sampdoria,itITA,1.Serie A,35.0,"1,773",2.0,4.0,2.0,45.0,0.0,0.0,,,,,37.0,"1,818",2.0,4.0,18.0,"1,773",19.7,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.9,2.9,2.4,5.3,45.0,80.0,131.0,0.1,0.2,0.3,0.1,0.3,0.15,0.12,0.27,0.15,0.27,42.0,21.0,14.0,20.0,8.0,22.0,70.0,31.4,48.0,40.0,4.0,36.0,24.0,66.0,17.0,0.0,512.0,750.0,68.3,7508.0,2431.0,300.0,377.0,79.6,153.0,221.0,69.2,33.0,81.0,40.7,4.0,2.4,2.3,1.6,25.0,56.0,22.0,3.0,80.0,750.0,704.0,43.0,5.0,0.0,4.0,61.0,13.0,23.0,15.0,5.0,0.0,512.0,3.0,27.0,15.0,139.0,453.0,468.0,52.0,1033.0,87.0,51.0,58.6,36.0,41.4,568.0,3304.0,1701.0,45.0,40.0,14.0,54.0,29.0,683.0,131.0,2.0,25.0,8.0,32.0,1.27,0.41,0.08,0.25,19.7,3.0,0.0,0.0,2.9,2.9,0.12,-0.9,-0.9,59.0,3.0,44.0,4.0,2.0,4.0,3.0,2.0,9.0,0.46,6.0,1.0,2.0,0.0,0.0,0.0,"1,773",51.0,51.8,19.7,18.0,75.0,3.0,17.0,24.0,2.0,1.37,25.0,32.0,-7.0,-0.36,-0.63,24.3,33.9,-9.6,-0.49,-0.43,3.0,0.0,0.0,26.0,28.0,3.0,61.0,24.0,21.0,0.0,1.0,0.0,108.0,23.0,25.0,47.9,"£ 30,000(€ 35,511, $38,161)","£ 1,560,000(€ 1,846,551, $1,984,380)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2021-2022,21.0,Sampdoria,itITA,1.Serie A,11.0,578,0.0,0.0,1.0,38.0,0.0,0.0,,,,,12.0,616,0.0,0.0,6.0,578,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.0,11.0,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,27.0,13.0,12.0,11.0,4.0,20.0,36.0,55.6,16.0,16.0,1.0,15.0,7.0,34.0,7.0,0.0,196.0,264.0,74.2,2909.0,860.0,110.0,131.0,84.0,62.0,77.0,80.5,12.0,22.0,54.5,0.0,0.5,0.7,-0.5,11.0,21.0,9.0,1.0,29.0,264.0,251.0,6.0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,196.0,7.0,7.0,9.0,60.0,155.0,145.0,23.0,352.0,25.0,16.0,64.0,9.0,36.0,202.0,1050.0,522.0,11.0,11.0,2.0,12.0,10.0,235.0,40.0,0.0,11.0,2.0,18.2,1.71,0.31,0.0,0.0,21.2,1.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,27.0,4.21,21.0,1.0,1.0,1.0,2.0,1.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,578,53.0,16.9,6.4,6.0,80.0,2.0,5.0,20.0,2.0,0.82,9.0,10.0,-1.0,-0.16,0.35,7.4,9.5,-2.1,-0.33,0.22,1.0,0.0,0.0,10.0,8.0,0.0,5.0,7.0,13.0,0.0,0.0,0.0,41.0,7.0,5.0,58.3,"£ 30,000(€ 34,901, $39,638)","£ 1,560,000(€ 1,814,845, $2,061,201)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2022-2023,22.0,Brentford,engENG,1.Premier League,26.0,988,0.0,0.0,3.0,262.0,0.0,1.0,,,,,29.0,"1,250",0.0,1.0,9.0,988,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6,2.6,1.4,4.0,9.0,44.0,45.0,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.36,0.24,0.36,31.0,21.0,13.0,13.0,5.0,15.0,42.0,35.7,27.0,20.0,2.0,18.0,10.0,41.0,14.0,0.0,275.0,407.0,67.6,4023.0,1438.0,156.0,193.0,80.8,92.0,132.0,69.7,16.0,44.0,36.4,0.0,1.4,1.3,-1.4,11.0,36.0,10.0,1.0,44.0,407.0,387.0,14.0,8.0,5.0,2.0,29.0,1.0,2.0,1.0,1.0,0.0,275.0,6.0,12.0,9.0,104.0,268.0,166.0,27.0,529.0,23.0,9.0,39.1,9.0,39.1,279.0,1075.0,574.0,9.0,9.0,1.0,15.0,6.0,307.0,45.0,0.0,12.0,5.0,41.7,1.09,0.46,0.0,0.0,15.0,0.0,0.0,0.0,2.6,2.6,0.22,-2.6,-2.6,25.0,2.28,20.0,3.0,0.0,1.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,988,38.0,28.9,11.0,9.0,66.0,0.0,17.0,23.0,9.0,1.5,19.0,14.0,5.0,0.46,0.2,18.9,14.5,4.4,0.4,0.28,4.0,0.0,0.0,13.0,11.0,0.0,29.0,10.0,21.0,0.0,0.0,0.0,70.0,10.0,9.0,52.6,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2023-2024,23.0,Brentford,engENG,1.Premier League,23.0,842,0.0,2.0,2.0,151.0,0.0,0.0,,,,,25.0,993,0.0,2.0,7.0,842,9.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,2.4,16.0,61.0,32.0,0.0,0.21,0.21,0.0,0.21,0.1,0.16,0.25,0.1,0.25,29.0,17.0,13.0,9.0,7.0,14.0,40.0,35.0,26.0,23.0,1.0,22.0,11.0,40.0,10.0,1.0,300.0,432.0,69.4,4940.0,1897.0,151.0,194.0,77.8,116.0,151.0,76.8,26.0,55.0,47.3,2.0,1.4,0.9,0.6,10.0,50.0,11.0,1.0,61.0,432.0,409.0,21.0,5.0,10.0,3.0,29.0,7.0,7.0,4.0,3.0,0.0,300.0,2.0,19.0,15.0,108.0,260.0,195.0,20.0,555.0,20.0,9.0,45.0,11.0,55.0,316.0,1578.0,846.0,16.0,11.0,3.0,18.0,8.0,346.0,32.0,0.0,9.0,4.0,44.4,0.96,0.43,0.0,0.0,18.0,1.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,26.0,2.78,18.0,3.0,0.0,3.0,1.0,1.0,5.0,0.54,3.0,0.0,0.0,1.0,1.0,0.0,842,37.0,24.6,9.4,7.0,75.0,0.0,16.0,20.0,3.0,0.87,17.0,9.0,8.0,0.86,1.45,14.3,10.5,3.8,0.41,0.47,2.0,0.0,0.0,14.0,8.0,3.0,29.0,11.0,17.0,0.0,0.0,0.0,57.0,12.0,11.0,52.2,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
2024-2025,24.0,Brentford,engENG,1.Premier League,33.0,"2,495",2.0,10.0,5.0,291.0,1.0,0.0,,,,,38.0,"2,786",3.0,10.0,29.0,"2,495",27.7,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,7.3,9.9,62.0,204.0,115.0,0.07,0.36,0.43,0.07,0.43,0.09,0.26,0.36,0.09,0.36,73.0,40.0,27.0,23.0,23.0,27.0,69.0,39.1,42.0,33.0,2.0,31.0,25.0,98.0,30.0,2.0,954.0,1310.0,72.8,16253.0,6345.0,480.0,562.0,85.4,332.0,452.0,73.5,113.0,214.0,52.8,10.0,7.3,5.9,2.7,55.0,144.0,62.0,15.0,204.0,1310.0,1181.0,121.0,24.0,22.0,5.0,118.0,8.0,48.0,41.0,0.0,0.0,954.0,8.0,30.0,33.0,293.0,734.0,614.0,70.0,1619.0,89.0,46.0,51.7,32.0,36.0,924.0,5077.0,2615.0,62.0,42.0,9.0,53.0,42.0,1075.0,115.0,2.0,31.0,7.0,22.6,1.12,0.25,0.06,0.29,17.1,3.0,0.0,0.0,2.6,2.6,0.08,-0.6,-0.6,109.0,3.93,84.0,11.0,6.0,2.0,1.0,5.0,21.0,0.76,15.0,3.0,1.0,0.0,1.0,1.0,"2,495",76.0,84.0,27.7,29.0,83.0,10.0,4.0,23.0,0.0,1.39,48.0,36.0,12.0,0.43,1.57,43.8,40.8,3.0,0.11,0.76,2.0,0.0,0.0,15.0,26.0,6.0,118.0,25.0,40.0,0.0,0.0,0.0,152.0,12.0,25.0,32.4,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/215f3907/Mikkel-Damsgaard
