Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,16,Portsmouth,engENG,2.Championship,3,20,0,0,,,,,,,,,3,20,0,0,0,20,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,20,7,0.5,0.2,0,,,3,,,,,,,,,,,,,,0,0,,2.0,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",Estimación no verificada,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2012-2013,17,Portsmouth,engENG,3.League One,18,984,0,2,,,,,,,,,18,984,0,2,10,984,10.9,0,2,2,0,0,0,1,0,,,,,,,,0.0,0.18,0.18,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.18,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,984,55,23.8,10.9,10,,,8,,,,,,,,,,,,,,1,0,,7.0,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2013-2014,18,Aldershot Town,engENG,5.Conf Premier,24,"2,105",0,0,,,,,,,,,24,"2,105",0,0,24,"2,105",23.4,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.09,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,105",88,50.8,23.4,24,,,0,,,,,,,,,,,,,,2,0,,32.0,,,,,,,,,,,,,"£ 55,000(€ 63,312, $69,399)","£ 2,860,000(€ 3,292,243, $3,608,760)",,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2013-2014,18,Portsmouth,engENG,4.League Two,4,315,2,0,,,,,,,,,4,315,2,0,3,315,3.5,2,0,2,2,0,0,0,0,,,,,,,,0.57,0.0,0.57,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3.0,,,0.86,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,315,79,7.6,3.5,3,,,1,,,,,,,,,,,,,,0,0,,5.0,,,,,,,,,,,,,"£ 55,000(€ 63,930, $69,905)","£ 2,860,000(€ 3,324,382, $3,635,081)",Estimación no verificada,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2014-2015,19,Portsmouth,engENG,4.League Two,15,"1,076",1,0,2.0,94.0,0.0,0.0,,,,,17,"1,170",1,0,12,"1,076",12.0,1,0,1,1,0,0,1,1,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4.0,,,0.33,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,076",72,26.0,12.0,12,,10.0,3,,12.0,1.0,11.0,16.0,-5.0,-0.42,-0.51,,,,,,1,1,,12.0,,,,,,,,,,,,,"£ 55,000(€ 65,103, $69,962)","£ 2,860,000(€ 3,385,343, $3,638,030)",Estimación no verificada,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2015-2016,20,Portsmouth,engENG,4.League Two,27,"2,127",2,3,7.0,569.0,0.0,0.0,,,,,34,"2,696",2,3,24,"2,127",23.6,2,3,5,2,0,0,1,1,,,,,,,,0.08,0.13,0.21,0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4.0,,,0.17,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,127",79,51.4,23.6,24,,22.0,3,,14.0,1.59,43.0,22.0,21.0,0.89,0.44,,,,,,1,1,,5.0,,,,,,,,,,,,,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/c40b6180/Adam-Webster
2016-2017,21,Ipswich Town,engENG,2.Championship,23,"1,866",1,1,1.0,90.0,0.0,0.0,,,,,24,"1,956",1,1,21,"1,866",20.7,1,1,2,1,0,0,1,0,,,,,,,,0.05,0.05,0.1,0.05,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2.0,,0.0,0.1,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,866",81,45.1,20.7,21,,20.0,2,,1.0,1.43,26.0,26.0,0.0,0.0,0.4,,,,,,1,0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,22,Ipswich Town,engENG,2.Championship,28,"2,288",0,2,1.0,45.0,0.0,0.0,,,,,29,"2,333",0,2,25,"2,288",25.4,0,2,2,0,0,0,6,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,17.0,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.0,0.0,0.0,0.2,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,288",82,55.3,25.4,25,,24.0,3,,4.0,1.32,29.0,27.0,2.0,0.08,0.32,,,,,,6,0,0.0,20.0,33.0,0.0,0.0,61.0,17.0,0.0,0.0,0.0,,,,,,,,
2018-2019,23,Bristol City,engENG,2.Championship,44,"3,744",3,0,3.0,211.0,0.0,0.0,,,,,47,"3,955",3,0,43,"3,744",41.6,3,0,3,3,0,0,5,0,3.2,3.2,1.9,5.0,86.0,240.0,19.0,0.07,0.0,0.07,0.07,0.07,0.08,0.04,0.12,0.08,0.12,61.0,36.0,39.0,18.0,4.0,20.0,36.0,55.6,16.0,64.0,35.0,29.0,91.0,152.0,190.0,0.0,1937.0,2616.0,74.0,40150.0,16649.0,662.0,804.0,82.3,954.0,1162.0,82.1,308.0,596.0,51.7,0,1.9,2.3,-1.9,26.0,184.0,11.0,2.0,240.0,2616.0,2514.0,99.0,71.0,0.0,49.0,7.0,28.0,0.0,0.0,0.0,0.0,1937.0,3.0,20.0,268.0,1491.0,1441.0,218.0,76.0,3115.0,29.0,21.0,72.4,8.0,27.6,1498.0,11208.0,7688.0,86.0,45.0,4.0,18.0,17.0,1665.0,19.0,3,29.0,7.0,24.1,0.7,0.17,0.1,0.43,12.1,0.0,0,0,3.2,3.2,0.11,-0.2,-0.2,65.0,1.56,55.0,1.0,1.0,4.0,1.0,3.0,3.0,0.07,3.0,0.0,0.0,0.0,0.0,0.0,"3,744",85,90.4,41.6,43,86.0,40.0,1,45.0,0.0,1.5,50.0,48.0,2.0,0.05,-0.86,59.5,51.8,7.7,0.18,0.38,5,0,0.0,36.0,41.0,1.0,7.0,91.0,36.0,0.0,1.0,0.0,274.0,278.0,109.0,71.8,,,,
2019-2020,24,Brighton,engENG,1.Premier League,31,"2,668",3,1,2.0,180.0,0.0,0.0,,,,,33,"2,848",3,1,31,"2,668",29.6,3,1,4,3,0,0,4,0,1.3,1.3,1.3,2.6,29.0,119.0,4.0,0.1,0.03,0.13,0.1,0.13,0.05,0.04,0.09,0.05,0.09,30.0,17.0,21.0,8.0,1.0,14.0,32.0,43.8,18.0,43.0,26.0,17.0,45.0,75.0,110.0,2.0,1587.0,1923.0,82.5,31102.0,12129.0,540.0,628.0,86.0,862.0,969.0,89.0,175.0,283.0,61.8,1,1.3,0.8,-0.3,11.0,85.0,5.0,0.0,119.0,1923.0,1837.0,80.0,49.0,1.0,20.0,6.0,31.0,0.0,0.0,0.0,0.0,1587.0,6.0,14.0,284.0,1166.0,973.0,97.0,29.0,2223.0,18.0,14.0,77.8,4.0,22.2,1264.0,7893.0,5013.0,29.0,23.0,3.0,19.0,5.0,1444.0,4.0,3,16.0,7.0,43.8,0.54,0.24,0.19,0.43,13.6,0.0,0,0,1.3,1.3,0.08,1.7,1.7,30.0,1.01,23.0,3.0,1.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"2,668",86,78.0,29.6,31,86.0,29.0,0,,5.0,1.06,29.0,44.0,-15.0,-0.51,-0.51,36.3,45.7,-9.3,-0.32,-0.29,4,0,0.0,13.0,19.0,0.0,6.0,45.0,17.0,0.0,2.0,1.0,177.0,107.0,64.0,62.6,,,,
