Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,19,Brighton,engENG,2.Championship,23,767,0,1,,,,,,,,,23,767,0,1,7,767,8.5,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4.0,,,0.47,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,767,33,18.5,8.5,7,,,16,,,,,,,,,,,,,,2,0,,11.0,,,,,,,,,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2014-2015,20,Brighton,engENG,2.Championship,11,449,1,1,2.0,119.0,0.0,1.0,,,,,13,568,1,2,6,449,5.0,1,1,2,1,0,0,0,0,,,,,,,,0.2,0.2,0.4,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4.0,,,0.8,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,449,41,10.8,5.0,6,,1.0,5,,0.0,1.0,4.0,5.0,-1.0,-0.2,0.02,,,,,,0,0,,7.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2015-2016,21,Brighton,engENG,2.Championship,16,"1,140",3,1,1.0,90.0,0.0,0.0,,,,,17,"1,230",3,1,13,"1,140",12.7,3,1,4,3,0,0,4,0,,,,,,,,0.24,0.08,0.32,0.24,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14.0,,,1.11,,0.21,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,140",71,27.5,12.7,13,,8.0,3,,4.0,2.13,19.0,12.0,7.0,0.55,-0.14,,,,,,4,0,,19.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2016-2017,22,Brighton,engENG,2.Championship,25,"1,069",3,2,2.0,180.0,0.0,0.0,,,,,27,"1,249",3,2,9,"1,069",11.9,3,2,5,3,0,0,0,0,,,,,,,,0.25,0.17,0.42,0.25,0.42,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,8.0,,0.0,0.67,,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,069",43,25.8,11.9,9,,4.0,16,,6.0,2.04,28.0,13.0,15.0,1.26,0.71,,,,,,0,0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2017-2018,23,Brighton,engENG,1.Premier League,36,"1,851",1,1,4.0,264.0,0.0,0.0,,,,,40,"2,115",1,1,18,"1,851",20.6,1,1,2,1,0,0,3,0,1.5,1.5,1.4,2.9,59.0,60.0,141.0,0.05,0.05,0.1,0.05,0.1,0.07,0.07,0.14,0.07,0.14,54.0,41.0,34.0,14.0,6.0,22.0,54.0,40.7,32.0,27.0,3.0,24.0,13.0,67.0,49.0,0.0,516.0,756.0,68.3,8609.0,2396.0,255.0,309.0,82.5,173.0,241.0,71.8,59.0,119.0,49.6,1,1.4,1.8,-0.4,18.0,33.0,19.0,9.0,60.0,756.0,710.0,35.0,4.0,1.0,11.0,102.0,6.0,18.0,6.0,9.0,1.0,516.0,11.0,36.0,44.0,252.0,385.0,410.0,36.0,1029.0,82.0,48.0,58.5,34.0,41.5,619.0,4348.0,1736.0,59.0,37.0,18.0,38.0,43.0,653.0,141.0,1,28.0,9.0,32.1,1.36,0.44,0.04,0.11,23.8,1.0,0,0,1.5,1.5,0.05,-0.5,-0.5,48.0,2.34,36.0,6.0,4.0,0.0,2.0,0.0,4.0,0.19,3.0,0.0,0.0,0.0,1.0,0.0,"1,851",51,54.1,20.6,18,,10.0,18,,2.0,1.08,11.0,29.0,-18.0,-0.88,-0.76,16.8,28.3,-11.5,-0.56,-0.43,3,0,0.0,29.0,22.0,7.0,102.0,13.0,41.0,1.0,0.0,0.0,135.0,19.0,42.0,31.1,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2018-2019,24,Brighton,engENG,1.Premier League,35,"2,463",1,5,2.0,72.0,1.0,0.0,,,,,37,"2,535",2,5,30,"2,463",27.4,1,5,6,1,0,0,1,0,2.5,2.5,4.3,6.8,65.0,60.0,208.0,0.04,0.18,0.22,0.04,0.22,0.09,0.16,0.25,0.09,0.25,56.0,24.0,27.0,16.0,13.0,19.0,45.0,42.2,26.0,34.0,4.0,30.0,27.0,83.0,44.0,0.0,598.0,938.0,63.8,10248.0,2627.0,323.0,395.0,81.8,184.0,279.0,65.9,72.0,154.0,46.8,5,4.3,4.3,0.7,41.0,35.0,38.0,19.0,60.0,938.0,845.0,84.0,24.0,1.0,12.0,152.0,21.0,38.0,25.0,4.0,0.0,598.0,9.0,67.0,42.0,241.0,444.0,611.0,47.0,1281.0,84.0,49.0,58.3,35.0,41.7,742.0,4583.0,2040.0,65.0,34.0,18.0,46.0,41.0,794.0,208.0,1,43.0,9.0,20.9,1.57,0.33,0.02,0.11,21.4,3.0,0,0,2.5,2.5,0.06,-1.5,-1.5,85.0,3.1,46.0,11.0,15.0,6.0,6.0,1.0,8.0,0.29,5.0,1.0,0.0,0.0,2.0,0.0,"2,463",70,72.0,27.4,30,78.0,16.0,5,24.0,1.0,0.94,26.0,40.0,-14.0,-0.51,0.52,28.8,42.7,-14.0,-0.51,0.42,1,0,0.0,29.0,30.0,6.0,152.0,27.0,24.0,1.0,0.0,0.0,140.0,17.0,61.0,21.8,"£ 40,000(€ 46,495, $50,840)","£ 2,080,000(€ 2,417,732, $2,643,695)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2019-2020,25,Brighton,engENG,Jr.PL2 — Div. 1,1,45,0,0,,,,,,,,,1,45,0,0,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,45,45,2.8,0.5,1,45.0,0.0,0,,0.0,0.0,0.0,1.0,-1.0,-2.0,-2.63,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,"£ 50,000(€ 59,184, $63,602)","£ 2,600,000(€ 3,077,584, $3,307,300)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2019-2020,25,Brighton,engENG,1.Premier League,19,"1,143",0,1,,,,,,,,,19,"1,143",0,1,11,"1,143",12.7,0,1,1,0,0,0,2,0,1.4,1.4,0.9,2.3,50.0,55.0,112.0,0.0,0.08,0.08,0.0,0.08,0.11,0.07,0.18,0.11,0.18,25.0,12.0,16.0,6.0,3.0,9.0,19.0,47.4,10.0,16.0,4.0,12.0,20.0,45.0,14.0,2.0,451.0,622.0,72.5,7809.0,2100.0,223.0,258.0,86.4,174.0,233.0,74.7,45.0,98.0,45.9,1,0.9,1.7,0.1,13.0,21.0,23.0,8.0,55.0,622.0,532.0,90.0,8.0,1.0,15.0,67.0,63.0,15.0,9.0,4.0,0.0,451.0,0.0,16.0,23.0,131.0,304.0,355.0,41.0,780.0,28.0,16.0,57.1,12.0,42.9,412.0,2760.0,1503.0,50.0,30.0,13.0,16.0,30.0,492.0,112.0,0,21.0,8.0,38.1,1.65,0.63,0.0,0.0,18.5,1.0,0,0,1.4,1.4,0.07,-1.4,-1.4,39.0,3.07,28.0,3.0,4.0,2.0,2.0,0.0,4.0,0.31,3.0,1.0,0.0,0.0,0.0,0.0,"1,143",60,33.4,12.7,11,81.0,3.0,8,32.0,6.0,0.89,15.0,15.0,0.0,0.0,0.59,14.8,19.9,-5.1,-0.4,-0.22,2,0,0.0,10.0,11.0,2.0,67.0,20.0,12.0,0.0,0.0,0.0,63.0,15.0,20.0,42.9,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/bb5fbd2b/Solly-March
2020-2021,26,Brighton,engENG,1.Premier League,21,"1,672",2,1,2.0,119.0,1.0,0.0,,,,,23,"1,791",3,1,19,"1,672",18.6,2,1,3,2,0,0,0,0,1.7,1.7,1.5,3.2,74.0,79.0,146.0,0.11,0.05,0.16,0.11,0.16,0.09,0.08,0.17,0.09,0.17,49.0,23.0,24.0,15.0,10.0,18.0,34.0,52.9,16.0,30.0,5.0,25.0,22.0,71.0,30.0,0.0,676.0,979.0,69.1,11623.0,3652.0,326.0,376.0,86.7,258.0,358.0,72.1,72.0,165.0,43.6,1,1.5,2.5,-0.5,27.0,41.0,34.0,9.0,79.0,979.0,779.0,195.0,18.0,0.0,16.0,120.0,137.0,40.0,14.0,19.0,0.0,676.0,5.0,31.0,44.0,245.0,445.0,515.0,50.0,1185.0,63.0,44.0,69.8,19.0,30.2,605.0,4400.0,2101.0,74.0,34.0,18.0,22.0,24.0,662.0,146.0,2,22.0,4.0,18.2,1.18,0.22,0.09,0.5,17.0,1.0,0,0,1.7,1.7,0.08,0.3,0.3,58.0,3.12,44.0,8.0,1.0,2.0,2.0,1.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,"1,672",80,48.9,18.6,19,86.0,15.0,2,23.0,0.0,1.1,23.0,25.0,-2.0,-0.11,0.1,27.9,18.3,9.6,0.51,0.2,0,0,0.0,26.0,26.0,2.0,120.0,22.0,23.0,0.0,1.0,0.0,117.0,14.0,22.0,38.9,,,,
2021-2022,27,Brighton,engENG,1.Premier League,31,"1,746",0,2,2.0,180.0,0.0,0.0,,,,,33,"1,926",0,2,17,"1,746",19.4,0,2,2,0,0,0,1,0,1.2,1.2,2.3,3.5,71.0,69.0,148.0,0.0,0.1,0.1,0.0,0.1,0.06,0.12,0.18,0.06,0.18,30.0,17.0,11.0,9.0,10.0,7.0,22.0,31.8,15.0,22.0,3.0,19.0,17.0,47.0,25.0,0.0,556.0,771.0,72.1,9536.0,2619.0,291.0,348.0,83.6,178.0,245.0,72.7,67.0,115.0,58.3,2,2.3,2.9,-0.3,35.0,30.0,33.0,8.0,69.0,771.0,683.0,88.0,14.0,1.0,13.0,94.0,39.0,34.0,10.0,18.0,0.0,556.0,0.0,28.0,45.0,149.0,336.0,488.0,60.0,961.0,38.0,23.0,60.5,15.0,39.5,545.0,3555.0,1747.0,71.0,30.0,20.0,26.0,29.0,608.0,148.0,0,20.0,10.0,50.0,1.03,0.52,0.0,0.0,18.3,2.0,0,0,1.2,1.2,0.06,-1.2,-1.2,71.0,3.66,44.0,14.0,7.0,0.0,4.0,2.0,3.0,0.15,2.0,0.0,0.0,0.0,1.0,0.0,"1,746",56,51.1,19.4,17,83.0,10.0,14,25.0,6.0,1.23,26.0,23.0,3.0,0.15,0.42,25.9,22.7,3.2,0.16,0.15,1,0,0.0,31.0,20.0,12.0,94.0,17.0,17.0,0.0,0.0,0.0,92.0,17.0,26.0,39.5,,,,
