Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Moisés Caicedo,ecECU,CC,23-178,34,34,"2,991",33.2,1,2,3,1,0,0,10,0,0.8,0.8,2.9,3.7,38,194,33,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Partidos,90.0,2.71,80.0,0.0,2.0,0.0,2.0,6.0,7.0,0.21,6.0,0.0,0.0,0.0,1.0,0.0,100.0,63.0,36.0,50.0,14.0,50.0,80.0,62.5,30.0,44.0,9.0,35.0,47.0,147.0,47.0,1.0,1792.0,1998.0,89.7,31004.0,8211.0,802.0,870.0,92.2,805.0,870.0,92.5,151.0,194.0,77.8,2.7,-0.9,28.0,215.0,31.0,2.0,1930.0,65.0,42.0,12.0,13.0,8.0,23.0,0.0,0.0,0.0,0.0,3.0,3.0,16.7,0.54,0.09,0.06,0.33,25.1,0.04,0.2,0.2,2340.0,12.0,23.0,42.6,19.0,35.2,1308.0,2.0,35.0,23.0,1642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,97.7,88,29,0,,0,1.76,57,39,+18,+0.54,-0.76,61.2,41.2,+20.0,+0.60,+2.00,0.0,61.0,54.0,63.0,1.0,1.0,197.0,66.7,/es/jugadores/16264a81/Moises-Caicedo
Cole Palmer,engENG,CC,22-358,33,32,"2,831",31.5,14,8,22,11,3,4,6,0,15.8,12.7,9.3,22.0,103,194,165,0.45,0.25,0.70,0.35,0.60,0.50,0.30,0.80,0.40,0.70,Partidos,180.0,5.72,120.0,21.0,12.0,18.0,7.0,2.0,14.0,0.45,10.0,0.0,2.0,1.0,1.0,0.0,25.0,16.0,11.0,7.0,7.0,8.0,21.0,38.1,13.0,14.0,1.0,13.0,8.0,33.0,17.0,1.0,1019.0,1325.0,76.9,19338.0,5022.0,427.0,497.0,85.9,414.0,488.0,84.8,155.0,260.0,59.6,7.9,-1.3,78.0,145.0,61.0,17.0,1136.0,181.0,41.0,19.0,13.0,133.0,15.0,71.0,49.0,5.0,0.0,8.0,40.0,36.0,3.53,1.27,0.1,0.28,20.3,0.11,-1.8,-1.7,1650.0,126.0,47.0,45.6,41.0,39.8,1046.0,35.0,61.0,34.0,1219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,92.5,87,22,1,32,0,1.82,58,38,+20,+0.64,+1.03,59.1,40.1,+19.1,+0.61,+0.67,0.0,12.0,55.0,16.0,1.0,0.0,93.0,12.5,/es/jugadores/dc7f8a28/Cole-Palmer
Levi Colwill,engENG,DF,22-062,31,31,"2,789",31.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,124,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Partidos,37.0,1.19,33.0,2.0,0.0,1.0,0.0,1.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,40.0,28.0,20.0,17.0,3.0,16.0,25.0,64.0,9.0,34.0,24.0,10.0,31.0,71.0,99.0,4.0,2167.0,2418.0,89.6,39487.0,13936.0,750.0,809.0,92.7,1264.0,1327.0,95.3,131.0,227.0,57.7,1.2,-0.1,14.0,144.0,7.0,3.0,2251.0,164.0,79.0,3.0,7.0,13.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,18.8,0.52,0.1,0.06,0.33,9.9,0.08,-0.3,-0.3,2669.0,35.0,6.0,60.0,4.0,40.0,1526.0,1.0,13.0,8.0,1964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,91.1,90,30,0,,2,1.71,51,38,+13,+0.42,-1.57,52.1,39.5,+12.7,+0.41,-1.67,0.0,42.0,18.0,28.0,0.0,1.0,108.0,59.8,/es/jugadores/700783e7/Levi-Colwill
Marc Cucurella,esESP,DF,26-281,32,29,"2,628",29.2,4,1,5,4,0,0,10,1,2.6,2.6,1.9,4.5,30,104,108,0.14,0.03,0.17,0.14,0.17,0.09,0.06,0.15,0.09,0.15,Partidos,46.0,1.58,40.0,3.0,0.0,2.0,1.0,0.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,58.0,38.0,29.0,24.0,5.0,25.0,50.0,50.0,25.0,40.0,13.0,27.0,23.0,81.0,76.0,3.0,1529.0,1738.0,88.0,24117.0,6756.0,765.0,815.0,93.9,672.0,747.0,90.0,62.0,108.0,57.4,2.2,-0.9,18.0,108.0,12.0,3.0,1485.0,247.0,27.0,2.0,1.0,29.0,218.0,2.0,0.0,0.0,0.0,6.0,9.0,40.9,0.75,0.31,0.18,0.44,16.5,0.12,1.4,1.4,2014.0,72.0,4.0,30.8,7.0,53.8,864.0,2.0,26.0,6.0,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,85.9,88,23,3,24,0,1.84,55,35,+20,+0.68,+0.89,56.2,36.1,+20.2,+0.69,+0.95,1.0,33.0,32.0,38.0,0.0,0.0,110.0,36.3,/es/jugadores/1daec722/Marc-Cucurella
Enzo Fernández,arARG,CC,24-102,32,28,"2,590",28.8,5,7,12,5,0,0,7,0,5.4,5.4,6.3,11.7,57,196,115,0.17,0.24,0.42,0.17,0.42,0.19,0.22,0.41,0.19,0.41,Partidos,137.0,4.76,107.0,15.0,2.0,4.0,4.0,5.0,16.0,0.56,13.0,2.0,0.0,1.0,0.0,0.0,61.0,30.0,16.0,28.0,17.0,29.0,78.0,37.2,49.0,32.0,5.0,27.0,11.0,72.0,22.0,4.0,1397.0,1746.0,80.0,24772.0,6960.0,642.0,723.0,88.8,572.0,674.0,84.9,150.0,257.0,58.4,6.0,0.7,71.0,155.0,39.0,7.0,1609.0,128.0,52.0,13.0,24.0,103.0,4.0,69.0,42.0,10.0,1.0,9.0,18.0,36.7,1.7,0.63,0.1,0.28,18.6,0.11,-0.4,-0.4,2021.0,73.0,21.0,45.7,18.0,39.1,1115.0,8.0,27.0,27.0,1487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,84.6,89,23,4,25,0,1.69,52,34,+18,+0.63,+0.43,52.8,34.0,+18.8,+0.65,+0.64,0.0,45.0,47.0,30.0,0.0,0.0,141.0,32.5,/es/jugadores/5ff4ab71/Enzo-Fernandez
Robert Sánchez,esESP,PO,27-162,28,28,"2,520",28.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,7.0,0.25,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,20.0,9.0,790.0,1096.0,72.1,18908.0,12552.0,190.0,191.0,99.5,418.0,434.0,96.3,179.0,460.0,38.9,0.0,-0.1,2.0,24.0,1.0,0.0,955.0,135.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,,,,,0.0,0.0,1163.0,0.0,0.0,,0.0,,777.0,0.0,0.0,0.0,724.0,31.0,1.11,116.0,84.0,76.7,14.0,9.0,5.0,8.0,28.6,4.0,4.0,4.0,4.0,20.0,0.0,3.0,33.4,0.26,2.4,0.09,1020.0,165.0,31.0,32.3,42.9,38.4,309.0,39.0,12.6,51.0,1.82,14.8,90,82.4,90,28,0,,6,1.82,47,31,+16,+0.57,+0.07,48.1,34.4,+13.7,+0.49,-0.37,0.0,2.0,4.0,0.0,0.0,2.0,41.0,100.0,/es/jugadores/6a713852/Robert-Sanchez
Nicolas Jackson,snSEN,DL,23-313,28,26,"2,114",23.5,10,5,15,10,0,0,7,0,12.2,12.2,4.3,16.5,46,37,125,0.43,0.21,0.64,0.43,0.64,0.52,0.18,0.70,0.52,0.70,Partidos,68.0,2.9,41.0,0.0,9.0,7.0,9.0,2.0,10.0,0.43,7.0,0.0,2.0,1.0,0.0,0.0,19.0,11.0,4.0,6.0,9.0,3.0,8.0,37.5,5.0,13.0,2.0,11.0,3.0,22.0,15.0,0.0,291.0,382.0,76.2,3909.0,850.0,177.0,216.0,81.9,85.0,109.0,78.0,9.0,14.0,64.3,1.9,0.7,28.0,22.0,10.0,1.0,368.0,12.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,32.0,43.2,3.15,1.36,0.14,0.31,12.7,0.17,-2.2,-2.2,658.0,137.0,18.0,30.5,30.0,50.8,401.0,30.0,65.0,39.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,69.1,78,5,2,41,1,1.82,40,22,+18,+0.77,+0.67,41.1,26.7,+14.4,+0.61,+0.19,0.0,32.0,29.0,11.0,0.0,0.0,44.0,34.0,/es/jugadores/9c36ed83/Nicolas-Jackson
Noni Madueke,engENG,DL,23-050,28,23,"1,723",19.1,7,3,10,7,0,0,3,0,8.2,8.2,3.9,12.1,133,63,208,0.37,0.16,0.52,0.37,0.52,0.43,0.20,0.63,0.43,0.63,Partidos,72.0,3.76,51.0,0.0,10.0,6.0,4.0,1.0,8.0,0.42,5.0,0.0,0.0,1.0,1.0,1.0,22.0,15.0,7.0,12.0,3.0,13.0,33.0,39.4,20.0,14.0,0.0,14.0,8.0,30.0,10.0,0.0,452.0,583.0,77.5,6706.0,1677.0,275.0,318.0,86.5,140.0,184.0,76.1,22.0,39.0,56.4,2.8,-0.9,28.0,12.0,33.0,8.0,560.0,19.0,1.0,1.0,4.0,58.0,17.0,1.0,0.0,0.0,0.0,4.0,30.0,41.1,3.81,1.57,0.1,0.23,14.6,0.11,-1.2,-1.2,837.0,163.0,36.0,42.9,39.0,46.4,562.0,80.0,41.0,24.0,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,56.3,72,4,5,14,1,1.93,33,26,+7,+0.37,-0.44,37.8,25.5,+12.3,+0.64,+0.19,0.0,20.0,24.0,15.0,0.0,0.0,67.0,40.0,/es/jugadores/bf34eebd/Noni-Madueke
Pedro Neto,ptPOR,DL,25-051,31,20,"1,923",21.4,4,4,8,4,0,0,8,0,2.8,2.8,5.4,8.2,110,56,220,0.19,0.19,0.37,0.19,0.37,0.13,0.25,0.38,0.13,0.38,Partidos,83.0,3.88,61.0,8.0,5.0,5.0,4.0,0.0,7.0,0.33,4.0,1.0,2.0,0.0,0.0,0.0,21.0,9.0,9.0,8.0,4.0,7.0,18.0,38.9,11.0,12.0,2.0,10.0,8.0,29.0,5.0,0.0,618.0,787.0,78.5,10072.0,2121.0,309.0,333.0,92.8,230.0,283.0,81.3,55.0,115.0,47.8,4.2,-1.4,42.0,28.0,33.0,21.0,711.0,75.0,14.0,0.0,5.0,131.0,12.0,46.0,16.0,10.0,5.0,1.0,16.0,31.4,2.39,0.75,0.08,0.25,18.9,0.05,1.2,1.2,1008.0,102.0,29.0,31.9,40.0,44.0,655.0,38.0,39.0,24.0,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62.8,81,13,11,27,1,1.65,35,22,+13,+0.61,+0.13,33.6,24.8,+8.8,+0.41,-0.39,0.0,18.0,29.0,9.0,0.0,0.0,70.0,27.8,/es/jugadores/7ba2eaa9/Pedro-Neto
Malo Gusto,frFRA,DF,21-345,28,19,"1,819",20.2,0,1,1,0,0,0,4,0,1.7,1.7,1.2,2.9,48,118,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Partidos,56.0,2.77,55.0,0.0,0.0,1.0,0.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,26.0,15.0,2.0,24.0,47.0,51.1,23.0,29.0,8.0,21.0,23.0,66.0,46.0,5.0,1168.0,1352.0,86.4,19089.0,4800.0,571.0,613.0,93.1,502.0,569.0,88.2,68.0,111.0,61.3,1.8,-0.2,20.0,107.0,18.0,6.0,1199.0,151.0,36.0,2.0,3.0,51.0,115.0,0.0,0.0,0.0,0.0,2.0,4.0,18.2,1.09,0.2,0.0,0.0,21.3,0.08,-1.7,-1.7,1553.0,42.0,4.0,26.7,10.0,66.7,861.0,8.0,16.0,17.0,1047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,59.4,84,14,9,24,1,1.57,39,24,+15,+0.74,+0.45,38.9,26.4,+12.5,+0.62,+0.15,0.0,20.0,18.0,28.0,0.0,0.0,114.0,34.8,/es/jugadores/d56b9520/Malo-Gusto
