Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Leicester City,engENG,Jr.PL2 — Div. 1,4.0,219,0.0,0.0,,,,,,,,,4,219,0,0,2.0,219,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,219,55.0,11.1,2.4,2.0,81.0,1.0,2.0,29.0,3.0,1.25,3.0,5.0,-2.0,-0.82,-0.36,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2017-2018,18,Leicester City,engENG,Jr.PL2 — Div. 1,18.0,"1,085",0.0,2.0,,,,,,,,,18,"1,085",0,2,13.0,"1,085",12.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,085",60.0,54.8,12.1,13.0,76.0,5.0,5.0,19.0,0.0,1.78,22.0,11.0,11.0,0.91,0.41,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 20,000(€ 23,247, $25,420)","£ 1,040,000(€ 1,208,866, $1,321,847)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2018-2019,19,Leicester City,engENG,Jr.PL2 — Div. 1,22.0,"1,878",1.0,4.0,,,,,,,,,22,"1,878",1,4,21.0,"1,878",20.9,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.05,0.19,0.24,0.05,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,878",85.0,94.8,20.9,21.0,88.0,20.0,1.0,34.0,0.0,1.23,22.0,32.0,-10.0,-0.48,-1.36,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 80,000(€ 93,069, $105,703)","£ 4,160,000(€ 4,839,586, $5,496,535)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2019-2020,20,Leicester City,engENG,Jr.PL2 — Div. 1,15.0,"1,323",0.0,1.0,,,,,,,,,15,"1,323",0,1,15.0,"1,323",14.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,323",88.0,81.7,14.7,15.0,88.0,14.0,0.0,,0.0,1.87,27.0,15.0,12.0,0.82,-0.09,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 80,000(€ 93,069, $105,703)","£ 4,160,000(€ 4,839,586, $5,496,535)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2019-2020,20,Blackpool,engENG,3.League One,10.0,855,4.0,1.0,,,,,,,,,10,855,4,1,9.0,855,9.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,,,,,,,,0.42,0.11,0.53,0.42,0.53,,,,,,,10.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16.0,7.0,43.8,1.68,0.74,0.25,0.57,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,855,86.0,27.1,9.5,9.0,90.0,9.0,1.0,45.0,0.0,1.1,12.0,12.0,0.0,0.0,-0.04,,,,,,3.0,0.0,0.0,8.0,13.0,0.0,43.0,9.0,10.0,,,0.0,,,,,"£ 80,000(€ 93,069, $105,703)","£ 4,160,000(€ 4,839,586, $5,496,535)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2019-2020,20,Leicester City,engENG,1.Premier League,,,,,1.0,23.0,0.0,0.0,,,,,1,23,0,0,36.0,"3,222",35.8,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,2.6,2.6,6.0,8.6,105.0,247.0,87.0,0.08,0.17,0.25,0.08,0.25,0.07,0.17,0.24,0.07,0.24,61.0,32.0,22.0,33.0,6.0,34.0,71.0,47.9,37.0,41.0,8.0,33.0,47.0,108.0,40.0,1.0,1351.0,1902.0,71.0,25976.0,8060.0,589.0,702.0,83.9,534.0,670.0,79.7,200.0,442.0,45.2,6.0,6.0,7.1,0.0,66.0,176.0,51.0,13.0,247.0,1902.0,1698.0,197.0,68.0,3.0,29.0,202.0,7.0,120.0,72.0,29.0,4.0,1351.0,7.0,32.0,86.0,394.0,1220.0,751.0,43.0,2317.0,75.0,48.0,64.0,27.0,36.0,1199.0,8258.0,4297.0,105.0,69.0,12.0,74.0,39.0,1369.0,87.0,3.0,48.0,15.0,31.3,1.34,0.42,0.06,0.2,23.1,5.0,0.0,0.0,2.6,2.6,0.05,0.4,0.4,136.0,3.8,79.0,35.0,4.0,10.0,4.0,4.0,15.0,0.42,6.0,7.0,0.0,1.0,0.0,1.0,"3,222",83.0,77.8,35.8,36.0,86.0,26.0,3.0,37.0,0.0,1.28,35.0,40.0,-5.0,-0.14,0.45,40.3,46.4,-6.1,-0.17,-0.35,3.0,0.0,0.0,26.0,31.0,2.0,202.0,47.0,32.0,1.0,0.0,0.0,266.0,40.0,39.0,50.6,"£ 80,000(€ 93,069, $105,703)","£ 4,160,000(€ 4,839,586, $5,496,535)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2020-2021,21,Luton Town,engENG,2.Championship,39.0,"3,222",3.0,6.0,1.0,90.0,0.0,0.0,,,,,40,"3,312",3,6,23.0,"2,105",23.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,2.7,3.9,82.0,132.0,98.0,0.04,0.09,0.13,0.04,0.13,0.05,0.12,0.17,0.05,0.17,39.0,24.0,20.0,14.0,5.0,19.0,40.0,47.5,21.0,37.0,8.0,29.0,21.0,60.0,26.0,1.0,950.0,1250.0,76.0,13947.0,3778.0,542.0,623.0,87.0,308.0,394.0,78.2,55.0,134.0,41.0,2.0,2.7,2.6,-0.7,35.0,103.0,26.0,7.0,132.0,1250.0,1193.0,51.0,12.0,5.0,8.0,86.0,10.0,26.0,21.0,0.0,0.0,950.0,6.0,31.0,47.0,286.0,756.0,498.0,41.0,1516.0,49.0,30.0,61.2,19.0,38.8,910.0,5877.0,3083.0,82.0,66.0,7.0,56.0,46.0,1076.0,98.0,1.0,21.0,3.0,14.3,0.9,0.13,0.05,0.33,21.6,1.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,77.0,3.29,58.0,5.0,8.0,3.0,3.0,0.0,6.0,0.26,5.0,1.0,0.0,0.0,0.0,0.0,"2,105",75.0,61.5,23.4,23.0,88.0,19.0,5.0,17.0,8.0,1.46,37.0,27.0,10.0,0.43,0.91,28.8,35.3,-6.4,-0.27,0.07,4.0,0.0,0.0,20.0,29.0,0.0,86.0,21.0,24.0,0.0,0.0,0.0,155.0,16.0,23.0,41.0,"£ 80,000(€ 93,069, $105,703)","£ 4,160,000(€ 4,839,586, $5,496,535)",Estimación no verificada,https://fbref.com/es/jugadores/5c74c0f5/Kiernan-Dewsbury-Hall
2020-2021,21,Leicester City,engENG,1.Premier League,,,,,1.0,75.0,0.0,0.0,,,,,1,75,0,0,28.0,"2,306",25.6,2.0,2.0,4.0,2.0,0.0,0.0,5.0,1.0,2.4,2.4,3.3,5.6,68.0,132.0,91.0,0.08,0.08,0.16,0.08,0.16,0.09,0.13,0.22,0.09,0.22,53.0,29.0,14.0,34.0,5.0,19.0,47.0,40.4,28.0,55.0,13.0,42.0,28.0,81.0,21.0,0.0,872.0,1154.0,75.6,14495.0,3746.0,448.0,526.0,85.2,311.0,389.0,79.9,84.0,161.0,52.2,2.0,3.3,2.6,-1.3,39.0,111.0,23.0,4.0,132.0,1154.0,1120.0,24.0,9.0,9.0,20.0,46.0,3.0,7.0,7.0,0.0,0.0,872.0,10.0,26.0,48.0,279.0,796.0,443.0,50.0,1490.0,76.0,42.0,55.3,26.0,34.2,903.0,5218.0,2559.0,68.0,36.0,16.0,73.0,32.0,1038.0,91.0,2.0,26.0,6.0,23.1,1.01,0.23,0.08,0.33,21.3,0.0,0.0,0.0,2.4,2.4,0.09,-0.4,-0.4,78.0,3.04,61.0,0.0,8.0,2.0,5.0,2.0,9.0,0.35,6.0,0.0,1.0,0.0,1.0,1.0,"2,306",74.0,67.4,25.6,28.0,80.0,16.0,3.0,26.0,2.0,1.0,38.0,40.0,-2.0,-0.08,1.13,30.5,39.2,-8.7,-0.34,-0.01,5.0,1.0,1.0,37.0,35.0,1.0,46.0,28.0,29.0,0.0,0.0,0.0,149.0,15.0,13.0,53.6,,,,
2021-2022,22,Leicester City,engENG,1.Premier League,28.0,"2,105",1.0,2.0,5.0,253.0,0.0,0.0,11.0,788.0,2.0,0.0,44,"3,146",3,2,41.0,"3,636",40.4,12.0,14.0,26.0,11.0,1.0,1.0,6.0,0.0,10.2,9.4,14.1,23.5,158.0,272.0,302.0,0.3,0.35,0.64,0.27,0.62,0.25,0.35,0.6,0.23,0.58,46.0,29.0,18.0,24.0,4.0,23.0,38.0,60.5,15.0,40.0,4.0,36.0,17.0,63.0,32.0,1.0,1632.0,2094.0,77.9,26936.0,6368.0,818.0,921.0,88.8,634.0,762.0,83.2,135.0,300.0,45.0,14.0,14.1,12.6,-0.1,109.0,140.0,84.0,16.0,272.0,2094.0,1905.0,178.0,46.0,21.0,20.0,205.0,12.0,120.0,71.0,35.0,1.0,1632.0,11.0,43.0,51.0,276.0,1094.0,1211.0,164.0,2528.0,104.0,59.0,56.7,38.0,36.5,1572.0,9587.0,4741.0,158.0,104.0,42.0,102.0,61.0,1912.0,302.0,12.0,87.0,30.0,34.5,2.15,0.74,0.13,0.37,18.3,6.0,1.0,1.0,10.2,9.4,0.11,1.8,1.6,202.0,5.0,130.0,38.0,13.0,9.0,10.0,2.0,31.0,0.77,19.0,3.0,4.0,2.0,2.0,1.0,"3,636",83.0,87.8,40.4,41.0,87.0,30.0,3.0,27.0,1.0,2.14,77.0,34.0,43.0,1.06,0.17,73.8,34.8,39.0,0.97,0.39,6.0,0.0,0.0,27.0,71.0,1.0,205.0,17.0,29.0,2.0,0.0,0.0,225.0,25.0,32.0,43.9,,,,
2022-2023,23,Leicester City,engENG,1.Premier League,31.0,"2,306",2.0,2.0,3.0,229.0,0.0,0.0,,,,,34,"2,535",2,2,2.0,259,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,5.0,14.0,11.0,0.0,0.35,0.35,0.0,0.35,0.08,0.37,0.45,0.08,0.45,8.0,5.0,1.0,1.0,6.0,4.0,6.0,66.7,2.0,2.0,0.0,2.0,1.0,9.0,8.0,1.0,127.0,152.0,83.6,1898.0,319.0,75.0,82.0,91.5,47.0,56.0,83.9,5.0,10.0,50.0,1.0,1.1,0.2,-0.1,3.0,12.0,3.0,0.0,14.0,152.0,147.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,127.0,1.0,2.0,4.0,28.0,95.0,58.0,6.0,181.0,4.0,2.0,50.0,2.0,50.0,93.0,474.0,221.0,5.0,1.0,0.0,1.0,3.0,137.0,11.0,0.0,1.0,0.0,0.0,0.35,0.0,0.0,,7.8,0.0,0.0,0.0,0.2,0.2,0.22,-0.2,-0.2,5.0,1.73,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,259,22.0,8.5,2.9,2.0,67.0,0.0,10.0,13.0,10.0,2.08,6.0,3.0,3.0,1.04,0.53,5.4,3.2,2.2,0.75,0.21,0.0,0.0,0.0,4.0,6.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,,,,
