Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,20,Dartford,engENG,5.Conf Premier,35.0,"3,150",0.0,0.0,,,,,,,,,35.0,"3,150",0,0,35,"3,150",35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,150",90.0,76.1,35.0,35,,,0,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",Estimación no verificada,https://fbref.com/es/jugadores/0d85a4e8/Marcus-Bettinelli
2013-2014,21,Acc'ton Stanley,engENG,4.League Two,39.0,"3,510",0.0,0.0,,,,,,,,,39.0,"3,510",0,0,39,"3,510",39.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,510",90.0,84.8,39.0,39,,,0,,,,,,,,,,,,,,4.0,0.0,,0.0,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",,https://fbref.com/es/jugadores/0d85a4e8/Marcus-Bettinelli
2014-2015,22,Fulham,engENG,2.Championship,39.0,"3,438",0.0,0.0,6.0,570.0,0.0,0.0,,,,,45.0,"4,008",0,0,39,"3,438",38.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,438",88.0,83.0,38.2,39,,38.0,0,,6.0,1.26,56.0,62.0,-6.0,-0.16,1.77,,,,,,2.0,1.0,,0.0,,,,,,,,,,,,,"£ 35,000(€ 40,683, $44,485)","£ 1,820,000(€ 2,115,516, $2,313,233)",,https://fbref.com/es/jugadores/0d85a4e8/Marcus-Bettinelli
2015-2016,23,Fulham,engENG,2.Championship,11.0,944,0.0,0.0,1.0,90.0,0.0,0.0,,,,,12.0,"1,034",0,0,11,944,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,86.0,22.8,10.5,11,,10.0,0,,2.0,1.27,11.0,19.0,-8.0,-0.76,-0.62,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,"£ 35,000(€ 41,429, $44,521)","£ 1,820,000(€ 2,154,309, $2,315,110)",,https://fbref.com/es/jugadores/0d85a4e8/Marcus-Bettinelli
2016-2017,24,Fulham,engENG,2.Championship,6.0,540,0.0,0.0,3.0,270.0,0.0,0.0,,,,,9.0,810,0,0,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,90.0,13.0,6.0,6,,6.0,0,,36.0,2.13,16.0,6.0,10.0,1.67,1.22,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",,https://fbref.com/es/jugadores/0d85a4e8/Marcus-Bettinelli
2017-2018,25,Fulham,engENG,2.Championship,26.0,"2,340",0.0,0.0,1.0,90.0,0.0,0.0,,,,,27.0,"2,430",0,0,26,"2,340",26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,340",90.0,56.5,26.0,26,,26.0,0,,17.0,2.34,53.0,19.0,34.0,1.31,1.36,,,,,,5.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,26,Fulham,engENG,1.Premier League,7.0,630,0.0,0.0,1.0,90.0,0.0,0.0,,,,,8.0,720,0,0,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,160.0,246.0,65.0,5388.0,4615.0,24.0,24.0,100.0,62.0,63.0,98.4,74.0,156.0,47.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,246.0,158.0,85.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,3.0,0.0,230.0,267.0,0.0,0.0,0.0,267.0,0.0,0.0,,0.0,,94.0,510.0,353.0,0.0,0.0,0.0,1.0,0.0,107.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.43,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,90.0,18.4,7.0,7,90.0,7.0,0,,15.0,0.71,10.0,20.0,-10.0,-1.43,-0.24,7.6,15.4,-7.8,-1.11,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,,,,
2019-2020,27,Fulham,engENG,2.Championship,14.0,"1,242",0.0,0.0,,,,,,,,,14.0,"1,242",0,0,13,"1,242",13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,388.0,513.0,75.6,8963.0,6326.0,133.0,133.0,100.0,173.0,176.0,98.3,78.0,199.0,39.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,513.0,362.0,150.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,1.0,0.0,464.0,530.0,6.0,0.0,0.0,536.0,1.0,1.0,100.0,0.0,0.0,217.0,1028.0,603.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,242",89.0,30.0,13.8,13,90.0,13.0,1,72.0,31.0,1.43,20.0,15.0,5.0,0.36,0.02,20.2,15.3,4.9,0.36,0.31,3.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,2.0,2.0,50.0,,,,
2020-2021,28,Middlesbrough,engENG,2.Championship,41.0,"3,690",0.0,0.0,1.0,90.0,0.0,0.0,,,,,42.0,"3,780",0,0,41,"3,690",41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,490.0,1339.0,36.6,22281.0,19826.0,24.0,24.0,100.0,102.0,108.0,94.4,362.0,1200.0,30.2,0.0,0.0,0.1,0.0,1.0,46.0,1.0,0.0,0.0,1339.0,844.0,491.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,4.0,0.0,1050.0,1376.0,25.0,0.0,0.0,1400.0,0.0,0.0,,0.0,,641.0,3983.0,2546.0,0.0,0.0,0.0,1.0,0.0,541.0,0.0,,,,,,,,,,,,,,,,,,4.0,0.1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,690",90.0,89.1,41.0,41,90.0,41.0,0,,5.0,1.39,48.0,45.0,3.0,0.07,0.27,52.8,39.3,13.5,0.33,0.83,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,7.0,1.0,87.5,,,,
2021-2022,29,Chelsea,engENG,1.Premier League,,,,,1.0,90.0,0.0,0.0,,,,,1.0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,7.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2022-2023,30,Chelsea,engENG,Jr.PL2 — Div. 1,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0,0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,3.8,1.0,1,90.0,1.0,0,,0.0,1.0,2.0,2.0,0.0,0.0,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,30,Chelsea,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,31,Chelsea,engENG,1.Premier League,,,0.0,0.0,,,,,,,,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,0.0,0,,17.0,0.0,1.0,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
