Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2020-2021,19.0,CD Mirandés,esESP,2.La Liga 2,16.0,720,1.0,1.0,1.0,90.0,0.0,0.0,,,,,17.0,810,1.0,1.0,7.0,720,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.12,0.12,0.25,0.12,0.25,,,,,,,7.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0,5.0,33.3,1.87,0.62,0.07,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,720,45.0,19.0,8.0,7.0,69.0,1.0,9.0,26.0,7.0,0.81,7.0,7.0,0.0,0.0,0.09,,,,,,1.0,0.0,0.0,18.0,17.0,9.0,2.0,3.0,7.0,,,0.0,,,,,"€ 10,000(£ 8,603, $10,935)","€ 520,000(£ 447,361, $568,600)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
2021-2022,20.0,Villarreal,esESP,1.La Liga,9.0,165,0.0,0.0,1.0,88.0,0.0,0.0,,,,,10.0,253,0.0,0.0,0.0,165,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.4,6.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.52,0.26,0.78,0.52,0.78,2.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,38.0,51.0,74.5,420.0,89.0,24.0,28.0,85.7,8.0,11.0,72.7,1.0,2.0,50.0,0.0,0.5,0.4,-0.5,3.0,2.0,1.0,0.0,4.0,51.0,49.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,1.0,3.0,32.0,47.0,16.0,78.0,6.0,4.0,66.7,2.0,33.3,46.0,392.0,177.0,6.0,5.0,4.0,9.0,6.0,65.0,20.0,0.0,5.0,1.0,20.0,2.73,0.55,0.0,0.0,11.6,0.0,0.0,0.0,1.0,1.0,0.19,-1.0,-1.0,6.0,3.27,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,165,18.0,4.8,1.8,0.0,,0.0,9.0,18.0,2.0,1.89,3.0,3.0,0.0,0.0,-0.72,3.9,2.7,1.1,0.61,0.11,1.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,13.0,6.0,68.4,"£ 65,000(€ 76,940, $82,683)","£ 3,380,000(€ 4,000,860, $4,299,490)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
2022-2023,21.0,Villarreal,esESP,1.La Liga,26.0,"1,598",12.0,4.0,2.0,140.0,0.0,1.0,8.0,310.0,1.0,0.0,36.0,"2,048",13.0,5.0,16.0,"1,598",17.8,12.0,4.0,16.0,12.0,0.0,0.0,6.0,1.0,7.8,7.8,3.1,11.0,49.0,40.0,117.0,0.68,0.23,0.9,0.68,0.9,0.44,0.18,0.62,0.44,0.62,14.0,11.0,2.0,10.0,2.0,2.0,8.0,25.0,6.0,18.0,2.0,16.0,2.0,16.0,4.0,0.0,246.0,325.0,75.7,3440.0,710.0,143.0,183.0,78.1,69.0,84.0,82.1,13.0,15.0,86.7,4.0,3.1,2.0,0.9,21.0,25.0,9.0,0.0,40.0,325.0,299.0,25.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,246.0,1.0,10.0,9.0,35.0,210.0,290.0,93.0,524.0,37.0,23.0,62.2,11.0,29.7,347.0,2501.0,1231.0,49.0,26.0,19.0,55.0,39.0,376.0,117.0,12.0,41.0,23.0,56.1,2.31,1.3,0.29,0.52,13.4,0.0,0.0,0.0,7.8,7.8,0.19,4.2,4.2,47.0,2.65,31.0,1.0,8.0,5.0,2.0,0.0,14.0,0.79,4.0,0.0,7.0,2.0,1.0,0.0,"1,598",61.0,46.7,17.8,16.0,78.0,5.0,10.0,35.0,3.0,1.62,35.0,18.0,17.0,0.96,0.86,31.8,21.1,10.7,0.6,0.55,6.0,1.0,1.0,32.0,26.0,13.0,5.0,2.0,11.0,0.0,0.0,0.0,46.0,13.0,30.0,30.2,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
2023-2024,22.0,Chelsea,engENG,1.Premier League,35.0,"2,799",14.0,5.0,9.0,719.0,3.0,1.0,,,,,44.0,"3,518",17.0,6.0,31.0,"2,799",31.1,14.0,5.0,19.0,14.0,0.0,0.0,10.0,0.0,18.6,18.6,4.3,22.9,70.0,67.0,200.0,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,21.0,13.0,5.0,8.0,8.0,5.0,24.0,20.8,19.0,20.0,5.0,15.0,4.0,25.0,17.0,0.0,515.0,666.0,77.3,6528.0,1537.0,323.0,386.0,83.7,126.0,164.0,76.8,20.0,27.0,74.1,5.0,4.3,2.9,0.7,38.0,40.0,21.0,0.0,67.0,666.0,613.0,52.0,1.0,11.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,515.0,1.0,25.0,28.0,94.0,450.0,480.0,151.0,998.0,105.0,54.0,51.4,36.0,34.3,616.0,4579.0,2122.0,70.0,44.0,32.0,87.0,66.0,752.0,200.0,14.0,80.0,38.0,47.5,2.57,1.22,0.18,0.37,12.6,0.0,0.0,0.0,18.6,18.6,0.23,-4.6,-4.6,95.0,3.05,60.0,1.0,18.0,8.0,6.0,2.0,11.0,0.35,7.0,0.0,2.0,2.0,0.0,0.0,"2,799",80.0,81.8,31.1,31.0,86.0,17.0,4.0,31.0,0.0,1.63,65.0,48.0,17.0,0.55,0.98,64.3,46.5,17.7,0.57,0.76,10.0,0.0,0.0,28.0,40.0,28.0,5.0,4.0,13.0,0.0,0.0,0.0,98.0,35.0,63.0,35.7,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
2024-2025,23.0,Chelsea,engENG,1.Premier League,28.0,"2,114",10.0,5.0,,,,,1.0,45.0,0.0,0.0,29.0,"2,159",10.0,5.0,26.0,"2,114",23.5,10.0,5.0,15.0,10.0,0.0,0.0,7.0,0.0,12.2,12.2,4.3,16.5,46.0,37.0,125.0,0.43,0.21,0.64,0.43,0.64,0.52,0.18,0.7,0.52,0.7,19.0,11.0,4.0,6.0,9.0,3.0,8.0,37.5,5.0,13.0,2.0,11.0,3.0,22.0,15.0,0.0,291.0,382.0,76.2,3909.0,850.0,177.0,216.0,81.9,85.0,109.0,78.0,9.0,14.0,64.3,5.0,4.3,1.9,0.7,28.0,22.0,10.0,1.0,37.0,382.0,368.0,12.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,291.0,2.0,15.0,19.0,46.0,272.0,349.0,137.0,658.0,59.0,18.0,30.5,30.0,50.8,401.0,2439.0,1293.0,46.0,24.0,30.0,65.0,39.0,490.0,125.0,10.0,74.0,32.0,43.2,3.15,1.36,0.14,0.31,12.7,0.0,0.0,0.0,12.2,12.2,0.17,-2.2,-2.2,68.0,2.9,41.0,0.0,9.0,7.0,9.0,2.0,10.0,0.43,7.0,0.0,2.0,1.0,0.0,0.0,"2,114",76.0,69.1,23.5,26.0,78.0,5.0,2.0,41.0,1.0,1.82,40.0,22.0,18.0,0.77,0.67,41.1,26.7,14.4,0.61,0.19,7.0,0.0,0.0,32.0,29.0,19.0,3.0,3.0,11.0,0.0,0.0,0.0,44.0,18.0,35.0,34.0,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/9c36ed83/Nicolas-Jackson
