Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2019-2020,17,Rangers,sctSCO,1.Premiership,,,,,,,,,1.0,14.0,0.0,0.0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.5,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,3,,,,,,,,,,,,0.0,0.0,0.0,3.0,3.0,1.0,14.0,5.0,4.0,,,0.0,,,,,"£ 28,000(€ 32,232, $35,331)","£ 1,456,000(€ 1,676,051, $1,837,187)",Estimación no verificada,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2020-2021,18,Rangers,sctSCO,1.Premiership,7.0,360,0.0,0.0,,,,,4.0,277.0,1.0,0.0,11,637,1,0,3,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.76,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,360,51.0,10.5,4.0,3,90.0,3,4,23.0,21,2.43,7.0,2.0,5.0,1.25,-0.93,,,,,,0.0,0.0,0.0,4.0,3.0,0.0,16.0,0.0,4.0,,,0.0,,,,,"£ 28,000(€ 32,546, $35,588)","£ 1,456,000(€ 1,692,412, $1,850,586)",,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2021-2022,19,Rangers,sctSCO,1.Premiership,6.0,236,0.0,1.0,,,,,2.0,115.0,0.0,0.0,8,351,0,1,2,236,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.38,0.38,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,236,39.0,6.9,2.6,2,90.0,2,4,14.0,11,3.0,4.0,2.0,2.0,0.76,-0.57,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 28,000(€ 33,143, $35,617)","£ 1,456,000(€ 1,723,447, $1,852,088)",,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2021-2022,19,Everton,engENG,Jr.PL2 — Div. 1,1.0,60,0.0,0.0,,,,,,,,,1,60,0,0,1,60,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,60,60.0,2.6,0.7,1,60.0,0,0,,0,3.0,1.0,0.0,1.0,1.5,2.37,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 28,000(€ 32,574, $36,996)","£ 1,456,000(€ 1,693,855, $1,923,787)",,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2021-2022,19,Everton,engENG,1.Premier League,,,,,1.0,45.0,0.0,0.0,,,,,1,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,24.0,32.0,13.0,4.0,29.0,54.0,53.7,25.0,24.0,4.0,20.0,15.0,64.0,45.0,0.0,488.0,649.0,75.2,7279.0,2596.0,284.0,315.0,90.2,172.0,230.0,74.8,22.0,67.0,32.8,0.0,0.4,0.7,-0.4,6.0,21.0,10.0,4.0,24.0,649.0,503.0,145.0,7.0,1.0,0.0,39.0,137.0,1.0,0.0,0.0,0.0,488.0,1.0,14.0,71.0,310.0,295.0,238.0,19.0,836.0,24.0,11.0,45.8,12.0,50.0,349.0,1940.0,851.0,16.0,12.0,3.0,22.0,9.0,431.0,51.0,0.0,8.0,1.0,12.5,0.56,0.07,0.0,0.0,18.2,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,20.0,1.41,16.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,6,,,,,,,,,,,,3.0,0.0,0.0,14.0,13.0,1.0,39.0,15.0,24.0,0.0,0.0,0.0,80.0,10.0,12.0,45.5,"£ 28,000(€ 32,574, $36,996)","£ 1,456,000(€ 1,693,855, $1,923,787)",,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2022-2023,20,Everton,engENG,Jr.PL2 — Div. 1,2.0,153,0.0,0.0,,,,,,,,,2,153,0,0,2,153,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,34.0,24.0,21.0,11.0,2.0,14.0,37.0,37.8,23.0,14.0,3.0,11.0,9.0,43.0,33.0,0.0,393.0,550.0,71.5,6185.0,2761.0,219.0,252.0,86.9,124.0,182.0,68.1,38.0,86.0,44.2,2.0,1.7,1.0,0.3,8.0,30.0,14.0,6.0,38.0,550.0,439.0,110.0,1.0,1.0,1.0,32.0,109.0,0.0,0.0,0.0,0.0,393.0,1.0,13.0,49.0,199.0,275.0,209.0,9.0,677.0,18.0,7.0,38.9,10.0,55.6,291.0,1263.0,642.0,17.0,14.0,4.0,19.0,6.0,338.0,39.0,0.0,4.0,0.0,0.0,0.36,0.0,0.0,,20.9,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,20.0,1.79,14.0,3.0,0.0,1.0,0.0,2.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,153,77.0,6.5,1.7,2,77.0,1,0,,0,0.5,1.0,2.0,-1.0,-0.59,-0.14,,,,,,4.0,0.0,0.0,18.0,5.0,1.0,32.0,9.0,24.0,0.0,0.0,0.0,60.0,7.0,10.0,41.2,"£ 28,000(€ 32,574, $36,996)","£ 1,456,000(€ 1,693,855, $1,923,787)",,https://fbref.com/es/jugadores/230f0471/Nathan-Patterson
2022-2023,20,Everton,engENG,1.Premier League,19.0,"1,279",0.0,0.0,2.0,153.0,0.0,0.0,,,,,21,"1,432",0,0,14,"1,279",14.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.9,16.0,24.0,51.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,8.0,4.0,6.0,2.0,0.0,5.0,11.0,45.5,6.0,2.0,0.0,2.0,1.0,9.0,6.0,0.0,96.0,129.0,74.4,1635.0,595.0,49.0,52.0,94.2,38.0,57.0,66.7,8.0,17.0,47.1,0.0,0.3,0.3,-0.3,2.0,7.0,4.0,2.0,9.0,129.0,97.0,32.0,0.0,1.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,11.0,46.0,63.0,52.0,4.0,159.0,8.0,7.0,87.5,0.0,0.0,60.0,297.0,140.0,5.0,2.0,2.0,4.0,2.0,81.0,10.0,0.0,1.0,0.0,0.0,0.34,0.0,0.0,,16.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,7.0,2.37,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,279",67.0,37.4,14.2,14,82.0,11,5,26.0,2,0.74,13.0,22.0,-9.0,-0.63,-0.04,16.4,24.8,-8.4,-0.59,-0.08,0.0,0.0,0.0,4.0,1.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,9.0,1.0,5.0,16.7,,,,
2023-2024,21,Everton,engENG,1.Premier League,20.0,"1,005",0.0,2.0,6.0,446.0,0.0,0.0,,,,,26,"1,451",0,2,9,"1,005",11.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.7,2.0,17.0,38.0,39.0,0.0,0.18,0.18,0.0,0.18,0.03,0.15,0.18,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,005",50.0,29.4,11.2,9,87.0,8,11,20.0,12,1.05,12.0,21.0,-9.0,-0.81,-0.73,17.4,19.9,-2.5,-0.22,-0.27,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2024-2025,22,Everton,engENG,1.Premier League,9.0,266,0.0,0.0,1.0,72.0,0.0,0.0,,,,,10,338,0,0,2,266,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,5.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,30.0,8.7,3.0,2,69.0,0,7,18.0,15,1.22,2.0,4.0,-2.0,-0.68,-0.52,3.0,3.6,-0.6,-0.2,-0.03,,,,,,,,,,,,,,,,,,,,
2024-2025,22,Everton,engENG,Jr.PL2,3.0,211,0.0,1.0,,,,,,,,,3,211,0,1,3,211,2.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.43,0.43,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,70.0,11.7,2.3,3,70.0,1,0,,0,1.33,7.0,6.0,1.0,0.43,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
