Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,18,Grimsby Town,engENG,5.Conf Premier,27,"2,430",1,3,,,,,,,,,27,"2,430",1,3,27,"2,430",27.0,1,3,4,1,0,0,5,0,,,,,,,,0.04,0.11,0.15,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3.0,,,0.11,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,430",90,58.7,27.0,27,,,0,,,,,,,,,,,,,,5,0,,24.0,,,,,,,,,,,,,"£ 11,500(€ 13,238, $14,511)","£ 598,000(€ 688,378, $754,559)",,https://fbref.com/es/jugadores/4dc4f138/Conor-Townsend
2012-2013,19,Chesterfield,engENG,4.League Two,20,"1,407",1,3,,,,,,,,,20,"1,407",1,3,16,"1,407",15.6,1,3,4,1,0,0,1,1,,,,,,,,0.06,0.19,0.26,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9.0,,,0.58,,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,407",70,34.0,15.6,16,,,4,,,,,,,,,,,,,,1,1,,14.0,,,,,,,,,,,,,"£ 15,000(€ 17,450, $19,819)","£ 780,000(€ 907,422, $1,030,600)",Estimación no verificada,https://fbref.com/es/jugadores/4dc4f138/Conor-Townsend
2013-2014,20,Carlisle United,engENG,3.League One,12,951,0,0,,,,,,,,,12,951,0,0,10,951,10.6,0,0,0,0,0,0,5,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,951,79,23.0,10.6,10,,,2,,,,,,,,,,,,,,5,1,,9.0,,,,,,,,,,,,,,,,
2014-2015,21,Dundee United,sctSCO,1.Premiership,17,"1,473",0,1,,,,,,,,,17,"1,473",0,1,16,"1,473",16.4,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.12,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,473",87,43.1,16.4,16,,16.0,1,,2.0,1.88,34.0,23.0,11.0,0.67,1.09,,,,,,2,0,,,,,,,,,,,,,,,,,,
2014-2015,21,Scunthorpe Utd,engENG,3.League One,6,451,0,1,,,,,,,,,6,451,0,1,5,451,5.0,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.2,0.2,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.2,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,451,75,10.9,5.0,5,,5.0,1,,9.0,0.5,5.0,12.0,-7.0,-1.4,-1.25,,,,,,1,0,,3.0,,,,,,,,,,,,,,,,
2015-2016,22,Grimsby Town,engENG,5.National League,9,768,1,0,3.0,270.0,1.0,0.0,,,,,12,"1,038",2,0,9,768,8.5,1,0,1,1,0,0,2,0,,,,,,,,0.12,0.0,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,0.12,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,768,85,18.6,8.5,9,,,0,,,,,,,,,,,,,,2,0,,6.0,,,,,,,,,,,,,,,,
2015-2016,22,Scunthorpe Utd,engENG,3.League One,20,"1,795",1,2,,,,,,,,,20,"1,795",1,2,20,"1,795",19.9,1,2,3,1,0,0,2,0,,,,,,,,0.05,0.1,0.15,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5.0,,,0.25,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,795",90,43.4,19.9,20,,19.0,0,,1.0,2.1,32.0,11.0,21.0,1.05,1.36,,,,,,2,0,,10.0,,,,,,,,,,,,,,,,
2016-2017,23,Scunthorpe Utd,engENG,3.League One,24,"2,136",0,2,3.0,330.0,0.0,0.0,,,,,27,"2,466",0,2,24,"2,136",23.7,0,2,2,0,0,0,2,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2.0,,0.0,0.08,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,136",89,51.6,23.7,24,,23.0,0,,5.0,1.88,45.0,26.0,19.0,0.8,0.49,,,,,,2,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,24,Scunthorpe Utd,engENG,3.League One,30,"2,272",4,5,3.0,300.0,0.0,0.0,,,,,33,"2,572",4,5,24,"2,272",25.2,4,5,9,4,0,0,2,0,,,,,,,,0.16,0.2,0.36,0.16,0.36,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,8.0,,0.0,0.32,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,272",76,54.9,25.2,24,,23.0,6,,8.0,1.72,35.0,25.0,10.0,0.4,0.16,,,,,,2,0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,25,West Brom,engENG,Jr.PL2 — Div. 2,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,4.5,1.0,1,90.0,1.0,0,,0.0,0.0,1.0,2.0,-1.0,-1.0,-0.81,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,,,,
