Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Ipswich Town,engENG,2.Championship,9.0,575,0.0,0.0,,,,,,,,,9.0,575,0,0,6,575,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,,0.47,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,575,64.0,13.9,6.4,6,,,3,,,,,,,,,,,,,,2.0,0.0,,8.0,,,,,,,,,,,,,"£ 10,000(€ 11,634, $13,213)","£ 520,000(€ 604,948, $687,067)",Estimación no verificada,https://fbref.com/es/jugadores/967ac6e1/Massimo-Luongo
2012-2013,19,Swindon Town,engENG,3.League One,7.0,630,1.0,1.0,,,,,,,,,7.0,630,1,1,7,630,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.14,0.14,0.29,0.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,0.57,,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,630,90.0,15.2,7.0,7,,,0,,,,,,,,,,,,,,0.0,0.0,,9.0,,,,,,,,,,,,,,,,
2013-2014,20,Swindon Town,engENG,3.League One,44.0,"3,892",6.0,2.0,,,,,,,,,44.0,"3,892",6,2,44,"3,892",43.2,6.0,2.0,8.0,6.0,0.0,0.0,5.0,0.0,,,,,,,,0.14,0.05,0.18,0.14,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,25.0,,,0.58,,0.24,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,892",88.0,94.0,43.2,44,,,0,,,,,,,,,,,,,,5.0,0.0,,36.0,,,,,,,,,,,,,,,,
2014-2015,21,Swindon Town,engENG,3.League One,34.0,"2,940",6.0,5.0,3.0,256.0,0.0,0.0,,,,,37.0,"3,196",6,5,33,"2,940",32.7,6.0,5.0,11.0,6.0,0.0,0.0,5.0,0.0,,,,,,,,0.18,0.15,0.34,0.18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,27.0,,,0.83,,0.22,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,940",86.0,71.0,32.7,33,,29.0,1,,0.0,1.76,51.0,38.0,13.0,0.4,-0.05,,,,,,5.0,0.0,,32.0,,,,,,,,,,,,,,,,
2015-2016,22,QPR,engENG,2.Championship,30.0,"2,307",0.0,6.0,2.0,107.0,0.0,0.0,,,,,32.0,"2,414",0,6,26,"2,307",25.6,0.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.23,0.23,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,10.0,,,0.39,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,307",77.0,55.7,25.6,26,,21.0,4,,11.0,1.3,27.0,32.0,-5.0,-0.2,-0.44,,,,,,3.0,0.0,,20.0,,,,,,,,,,,,,,,,
2016-2017,23,QPR,engENG,2.Championship,35.0,"3,080",1.0,3.0,3.0,123.0,0.0,0.0,,,,,38.0,"3,203",1,3,35,"3,080",34.2,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,,,,,,,,0.03,0.09,0.12,0.03,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11.0,,0.0,0.32,,0.09,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,080",88.0,74.4,34.2,35,,31.0,0,,4.0,1.09,36.0,45.0,-9.0,-0.26,0.16,,,,,,9.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,24,QPR,engENG,2.Championship,39.0,"3,388",6.0,3.0,,,,,,,,,39.0,"3,388",6,3,38,"3,388",37.6,6.0,3.0,9.0,6.0,0.0,0.0,10.0,0.0,,,,,,,,0.16,0.08,0.24,0.16,0.24,,,,,,,94.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,63.0,21.0,33.3,1.67,0.56,0.1,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,388",87.0,81.8,37.6,38,,36.0,1,,0.0,1.18,49.0,59.0,-10.0,-0.27,-0.03,,,,,,10.0,0.0,0.0,60.0,74.0,1.0,47.0,60.0,94.0,0.0,0.0,0.0,,,,,,,,
2018-2019,25,QPR,engENG,2.Championship,41.0,"3,616",3.0,4.0,2.0,180.0,0.0,0.0,,,,,43.0,"3,796",3,4,41,"3,616",40.2,3.0,4.0,7.0,3.0,0.0,0.0,10.0,0.0,5.0,5.0,2.8,7.8,93.0,261.0,58.0,0.07,0.1,0.17,0.07,0.17,0.12,0.07,0.19,0.12,0.19,126.0,69.0,38.0,74.0,14.0,36.0,86.0,41.9,50.0,70.0,14.0,56.0,58.0,184.0,81.0,0.0,1215.0,1735.0,70.0,21273.0,7446.0,524.0,646.0,81.1,519.0,682.0,76.1,118.0,272.0,43.4,4.0,2.8,2.6,1.2,41.0,195.0,29.0,4.0,261.0,1735.0,1691.0,36.0,28.0,3.0,14.0,24.0,3.0,0.0,0.0,0.0,0.0,1215.0,8.0,40.0,98.0,476.0,1402.0,420.0,42.0,2258.0,47.0,35.0,74.5,12.0,25.5,1010.0,6675.0,3502.0,93.0,57.0,7.0,51.0,59.0,1185.0,58.0,3.0,57.0,9.0,15.8,1.42,0.22,0.05,0.33,20.7,0.0,0.0,0.0,5.0,5.0,0.09,-2.0,-2.0,112.0,2.79,87.0,2.0,5.0,7.0,7.0,4.0,10.0,0.25,8.0,0.0,1.0,1.0,0.0,0.0,"3,616",88.0,87.3,40.2,41,88.0,37.0,0,,0.0,1.2,49.0,59.0,-10.0,-0.25,1.13,54.2,57.1,-2.9,-0.07,0.65,10.0,0.0,0.0,98.0,59.0,1.0,24.0,58.0,69.0,0.0,0.0,0.0,287.0,102.0,67.0,60.4,,,,
2019-2020,26,Sheffield Weds,engENG,2.Championship,27.0,"1,472",3.0,0.0,3.0,270.0,0.0,0.0,,,,,30.0,"1,742",3,0,17,"1,472",16.4,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,1.9,1.9,1.4,3.4,27.0,77.0,56.0,0.18,0.0,0.18,0.18,0.18,0.12,0.09,0.21,0.12,0.21,42.0,28.0,5.0,29.0,8.0,13.0,35.0,37.1,22.0,12.0,3.0,9.0,12.0,54.0,12.0,0.0,432.0,566.0,76.3,6474.0,1762.0,224.0,277.0,80.9,157.0,191.0,82.2,26.0,53.0,49.1,0.0,1.4,1.1,-1.4,15.0,51.0,14.0,2.0,77.0,566.0,557.0,8.0,2.0,2.0,5.0,13.0,2.0,0.0,0.0,0.0,0.0,432.0,1.0,7.0,14.0,90.0,426.0,241.0,34.0,741.0,29.0,16.0,55.2,13.0,44.8,432.0,2357.0,1011.0,27.0,24.0,8.0,26.0,22.0,454.0,56.0,3.0,25.0,7.0,28.0,1.53,0.43,0.12,0.43,18.9,0.0,0.0,0.0,1.9,1.9,0.08,1.1,1.1,52.0,3.18,39.0,1.0,2.0,5.0,5.0,0.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,"1,472",55.0,35.6,16.4,17,74.0,5.0,10,22.0,4.0,1.52,18.0,20.0,-2.0,-0.12,0.08,23.8,20.2,3.6,0.22,0.22,4.0,1.0,0.0,48.0,24.0,0.0,13.0,12.0,28.0,0.0,0.0,0.0,96.0,40.0,30.0,57.1,,,,
2020-2021,27,Sheffield Weds,engENG,2.Championship,12.0,828,0.0,0.0,1.0,90.0,0.0,0.0,,,,,13.0,918,0,0,10,828,9.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.4,0.6,8.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,29.0,20.0,16.0,13.0,0.0,9.0,23.0,39.1,14.0,13.0,2.0,11.0,15.0,44.0,15.0,1.0,219.0,309.0,70.9,3429.0,1106.0,105.0,135.0,77.8,86.0,115.0,74.8,14.0,36.0,38.9,0.0,0.4,0.1,-0.4,4.0,31.0,4.0,1.0,32.0,309.0,307.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,4.0,18.0,120.0,254.0,41.0,5.0,411.0,5.0,4.0,80.0,1.0,20.0,167.0,735.0,326.0,8.0,5.0,2.0,8.0,6.0,189.0,5.0,0.0,5.0,0.0,0.0,0.54,0.0,0.0,,21.1,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,8.0,0.87,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828,69.0,20.0,9.2,10,81.0,7.0,2,12.0,1.0,1.42,7.0,8.0,-1.0,-0.11,0.43,6.6,9.9,-3.3,-0.36,-0.14,5.0,0.0,0.0,20.0,10.0,0.0,3.0,15.0,20.0,0.0,0.0,0.0,53.0,24.0,14.0,63.2,,,,
