Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,17,Luton Town,engENG,4.League Two,1,8,0,0,,,,,,,,,1,8,0,0,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,8,8,0.2,0.1,0,,0,1,,2,3.0,0,0,0,0.0,-0.04,,,,,,0,0,,0.0,,,,,,,,,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",Estimación no verificada,https://fbref.com/es/jugadores/fb614c44/James-Justin
2016-2017,18,Luton Town,engENG,4.League Two,29,"2,282",1,2,4.0,310.0,0.0,0.0,,,,,33,"2,592",1,2,24,"2,282",25.4,1,2,3,1,0,0,2,0,,,,,,,,0.04,0.08,0.12,0.04,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,3.0,,0.0,0.12,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,282",79,55.1,25.4,24,,22,5,,12,1.55,34,23,11,0.43,-0.34,,,,,,2,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",,https://fbref.com/es/jugadores/fb614c44/James-Justin
2017-2018,19,Luton Town,engENG,4.League Two,17,976,2,0,1.0,90.0,0.0,0.0,,,,,18,"1,066",2,0,10,976,10.8,2,0,2,2,0,0,1,0,,,,,,,,0.18,0.0,0.18,0.18,0.18,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,2.0,,0.0,0.18,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,976,57,23.6,10.8,10,,10,7,,26,2.35,31,14,17,1.57,0.69,,,,,,1,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/fb614c44/James-Justin
2018-2019,20,Luton Town,engENG,3.League One,43,"3,253",3,7,5.0,450.0,0.0,0.0,,,,,48,"3,703",3,7,35,"3,253",36.1,3,7,10,3,0,0,1,0,,,,,,,,0.08,0.19,0.28,0.08,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,253",76,78.6,36.1,35,89.0,32,8,18.0,3,2.16,74,31,43,1.19,0.68,,,,,,1,0,0.0,,,,,,,,,0.0,,,,,"£ 30,000(€ 34,871, $38,130)","£ 1,560,000(€ 1,813,299, $1,982,771)",,https://fbref.com/es/jugadores/fb614c44/James-Justin
2019-2020,21,Leicester City,engENG,1.Premier League,13,"1,012",0,1,5.0,450.0,1.0,1.0,,,,,18,"1,462",1,2,11,"1,012",11.2,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,30.0,56.0,59.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.11,0.03,0.11,36.0,17.0,22.0,14.0,0.0,15.0,25.0,60.0,10.0,15.0,7.0,8.0,11.0,47.0,30.0,0.0,665.0,820.0,81.1,9996.0,3251.0,372.0,405.0,91.9,243.0,288.0,84.4,39.0,78.0,50.0,1,1.0,0.5,0.0,12.0,47.0,11.0,6.0,56.0,820.0,710.0,110.0,9.0,0.0,3.0,37.0,101.0,0.0,0.0,0.0,0.0,665.0,0.0,24.0,29.0,234.0,482.0,244.0,18.0,952.0,17.0,8.0,47.1,9.0,52.9,547.0,2421.0,1277.0,30.0,32.0,5.0,18.0,12.0,620.0,59.0,0,7.0,0.0,0.0,0.62,0.0,0.0,,20.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,25.0,2.22,20.0,1.0,0.0,0.0,3.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,"1,012",78,29.6,11.2,11,90.0,11,2,11.0,25,1.62,16,14,2,0.18,-0.72,19.3,12.5,6.8,0.6,0.23,1,0,0.0,8.0,20.0,1.0,37.0,11.0,17.0,0.0,1.0,1.0,64.0,21.0,32.0,39.6,"£ 30,000(€ 34,901, $39,638)","£ 1,560,000(€ 1,814,845, $2,061,201)",,https://fbref.com/es/jugadores/fb614c44/James-Justin
2020-2021,22,Leicester City,engENG,1.Premier League,23,"2,070",2,1,2.0,164.0,1.0,0.0,6.0,459.0,0.0,0.0,31,"2,693",3,1,23,"2,070",23.0,2,1,3,2,0,0,4,0,2.2,2.2,2.0,4.1,64.0,94.0,135.0,0.09,0.04,0.13,0.09,0.13,0.09,0.09,0.18,0.09,0.18,61.0,37.0,38.0,18.0,5.0,20.0,41.0,48.8,21.0,36.0,10.0,26.0,30.0,91.0,58.0,1.0,1004.0,1287.0,78.0,14803.0,4875.0,564.0,641.0,88.0,361.0,438.0,82.4,47.0,107.0,43.9,1,2.0,1.4,-1.0,19.0,54.0,31.0,5.0,94.0,1287.0,1106.0,175.0,7.0,0.0,3.0,59.0,168.0,0.0,0.0,0.0,0.0,1004.0,6.0,30.0,60.0,461.0,669.0,431.0,32.0,1551.0,32.0,18.0,56.3,14.0,43.8,739.0,4027.0,2195.0,64.0,51.0,4.0,29.0,14.0,944.0,135.0,2,10.0,3.0,30.0,0.43,0.13,0.2,0.67,14.8,0.0,0,0,2.2,2.2,0.22,-0.2,-0.2,61.0,2.65,46.0,2.0,4.0,0.0,9.0,0.0,8.0,0.35,5.0,1.0,1.0,0.0,1.0,0.0,"2,070",90,60.5,23.0,23,90.0,23,0,,0,1.87,39,25,14,0.61,0.34,33.9,25.8,8.1,0.35,0.23,4,0,0.0,16.0,38.0,3.0,59.0,30.0,37.0,2.0,0.0,0.0,103.0,26.0,42.0,38.2,,,,
2021-2022,23,Leicester City,engENG,Jr.PL2 — Div. 1,1,45,0,0,,,,,,,,,1,45,0,0,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,45,45,1.9,0.5,1,45.0,0,0,,0,0.0,0,1,-1,-2.0,-1.45,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,,,,
2021-2022,23,Leicester City,engENG,1.Premier League,13,998,0,0,1.0,90.0,0.0,0.0,5.0,334.0,0.0,0.0,19,"1,422",0,0,11,998,11.1,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,23.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,22.0,13.0,11.0,8.0,3.0,7.0,15.0,46.7,8.0,16.0,4.0,12.0,17.0,39.0,34.0,0.0,540.0,677.0,79.8,7701.0,2669.0,328.0,360.0,91.1,166.0,208.0,79.8,24.0,57.0,42.1,0,1.0,0.7,-1.0,9.0,23.0,7.0,3.0,44.0,677.0,565.0,110.0,8.0,0.0,4.0,15.0,102.0,0.0,0.0,0.0,0.0,540.0,2.0,18.0,43.0,263.0,357.0,182.0,15.0,798.0,15.0,5.0,33.3,10.0,66.7,405.0,1922.0,911.0,23.0,18.0,1.0,5.0,10.0,470.0,52.0,0,5.0,1.0,20.0,0.45,0.09,0.0,0.0,11.1,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,17.0,1.53,16.0,0.0,0.0,0.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,998,77,29.2,11.1,11,85.0,10,2,34.0,2,1.46,20,13,7,0.63,0.78,14.2,14.5,-0.4,-0.03,0.38,0,0,0.0,7.0,12.0,1.0,15.0,17.0,13.0,0.0,0.0,0.0,62.0,13.0,16.0,44.8,,,,
2022-2023,24,Leicester City,engENG,1.Premier League,14,"1,252",0,0,1.0,61.0,1.0,0.0,,,,,15,"1,313",1,0,14,"1,252",13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20.0,47.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,20.0,18.0,7.0,12.0,1.0,9.0,18.0,50.0,9.0,24.0,6.0,18.0,15.0,35.0,47.0,0.0,667.0,819.0,81.4,10404.0,3063.0,371.0,408.0,90.9,239.0,282.0,84.8,39.0,81.0,48.1,0,0.3,0.5,-0.3,7.0,48.0,12.0,7.0,47.0,819.0,687.0,130.0,16.0,0.0,4.0,21.0,114.0,0.0,0.0,0.0,0.0,667.0,2.0,19.0,48.0,296.0,475.0,216.0,8.0,980.0,19.0,4.0,21.1,11.0,57.9,417.0,1831.0,834.0,20.0,19.0,4.0,15.0,6.0,574.0,50.0,0,5.0,0.0,0.0,0.36,0.0,0.0,,23.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,21.0,1.51,17.0,0.0,2.0,0.0,2.0,0.0,2.0,0.14,0.0,0.0,1.0,0.0,1.0,0.0,"1,252",89,36.6,13.9,14,89.0,12,0,,0,1.0,23,25,-2,-0.14,0.48,15.9,20.8,-5.0,-0.36,-0.03,0,0,0.0,8.0,29.0,2.0,21.0,15.0,18.0,1.0,0.0,0.0,64.0,23.0,32.0,41.8,,,,
2023-2024,25,Leicester City,engENG,2.Championship,39,"2,616",2,2,6.0,363.0,0.0,0.0,,,,,45,"2,979",2,2,27,"2,616",29.1,2,2,4,2,0,0,4,0,1.1,1.1,1.3,2.4,67.0,199.0,61.0,0.07,0.07,0.14,0.07,0.14,0.04,0.04,0.08,0.04,0.08,71.0,42.0,28.0,37.0,6.0,32.0,52.0,61.5,20.0,34.0,15.0,19.0,44.0,115.0,84.0,0.0,2026.0,2344.0,86.4,34270.0,9336.0,977.0,1060.0,92.2,880.0,985.0,89.3,145.0,231.0,62.8,2,1.3,2.2,0.7,16.0,238.0,22.0,7.0,199.0,2344.0,2002.0,334.0,51.0,3.0,17.0,31.0,282.0,1.0,0.0,0.0,0.0,2026.0,8.0,18.0,101.0,693.0,1462.0,539.0,24.0,2680.0,28.0,8.0,28.6,15.0,53.6,1431.0,6160.0,3343.0,67.0,56.0,1.0,36.0,6.0,1775.0,61.0,2,18.0,4.0,22.2,0.62,0.14,0.11,0.5,16.7,1.0,0,0,1.1,1.1,0.06,0.9,0.9,47.0,1.62,40.0,4.0,0.0,2.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,"2,616",67,63.2,29.1,27,88.0,21,12,20.0,6,2.08,59,29,30,1.03,-0.03,56.1,26.9,29.2,1.01,0.24,4,0,0.0,23.0,32.0,0.0,31.0,44.0,42.0,0.0,0.0,0.0,138.0,55.0,36.0,60.4,,,,
