Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Vélez Sarsfield,arARG,1.Primera Div,12,716,1,1,,,,,,,,,12,716,1,1,7,716,8.0,1,1,2,1,0,0,1,0,0.0,0.0,0.0,0.0,8,32,14,0.13,0.13,0.25,0.13,0.25,0.0,0.0,0.0,0.0,0.0,28,20,11,13,4,9,15,60.0,6,17,1,16,9,37,3,0,318,405,78.5,4973,1589,159,182,87.4,96,119,80.7,35,56,62.5,1,0.0,0.0,1.0,19,30,4,0,32,405,363,42,17,0,3,35,2,23,10,12,0,318,0,13,8,69,291,141,6,493,7,5,71.4,2,28.6,248,995,435,8,8,1,18,8,280,14,1,10,2,20.0,1.26,0.25,0.1,0.5,25.3,1,0,0,0.0,0.0,0.0,1.0,1.0,31,3.9,19,11,0,0,1,0,2,0.25,2,0,0,0,0,0,716,60,26.5,8.0,7,81,2,5,30.0,4,1.25,12,11,1,0.13,0.58,0.0,0.0,0.0,0.0,0.0,1,0,0,10,7,1,35,9,20,0,0,0,46,6,9,40.0,"€ 62,692(£ 54,456, $68,709)","€ 3,260,000(£ 2,831,716, $3,572,889)",,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2017-2018,19,Vélez Sarsfield,arARG,1.Liga Argentina,24,"1,844",0,2,,,,,,,,,24,"1,844",0,2,21,"1,844",20.5,0,2,2,0,0,0,4,0,1.7,1.7,3.1,4.8,36,144,67,0.0,0.1,0.1,0.0,0.1,0.08,0.15,0.23,0.08,0.23,69,45,23,38,8,24,46,52.2,22,23,3,20,33,102,32,0,875,1101,79.5,14641,4471,397,467,85.0,337,387,87.1,88,136,64.7,2,3.1,2.8,-1.1,25,99,15,3,144,1101,1057,42,24,5,10,21,14,4,0,1,0,875,2,34,35,206,858,284,25,1331,25,11,44.0,14,56.0,762,3501,1734,36,39,5,32,19,864,67,0,30,10,33.3,1.46,0.49,0.0,0.0,24.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7,48,2.34,41,0,0,2,2,3,3,0.15,2,0,0,0,0,1,"1,844",77,75.9,20.5,21,84,15,3,24.0,3,1.42,24,27,-3,-0.15,-0.45,30.4,24.6,5.8,0.28,0.07,4,0,0,36,27,0,21,33,45,0,0,1,118,28,28,50.0,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2018-2019,20,Vélez Sarsfield,arARG,1.Liga Argentina,25,"2,197",3,2,,,,,,,,,25,"2,197",3,2,25,"2,197",24.4,3,2,5,3,0,0,4,0,3.6,3.2,1.6,4.8,52,198,71,0.12,0.08,0.2,0.12,0.2,0.15,0.07,0.21,0.13,0.2,89,50,32,46,11,32,74,43.2,42,42,2,40,48,137,40,0,1175,1416,83.0,19435,5362,545,624,87.3,473,541,87.4,101,149,67.8,2,1.6,1.9,0.4,21,128,12,0,198,1416,1329,81,44,5,11,4,36,1,1,0,0,1175,6,29,42,289,1161,328,42,1757,31,21,67.7,10,32.3,1018,5325,2640,52,43,2,50,35,1124,71,3,37,10,27.0,1.52,0.41,0.08,0.3,18.6,0,0,0,3.6,3.2,0.09,-0.6,-0.2,63,2.58,49,1,2,4,5,2,4,0.16,3,0,0,0,1,0,"2,197",88,97.6,24.4,25,88,20,0,,0,1.6,33,23,10,0.41,2.11,33.4,23.8,9.7,0.4,0.62,4,0,0,46,47,4,4,48,50,0,0,1,172,48,52,48.0,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2019-2020,21,Vélez Sarsfield,arARG,1.Liga Argentina,14,"1,232",5,1,,,,,,,,,14,"1,232",5,1,14,"1,232",13.7,5,1,6,5,0,0,6,1,2.6,2.6,1.3,4.0,22,95,58,0.37,0.07,0.44,0.37,0.44,0.19,0.1,0.29,0.19,0.29,38,21,14,22,2,15,40,37.5,25,26,5,21,19,57,27,0,595,720,82.6,10418,2913,253,298,84.9,265,302,87.7,60,79,75.9,1,1.3,0.8,-0.3,13,58,9,0,95,720,677,43,20,2,3,8,23,0,0,0,0,595,0,16,39,177,567,179,28,914,19,12,63.2,7,36.8,416,2538,1127,22,10,5,31,16,592,58,5,21,8,38.1,1.53,0.58,0.24,0.63,18.4,0,0,0,2.6,2.6,0.13,2.4,2.4,34,2.48,30,1,1,1,0,1,3,0.22,2,0,1,0,0,0,"1,232",88,59.5,13.7,14,88,11,0,,0,1.79,16,9,7,0.51,-0.13,16.7,14.3,2.4,0.17,-0.21,6,1,1,24,18,2,8,19,21,0,1,0,104,23,31,42.6,"€ 17,308(£ 14,890, $18,925)","€ 900,000(£ 774,279, $984,115)",,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2019-2020,21,Bologna,itITA,1.Serie A,16,699,0,1,,,,,,,,,16,699,0,1,7,699,7.8,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,7,40,12,0.0,0.13,0.13,0.0,0.13,0.05,0.15,0.19,0.05,0.19,21,14,15,5,1,7,18,38.9,11,12,2,10,12,33,7,0,337,407,82.8,5621,1595,161,179,89.9,127,147,86.4,33,50,66.0,1,1.1,0.5,-0.1,11,30,8,1,40,407,376,29,18,2,3,5,10,0,0,0,0,337,2,8,16,110,280,105,7,492,6,4,66.7,2,33.3,250,1055,452,7,6,1,5,1,281,12,0,10,1,10.0,1.29,0.13,0.0,0.0,24.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,21,2.71,19,0,1,0,0,1,1,0.13,1,0,0,0,0,0,699,44,20.4,7.8,7,74,1,9,20.0,4,0.94,8,11,-3,-0.39,-0.06,8.0,10.6,-2.7,-0.34,-0.5,1,0,0,16,6,0,5,12,14,0,0,0,70,4,9,30.8,"£ 35,000(€ 41,429, $44,521)","£ 1,820,000(€ 2,154,309, $2,315,110)",Estimación no verificada,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2020-2021,22,Bologna,itITA,1.Serie A,28,"1,255",1,0,2.0,171.0,0.0,0.0,,,,,30,"1,426",1,0,15,"1,255",13.9,1,0,1,1,0,0,8,0,1.2,1.2,1.7,2.9,21,72,32,0.07,0.0,0.07,0.07,0.07,0.08,0.12,0.21,0.08,0.21,48,28,26,17,5,15,37,40.5,22,26,7,19,24,72,20,0,614,716,85.8,10181,3198,303,340,89.1,240,275,87.3,48,64,75.0,0,1.7,1.6,-1.7,19,69,11,2,72,716,679,33,29,1,3,11,3,0,0,0,0,614,4,7,49,224,491,191,21,893,9,9,100.0,0,0.0,423,2038,934,21,14,3,24,14,524,32,1,18,5,27.8,1.29,0.36,0.06,0.2,19.7,0,0,0,1.2,1.2,0.06,-0.2,-0.2,48,3.44,34,1,3,3,3,4,0,0.0,0,0,0,0,0,0,"1,255",45,36.7,13.9,15,63,1,13,24.0,3,1.21,11,20,-9,-0.65,-0.44,15.9,24.5,-8.7,-0.62,-0.65,8,0,0,23,15,1,11,24,28,0,1,0,113,20,22,47.6,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2021-2022,23,Bologna,itITA,1.Serie A,28,"2,015",0,3,1.0,77.0,1.0,0.0,,,,,29,"2,092",1,3,23,"2,015",22.4,0,3,3,0,0,0,8,0,1.2,1.2,2.4,3.6,18,113,44,0.0,0.13,0.13,0.0,0.13,0.05,0.11,0.16,0.05,0.16,76,45,36,32,8,32,76,42.1,44,38,9,29,32,108,34,1,994,1203,82.6,16850,5280,484,553,87.5,375,426,88.0,103,154,66.9,3,2.4,1.9,0.6,27,108,29,4,113,1203,1134,66,45,7,12,14,3,0,0,0,0,994,3,19,71,358,891,248,31,1484,34,14,41.2,20,58.8,717,3434,1417,18,21,1,34,21,904,44,0,21,3,14.3,0.94,0.13,0.0,0.0,16.3,0,0,0,1.2,1.2,0.06,-1.2,-1.2,61,2.72,52,1,0,5,1,2,4,0.18,4,0,0,0,0,0,"2,015",72,58.9,22.4,23,81,9,5,29.0,1,1.39,33,33,0,0.0,0.7,29.1,28.6,0.5,0.02,0.55,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2022-2023,24,Bologna,itITA,1.Serie A,31,"2,300",3,2,3.0,177.0,0.0,0.0,,,,,34,"2,477",3,2,26,"2,300",25.6,3,2,5,3,0,0,10,0,2.6,2.6,2.9,5.4,39,147,84,0.12,0.08,0.2,0.12,0.2,0.1,0.11,0.21,0.1,0.21,79,49,34,33,12,39,76,51.3,37,29,3,26,21,100,29,1,1169,1420,82.3,18139,5084,618,693,89.2,408,483,84.5,85,130,65.4,2,2.9,2.8,-0.9,36,118,25,2,147,1420,1335,73,43,19,14,19,26,0,0,0,0,1169,12,25,47,308,991,419,37,1703,37,23,62.2,12,32.4,908,3910,1802,39,41,5,50,21,1170,84,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0,0,0,2.6,2.6,0.06,0.4,0.4,71,2.78,61,2,3,1,3,1,5,0.2,5,0,0,0,0,0,"2,300",74,67.3,25.6,26,82,13,5,34.0,1,1.39,34,31,3,0.12,0.04,31.1,32.0,-0.9,-0.04,0.28,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2023-2024,25,Bologna,itITA,1.Serie A,2,102,0,0,1.0,90.0,0.0,0.0,,,,,3,192,0,0,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,1,0,1,0,0,0,2,0.0,2,3,0,3,0,1,2,0,83,92,90.2,1276,370,45,49,91.8,36,40,90.0,2,2,100.0,0,0.0,0.1,0.0,1,5,1,0,9,92,90,2,1,0,0,0,1,0,0,0,0,83,0,1,2,23,69,12,0,103,0,0,,0,,39,210,116,1,2,0,1,3,79,3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2,1.78,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,102,51,3.0,1.1,1,71,0,1,31.0,0,0.5,0,3,-3,-2.65,-3.33,1.0,0.9,0.1,0.07,-0.22,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/20b3a502/Nicolas-Dominguez
2023-2024,25,Nott'ham Forest,engENG,1.Premier League,26,"1,495",2,2,3.0,255.0,1.0,0.0,,,,,29,"1,750",3,2,19,"1,495",16.6,2,2,4,2,0,0,4,0,1.3,1.3,1.0,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,63,34,35,27,1,23,48,47.9,25,31,5,26,18,81,24,0,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2,1.0,1.3,1.0,10,61,16,1,91,843,817,22,10,2,5,6,4,1,0,1,0,714,4,13,39,266,542,248,33,1049,17,7,41.2,8,47.1,492,2030,1106,14,13,2,21,7,628,43,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,0.7,0.7,35,2.11,33,0,0,2,0,0,2,0.12,2,0,0,0,0,0,"1,495",58,43.7,16.6,19,74,3,7,12.0,6,0.92,16,27,-11,-0.66,-0.33,18.6,20.8,-2.2,-0.13,-0.08,4,0,0,26,16,2,6,18,34,0,0,0,108,21,19,52.5,,,,
