Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,Chelsea,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,3.46,3.46,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 2,500(€ 2,878, $3,155)","£ 130,000(€ 149,647, $164,035)",Estimación no verificada,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2016-2017,19,Chelsea,engENG,1.Premier League,3.0,26,0.0,0.0,3.0,176.0,0.0,0.0,,,,,6.0,202,0,0,0,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,26,9.0,0.8,0.3,0,,0,3,,8,3.0,2.0,0.0,2.0,6.92,5.6,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2016-2017,19,Chelsea,engENG,Jr.PL2 — Div. 1,3.0,270,0.0,0.0,,,,,,,,,3.0,270,0,0,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,63.0,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.0,7.0,20.6,0.8,0.16,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,270,90.0,13.6,3.0,3,90.0,3,0,,0,1.0,7.0,10.0,-3.0,-1.0,-1.58,,,,,,3.0,0.0,0.0,45.0,57.0,2.0,98.0,88.0,63.0,1.0,0.0,0.0,,,,,"€ 17,885(£ 15,535, $19,601)","€ 930,000(£ 807,821, $1,019,260)",Estimación no verificada,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2017-2018,20,Hull City,engENG,2.Championship,44.0,"3,824",0.0,3.0,2.0,180.0,1.0,0.0,,,,,46.0,"4,004",1,3,42,"3,824",42.5,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,54.0,36.0,32.0,20.0,2.0,23.0,48.0,47.9,25.0,30.0,3.0,27.0,39.0,93.0,59.0,2.0,861.0,1178.0,73.1,13729.0,5830.0,465.0,525.0,88.6,268.0,395.0,67.8,88.0,159.0,55.3,3.0,2.5,2.2,0.5,25.0,53.0,30.0,11.0,97.0,1178.0,919.0,257.0,18.0,2.0,7.0,63.0,238.0,1.0,0.0,0.0,0.0,861.0,2.0,44.0,63.0,382.0,699.0,444.0,35.0,1497.0,61.0,30.0,49.2,31.0,50.8,658.0,4369.0,2412.0,62.0,56.0,6.0,35.0,23.0,761.0,96.0,1.0,24.0,5.0,20.8,1.0,0.21,0.04,0.2,19.5,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4,57.0,2.37,37.0,6.0,7.0,1.0,4.0,2.0,5.0,0.21,3.0,1.0,0.0,0.0,1.0,0.0,"3,824",87.0,92.4,42.5,42,,41,2,,2,1.09,60.0,62.0,-2.0,-0.05,-0.62,,,,,,5.0,1.0,0.0,31.0,38.0,4.0,63.0,39.0,36.0,0.0,0.0,0.0,167.0,41.0,29.0,58.6,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2018-2019,21,Torino,itITA,1.Serie A,30.0,"2,160",1.0,3.0,2.0,107.0,0.0,0.0,,,,,32.0,"2,267",1,3,22,"2,160",24.0,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,2.5,4.0,62.0,97.0,96.0,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17,45.0,24.0,23.0,18.0,4.0,17.0,37.0,45.9,20.0,24.0,6.0,18.0,41.0,86.0,61.0,0.0,862.0,1185.0,72.7,13825.0,5497.0,488.0,564.0,86.5,282.0,379.0,74.4,77.0,175.0,44.0,2.0,2.5,1.9,-0.5,22.0,57.0,17.0,13.0,80.0,1185.0,936.0,243.0,14.0,1.0,5.0,62.0,225.0,4.0,0.0,0.0,0.0,862.0,6.0,27.0,70.0,422.0,679.0,399.0,27.0,1478.0,78.0,47.0,60.3,31.0,39.7,718.0,4943.0,2913.0,86.0,51.0,8.0,32.0,21.0,817.0,80.0,0.0,12.0,2.0,16.7,0.52,0.09,0.0,0.0,24.0,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,55.0,2.38,31.0,12.0,4.0,1.0,7.0,0.0,6.0,0.26,3.0,1.0,0.0,0.0,2.0,0.0,"2,160",72.0,63.2,24.0,22,86.0,15,8,34.0,2,1.63,31.0,23.0,8.0,0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08,8.0,0.0,0.0,25.0,36.0,2.0,62.0,41.0,24.0,0.0,0.0,0.0,130.0,28.0,26.0,51.9,"£ 24,000(€ 27,627, $30,283)","£ 1,248,000(€ 1,436,615, $1,574,732)",,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2019-2020,22,Torino,itITA,1.Serie A,32.0,"2,079",0.0,2.0,2.0,159.0,0.0,1.0,,,,,34.0,"2,238",0,3,20,"2,079",23.1,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,2.5,2.9,86.0,80.0,80.0,0.0,0.09,0.09,0.0,0.09,0.02,0.11,0.13,0.02,0.13,37.0,20.0,22.0,7.0,8.0,21.0,43.0,48.8,22.0,22.0,6.0,16.0,45.0,82.0,94.0,2.0,1352.0,1769.0,76.4,22797.0,9159.0,642.0,717.0,89.5,565.0,704.0,80.3,112.0,257.0,43.6,1.0,1.5,1.2,-0.5,15.0,92.0,15.0,9.0,106.0,1769.0,1486.0,282.0,28.0,0.0,13.0,52.0,254.0,0.0,0.0,0.0,0.0,1352.0,1.0,34.0,105.0,781.0,957.0,330.0,17.0,2052.0,33.0,21.0,63.6,12.0,36.4,1070.0,5595.0,3024.0,63.0,40.0,5.0,27.0,10.0,1254.0,50.0,2.0,14.0,4.0,28.6,0.47,0.14,0.14,0.5,24.6,1.0,0.0,0.0,1.2,1.2,0.09,0.8,0.8,27.0,0.91,23.0,3.0,0.0,0.0,1.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,"2,079",65.0,60.8,23.1,20,84.0,12,12,33.0,5,1.13,35.0,39.0,-4.0,-0.17,1.03,30.2,34.7,-4.5,-0.19,0.58,3.0,0.0,0.0,32.0,25.0,2.0,52.0,45.0,20.0,0.0,0.0,0.0,147.0,31.0,36.0,46.3,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2020-2021,23,Fulham,engENG,1.Premier League,31.0,"2,664",2.0,1.0,2.0,188.0,0.0,0.0,,,,,33.0,"2,852",2,1,31,"2,664",29.6,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,1.5,2.8,63.0,106.0,50.0,0.07,0.03,0.1,0.07,0.1,0.04,0.05,0.09,0.04,0.09,27.0,19.0,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28.0,55.0,30.0,0.0,535.0,755.0,70.9,8693.0,3540.0,272.0,316.0,86.1,202.0,280.0,72.1,44.0,93.0,47.3,0.0,1.8,1.4,-1.8,16.0,43.0,20.0,4.0,68.0,755.0,600.0,151.0,9.0,1.0,0.0,34.0,142.0,0.0,0.0,0.0,0.0,535.0,4.0,30.0,48.0,227.0,441.0,294.0,27.0,950.0,40.0,18.0,45.0,22.0,55.0,483.0,2872.0,1398.0,42.0,34.0,7.0,32.0,10.0,530.0,78.0,0.0,10.0,4.0,40.0,0.63,0.25,0.0,0.0,23.6,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,37.0,2.32,29.0,2.0,3.0,0.0,3.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"2,664",86.0,77.9,29.6,31,86.0,24,0,,4,0.84,22.0,36.0,-14.0,-0.47,0.96,30.4,42.0,-11.6,-0.39,-0.33,4.0,0.0,0.0,18.0,28.0,1.0,34.0,28.0,19.0,0.0,0.0,0.0,101.0,17.0,25.0,40.5,"€ 35,577(£ 30,607, $38,902)","€ 1,850,000(£ 1,591,574, $2,022,902)",,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2021-2022,24,Torino,itITA,1.Serie A,21.0,"1,437",0.0,0.0,2.0,200.0,0.0,0.0,,,,,23.0,"1,637",0,0,17,"1,437",16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.8,2.0,42.0,68.0,78.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,17.0,13.0,5.0,8.0,4.0,9.0,15.0,60.0,6.0,12.0,2.0,10.0,11.0,28.0,26.0,0.0,402.0,544.0,73.9,6725.0,2554.0,210.0,232.0,90.5,130.0,173.0,75.1,48.0,93.0,51.6,1.0,2.1,1.9,-1.1,12.0,35.0,14.0,9.0,43.0,544.0,432.0,108.0,8.0,0.0,3.0,35.0,97.0,3.0,0.0,0.0,0.0,402.0,4.0,17.0,20.0,146.0,294.0,250.0,13.0,679.0,49.0,23.0,46.9,20.0,40.8,361.0,2268.0,1112.0,35.0,26.0,4.0,15.0,8.0,390.0,43.0,1.0,8.0,3.0,37.5,0.82,0.31,0.13,0.33,15.2,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,27.0,2.77,21.0,2.0,3.0,0.0,1.0,0.0,3.0,0.31,2.0,0.0,1.0,0.0,0.0,0.0,"1,437",68.0,42.0,16.0,17,80.0,7,4,19.0,12,1.29,17.0,19.0,-2.0,-0.13,-0.44,19.9,16.5,3.5,0.22,-0.07,5.0,0.0,0.0,16.0,16.0,1.0,35.0,11.0,13.0,0.0,1.0,0.0,62.0,12.0,10.0,54.5,"£ 40,000(€ 47,347, $50,882)","£ 2,080,000(€ 2,462,068, $2,645,840)",Estimación no verificada,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2022-2023,25,Torino,itITA,1.Serie A,19.0,876,1.0,1.0,2.0,119.0,0.0,0.0,,,,,21.0,995,1,1,9,876,9.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,2.1,2.9,35.0,43.0,43.0,0.1,0.1,0.21,0.1,0.21,0.08,0.21,0.29,0.08,0.29,47.0,31.0,31.0,12.0,4.0,29.0,40.0,72.5,11.0,19.0,3.0,16.0,18.0,65.0,51.0,1.0,605.0,803.0,75.3,9657.0,4065.0,329.0,375.0,87.7,217.0,284.0,76.4,46.0,99.0,46.5,1.0,0.9,1.0,0.1,11.0,58.0,13.0,6.0,69.0,803.0,650.0,150.0,12.0,2.0,2.0,28.0,138.0,0.0,0.0,0.0,0.0,605.0,3.0,17.0,62.0,340.0,464.0,227.0,13.0,1020.0,45.0,27.0,60.0,14.0,31.1,494.0,3136.0,1828.0,52.0,28.0,11.0,24.0,10.0,539.0,37.0,1.0,11.0,1.0,9.1,0.59,0.05,0.09,1.0,26.6,0.0,0.0,0.0,0.3,0.3,0.02,0.7,0.7,38.0,2.02,25.0,5.0,3.0,1.0,3.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,876,46.0,25.6,9.7,9,75.0,4,10,20.0,3,1.53,10.0,7.0,3.0,0.31,0.38,13.7,10.5,3.2,0.32,0.37,3.0,0.0,0.0,18.0,25.0,2.0,28.0,18.0,31.0,0.0,1.0,0.0,97.0,17.0,12.0,58.6,"£ 40,000(€ 46,534, $52,851)","£ 2,080,000(€ 2,419,793, $2,748,268)",Estimación no verificada,https://fbref.com/es/jugadores/246d153b/Ola-Aina
2023-2024,26,Nott'ham Forest,engENG,1.Premier League,22.0,"1,692",1.0,1.0,,,,,,,,,22.0,"1,692",1,1,20,"1,692",18.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,52.0,69.0,37.0,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,53.0,40.0,39.0,13.0,1.0,34.0,58.0,58.6,24.0,32.0,12.0,20.0,30.0,83.0,95.0,3.0,839.0,1145.0,73.3,12948.0,5391.0,446.0,506.0,88.1,308.0,423.0,72.8,52.0,144.0,36.1,1.0,0.7,1.5,0.3,11.0,78.0,15.0,7.0,91.0,1145.0,909.0,234.0,15.0,0.0,3.0,42.0,219.0,0.0,0.0,0.0,0.0,839.0,2.0,35.0,138.0,539.0,610.0,338.0,21.0,1462.0,64.0,29.0,45.3,24.0,37.5,629.0,4026.0,2328.0,54.0,35.0,10.0,39.0,21.0,691.0,52.0,2.0,9.0,2.0,22.2,0.32,0.07,0.22,1.0,24.8,0.0,0.0,0.0,0.6,0.6,0.07,1.4,1.4,50.0,1.75,40.0,5.0,2.0,1.0,1.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,0.0,1.0,"1,692",77.0,49.5,18.8,20,84.0,9,2,5.0,3,1.0,27.0,39.0,-12.0,-0.64,-0.33,23.2,28.6,-5.4,-0.29,-0.39,2.0,0.0,0.0,21.0,32.0,2.0,42.0,30.0,40.0,0.0,1.0,0.0,160.0,12.0,18.0,40.0,,,,
