Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2020-2021,17.0,Hellas Verona,itITA,1.Serie A,6.0,170,0.0,0.0,1.0,90.0,0.0,0.0,,,,,7.0,260,0.0,0.0,0.0,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.17,0.15,0.17,6.0,4.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,3.0,0.0,3.0,2.0,8.0,4.0,0.0,102.0,122.0,83.6,1456.0,416.0,65.0,71.0,91.5,30.0,36.0,83.3,5.0,7.0,71.4,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,7.0,122.0,112.0,10.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,102.0,0.0,3.0,11.0,39.0,72.0,31.0,1.0,141.0,4.0,2.0,50.0,2.0,50.0,80.0,392.0,182.0,2.0,2.0,0.0,1.0,0.0,88.0,7.0,0.0,1.0,0.0,0.0,0.53,0.0,0.0,,6.0,0.0,0.0,0.0,0.3,0.3,0.29,-0.3,-0.3,2.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,28.0,5.0,1.9,0.0,,0.0,6.0,28.0,25.0,0.33,1.0,4.0,-3.0,-1.59,-1.62,2.4,2.9,-0.5,-0.26,-0.16,1.0,0.0,0.0,5.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,13.0,3.0,5.0,37.5,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
2021-2022,18.0,Udinese,itITA,1.Serie A,35.0,"2,477",5.0,3.0,2.0,210.0,0.0,0.0,,,,,37.0,"2,687",5.0,3.0,29.0,"2,477",27.5,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,4.4,4.4,2.3,6.7,56.0,89.0,113.0,0.18,0.11,0.29,0.18,0.29,0.16,0.08,0.24,0.16,0.24,64.0,40.0,30.0,27.0,7.0,33.0,60.0,55.0,27.0,39.0,6.0,33.0,27.0,91.0,42.0,0.0,701.0,888.0,78.9,9566.0,3597.0,434.0,497.0,87.3,221.0,265.0,83.4,16.0,34.0,47.1,3.0,2.3,1.3,0.7,28.0,49.0,21.0,3.0,89.0,888.0,768.0,118.0,14.0,0.0,0.0,17.0,102.0,2.0,0.0,0.0,0.0,701.0,2.0,33.0,58.0,301.0,585.0,377.0,62.0,1233.0,67.0,38.0,56.7,29.0,43.3,631.0,4232.0,2149.0,56.0,37.0,20.0,50.0,35.0,655.0,113.0,5.0,27.0,12.0,44.4,0.98,0.44,0.19,0.42,13.2,0.0,0.0,0.0,4.4,4.4,0.16,0.6,0.6,75.0,2.72,54.0,2.0,6.0,6.0,4.0,3.0,8.0,0.29,5.0,0.0,1.0,1.0,1.0,0.0,"2,477",71.0,72.4,27.5,29.0,80.0,16.0,6.0,26.0,1.0,1.23,50.0,39.0,11.0,0.4,1.16,40.2,35.1,5.1,0.19,0.77,4.0,0.0,0.0,36.0,34.0,4.0,17.0,27.0,40.0,0.0,0.0,0.0,156.0,27.0,28.0,49.1,"€ 5,385(£ 4,677, $5,901)","€ 280,000(£ 243,215, $306,874)",Estimación no verificada,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
2022-2023,19.0,Udinese,itITA,1.Serie A,33.0,"2,704",3.0,4.0,1.0,45.0,0.0,0.0,,,,,34.0,"2,749",3.0,4.0,31.0,"2,704",30.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,4.2,7.1,109.0,106.0,155.0,0.1,0.13,0.23,0.1,0.23,0.1,0.14,0.24,0.1,0.24,71.0,45.0,42.0,24.0,5.0,34.0,59.0,57.6,25.0,34.0,6.0,28.0,36.0,107.0,25.0,0.0,931.0,1127.0,82.6,13917.0,4753.0,523.0,589.0,88.8,348.0,410.0,84.9,37.0,51.0,72.5,4.0,4.2,2.2,-0.2,34.0,67.0,30.0,4.0,106.0,1127.0,966.0,160.0,23.0,1.0,2.0,29.0,133.0,4.0,0.0,0.0,0.0,931.0,1.0,40.0,67.0,346.0,652.0,545.0,76.0,1503.0,122.0,51.0,41.8,50.0,41.0,904.0,6569.0,3420.0,109.0,71.0,31.0,58.0,36.0,902.0,155.0,3.0,27.0,7.0,25.9,0.9,0.23,0.11,0.43,13.7,0.0,0.0,0.0,2.9,2.9,0.11,0.1,0.1,88.0,2.93,61.0,6.0,7.0,4.0,7.0,3.0,8.0,0.27,7.0,0.0,0.0,1.0,0.0,0.0,"2,704",82.0,79.1,30.0,31.0,86.0,20.0,2.0,22.0,0.0,1.33,35.0,33.0,2.0,0.07,0.44,39.0,39.7,-0.7,-0.02,0.51,5.0,0.0,0.0,37.0,58.0,5.0,29.0,36.0,45.0,0.0,2.0,0.0,175.0,17.0,15.0,53.1,"€ 5,385(£ 4,632, $5,888)","€ 280,000(£ 240,887, $306,169)",Estimación no verificada,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
2023-2024,20.0,Tottenham,engENG,1.Premier League,28.0,"2,391",2.0,3.0,2.0,180.0,0.0,0.0,,,,,30.0,"2,571",2.0,3.0,28.0,"2,391",26.6,2.0,3.0,5.0,2.0,0.0,0.0,7.0,1.0,2.4,2.4,2.2,4.6,83.0,155.0,138.0,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17,68.0,33.0,41.0,16.0,11.0,27.0,49.0,55.1,22.0,27.0,8.0,19.0,37.0,105.0,80.0,5.0,1235.0,1440.0,85.8,16731.0,5145.0,775.0,844.0,91.8,400.0,460.0,87.0,19.0,33.0,57.6,3.0,2.2,2.0,0.8,24.0,115.0,13.0,0.0,155.0,1440.0,1212.0,225.0,24.0,0.0,0.0,22.0,201.0,0.0,0.0,0.0,0.0,1235.0,3.0,42.0,96.0,487.0,815.0,506.0,71.0,1775.0,58.0,24.0,41.4,26.0,44.8,974.0,6108.0,3320.0,83.0,65.0,19.0,49.0,26.0,1028.0,138.0,2.0,9.0,5.0,55.6,0.34,0.19,0.22,0.4,10.1,0.0,0.0,0.0,2.4,2.4,0.27,-0.4,-0.4,57.0,2.15,51.0,0.0,4.0,2.0,0.0,0.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,"2,391",85.0,69.9,26.6,28.0,85.0,21.0,0.0,,0.0,1.93,56.0,40.0,16.0,0.6,0.86,48.3,42.4,5.9,0.22,0.32,7.0,1.0,1.0,51.0,36.0,3.0,22.0,37.0,33.0,0.0,0.0,0.0,169.0,22.0,26.0,45.8,"£ 75,000(€ 88,776, $95,403)","£ 3,900,000(€ 4,616,377, $4,960,950)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
2024-2025,21.0,Tottenham,engENG,1.Premier League,24.0,"1,834",0.0,1.0,2.0,122.0,0.0,0.0,6.0,498.0,0.0,0.0,32.0,"2,454",0.0,1.0,23.0,"1,834",20.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,74.0,47.0,41.0,26.0,7.0,33.0,47.0,70.2,14.0,40.0,6.0,34.0,21.0,95.0,35.0,1.0,947.0,1084.0,87.4,13710.0,4612.0,533.0,584.0,91.3,359.0,397.0,90.4,24.0,30.0,80.0,1.0,1.5,1.2,-0.5,16.0,88.0,6.0,1.0,120.0,1084.0,920.0,163.0,28.0,0.0,0.0,19.0,135.0,0.0,0.0,0.0,0.0,947.0,1.0,34.0,60.0,377.0,591.0,383.0,49.0,1336.0,32.0,13.0,40.6,16.0,50.0,735.0,4188.0,2290.0,54.0,39.0,12.0,32.0,19.0,796.0,93.0,0.0,5.0,1.0,20.0,0.25,0.05,0.0,0.0,15.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,35.0,1.72,31.0,0.0,0.0,1.0,1.0,2.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0,"1,834",76.0,59.9,20.4,23.0,80.0,13.0,1.0,4.0,4.0,1.17,35.0,31.0,4.0,0.2,0.05,32.4,31.0,1.4,0.07,0.22,2.0,0.0,0.0,29.0,38.0,2.0,19.0,21.0,47.0,0.0,0.0,1.0,109.0,13.0,13.0,50.0,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",,https://fbref.com/es/jugadores/7cd520e8/Destiny-Udogie
