Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,20.0,Watford,engENG,1.Premier League,38.0,"2,823",5.0,4.0,3.0,202.0,0.0,0.0,,,,,41.0,"3,025",5.0,4.0,32.0,"2,823",31.4,5.0,4.0,9.0,5.0,0.0,0.0,4.0,0.0,10.3,10.3,3.4,13.7,126.0,73.0,306.0,0.16,0.13,0.29,0.16,0.29,0.33,0.11,0.44,0.33,0.44,64.0,44.0,26.0,28.0,10.0,10.0,39.0,25.6,29.0,39.0,5.0,34.0,24.0,88.0,32.0,1.0,524.0,861.0,60.9,6835.0,1988.0,345.0,462.0,74.7,135.0,231.0,58.4,15.0,42.0,35.7,4.0,3.4,2.2,0.6,26.0,40.0,23.0,2.0,73.0,861.0,853.0,6.0,0.0,2.0,3.0,51.0,4.0,1.0,0.0,1.0,0.0,524.0,2.0,67.0,35.0,174.0,531.0,671.0,187.0,1359.0,99.0,47.0,47.5,52.0,52.5,912.0,5936.0,2968.0,126.0,74.0,68.0,117.0,80.0,1031.0,306.0,5.0,95.0,22.0,23.2,3.03,0.7,0.05,0.23,15.1,2.0,0.0,0.0,10.3,10.3,0.11,-5.3,-5.3,93.0,2.96,53.0,0.0,13.0,11.0,14.0,2.0,12.0,0.38,4.0,0.0,2.0,3.0,3.0,0.0,"2,823",74.0,82.5,31.4,32.0,,22.0,6.0,,0.0,1.08,31.0,54.0,-23.0,-0.73,-1.19,36.1,45.3,-9.2,-0.29,-0.65,4.0,0.0,0.0,37.0,95.0,21.0,51.0,24.0,44.0,2.0,0.0,0.0,138.0,119.0,158.0,43.0,"£ 25,000(€ 28,778, $31,545)","£ 1,300,000(€ 1,496,474, $1,640,345)",Estimación no verificada,https://fbref.com/es/jugadores/fa031b34/Richarlison
2018-2019,21.0,Everton,engENG,1.Premier League,35.0,"2,665",13.0,1.0,3.0,162.0,1.0,0.0,,,,,38.0,"2,827",14.0,1.0,32.0,"2,665",29.6,13.0,1.0,14.0,13.0,0.0,0.0,5.0,1.0,9.4,9.3,2.0,11.3,95.0,74.0,220.0,0.44,0.03,0.47,0.44,0.47,0.32,0.07,0.38,0.32,0.38,49.0,34.0,19.0,20.0,10.0,8.0,24.0,33.3,16.0,30.0,2.0,28.0,16.0,65.0,39.0,0.0,549.0,849.0,64.7,7504.0,1643.0,316.0,409.0,77.3,133.0,215.0,61.9,36.0,62.0,58.1,1.0,2.0,1.7,-1.0,21.0,40.0,24.0,2.0,74.0,849.0,833.0,12.0,4.0,4.0,8.0,47.0,5.0,0.0,0.0,0.0,0.0,549.0,4.0,46.0,37.0,157.0,492.0,680.0,147.0,1307.0,81.0,39.0,48.1,41.0,50.6,837.0,5310.0,2565.0,95.0,71.0,38.0,111.0,90.0,906.0,220.0,13.0,83.0,28.0,33.7,2.8,0.95,0.16,0.46,14.6,1.0,0.0,0.0,9.4,9.3,0.12,3.6,3.7,86.0,2.9,49.0,0.0,8.0,13.0,15.0,1.0,11.0,0.37,4.0,0.0,2.0,3.0,2.0,0.0,"2,665",76.0,77.9,29.6,32.0,81.0,15.0,3.0,24.0,0.0,1.49,38.0,34.0,4.0,0.14,-0.34,40.4,35.8,4.6,0.16,0.24,5.0,1.0,0.0,32.0,73.0,17.0,47.0,16.0,34.0,2.0,0.0,0.0,162.0,66.0,150.0,30.6,"£ 90,000(€ 103,602, $113,562)","£ 4,680,000(€ 5,387,307, $5,905,244)",Estimación no verificada,https://fbref.com/es/jugadores/fa031b34/Richarlison
2019-2020,22.0,Everton,engENG,1.Premier League,36.0,"3,070",13.0,3.0,5.0,419.0,2.0,1.0,,,,,41.0,"3,489",15.0,4.0,36.0,"3,070",34.1,13.0,3.0,16.0,13.0,0.0,0.0,8.0,0.0,9.1,9.1,6.7,15.7,95.0,93.0,222.0,0.38,0.09,0.47,0.38,0.47,0.27,0.2,0.46,0.27,0.46,70.0,47.0,28.0,28.0,14.0,27.0,56.0,48.2,29.0,34.0,4.0,30.0,12.0,82.0,42.0,0.0,533.0,853.0,62.5,7523.0,1907.0,285.0,388.0,73.5,172.0,250.0,68.8,24.0,56.0,42.9,3.0,6.7,3.7,-3.7,34.0,31.0,30.0,3.0,93.0,853.0,830.0,19.0,1.0,6.0,1.0,56.0,5.0,2.0,0.0,1.0,0.0,533.0,4.0,44.0,49.0,170.0,522.0,685.0,173.0,1344.0,111.0,61.0,55.0,50.0,45.0,855.0,5801.0,2545.0,95.0,68.0,44.0,92.0,74.0,938.0,222.0,13.0,90.0,32.0,35.6,2.64,0.94,0.14,0.41,14.8,0.0,0.0,0.0,9.1,9.1,0.1,3.9,3.9,93.0,2.73,53.0,0.0,9.0,11.0,18.0,2.0,9.0,0.26,5.0,0.0,1.0,1.0,2.0,0.0,"3,070",85.0,89.8,34.1,36.0,85.0,26.0,0.0,,0.0,1.31,39.0,51.0,-12.0,-0.35,-0.35,44.5,41.2,3.3,0.1,0.3,8.0,0.0,0.0,43.0,72.0,17.0,56.0,12.0,47.0,0.0,1.0,0.0,169.0,74.0,119.0,38.3,"£ 90,000(€ 103,602, $113,562)","£ 4,680,000(€ 5,387,307, $5,905,244)",Estimación no verificada,https://fbref.com/es/jugadores/fa031b34/Richarlison
2020-2021,23.0,Everton,engENG,1.Premier League,34.0,"2,861",7.0,3.0,6.0,475.0,6.0,0.0,,,,,40.0,"3,336",13.0,3.0,33.0,"2,861",31.8,7.0,3.0,10.0,6.0,1.0,1.0,4.0,1.0,9.7,8.8,3.3,12.1,113.0,58.0,195.0,0.22,0.09,0.31,0.19,0.28,0.31,0.1,0.41,0.28,0.38,50.0,32.0,21.0,22.0,7.0,16.0,51.0,31.4,35.0,28.0,3.0,25.0,14.0,64.0,36.0,1.0,526.0,791.0,66.5,7213.0,1435.0,311.0,390.0,79.7,158.0,231.0,68.4,23.0,45.0,51.1,3.0,3.3,2.3,-0.3,25.0,26.0,15.0,1.0,58.0,791.0,775.0,13.0,2.0,6.0,1.0,37.0,2.0,0.0,0.0,0.0,0.0,526.0,3.0,53.0,54.0,187.0,457.0,562.0,145.0,1178.0,102.0,61.0,59.8,41.0,40.2,752.0,5540.0,2840.0,113.0,72.0,40.0,70.0,56.0,846.0,195.0,7.0,80.0,31.0,38.8,2.52,0.98,0.08,0.19,15.1,1.0,1.0,1.0,9.7,8.8,0.11,-2.7,-2.8,89.0,2.8,55.0,0.0,10.0,6.0,18.0,0.0,8.0,0.25,4.0,0.0,2.0,1.0,1.0,0.0,"2,861",84.0,83.7,31.8,33.0,86.0,21.0,1.0,15.0,0.0,1.65,40.0,38.0,2.0,0.06,0.55,39.9,40.6,-0.7,-0.02,0.58,4.0,1.0,0.0,33.0,73.0,25.0,37.0,14.0,32.0,1.0,0.0,0.0,164.0,39.0,73.0,34.8,"£ 90,000(€ 103,602, $113,562)","£ 4,680,000(€ 5,387,307, $5,905,244)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
2021-2022,24.0,Everton,engENG,1.Premier League,30.0,"2,523",10.0,5.0,3.0,222.0,1.0,0.0,,,,,33.0,"2,745",11.0,5.0,28.0,"2,523",28.0,10.0,5.0,15.0,7.0,3.0,3.0,9.0,0.0,9.2,6.8,3.6,10.4,44.0,42.0,146.0,0.36,0.18,0.54,0.25,0.43,0.33,0.13,0.46,0.24,0.37,40.0,23.0,18.0,15.0,7.0,15.0,31.0,48.4,16.0,42.0,4.0,38.0,12.0,52.0,34.0,0.0,339.0,568.0,59.7,4539.0,967.0,192.0,278.0,69.1,96.0,141.0,68.1,15.0,41.0,36.6,5.0,3.6,2.1,1.4,29.0,21.0,13.0,1.0,42.0,568.0,556.0,8.0,1.0,3.0,3.0,38.0,2.0,0.0,0.0,0.0,0.0,339.0,4.0,29.0,37.0,137.0,347.0,536.0,135.0,996.0,82.0,40.0,48.8,41.0,50.0,576.0,3374.0,1271.0,44.0,26.0,16.0,93.0,54.0,658.0,146.0,10.0,69.0,20.0,29.0,2.46,0.71,0.1,0.35,16.4,2.0,3.0,3.0,9.2,6.8,0.1,0.8,0.2,69.0,2.46,45.0,0.0,3.0,9.0,11.0,1.0,9.0,0.32,5.0,0.0,0.0,3.0,1.0,0.0,"2,523",84.0,73.8,28.0,28.0,88.0,21.0,2.0,34.0,0.0,1.13,33.0,46.0,-13.0,-0.46,0.54,29.6,38.5,-8.9,-0.32,0.21,9.0,0.0,0.0,36.0,68.0,21.0,38.0,12.0,23.0,1.0,0.0,0.0,114.0,66.0,155.0,29.9,"£ 90,000(€ 103,602, $113,562)","£ 4,680,000(€ 5,387,307, $5,905,244)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
2022-2023,25.0,Tottenham,engENG,1.Premier League,27.0,"1,010",1.0,3.0,2.0,96.0,0.0,0.0,6.0,365.0,2.0,0.0,35.0,"1,471",3.0,3.0,12.0,"1,010",11.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.3,3.3,2.2,5.5,33.0,28.0,75.0,0.09,0.27,0.36,0.09,0.36,0.29,0.19,0.49,0.29,0.49,21.0,16.0,13.0,5.0,3.0,12.0,27.0,44.4,15.0,14.0,1.0,13.0,5.0,26.0,10.0,0.0,196.0,279.0,70.3,2927.0,700.0,109.0,145.0,75.2,60.0,82.0,73.2,13.0,18.0,72.2,3.0,2.2,1.5,0.8,16.0,16.0,10.0,3.0,28.0,279.0,270.0,9.0,0.0,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,13.0,11.0,78.0,172.0,200.0,62.0,441.0,34.0,12.0,35.3,18.0,52.9,260.0,1598.0,783.0,33.0,19.0,13.0,40.0,18.0,306.0,75.0,1.0,27.0,14.0,51.9,2.41,1.25,0.04,0.07,12.6,0.0,0.0,0.0,3.3,3.3,0.12,-2.3,-2.3,35.0,3.12,22.0,0.0,1.0,4.0,8.0,0.0,5.0,0.45,3.0,0.0,0.0,0.0,2.0,0.0,"1,010",37.0,29.5,11.2,12.0,65.0,1.0,15.0,15.0,2.0,1.59,22.0,18.0,4.0,0.36,0.24,18.2,15.3,2.9,0.25,0.08,3.0,0.0,0.0,14.0,22.0,9.0,16.0,5.0,16.0,2.0,0.0,0.0,52.0,18.0,29.0,38.3,"£ 90,000(€ 104,613, $114,391)","£ 4,680,000(€ 5,439,897, $5,948,314)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
2023-2024,26.0,Tottenham,engENG,1.Premier League,28.0,"1,491",11.0,4.0,3.0,243.0,1.0,0.0,,,,,31.0,"1,734",12.0,4.0,18.0,"1,491",16.6,11.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,9.6,9.6,2.1,11.7,26.0,38.0,106.0,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7,16.0,11.0,4.0,8.0,4.0,2.0,10.0,20.0,8.0,32.0,6.0,26.0,8.0,24.0,23.0,0.0,267.0,392.0,68.1,3761.0,956.0,153.0,193.0,79.3,85.0,119.0,71.4,10.0,15.0,66.7,4.0,2.1,1.4,1.9,15.0,21.0,13.0,1.0,38.0,392.0,360.0,29.0,3.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,267.0,3.0,25.0,33.0,88.0,248.0,322.0,121.0,652.0,37.0,10.0,27.0,23.0,62.2,394.0,1656.0,712.0,26.0,11.0,17.0,53.0,40.0,459.0,106.0,11.0,62.0,25.0,40.3,3.74,1.51,0.18,0.44,12.9,0.0,0.0,0.0,9.6,9.6,0.15,1.4,1.4,34.0,2.05,23.0,0.0,3.0,5.0,2.0,1.0,5.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,"1,491",53.0,43.6,16.6,18.0,74.0,6.0,10.0,15.0,1.0,1.82,37.0,18.0,19.0,1.15,1.43,30.2,25.6,4.5,0.27,0.26,3.0,0.0,0.0,20.0,30.0,12.0,14.0,8.0,11.0,0.0,0.0,0.0,42.0,25.0,57.0,30.5,"£ 90,000(€ 106,532, $114,483)","£ 4,680,000(€ 5,539,652, $5,953,140)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
2024-2025,27.0,Tottenham,engENG,1.Premier League,12.0,408,4.0,1.0,2.0,66.0,0.0,0.0,4.0,201.0,1.0,0.0,18.0,675,5.0,1.0,3.0,408,4.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.6,3.6,0.9,4.5,8.0,10.0,19.0,0.88,0.22,1.1,0.88,1.1,0.78,0.2,0.98,0.78,0.98,4.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,8.0,0.0,56.0,86.0,65.1,869.0,272.0,29.0,38.0,76.3,17.0,29.0,58.6,6.0,8.0,75.0,1.0,0.9,0.6,0.1,4.0,7.0,4.0,2.0,10.0,86.0,82.0,4.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,8.0,19.0,68.0,58.0,26.0,144.0,13.0,1.0,7.7,11.0,84.6,72.0,350.0,142.0,8.0,8.0,3.0,7.0,7.0,101.0,19.0,4.0,15.0,7.0,46.7,3.31,1.54,0.27,0.57,8.4,0.0,0.0,0.0,3.6,3.6,0.24,0.4,0.4,8.0,1.76,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,408,34.0,13.3,4.5,3.0,74.0,1.0,9.0,21.0,1.0,1.08,10.0,6.0,4.0,0.88,0.81,7.6,5.8,1.8,0.39,0.47,2.0,0.0,0.0,6.0,9.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,17.0,32.0,"£ 90,000(€ 104,703, $118,915)","£ 4,680,000(€ 5,444,534, $6,183,602)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 90,000(€ 104,703, $118,915)","£ 4,680,000(€ 5,444,534, $6,183,602)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£ 90,000(€ 104,703, $118,915)","£ 4,680,000(€ 5,444,534, $6,183,602)",,https://fbref.com/es/jugadores/fa031b34/Richarlison
