Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Max Kilman,engENG,DF,27-341,34,34,"2,988",33.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.4,1.4,1.2,2.6,29.0,106.0,6.0,0.0,0.03,0.03,0.0,0.03,0.04,0.04,0.08,0.04,0.08,Partidos,28.0,0.84,26.0,0.0,2.0,0.0,0.0,0.0,3.0,0.09,2.0,0.0,1.0,0.0,0.0,0.0,30.0,17.0,13.0,14.0,3.0,19.0,23.0,82.6,4.0,55.0,37.0,18.0,37.0,67.0,191.0,4.0,1511.0,1738.0,86.9,29227.0,9852.0,482.0,523.0,92.2,882.0,950.0,92.8,139.0,238.0,58.4,1.2,-0.2,16.0,100.0,4.0,0.0,1701.0,34.0,23.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,18.2,0.33,0.06,0.0,0.0,8.4,0.13,-1.4,-1.4,2113.0,30.0,14.0,70.0,2.0,10.0,1119.0,2.0,16.0,2.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,97.6,88.0,33,0,,0,1.06,38.0,58.0,-20.0,-0.6,-1.85,41.0,53.3,-12.3,-0.37,-0.82,0.0,17.0,12.0,17.0,0.0,0.0,135.0,67.8,/es/jugadores/d0f72bf1/Max-Kilman
Aaron Wan-Bissaka,engENG,DF,27-154,32,31,"2,794",31.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,2.9,4.0,98.0,125.0,139.0,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Partidos,83.0,2.67,66.0,4.0,7.0,3.0,1.0,2.0,7.0,0.23,6.0,0.0,0.0,1.0,0.0,0.0,61.0,43.0,29.0,27.0,5.0,19.0,26.0,73.1,7.0,31.0,9.0,22.0,59.0,120.0,115.0,0.0,1277.0,1575.0,81.1,18273.0,6722.0,812.0,902.0,90.0,401.0,489.0,82.0,46.0,97.0,47.4,2.4,-0.9,29.0,89.0,30.0,11.0,1360.0,211.0,10.0,4.0,1.0,64.0,201.0,0.0,0.0,0.0,0.0,4.0,5.0,33.3,0.48,0.16,0.13,0.4,15.3,0.08,0.8,0.8,1960.0,40.0,54.0,53.5,35.0,34.7,933.0,12.0,28.0,21.0,1135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,91.3,89.0,29,1,29.0,1,1.09,37.0,55.0,-18.0,-0.58,-0.24,37.5,50.6,-13.1,-0.42,-0.82,0.0,22.0,24.0,43.0,0.0,0.0,155.0,43.1,/es/jugadores/9e525177/Aaron-Wan-Bissaka
Jarrod Bowen,engENG,"DL,CC",28-130,30,30,"2,631",29.2,9.0,7.0,16.0,8.0,1.0,1.0,1.0,0.0,7.4,6.7,6.3,13.1,97.0,85.0,183.0,0.31,0.24,0.55,0.27,0.51,0.25,0.22,0.47,0.23,0.45,Partidos,102.0,3.49,62.0,13.0,5.0,12.0,8.0,2.0,13.0,0.44,9.0,2.0,1.0,1.0,0.0,0.0,36.0,23.0,13.0,9.0,14.0,17.0,37.0,45.9,20.0,21.0,3.0,18.0,16.0,52.0,23.0,0.0,510.0,710.0,71.8,8497.0,2506.0,271.0,323.0,83.9,175.0,229.0,76.4,49.0,89.0,55.1,6.2,0.7,49.0,37.0,42.0,7.0,622.0,82.0,5.0,7.0,4.0,100.0,2.0,44.0,28.0,15.0,0.0,6.0,30.0,40.0,2.57,1.03,0.11,0.27,17.8,0.09,1.6,1.3,1098.0,150.0,40.0,34.8,65.0,56.5,651.0,55.0,67.0,68.0,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,86.0,88.0,24,0,,0,1.07,34.0,46.0,-12.0,-0.41,1.06,37.0,46.4,-9.4,-0.32,0.21,0.0,18.0,47.0,23.0,0.0,0.0,120.0,20.0,/es/jugadores/79c84d1c/Jarrod-Bowen
Mohammed Kudus,ghGHA,"DL,CC",24-270,28,28,"2,331",25.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,1.0,6.5,6.5,2.3,8.8,88.0,74.0,194.0,0.15,0.08,0.23,0.15,0.23,0.25,0.09,0.34,0.25,0.34,Partidos,95.0,3.67,68.0,1.0,14.0,9.0,1.0,2.0,6.0,0.23,4.0,0.0,1.0,1.0,0.0,0.0,33.0,19.0,7.0,16.0,10.0,10.0,27.0,37.0,17.0,23.0,1.0,22.0,4.0,37.0,8.0,2.0,640.0,766.0,83.6,10429.0,1669.0,342.0,380.0,90.0,233.0,261.0,89.3,50.0,73.0,68.5,2.5,-0.3,27.0,42.0,26.0,12.0,752.0,12.0,4.0,2.0,10.0,70.0,3.0,1.0,0.0,0.0,0.0,2.0,20.0,29.9,2.59,0.77,0.06,0.2,15.6,0.1,-2.5,-2.5,1141.0,115.0,84.0,44.7,87.0,46.3,748.0,39.0,66.0,88.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,76.2,83.0,13,0,,0,1.04,29.0,43.0,-14.0,-0.54,0.08,31.0,39.3,-8.3,-0.32,0.11,0.0,35.0,58.0,19.0,0.0,0.0,125.0,22.2,/es/jugadores/b62878a5/Mohammed-Kudus
Lucas Paquetá,brBRA,"CC,DL",27-245,30,26,"2,257",25.1,4.0,0.0,4.0,2.0,2.0,2.0,8.0,0.0,5.2,3.6,3.0,6.6,20.0,140.0,82.0,0.16,0.0,0.16,0.08,0.08,0.21,0.12,0.33,0.14,0.27,Partidos,78.0,3.11,64.0,2.0,2.0,4.0,5.0,1.0,6.0,0.24,3.0,0.0,0.0,2.0,1.0,0.0,63.0,35.0,23.0,29.0,11.0,24.0,49.0,49.0,25.0,27.0,4.0,23.0,17.0,80.0,34.0,6.0,1047.0,1353.0,77.4,17297.0,5517.0,552.0,657.0,84.0,363.0,458.0,79.3,108.0,170.0,63.5,3.2,-3.0,35.0,121.0,41.0,4.0,1267.0,78.0,34.0,18.0,11.0,28.0,12.0,4.0,1.0,3.0,0.0,8.0,3.0,7.9,1.52,0.12,0.05,0.67,19.6,0.09,-1.2,-1.6,1672.0,56.0,17.0,40.5,20.0,47.6,862.0,2.0,51.0,50.0,1181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,73.8,82.0,16,4,32.0,0,0.9,31.0,48.0,-17.0,-0.68,-0.45,27.5,41.4,-13.8,-0.55,-0.77,0.0,49.0,57.0,35.0,0.0,1.0,140.0,45.2,/es/jugadores/9b6f7fd5/Lucas-Paqueta
Tomáš Souček,czCZE,CC,30-061,31,26,"2,251",25.0,8.0,1.0,9.0,8.0,0.0,0.0,8.0,0.0,5.9,5.9,1.0,7.0,6.0,68.0,62.0,0.32,0.04,0.36,0.32,0.36,0.24,0.04,0.28,0.24,0.28,Partidos,43.0,1.72,35.0,0.0,0.0,5.0,2.0,1.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,40.0,19.0,19.0,18.0,3.0,20.0,37.0,54.1,17.0,34.0,17.0,17.0,18.0,58.0,74.0,1.0,623.0,844.0,73.8,10461.0,2887.0,310.0,392.0,79.1,236.0,307.0,76.9,60.0,86.0,69.8,1.2,0.0,14.0,58.0,8.0,1.0,825.0,17.0,14.0,0.0,10.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,28.0,2.0,0.56,0.16,0.57,11.2,0.12,2.1,2.1,1115.0,96.0,6.0,54.5,5.0,45.5,433.0,3.0,17.0,10.0,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,73.6,81.0,18,5,27.0,1,1.16,32.0,41.0,-9.0,-0.36,0.75,33.7,38.3,-4.6,-0.18,0.63,0.0,41.0,24.0,19.0,1.0,0.0,52.0,58.1,/es/jugadores/6613c819/Tomas-Soucek
Emerson Palmieri,itITA,DF,30-269,29,25,"2,015",22.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,44.0,64.0,82.0,0.09,0.04,0.13,0.09,0.13,0.09,0.07,0.15,0.09,0.15,Partidos,41.0,1.83,25.0,11.0,0.0,2.0,2.0,1.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,57.0,29.0,35.0,18.0,4.0,25.0,44.0,56.8,19.0,32.0,8.0,24.0,20.0,77.0,58.0,0.0,827.0,1035.0,79.9,12096.0,4432.0,493.0,549.0,89.8,272.0,335.0,81.2,42.0,99.0,42.4,2.2,-0.5,16.0,49.0,13.0,5.0,847.0,183.0,20.0,1.0,2.0,63.0,138.0,25.0,7.0,15.0,0.0,5.0,7.0,43.8,0.71,0.31,0.13,0.29,19.0,0.12,0.0,0.0,1277.0,27.0,10.0,33.3,17.0,56.7,533.0,8.0,24.0,7.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,65.8,76.0,6,4,28.0,3,1.1,31.0,40.0,-9.0,-0.4,0.46,26.8,35.8,-9.1,-0.4,-0.16,0.0,24.0,13.0,29.0,0.0,0.0,84.0,47.1,/es/jugadores/e0bc6fdc/Emerson-Palmieri
Alphonse Areola,frFRA,PO,32-061,23,22,"1,990",22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,3.0,0.14,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,615.0,873.0,70.4,16400.0,11166.0,133.0,134.0,99.3,299.0,314.0,95.2,180.0,415.0,43.4,0.0,0.0,0.0,9.0,0.0,0.0,628.0,241.0,65.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,,,,,0.0,0.0,927.0,0.0,0.0,,0.0,,530.0,0.0,0.0,0.0,481.0,38.0,1.72,103.0,68.0,63.1,4.0,6.0,12.0,4.0,18.2,0.0,0.0,0.0,0.0,,0.0,5.0,31.2,0.31,-3.8,-0.17,693.0,108.0,33.8,31.8,58.0,43.0,343.0,12.0,3.5,27.0,1.22,14.8,87.0,65.0,88.0,21,1,55.0,7,0.91,25.0,38.0,-13.0,-0.59,-0.08,26.4,32.5,-6.0,-0.27,0.22,0.0,0.0,0.0,2.0,0.0,0.0,27.0,100.0,/es/jugadores/2f965a72/Alphonse-Areola
Konstantinos Mavropanos,grGRE,DF,27-139,30,20,"1,944",21.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,1.5,0.5,2.0,16.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Partidos,16.0,0.74,12.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,22.0,9.0,1.0,14.0,25.0,56.0,11.0,23.0,17.0,6.0,38.0,70.0,117.0,1.0,1010.0,1176.0,85.9,19926.0,6819.0,321.0,352.0,91.2,586.0,635.0,92.3,97.0,166.0,58.4,0.4,-0.5,5.0,60.0,4.0,1.0,1114.0,58.0,39.0,1.0,22.0,2.0,15.0,0.0,0.0,0.0,0.0,4.0,5.0,27.8,0.83,0.23,0.0,0.0,14.8,0.09,-1.5,-1.5,1428.0,24.0,9.0,52.9,5.0,29.4,792.0,1.0,12.0,0.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,63.5,85.0,16,10,25.0,2,1.03,19.0,37.0,-18.0,-0.83,-0.75,24.3,35.5,-11.2,-0.52,-0.46,1.0,17.0,14.0,22.0,0.0,0.0,67.0,70.0,/es/jugadores/00963611/Konstantinos-Mavropanos
Edson Álvarez,mxMEX,CC,27-187,25,19,"1,633",18.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.3,0.3,0.8,1.1,21.0,75.0,18.0,0.0,0.06,0.06,0.0,0.06,0.02,0.04,0.06,0.02,0.06,Partidos,25.0,1.38,21.0,0.0,2.0,1.0,1.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,44.0,23.0,24.0,12.0,8.0,15.0,33.0,45.5,18.0,21.0,8.0,13.0,16.0,60.0,39.0,1.0,763.0,890.0,85.7,12894.0,3657.0,372.0,419.0,88.8,322.0,359.0,89.7,61.0,83.0,73.5,0.8,0.2,11.0,80.0,11.0,3.0,868.0,15.0,11.0,3.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,9.1,0.61,0.06,0.0,0.0,26.7,0.03,-0.3,-0.3,1101.0,12.0,14.0,45.2,12.0,38.7,603.0,2.0,25.0,13.0,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,53.4,75.0,4,6,33.0,2,1.16,16.0,27.0,-11.0,-0.61,-0.1,21.5,27.2,-5.6,-0.31,0.09,1.0,37.0,18.0,23.0,0.0,0.0,78.0,58.3,/es/jugadores/8b3ab7ad/Edson-Alvarez
