Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,19,Hellas Verona,itITA,2.Serie B,30,"2,307",2,3,,,,,,,,,30,"2,307",2,3,26,"2,307",25.6,2,3,5,2,0,0,2,0,,,,,,,,0.08,0.12,0.2,0.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,,,0.51,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,307",77,61.0,25.6,26,,,4,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 7,885(£ 6,849, $8,641)","€ 410,000(£ 356,136, $449,351)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2012-2013,20,Hellas Verona,itITA,2.Serie B,41,"3,578",2,2,,,,,,,,,41,"3,578",2,2,40,"3,578",39.8,2,2,4,2,0,0,4,1,,,,,,,,0.05,0.05,0.1,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,0.18,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,578",87,94.7,39.8,40,,,1,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,"€ 7,885(£ 6,849, $8,641)","€ 410,000(£ 356,136, $449,351)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2013-2014,21,Hellas Verona,itITA,1.Serie A,18,"1,608",7,3,,,,,,,,,18,"1,608",7,3,18,"1,608",17.9,7,3,10,2,5,5,3,0,,,,,,,,0.39,0.17,0.56,0.11,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,0.56,,0.2,,,5,5,,,,,,,,,,,,,,,,,,,,,,"1,608",89,47.0,17.9,18,,16.0,0,,,,,,,,,,,,,,3,0,,19.0,,,,,,,,,,,,,"€ 16,731(£ 14,533, $18,337)","€ 870,000(£ 755,703, $953,501)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2013-2014,21,Napoli,itITA,1.Serie A,15,"1,119",0,1,,,,,,,,,15,"1,119",0,1,12,"1,119",12.4,0,1,1,0,0,0,4,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.16,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,119",75,32.7,12.4,12,,9.0,3,,,,,,,,,,,,,,4,0,,15.0,,,,,,,,,,,,,"€ 15,962(£ 13,865, $17,494)","€ 830,000(£ 720,958, $909,662)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2014-2015,22,Napoli,itITA,1.Serie A,23,"1,285",0,0,2.0,143.0,1.0,0.0,6.0,512,0.0,0.0,31,"1,940",1,0,14,"1,285",14.3,0,0,0,0,0,0,5,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.21,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,285",56,37.6,14.3,14,,9.0,9,,11.0,2.0,28.0,21.0,7.0,0.49,0.11,,,,,,5,0,,30.0,,,,,,,,,,,,,"€ 54,423(£ 47,273, $59,647)","€ 2,830,000(£ 2,458,208, $3,101,618)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2015-2016,23,Napoli,itITA,1.Serie A,35,"2,915",0,4,1.0,25.0,0.0,0.0,2.0,105,0.0,2.0,38,"3,045",0,6,32,"2,915",32.4,0,4,4,0,0,0,12,1,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,915",83,85.2,32.4,32,,28.0,3,,1.0,2.17,71.0,25.0,46.0,1.42,1.06,,,,,,12,1,1.0,54.0,,,,,,,,,,,,,"€ 56,346(£ 48,944, $61,754)","€ 2,930,000(£ 2,545,070, $3,211,216)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2016-2017,24,Napoli,itITA,1.Serie A,27,"2,134",0,3,,,,,4.0,329,0.0,0.0,31,"2,463",0,3,27,"2,134",23.7,0,3,3,0,0,0,3,0,,,,,,,,0.0,0.13,0.13,0.0,0.13,,,,,,,49.0,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22.0,6,27.3,0.93,0.25,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,134",79,62.4,23.7,27,,13.0,0,,10.0,2.41,62.0,19.0,43.0,1.81,0.97,,,,,,3,0,0.0,29.0,26.0,0.0,13.0,56.0,49.0,0.0,0.0,0.0,,,,,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2017-2018,25,Napoli,itITA,1.Serie A,33,"2,650",2,3,1.0,90.0,0.0,0.0,3.0,170,1.0,1.0,37,"2,910",3,4,33,"2,650",29.4,2,3,5,1,1,2,5,0,2.1,0.4,4.1,4.6,36.0,398.0,32.0,0.07,0.1,0.17,0.03,0.14,0.07,0.14,0.21,0.01,0.16,62.0,46.0,14.0,39.0,9.0,15.0,68.0,22.1,53.0,32.0,3.0,29.0,50.0,112.0,12.0,2.0,2863.0,3229.0,88.7,39648.0,13882.0,1801.0,1913.0,94.1,830.0,960.0,86.5,123.0,192.0,64.1,3,4.1,3.7,-1.1,49.0,450.0,46.0,0.0,398.0,3229.0,3144.0,73.0,73.0,18.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,2863.0,12.0,20.0,42.0,429.0,2496.0,548.0,5.0,3454.0,18.0,12.0,66.7,6.0,33.3,2003.0,6653.0,3685.0,36.0,47.0,1.0,29.0,22.0,2846.0,32.0,2,15.0,3,20.0,0.51,0.1,0.07,0.33,25.4,0.0,1,2,2.1,0.4,0.03,-0.1,0.6,100.0,3.4,92.0,5.0,0.0,1.0,0.0,2.0,12.0,0.41,10.0,1.0,0.0,1.0,0.0,0.0,"2,650",80,77.5,29.4,33,,18.0,0,,4.0,2.3,56.0,17.0,39.0,1.32,0.27,50.8,18.0,32.8,1.11,0.26,5,0,0.0,32.0,19.0,0.0,20.0,50.0,46.0,0.0,0.0,0.0,255.0,15.0,24.0,38.5,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",Estimación no verificada,https://fbref.com/es/jugadores/45db685d/Jorginho
2018-2019,26,Chelsea,engENG,1.Premier League,37,"3,156",2,0,6.0,517.0,0.0,0.0,11.0,740,0.0,0.0,54,"4,413",2,0,37,"3,156",35.1,2,0,2,1,1,1,8,0,1.4,0.6,3.2,3.8,30.0,323.0,46.0,0.06,0.0,0.06,0.03,0.03,0.04,0.09,0.13,0.02,0.11,76.0,38.0,27.0,41.0,8.0,45.0,96.0,46.9,51.0,46.0,7.0,39.0,64.0,140.0,38.0,1.0,2785.0,3133.0,88.9,40201.0,13193.0,1611.0,1729.0,93.2,898.0,1005.0,89.4,153.0,204.0,75.0,0,3.2,5.2,-3.2,29.0,336.0,44.0,1.0,323.0,3133.0,3071.0,50.0,49.0,34.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,2785.0,12.0,31.0,106.0,724.0,2109.0,636.0,4.0,3450.0,27.0,15.0,55.6,12.0,44.4,1921.0,7795.0,4278.0,30.0,72.0,0.0,32.0,31.0,2697.0,46.0,2,18.0,6,33.3,0.51,0.17,0.06,0.17,26.2,0.0,1,1,1.4,0.6,0.03,0.6,0.4,73.0,2.08,70.0,0.0,0.0,0.0,1.0,2.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,"3,156",85,92.3,35.1,37,85.0,28.0,0,,1.0,1.95,57.0,37.0,20.0,0.57,-0.79,52.8,34.6,18.2,0.52,-0.86,8,0,0.0,33.0,22.0,0.0,2.0,64.0,38.0,0.0,0.0,0.0,274.0,12.0,21.0,36.4,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",,https://fbref.com/es/jugadores/45db685d/Jorginho
2019-2020,27,Chelsea,engENG,1.Premier League,31,"2,379",4,2,5.0,400.0,0.0,0.0,8.0,731,3.0,0.0,44,"3,510",7,2,27,"2,379",26.4,4,2,6,1,3,3,10,0,3.2,0.9,2.8,3.7,24.0,218.0,29.0,0.15,0.08,0.23,0.04,0.11,0.12,0.11,0.23,0.03,0.14,66.0,40.0,24.0,34.0,8.0,35.0,91.0,38.5,56.0,30.0,5.0,25.0,64.0,130.0,27.0,2.0,2000.0,2277.0,87.8,32957.0,9262.0,990.0,1069.0,92.6,740.0,833.0,88.8,190.0,253.0,75.1,2,2.8,2.4,-0.8,23.0,248.0,27.0,1.0,218.0,2277.0,2219.0,52.0,48.0,16.0,18.0,10.0,4.0,0.0,0.0,0.0,0.0,2000.0,6.0,20.0,79.0,527.0,1663.0,356.0,10.0,2528.0,21.0,13.0,61.9,8.0,38.1,1580.0,6854.0,3243.0,24.0,34.0,2.0,19.0,22.0,1832.0,29.0,4,9.0,1,11.1,0.34,0.04,0.11,1.0,24.7,0.0,3,3,3.2,0.9,0.1,0.8,0.1,81.0,3.06,74.0,0.0,0.0,1.0,3.0,3.0,8.0,0.3,6.0,0.0,0.0,0.0,1.0,1.0,"2,379",77,69.6,26.4,27,85.0,19.0,4,23.0,4.0,1.65,45.0,40.0,5.0,0.19,-0.68,48.0,27.0,21.0,0.79,-0.04,10,0,0.0,27.0,30.0,0.0,10.0,64.0,40.0,0.0,1.0,0.0,247.0,14.0,38.0,26.9,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",,https://fbref.com/es/jugadores/45db685d/Jorginho
