Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,20,Mallorca,esESP,2.La Liga 2,37,"2,968",5,2,,,,,,,,,37,"2,968",5,2,35,"2,968",33.0,5,2,7,5,0,0,13,2,,,,,,,,0.15,0.06,0.21,0.15,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,,0.3,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,968",80,78.5,33.0,35,,,2,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,"€ 47,654(£ 39,958, $48,565)","€ 2,478,000(£ 2,077,824, $2,525,359)",Estimación no verificada,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2014-2015,21,Almería,esESP,1.La Liga,31,"2,361",4,0,1.0,90.0,0.0,0.0,,,,,32,"2,451",4,0,28,"2,361",26.2,4,0,4,4,0,0,13,0,,,,,,,,0.15,0.0,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,,0.34,,0.44,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,361",76,69.0,26.2,28,,22.0,3,,2.0,0.94,27.0,46.0,-19.0,-0.72,0.13,,,,,,13,0,,46.0,,,,,,,,,,,,,"€ 47,692(£ 41,427, $52,270)","€ 2,480,000(£ 2,154,189, $2,718,026)",Estimación no verificada,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2015-2016,22,Atlético Madrid,esESP,1.La Liga,13,441,2,1,5.0,371.0,1.0,0.0,5.0,47.0,0.0,0.0,23,859,3,1,3,441,4.9,2,1,3,2,0,0,3,0,,,,,,,,0.41,0.2,0.61,0.41,0.61,,,,,,,14.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.0,3,33.3,1.84,0.61,0.22,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,441,34,12.9,4.9,3,70.0,1.0,10,23.0,8.0,2.31,11.0,4.0,7.0,1.43,0.28,,,,,,3,0,0.0,11.0,7.0,1.0,8.0,15.0,14.0,0.0,0.0,0.0,,,,,"£ 200,000(€ 230,227, $252,361)","£ 10,400,000(€ 11,971,793, $13,122,764)",,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2016-2017,23,Atlético Madrid,esESP,1.La Liga,16,636,1,2,2.0,180.0,0.0,0.0,6.0,179.0,0.0,0.0,24,995,1,2,6,636,7.1,1,2,3,1,0,0,5,0,,,,,,,,0.14,0.28,0.42,0.14,0.42,,,,,,,16.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.0,3,37.5,1.13,0.42,0.13,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,636,40,18.6,7.1,6,76.0,4.0,10,18.0,9.0,2.31,18.0,3.0,15.0,2.12,1.22,,,,,,5,0,0.0,20.0,5.0,0.0,6.0,19.0,16.0,0.0,0.0,0.0,,,,,"£ 200,000(€ 230,227, $252,361)","£ 10,400,000(€ 11,971,793, $13,122,764)",,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2017-2018,24,Atlético Madrid,esESP,1.La Liga,33,"2,377",3,0,3.0,150.0,1.0,0.0,14.0,912.0,1.0,0.0,50,"3,439",5,0,28,"2,377",26.4,3,0,3,3,0,0,6,0,1.6,1.6,0.6,2.2,35.0,134.0,40.0,0.11,0.0,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08,94.0,64.0,48.0,39.0,7.0,33.0,69.0,47.8,36.0,32.0,7.0,25.0,53.0,147.0,34.0,1.0,1182.0,1437.0,82.3,20409.0,6530.0,577.0,649.0,88.9,429.0,506.0,84.8,135.0,195.0,69.2,0,0.6,1.6,-0.6,12.0,111.0,19.0,2.0,134.0,1437.0,1378.0,52.0,11.0,5.0,17.0,20.0,32.0,5.0,1.0,3.0,1.0,1182.0,7.0,27.0,64.0,463.0,994.0,309.0,16.0,1734.0,53.0,45.0,84.9,8.0,15.1,1038.0,5528.0,2788.0,35.0,31.0,3.0,33.0,24.0,1080.0,40.0,3,22.0,3,13.6,0.83,0.11,0.14,1.0,25.7,4.0,0,0,1.6,1.6,0.07,1.4,1.4,38.0,1.44,31.0,1.0,3.0,1.0,2.0,0.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,"2,377",72,69.5,26.4,28,81.0,18.0,5,20.0,2.0,2.06,35.0,13.0,22.0,0.83,-0.38,35.1,25.6,9.4,0.36,-0.07,6,0,0.0,40.0,35.0,0.0,20.0,53.0,64.0,0.0,0.0,0.0,216.0,51.0,37.0,58.0,"£ 200,000(€ 232,474, $254,201)","£ 10,400,000(€ 12,088,660, $13,218,475)",,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2018-2019,25,Atlético Madrid,esESP,1.La Liga,32,"2,070",3,4,3.0,212.0,0.0,0.0,7.0,446.0,0.0,2.0,42,"2,728",3,6,22,"2,070",23.0,3,4,7,3,0,0,9,1,1.5,1.5,1.3,2.8,36.0,147.0,27.0,0.13,0.17,0.3,0.13,0.3,0.06,0.06,0.12,0.06,0.12,66.0,42.0,32.0,25.0,9.0,21.0,49.0,42.9,28.0,26.0,5.0,21.0,49.0,115.0,22.0,2.0,1133.0,1381.0,82.0,19019.0,6337.0,570.0,646.0,88.2,396.0,458.0,86.5,126.0,195.0,64.6,4,1.3,2.1,2.7,19.0,121.0,19.0,1.0,147.0,1381.0,1308.0,64.0,25.0,8.0,14.0,27.0,18.0,17.0,9.0,8.0,0.0,1133.0,9.0,14.0,38.0,312.0,976.0,354.0,13.0,1626.0,42.0,36.0,85.7,6.0,14.3,985.0,4888.0,2567.0,36.0,39.0,3.0,30.0,19.0,1119.0,27.0,3,36.0,7,19.4,1.57,0.3,0.08,0.43,25.3,2.0,0,0,1.5,1.5,0.04,1.5,1.5,61.0,2.65,46.0,7.0,3.0,2.0,3.0,0.0,10.0,0.43,6.0,1.0,2.0,0.0,1.0,0.0,"2,070",65,60.5,23.0,22,82.0,16.0,10,27.0,4.0,2.03,33.0,21.0,12.0,0.52,-0.41,30.5,28.7,1.9,0.08,-0.15,9,1,1.0,31.0,21.0,0.0,27.0,49.0,42.0,0.0,0.0,0.0,144.0,39.0,31.0,55.7,"£ 200,000(€ 236,737, $254,408)","£ 10,400,000(€ 12,310,338, $13,229,200)",,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2019-2020,26,Atlético Madrid,esESP,1.La Liga,35,"2,549",3,0,3.0,286.0,0.0,0.0,8.0,735.0,1.0,1.0,46,"3,570",4,1,29,"2,549",28.3,3,0,3,3,0,0,13,0,1.6,1.6,1.1,2.7,35.0,181.0,15.0,0.11,0.0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,70.0,41.0,34.0,30.0,6.0,26.0,58.0,44.8,32.0,32.0,8.0,24.0,48.0,118.0,41.0,7.0,1371.0,1677.0,81.8,22497.0,7653.0,700.0,781.0,89.6,449.0,539.0,83.3,146.0,235.0,62.1,0,1.1,1.1,-1.1,19.0,162.0,18.0,1.0,181.0,1677.0,1604.0,63.0,43.0,6.0,16.0,26.0,4.0,16.0,7.0,8.0,0.0,1371.0,10.0,12.0,82.0,414.0,1293.0,304.0,16.0,1987.0,64.0,57.0,89.1,7.0,10.9,1170.0,5361.0,2839.0,35.0,36.0,7.0,24.0,15.0,1316.0,15.0,3,32.0,8,25.0,1.13,0.28,0.09,0.38,26.4,2.0,0,0,1.6,1.6,0.05,1.4,1.4,55.0,1.94,40.0,3.0,6.0,2.0,2.0,2.0,7.0,0.25,4.0,0.0,2.0,1.0,0.0,0.0,"2,549",73,74.5,28.3,29,83.0,21.0,6,23.0,0.0,1.94,39.0,18.0,21.0,0.74,0.43,40.7,23.0,17.6,0.62,-0.08,13,0,0.0,48.0,32.0,0.0,26.0,48.0,41.0,0.0,1.0,0.0,223.0,66.0,28.0,70.2,"£ 200,000(€ 232,672, $264,257)","£ 10,400,000(€ 12,098,964, $13,741,338)",,https://fbref.com/es/jugadores/529f49ab/Thomas-Partey
2020-2021,27,Atlético Madrid,esESP,1.La Liga,3,200,0,0,,,,,,,,,3,200,0,0,2,200,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,7.0,4.0,4.0,3.0,0.0,5.0,8.0,62.5,3.0,4.0,1.0,3.0,2.0,9.0,1.0,0.0,197.0,223.0,88.3,3611.0,1073.0,80.0,89.0,89.9,81.0,89.0,91.0,26.0,35.0,74.3,0,0.0,0.2,0.0,0.0,27.0,4.0,1.0,26.0,223.0,220.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,197.0,0.0,1.0,2.0,27.0,178.0,40.0,0.0,244.0,8.0,7.0,87.5,1.0,12.5,157.0,668.0,375.0,4.0,4.0,0.0,0.0,1.0,197.0,3.0,0,5.0,0,0.0,2.25,0.0,0.0,,33.4,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,6.0,2.7,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,67,5.8,2.2,2,90.0,2.0,1,20.0,0.0,1.67,3.0,1.0,2.0,0.9,-0.22,3.2,2.1,1.1,0.5,0.09,1,0,0.0,5.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,17.0,2.0,2.0,50.0,,,,
2020-2021,27,Arsenal,engENG,1.Premier League,24,"1,534",0,2,1.0,33.0,0.0,0.0,8.0,540.0,0.0,1.0,33,"2,107",0,3,18,"1,534",17.0,0,2,2,0,0,0,5,0,1.3,1.3,1.0,2.4,33.0,121.0,18.0,0.0,0.12,0.12,0.0,0.12,0.08,0.06,0.14,0.08,0.14,44.0,21.0,16.0,24.0,4.0,24.0,56.0,42.9,32.0,17.0,5.0,12.0,23.0,67.0,18.0,0.0,994.0,1149.0,86.5,16695.0,5283.0,475.0,520.0,91.3,403.0,443.0,91.0,90.0,132.0,68.2,2,1.0,1.1,1.0,12.0,143.0,11.0,0.0,121.0,1149.0,1115.0,31.0,31.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,994.0,3.0,11.0,42.0,293.0,850.0,203.0,9.0,1333.0,35.0,28.0,80.0,7.0,20.0,841.0,4386.0,2431.0,33.0,37.0,1.0,21.0,10.0,947.0,18.0,0,26.0,4,15.4,1.53,0.23,0.0,0.0,27.1,0.0,0,0,1.3,1.3,0.05,-1.3,-1.3,31.0,1.82,28.0,0.0,2.0,1.0,0.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,"1,534",64,44.9,17.0,18,80.0,10.0,6,17.0,0.0,1.58,22.0,18.0,4.0,0.23,-0.34,19.5,16.3,3.2,0.19,-0.07,5,0,0.0,18.0,17.0,0.0,6.0,23.0,21.0,0.0,0.0,0.0,140.0,23.0,18.0,56.1,,,,
2021-2022,28,Arsenal,engENG,1.Premier League,24,"2,028",2,1,2.0,75.0,0.0,0.0,,,,,26,"2,103",2,1,23,"2,028",22.5,2,1,3,2,0,0,6,0,2.8,2.8,1.0,3.8,20.0,119.0,11.0,0.09,0.04,0.13,0.09,0.13,0.12,0.05,0.17,0.12,0.17,43.0,29.0,22.0,17.0,4.0,18.0,44.0,40.9,26.0,22.0,4.0,18.0,23.0,66.0,35.0,2.0,1032.0,1214.0,85.0,18440.0,5553.0,452.0,501.0,90.2,453.0,511.0,88.6,114.0,158.0,72.2,1,1.0,0.9,0.0,17.0,120.0,12.0,0.0,119.0,1214.0,1186.0,24.0,22.0,9.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,1032.0,4.0,10.0,62.0,373.0,828.0,262.0,22.0,1447.0,43.0,35.0,81.4,8.0,18.6,807.0,3830.0,1971.0,20.0,29.0,1.0,34.0,17.0,1012.0,11.0,2,44.0,9,20.5,1.95,0.4,0.05,0.22,22.5,2.0,0,0,2.8,2.8,0.06,-0.8,-0.8,61.0,2.71,49.0,0.0,5.0,4.0,3.0,0.0,4.0,0.18,3.0,0.0,0.0,1.0,0.0,0.0,"2,028",85,59.3,22.5,23,87.0,17.0,1,29.0,0.0,2.08,40.0,24.0,16.0,0.71,0.9,36.6,24.5,12.1,0.54,0.36,6,0,0.0,33.0,17.0,0.0,3.0,23.0,29.0,0.0,0.0,0.0,153.0,23.0,25.0,47.9,,,,
