Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Ipswich Town,engENG,2.Championship,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.2,1.0,1,,,0,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,,"£ 16,000(€ 18,418, $20,189)","£ 832,000(€ 957,743, $1,049,821)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2013-2014,20,Ipswich Town,engENG,2.Championship,16,449,0,1,,,,,,,,,16,449,0,1,4,449,5.0,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.2,0.2,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.4,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,449,28,10.8,5.0,4,,,12,,,,,,,,,,,,,,1,0,,5.0,,,,,,,,,,,,,"£ 18,000(€ 20,720, $22,712)","£ 936,000(€ 1,077,461, $1,181,049)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2014-2015,21,Ipswich Town,engENG,2.Championship,40,"3,476",1,3,2.0,126.0,0.0,1.0,,,,,42,"3,602",1,4,38,"3,476",38.6,1,3,4,1,0,0,10,0,,,,,,,,0.03,0.08,0.1,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9.0,,,0.23,,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,476",87,84.0,38.6,38,,35.0,2,,1.0,1.62,59.0,45.0,14.0,0.36,-0.18,,,,,,10,0,,42.0,,,,,,,,,,,,,"£ 23,000(€ 26,476, $29,022)","£ 1,196,000(€ 1,376,756, $1,509,118)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2015-2016,22,Bournemouth,engENG,1.Premier League,1,11,0,0,1.0,90.0,0.0,0.0,,,,,2,101,0,0,0,11,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,11,11,0.3,0.1,0,,0.0,1,,3.0,1.0,0.0,0.0,0.0,0.0,0.58,,,,,,0,0,,0.0,,,,,,,,,,,,,"£ 25,000(€ 28,778, $31,545)","£ 1,300,000(€ 1,496,474, $1,640,345)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2016-2017,23,Bournemouth,engENG,1.Premier League,7,506,0,0,2.0,194.0,0.0,0.0,,,,,9,700,0,0,5,506,5.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,100.0,0.18,0.18,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,506,72,14.8,5.6,5,,4.0,2,,18.0,0.71,8.0,16.0,-8.0,-1.42,-1.3,,,,,,0,0,0.0,7.0,5.0,0.0,1.0,6.0,10.0,0.0,0.0,2.0,,,,,"£ 25,000(€ 28,778, $31,545)","£ 1,300,000(€ 1,496,474, $1,640,345)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2017-2018,24,Bournemouth,engENG,1.Premier League,4,201,0,0,1.0,90.0,0.0,0.0,,,,,5,291,0,0,3,201,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,6.0,7.0,13.0,1.0,91.0,116.0,78.4,1830.0,798.0,29.0,36.0,80.6,48.0,51.0,94.1,13.0,26.0,50.0,0,0.1,0.1,-0.1,1.0,4.0,2.0,1.0,8.0,116.0,111.0,5.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0,2.0,20.0,86.0,48.0,4.0,1.0,138.0,1.0,1.0,100.0,0.0,0.0,76.0,344.0,162.0,1.0,0.0,0.0,1.0,1.0,80.0,1.0,0,1.0,0.0,0.0,0.45,0.0,0.0,,35.7,0.0,0,0,0.0,0.0,0.01,0.0,0.0,3.0,1.34,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,201,50,5.9,2.2,3,,1.0,1,,4.0,1.5,1.0,5.0,-4.0,-1.79,-1.46,1.0,3.7,-2.7,-1.19,-0.69,1,0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,14.0,2.0,2.0,50.0,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2018-2019,25,Bournemouth,engENG,1.Premier League,5,143,0,0,2.0,180.0,0.0,0.0,,,,,7,323,0,0,2,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,4.0,3.0,3.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,2.0,3.0,6.0,10.0,8.0,0.0,79.0,96.0,82.3,1292.0,456.0,36.0,40.0,90.0,40.0,45.0,88.9,3.0,8.0,37.5,0,0.1,0.0,-0.1,1.0,8.0,1.0,1.0,6.0,96.0,87.0,9.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,79.0,0.0,2.0,13.0,56.0,58.0,8.0,1.0,120.0,2.0,2.0,100.0,0.0,0.0,72.0,289.0,119.0,2.0,3.0,0.0,2.0,1.0,67.0,1.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,29,4.2,1.6,2,64.0,1.0,3,5.0,8.0,0.6,1.0,4.0,-3.0,-1.89,-1.59,0.7,3.5,-2.8,-1.77,-1.74,0,0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,9.0,3.0,3.0,50.0,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2018-2019,25,Aston Villa,engENG,2.Championship,15,"1,293",2,0,,,,,,,,,15,"1,293",2,0,15,"1,293",14.4,2,0,2,2,0,0,3,1,0.4,0.4,0.2,0.6,8.0,48.0,3.0,0.14,0.0,0.14,0.14,0.14,0.03,0.01,0.04,0.03,0.04,15.0,9.0,10.0,5.0,0.0,5.0,10.0,50.0,5.0,21.0,14.0,7.0,18.0,33.0,69.0,2.0,585.0,750.0,78.0,13788.0,5590.0,138.0,163.0,84.7,308.0,345.0,89.3,131.0,212.0,61.8,0,0.2,0.1,-0.2,4.0,44.0,1.0,0.0,48.0,750.0,721.0,25.0,21.0,0.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,585.0,4.0,7.0,115.0,500.0,378.0,25.0,9.0,896.0,11.0,9.0,81.8,2.0,18.2,489.0,3464.0,2147.0,8.0,3.0,1.0,6.0,3.0,540.0,3.0,2,6.0,5.0,83.3,0.42,0.35,0.33,0.4,13.7,0.0,0,0,0.4,0.4,0.07,1.6,1.6,12.0,0.84,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,"1,293",86,31.2,14.4,15,86.0,14.0,0,,0.0,2.06,24.0,11.0,13.0,0.9,0.65,22.8,14.5,8.3,0.58,0.32,3,1,1.0,14.0,15.0,0.0,0.0,18.0,9.0,0.0,2.0,0.0,91.0,41.0,18.0,69.5,"£ 100,000(€ 116,237, $127,101)","£ 5,200,000(€ 6,044,330, $6,609,237)",,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2019-2020,26,Aston Villa,engENG,1.Premier League,33,"2,902",2,2,3.0,270.0,0.0,0.0,,,,,36,"3,172",2,2,33,"2,902",32.2,2,2,4,2,0,0,7,0,0.8,0.8,0.7,1.5,12.0,60.0,11.0,0.06,0.06,0.12,0.06,0.12,0.02,0.02,0.05,0.02,0.05,15.0,11.0,11.0,3.0,1.0,10.0,13.0,76.9,3.0,56.0,48.0,8.0,30.0,45.0,190.0,4.0,1085.0,1400.0,77.5,23447.0,8852.0,290.0,329.0,88.1,624.0,680.0,91.8,158.0,355.0,44.5,2,0.7,0.4,1.3,7.0,57.0,4.0,1.0,60.0,1400.0,1342.0,55.0,50.0,0.0,20.0,7.0,5.0,0.0,0.0,0.0,0.0,1085.0,3.0,13.0,357.0,1094.0,627.0,55.0,23.0,1754.0,12.0,12.0,100.0,0.0,0.0,987.0,5906.0,2717.0,12.0,6.0,0.0,10.0,5.0,1007.0,11.0,2,8.0,3.0,37.5,0.25,0.09,0.25,0.67,9.9,0.0,0,0,0.8,0.8,0.1,1.2,1.2,17.0,0.53,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"2,902",88,84.9,32.2,33,88.0,32.0,0,,0.0,0.97,36.0,53.0,-17.0,-0.53,1.04,38.3,53.2,-14.9,-0.46,1.03,7,0,0.0,20.0,11.0,2.0,7.0,30.0,11.0,0.0,1.0,0.0,201.0,67.0,44.0,60.4,"£ 100,000(€ 118,369, $127,204)","£ 5,200,000(€ 6,155,169, $6,614,600)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
2020-2021,27,Aston Villa,engENG,1.Premier League,36,"3,194",2,2,1.0,90.0,0.0,0.0,,,,,37,"3,284",2,2,36,"3,194",35.5,2,2,4,2,0,0,6,1,1.9,1.9,0.4,2.4,12.0,104.0,5.0,0.06,0.06,0.11,0.06,0.11,0.05,0.01,0.07,0.05,0.07,32.0,16.0,23.0,7.0,2.0,16.0,24.0,66.7,8.0,59.0,40.0,19.0,41.0,73.0,172.0,3.0,1315.0,1697.0,77.5,27335.0,12308.0,381.0,440.0,86.6,745.0,816.0,91.3,165.0,379.0,43.5,2,0.4,0.5,1.6,7.0,97.0,4.0,1.0,104.0,1697.0,1631.0,59.0,53.0,0.0,21.0,5.0,5.0,0.0,0.0,0.0,0.0,1315.0,7.0,12.0,343.0,1203.0,804.0,85.0,37.0,2076.0,8.0,6.0,75.0,2.0,25.0,1085.0,6061.0,3047.0,12.0,10.0,1.0,19.0,4.0,1211.0,5.0,2,19.0,7.0,36.8,0.54,0.2,0.11,0.29,9.9,0.0,0,0,1.9,1.9,0.1,0.1,0.1,23.0,0.65,17.0,2.0,1.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,"3,194",89,93.4,35.5,36,89.0,35.0,0,,0.0,1.5,50.0,42.0,8.0,0.23,-0.17,48.7,47.0,1.7,0.05,0.12,6,1,1.0,21.0,18.0,3.0,5.0,41.0,16.0,0.0,0.0,1.0,209.0,90.0,35.0,72.0,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/8397a50c/Tyrone-Mings
