Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,16,NEC Nijmegen,nlNED,1.Eredivisie,27.0,"1,211",4.0,3.0,,,,,,,,,27.0,"1,211",4,3,9,"1,211",13.5,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,,,,,,,,0.3,0.22,0.52,0.3,0.52,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,5.0,,0.0,0.37,,0.8,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,211",45.0,39.6,13.5,9,,3,18,,5,1.04,15.0,24.0,-9.0,-0.67,0.21,,,,,,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 87,500(€ 101,794, $115,612)","£ 4,550,000(€ 5,293,297, $6,011,835)",,https://fbref.com/es/jugadores/66c52a77/Ferdi-Kadioglu
2017-2018,17,NEC Nijmegen,nlNED,2.Eerste Divisie,34.0,"2,736",7.0,8.0,,,,,,,,,34.0,"2,736",7,8,31,"2,736",30.4,7.0,8.0,15.0,7.0,0.0,0.0,3.0,0.0,,,,,,,,0.23,0.26,0.49,0.23,0.49,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,24.0,,0.0,0.79,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,736",80.0,80.0,30.4,31,,19,3,,1,1.88,69.0,37.0,32.0,1.05,0.66,,,,,,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 87,500(€ 101,794, $115,612)","£ 4,550,000(€ 5,293,297, $6,011,835)",,https://fbref.com/es/jugadores/66c52a77/Ferdi-Kadioglu
2018-2019,18,Fenerbahçe,trTUR,1.Süper Lig,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,6.0,35.3,1.67,0.59,0.24,0.67,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,15,,,,,,,,,,,,2.0,0.0,0.0,12.0,12.0,1.0,26.0,5.0,11.0,,,0.0,,,,,"£ 87,500(€ 101,794, $115,612)","£ 4,550,000(€ 5,293,297, $6,011,835)",,https://fbref.com/es/jugadores/66c52a77/Ferdi-Kadioglu
2019-2020,19,Fenerbahçe,trTUR,1.Süper Lig,23.0,915,4.0,3.0,,,,,,,,,23.0,915,4,3,8,915,10.2,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,,,,,,,,0.39,0.3,0.69,0.39,0.69,,,,,,,10.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,3.0,25.0,1.47,0.37,0.08,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,915,40.0,29.9,10.2,8,79.0,4,15,19.0,6,1.43,20.0,14.0,6.0,0.59,0.34,,,,,,3.0,0.0,0.0,16.0,16.0,1.0,24.0,6.0,10.0,,,0.0,,,,,"£ 87,500(€ 101,794, $115,612)","£ 4,550,000(€ 5,293,297, $6,011,835)",,https://fbref.com/es/jugadores/66c52a77/Ferdi-Kadioglu
2020-2021,20,Fenerbahçe,trTUR,1.Süper Lig,26.0,734,1.0,2.0,,,,,,,,,26.0,734,1,2,6,734,8.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.12,0.25,0.37,0.12,0.37,,,,,,,44.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,7.0,35.0,0.8,0.28,0.1,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,734,28.0,20.4,8.2,6,65.0,0,20,17.0,8,1.92,14.0,12.0,2.0,0.25,-0.67,,,,,,5.0,0.0,0.0,23.0,29.0,0.0,79.0,43.0,44.0,,,0.0,,,,,,,,
2021-2022,21,Fenerbahçe,trTUR,1.Süper Lig,28.0,"2,249",2.0,1.0,,,,,7.0,427.0,1.0,1.0,35.0,"2,676",3,2,26,"2,249",25.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,,,,,,,,0.08,0.04,0.12,0.08,0.12,,,,,,,50.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,22.0,7.0,31.8,0.69,0.22,0.14,0.43,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,249",80.0,65.8,25.0,26,85.0,17,2,17.0,0,1.89,45.0,24.0,21.0,0.84,-0.24,,,,,,5.0,0.0,0.0,27.0,55.0,1.0,72.0,29.0,50.0,,,0.0,,,,,,,,
2022-2023,22,Fenerbahçe,trTUR,1.Süper Lig,32.0,"2,849",3.0,4.0,,,,,6.0,469.0,0.0,0.0,38.0,"3,318",3,4,32,"2,849",31.7,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,,,,,,,,0.09,0.13,0.22,0.09,0.22,,,,,,,54.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,33.0,14.0,42.4,0.89,0.38,0.03,0.07,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,849",89.0,93.1,31.7,32,89.0,26,0,,0,2.13,71.0,37.0,34.0,1.07,-3.62,,,,,,3.0,0.0,0.0,33.0,61.0,3.0,74.0,36.0,54.0,,,0.0,,,,,,,,
2023-2024,23,Fenerbahçe,trTUR,1.Süper Lig,37.0,"3,326",1.0,4.0,,,,,7.0,520.0,1.0,0.0,44.0,"3,846",2,4,37,"3,326",37.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.03,0.11,0.14,0.03,0.14,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,326",90.0,97.3,37.0,37,90.0,35,0,,0,2.59,97.0,31.0,66.0,1.79,-0.13,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,
2024-2025,24,Fenerbahçe,trTUR,1.Süper Lig,2.0,104,0.0,0.0,,,,,,,,,2.0,104,0,0,1,104,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,6.0,4.0,5.0,1.0,6.0,15.0,40.0,9.0,2.0,2.0,0.0,8.0,18.0,17.0,0.0,144.0,175.0,82.3,2372.0,698.0,73.0,82.0,89.0,61.0,74.0,82.4,9.0,14.0,64.3,0.0,0.2,0.3,-0.2,5.0,10.0,9.0,4.0,15.0,175.0,157.0,17.0,2.0,1.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,144.0,1.0,1.0,13.0,71.0,91.0,72.0,9.0,231.0,7.0,3.0,42.9,3.0,42.9,124.0,479.0,183.0,1.0,0.0,0.0,6.0,2.0,144.0,27.0,1.0,4.0,1.0,25.0,0.94,0.23,0.25,1.0,15.1,0.0,0.0,0.0,0.4,0.4,0.11,0.6,0.6,13.0,3.03,11.0,0.0,0.0,0.0,1.0,1.0,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0,104,52.0,3.7,1.2,1,87.0,0,1,17.0,0,2.0,1.0,1.0,0.0,0.0,-1.64,,,,,,1.0,0.0,0.0,5.0,3.0,1.0,9.0,8.0,6.0,0.0,0.0,0.0,14.0,3.0,1.0,75.0,,,,
2024-2025,24,Brighton,engENG,1.Premier League,6.0,385,1.0,0.0,2.0,54.0,1.0,0.0,,,,,8.0,439,2,0,5,385,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,64.0,12.6,4.3,5,72.0,1,1,23.0,1,1.33,5.0,8.0,-3.0,-0.7,-0.84,5.2,9.3,-4.1,-0.96,-1.24,,,,,,,,,,,,,,,,,,,,
