Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,16,Fulham,engENG,Jr.PL2 — Div. 2,7.0,626,0.0,1.0,,,,,,,,,7,626,0,1,7.0,626,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.14,0.14,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,626,89.0,34.8,7.0,7.0,89.0,6.0,0.0,,0.0,2.14,16.0,11.0,5.0,0.72,1.03,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/fb495bb8/Matt-ORiley
2017-2018,16,Fulham,engENG,2.Championship,,,,,2.0,170.0,0.0,0.0,,,,,2,170,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/fb495bb8/Matt-ORiley
2018-2019,17,Fulham,engENG,Jr.PL2 — Div. 2,18.0,"1,576",2.0,4.0,,,,,,,,,18,"1,576",2,4,18.0,"1,576",17.5,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.11,0.23,0.34,0.06,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,576",88.0,79.6,17.5,18.0,88.0,15.0,0.0,,0.0,1.0,22.0,30.0,-8.0,-0.46,-0.46,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/fb495bb8/Matt-ORiley
2018-2019,17,Fulham,engENG,1.Premier League,,,,,1.0,6.0,0.0,0.0,,,,,1,6,0,0,5.0,426,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.21,0.0,0.21,0.21,0.21,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,46.0,57.0,80.7,869.0,280.0,17.0,21.0,81.0,19.0,24.0,79.2,8.0,10.0,80.0,0.0,0.1,0.3,-0.1,1.0,4.0,4.0,1.0,9.0,57.0,56.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1.0,5.0,46.0,13.0,1.0,63.0,0.0,0.0,,0.0,,37.0,251.0,145.0,3.0,4.0,1.0,2.0,0.0,42.0,2.0,0.0,1.0,0.0,0.0,1.41,0.0,0.0,,22.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.0,5.71,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426,71.0,26.3,4.7,5.0,83.0,4.0,1.0,9.0,0.0,1.5,11.0,11.0,0.0,0.0,0.45,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/fb495bb8/Matt-ORiley
2019-2020,18,Fulham,engENG,Jr.PL2 — Div. 2,6.0,426,1.0,0.0,,,,,,,,,6,426,1,0,0.0,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16,,20.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,45.0,11.0,24.4,2.17,0.53,0.07,0.27,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,64,64.0,1.5,0.7,0.0,,0.0,1.0,64.0,10.0,0.0,1.0,1.0,0.0,0.0,-0.35,0.4,1.9,-1.5,-2.13,-2.31,1.0,0.0,0.0,29.0,19.0,0.0,106.0,11.0,20.0,,,0.0,,,,,"£ 50,000(€ 58,168, $66,064)","£ 2,600,000(€ 3,024,741, $3,435,334)",Estimación no verificada,https://fbref.com/es/jugadores/fb495bb8/Matt-ORiley
2019-2020,18,Fulham,engENG,2.Championship,1.0,64,0.0,0.0,1.0,90.0,0.0,0.0,,,,,2,154,0,0,22.0,"1,869",20.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,,,,,,,,0.14,0.1,0.24,0.14,0.24,,,,,,,35.0,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,40.0,10.0,25.0,1.55,0.39,0.18,0.7,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,869",81.0,45.1,20.8,22.0,84.0,18.0,1.0,13.0,0.0,1.61,32.0,28.0,4.0,0.19,0.27,,,,,,2.0,0.0,0.0,9.0,17.0,0.0,93.0,34.0,35.0,,,0.0,,,,,,,,
2020-2021,19,MK Dons,engENG,3.League One,23.0,"1,869",3.0,2.0,,,,,,,,,23,"1,869",3,2,26.0,"2,321",25.8,7.0,5.0,12.0,7.0,0.0,0.0,2.0,0.0,,,,,,,,0.27,0.19,0.47,0.27,0.47,,,,,,,10.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,24.0,10.0,41.7,2.28,0.95,0.17,0.4,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,321",89.0,56.1,25.8,26.0,89.0,24.0,0.0,,0.0,1.77,46.0,31.0,15.0,0.58,-0.36,,,,,,1.0,0.0,0.0,12.0,6.0,0.0,85.0,13.0,10.0,,,0.0,,,,,,,,
2021-2022,20,MK Dons,engENG,3.League One,26.0,"2,321",7.0,5.0,2.0,180.0,0.0,1.0,,,,,28,"2,501",7,6,10.0,948,10.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,,,,,,,,0.38,0.09,0.47,0.38,0.47,,,,,,,34.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,68.0,27.0,39.7,2.44,0.97,0.04,0.11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,948,59.0,27.7,10.5,10.0,75.0,1.0,6.0,32.0,1.0,2.63,24.0,6.0,18.0,1.71,-0.18,,,,,,3.0,0.0,0.0,42.0,18.0,2.0,164.0,27.0,34.0,,,0.0,,,,,,,,
2021-2022,20,Celtic,sctSCO,1.Premiership,16.0,948,4.0,1.0,,,,,2.0,118.0,0.0,0.0,18,"1,066",4,1,32.0,"2,507",27.9,3.0,12.0,15.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.11,0.43,0.54,0.11,0.54,,,,,,,34.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,109.0,43.0,39.4,3.03,1.19,0.15,0.37,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,"2,507",66.0,73.3,27.9,32.0,74.0,6.0,6.0,24.0,0.0,2.61,83.0,26.0,57.0,2.05,-0.22,,,,,,3.0,0.0,0.0,20.0,30.0,2.0,241.0,18.0,34.0,,,0.0,,,,,,,,
2022-2023,21,Celtic,sctSCO,1.Premiership,38.0,"2,507",3.0,12.0,,,,,6.0,481.0,0.0,0.0,44,"2,988",3,12,37.0,"3,241",36.0,18.0,13.0,31.0,16.0,2.0,3.0,3.0,0.0,,,,,,,,0.5,0.36,0.86,0.44,0.81,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,3.0,37.5,4.0,1.5,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,241",88.0,94.8,36.0,37.0,88.0,29.0,0.0,,1.0,2.43,90.0,27.0,63.0,1.75,0.74,,,,,,0.0,0.0,0.0,4.0,1.0,0.0,15.0,1.0,3.0,,,0.0,,,,,,,,
