Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,17,Chelsea,engENG,Jr.PL2 — Div. 1,18,"1,440",0,3,,,,,,,,,18,"1,440",0,3,16,"1,440",16.0,0,3,3,0,0,0,5,0,,,,,,,,0.0,0.19,0.19,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,440",80,72.7,16.0,16,88.0,13,2,20.0,0,1.5,27,22,5,0.31,0.98,,,,,,5,0,0,,,,,,,,,0,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2019-2020,18,Chelsea,engENG,Jr.PL2 — Div. 1,11,963,1,1,,,,,,,,,11,963,1,1,11,963,10.7,1,1,2,1,0,0,4,1,,,,,,,,0.09,0.09,0.19,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,963,88,59.4,10.7,11,88.0,9,0,,0,2.09,21,12,9,0.84,0.16,,,,,,4,1,1,,,,,,,,,0,,,,,"£ 10,000(€ 11,511, $12,618)","£ 520,000(€ 598,590, $656,138)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2019-2020,18,Chelsea,engENG,1.Premier League,1,32,0,0,2.0,16.0,0.0,0.0,,,,,3,48,0,0,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,2.0,2.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,14.0,78.6,184.0,43.0,6.0,6.0,100.0,5.0,7.0,71.4,0.0,0.0,,0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,2.0,14.0,9.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,5.0,9.0,1.0,18.0,1.0,0.0,0.0,1.0,100.0,7.0,50.0,17.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,5.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,0.9,0.4,0,,0,1,32.0,1,3.0,2,0,2,5.63,5.28,1.2,0.1,1.1,3.04,2.26,0,0,0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0,3.0,0.0,0.0,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2019-2020,18,Brighton,engENG,1.Premier League,8,588,0,1,,,,,,,,,8,588,0,1,7,588,6.5,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,17.0,15.0,32.0,0.0,0.15,0.15,0.0,0.15,0.01,0.15,0.16,0.01,0.16,7.0,6.0,6.0,1.0,0.0,2.0,9.0,22.2,7.0,6.0,0.0,6.0,16.0,23.0,17.0,0.0,177.0,235.0,75.3,2614.0,721.0,91.0,104.0,87.5,76.0,97.0,78.4,4.0,19.0,21.1,1,1.0,0.5,0.0,6.0,11.0,6.0,3.0,15.0,235.0,187.0,48.0,5.0,0.0,0.0,21.0,43.0,0.0,0.0,0.0,0.0,177.0,0.0,9.0,20.0,105.0,129.0,93.0,9.0,322.0,22.0,15.0,68.2,7.0,31.8,171.0,1128.0,601.0,17.0,10.0,7.0,13.0,7.0,173.0,32.0,0,2.0,0.0,0.0,0.31,0.0,0.0,,25.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,13.0,1.99,8.0,1.0,1.0,1.0,2.0,0.0,2.0,0.31,1.0,1.0,0.0,0.0,0.0,0.0,588,74,17.2,6.5,7,79.0,3,1,32.0,1,1.13,5,8,-3,-0.46,-0.08,7.2,9.1,-1.9,-0.29,-0.05,2,0,0,13.0,17.0,0.0,21.0,16.0,6.0,0.0,0.0,0,30.0,3.0,8.0,27.3,"£ 35,000(€ 40,683, $44,485)","£ 1,820,000(€ 2,115,516, $2,313,233)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2020-2021,19,Brighton,engENG,1.Premier League,11,886,1,1,,,,,,,,,11,886,1,1,11,886,9.8,1,1,2,1,0,0,4,1,0.7,0.7,0.8,1.5,40.0,26.0,76.0,0.1,0.1,0.2,0.1,0.2,0.07,0.08,0.15,0.07,0.15,17.0,9.0,7.0,6.0,4.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,19.0,36.0,12.0,1.0,372.0,494.0,75.3,5371.0,1288.0,213.0,237.0,89.9,124.0,174.0,71.3,17.0,39.0,43.6,1,0.8,0.8,0.2,9.0,15.0,12.0,8.0,26.0,494.0,405.0,89.0,3.0,1.0,1.0,34.0,86.0,0.0,0.0,0.0,0.0,372.0,0.0,11.0,21.0,156.0,252.0,225.0,27.0,623.0,29.0,13.0,44.8,16.0,55.2,346.0,2269.0,1190.0,40.0,36.0,10.0,21.0,6.0,376.0,76.0,1,6.0,2.0,33.3,0.61,0.2,0.17,0.5,11.9,0.0,0,0,0.7,0.7,0.11,0.3,0.3,23.0,2.34,18.0,0.0,0.0,0.0,5.0,0.0,4.0,0.41,2.0,0.0,0.0,0.0,2.0,0.0,886,81,25.9,9.8,11,81.0,6,0,,0,0.91,12,15,-3,-0.3,-0.2,13.7,10.0,3.7,0.38,-0.04,4,1,1,21.0,28.0,1.0,34.0,19.0,9.0,2.0,1.0,0,59.0,5.0,11.0,31.3,"£ 35,000(€ 41,429, $44,521)","£ 1,820,000(€ 2,154,309, $2,315,110)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2021-2022,20,Brighton,engENG,1.Premier League,30,"1,561",0,2,2.0,114.0,0.0,0.0,,,,,32,"1,675",0,2,16,"1,561",17.3,0,2,2,0,0,0,4,0,0.8,0.8,2.6,3.4,81.0,36.0,153.0,0.0,0.12,0.12,0.0,0.12,0.05,0.15,0.2,0.05,0.2,36.0,25.0,14.0,17.0,5.0,15.0,25.0,60.0,10.0,13.0,3.0,10.0,21.0,57.0,23.0,0.0,593.0,770.0,77.0,8281.0,1729.0,373.0,416.0,89.7,186.0,252.0,73.8,19.0,50.0,38.0,2,2.6,2.9,-0.6,21.0,26.0,24.0,15.0,36.0,770.0,703.0,65.0,4.0,2.0,2.0,93.0,61.0,0.0,0.0,0.0,0.0,593.0,2.0,27.0,31.0,197.0,378.0,452.0,40.0,1008.0,61.0,29.0,47.5,32.0,52.5,642.0,4275.0,2285.0,81.0,51.0,15.0,46.0,21.0,695.0,153.0,0,19.0,4.0,21.1,1.1,0.23,0.0,0.0,20.0,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,54.0,3.11,37.0,2.0,4.0,3.0,7.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,"1,561",52,45.6,17.3,16,79.0,7,14,22.0,3,1.2,14,21,-7,-0.4,-0.65,19.7,18.0,1.7,0.1,0.02,4,0,0,27.0,50.0,3.0,93.0,21.0,25.0,0.0,0.0,0,100.0,7.0,27.0,20.6,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",,https://fbref.com/es/jugadores/f4e433d4/Tariq-Lamptey
2022-2023,21,Brighton,engENG,1.Premier League,20,453,0,0,6.0,528.0,1.0,1.0,,,,,26,981,1,1,3,453,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28.0,26.0,58.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,11.0,6.0,6.0,4.0,1.0,5.0,7.0,71.4,2.0,7.0,3.0,4.0,7.0,18.0,2.0,0.0,239.0,302.0,79.1,3509.0,854.0,130.0,149.0,87.2,96.0,116.0,82.8,5.0,21.0,23.8,0,0.2,0.7,-0.2,4.0,14.0,8.0,5.0,26.0,302.0,258.0,44.0,5.0,1.0,1.0,31.0,39.0,0.0,0.0,0.0,0.0,239.0,0.0,6.0,15.0,80.0,138.0,161.0,17.0,376.0,28.0,8.0,28.6,13.0,46.4,232.0,1451.0,808.0,28.0,12.0,7.0,16.0,2.0,256.0,58.0,0,5.0,0.0,0.0,0.99,0.0,0.0,,20.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,14.0,2.78,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453,23,13.2,5.0,3,60.0,1,17,16.0,3,1.6,6,7,-1,-0.2,-0.81,7.5,6.5,1.0,0.2,-0.47,1,0,0,6.0,14.0,0.0,31.0,7.0,6.0,0.0,0.0,0,31.0,2.0,7.0,22.2,,,,
2023-2024,22,Brighton,engENG,Jr.PL2,1,64,0,1,,,,,,,,,1,64,0,1,1,64,0.7,0,1,1,0,0,0,0,0,,,,,,,,0.0,1.41,1.41,0.0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,64,64,3.6,0.7,1,64.0,0,0,,0,3.0,3,2,1,1.41,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,
2023-2024,22,Brighton,engENG,1.Premier League,19,914,0,3,2.0,109.0,0.0,0.0,4.0,276.0,0.0,0.0,25,"1,299",0,3,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39.0,17.0,64.0,0.0,0.3,0.3,0.0,0.3,0.04,0.12,0.16,0.04,0.16,21.0,14.0,14.0,5.0,2.0,13.0,22.0,59.1,9.0,7.0,3.0,4.0,6.0,27.0,6.0,0.0,379.0,454.0,83.5,5485.0,916.0,217.0,242.0,89.7,135.0,163.0,82.8,13.0,22.0,59.1,3,1.2,0.8,1.8,10.0,6.0,12.0,6.0,17.0,454.0,400.0,51.0,2.0,0.0,0.0,31.0,49.0,0.0,0.0,0.0,0.0,379.0,3.0,9.0,21.0,130.0,221.0,197.0,21.0,545.0,19.0,6.0,31.6,8.0,42.1,354.0,2092.0,1218.0,39.0,17.0,12.0,22.0,2.0,382.0,64.0,0,6.0,0.0,0.0,0.59,0.0,0.0,,18.2,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,17.0,1.68,15.0,0.0,1.0,1.0,0.0,0.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,914,48,26.7,10.2,10,67.0,1,9,27.0,0,1.32,12,20,-8,-0.79,-0.82,11.1,14.6,-3.5,-0.35,-0.53,3,0,0,11.0,18.0,3.0,31.0,6.0,14.0,0.0,1.0,0,32.0,4.0,9.0,30.8,,,,
2024-2025,23,Brighton,engENG,1.Premier League,13,765,2,2,5.0,357.0,1.0,0.0,,,,,18,"1,122",3,2,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25.0,12.0,40.0,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14,14.0,10.0,8.0,6.0,0.0,7.0,22.0,31.8,15.0,12.0,5.0,7.0,6.0,20.0,21.0,1.0,314.0,381.0,82.4,4884.0,1213.0,169.0,181.0,93.4,124.0,155.0,80.0,18.0,35.0,51.4,2,0.8,0.5,1.2,5.0,11.0,5.0,4.0,12.0,381.0,316.0,64.0,5.0,0.0,1.0,24.0,58.0,1.0,1.0,0.0,0.0,314.0,1.0,4.0,25.0,147.0,208.0,137.0,9.0,489.0,27.0,9.0,33.3,15.0,55.6,267.0,1867.0,893.0,25.0,13.0,2.0,9.0,4.0,276.0,40.0,2,6.0,2.0,33.3,0.71,0.24,0.33,1.0,18.5,0.0,0,0,0.4,0.4,0.06,1.6,1.6,15.0,1.76,12.0,1.0,0.0,0.0,1.0,1.0,3.0,0.35,2.0,0.0,0.0,0.0,0.0,1.0,765,59,25.0,8.5,9,78.0,5,4,15.0,10,1.31,13,20,-7,-0.82,-1.14,11.9,12.5,-0.6,-0.07,-0.26,0,0,0,12.0,10.0,0.0,24.0,6.0,10.0,0.0,1.0,0,35.0,1.0,12.0,7.7,,,,
