Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,Crewe Alexandra,engENG,3.League One,7.0,260,0.0,0.0,,,,,,,,,7,260,0,0,3.0,260,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.69,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,260,37.0,6.3,2.9,3.0,,0.0,4.0,,6.0,0.71,0.0,5.0,-5.0,-1.73,-0.99,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,"£ 3,500(€ 4,029, $4,416)","£ 182,000(€ 209,506, $229,648)",Estimación no verificada,https://fbref.com/es/jugadores/c6dc9ecd/Harry-Wilson
2016-2017,19,Liverpool,engENG,1.Premier League,,,,,1.0,26.0,0.0,0.0,,,,,1,26,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 12,500(€ 14,389, $15,773)","£ 650,000(€ 748,237, $820,173)",Estimación no verificada,https://fbref.com/es/jugadores/c6dc9ecd/Harry-Wilson
2016-2017,19,Liverpool,engENG,Jr.PL2 — Div. 1,18.0,"1,610",12.0,7.0,,,,,,,,,18,"1,610",12,7,18.0,"1,610",17.9,12.0,7.0,19.0,9.0,3.0,4.0,1.0,0.0,,,,,,,,0.67,0.39,1.06,0.5,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,610",89.0,81.3,17.9,18.0,89.0,16.0,0.0,,0.0,2.17,44.0,24.0,20.0,1.12,1.12,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 35,000(€ 40,683, $44,485)","£ 1,820,000(€ 2,115,516, $2,313,233)",Estimación no verificada,https://fbref.com/es/jugadores/c6dc9ecd/Harry-Wilson
2017-2018,20,Liverpool,engENG,Jr.PL2 — Div. 1,12.0,"1,065",10.0,3.0,,,,,,,,,12,"1,065",10,3,12.0,"1,065",11.8,10.0,3.0,13.0,9.0,1.0,1.0,2.0,0.0,,,,,,,,0.85,0.25,1.1,0.76,1.01,,,,,,,9.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,13.0,46.4,2.54,1.18,0.25,0.54,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,065",89.0,53.8,11.8,12.0,89.0,10.0,0.0,,0.0,2.0,26.0,15.0,11.0,0.93,0.44,,,,,,0.0,0.0,0.0,6.0,20.0,2.0,26.0,7.0,9.0,2.0,0.0,0.0,,,,,"£ 35,000(€ 41,429, $44,521)","£ 1,820,000(€ 2,154,309, $2,315,110)",Estimación no verificada,https://fbref.com/es/jugadores/c6dc9ecd/Harry-Wilson
2017-2018,20,Hull City,engENG,2.Championship,13.0,994,7.0,3.0,1.0,54.0,0.0,0.0,,,,,14,"1,048",7,3,11.0,994,11.0,7.0,3.0,10.0,7.0,0.0,1.0,0.0,0.0,,,,,,,,0.63,0.27,0.91,0.63,0.91,,,,,,50.0,27.0,17.0,25.0,8.0,15.0,60.0,25.0,45.0,21.0,2.0,19.0,23.0,73.0,25.0,0.0,925.0,1303.0,71.0,15259.0,4028.0,452.0,554.0,81.6,325.0,423.0,76.8,95.0,198.0,48.0,3.0,5.1,5.0,-2.1,55.0,84.0,45.0,6.0,115.0,1303.0,1144.0,157.0,43.0,10.0,16.0,107.0,28.0,79.0,44.0,10.0,1.0,925.0,2.0,43.0,35.0,199.0,785.0,740.0,71.0,1701.0,49.0,18.0,36.7,31.0,63.3,990.0,5540.0,2406.0,68.0,64.0,24.0,78.0,30.0,1178.0,198.0,15.0,106.0,34.0,32.1,3.01,0.96,0.12,0.38,24.1,34.0,2.0,2.0,9.3,7.7,0.07,5.7,5.3,136.0,3.86,80.0,17.0,4.0,14.0,21.0,0.0,15.0,0.43,12.0,1.0,1.0,0.0,1.0,0.0,994,76.0,24.0,11.0,11.0,,7.0,2.0,,0.0,1.38,25.0,15.0,10.0,0.91,1.19,,,,,,9.0,0.0,0.0,34.0,105.0,3.0,107.0,23.0,27.0,0.0,0.0,0.0,124.0,6.0,58.0,9.4,"£ 35,000(€ 40,718, $46,245)","£ 1,820,000(€ 2,117,319, $2,404,734)",Estimación no verificada,https://fbref.com/es/jugadores/c6dc9ecd/Harry-Wilson
2018-2019,21,Derby County,engENG,2.Championship,40.0,"3,171",15.0,3.0,6.0,529.0,2.0,1.0,,,,,46,"3,700",17,4,37.0,"3,171",35.2,15.0,3.0,18.0,13.0,2.0,2.0,9.0,0.0,9.3,7.7,5.1,12.8,68.0,115.0,198.0,0.43,0.09,0.51,0.37,0.45,0.26,0.15,0.41,0.22,0.36,23.0,13.0,8.0,10.0,5.0,11.0,34.0,32.4,23.0,26.0,2.0,24.0,11.0,34.0,15.0,1.0,452.0,624.0,72.4,7801.0,1765.0,245.0,287.0,85.4,136.0,182.0,74.7,59.0,99.0,59.6,0.0,2.4,2.6,-2.4,14.0,42.0,22.0,1.0,66.0,624.0,561.0,60.0,10.0,6.0,15.0,35.0,11.0,20.0,12.0,1.0,0.0,452.0,3.0,25.0,16.0,110.0,379.0,363.0,50.0,840.0,33.0,17.0,51.5,16.0,48.5,539.0,2817.0,1086.0,29.0,17.0,6.0,35.0,21.0,536.0,89.0,7.0,56.0,20.0,35.7,3.06,1.09,0.13,0.35,20.8,12.0,0.0,0.0,4.0,4.0,0.07,3.0,3.0,49.0,2.68,36.0,2.0,1.0,4.0,5.0,1.0,4.0,0.22,3.0,0.0,0.0,1.0,0.0,0.0,"3,171",79.0,76.6,35.2,37.0,83.0,20.0,3.0,34.0,0.0,1.58,59.0,41.0,18.0,0.51,0.79,43.7,43.3,0.5,0.01,0.18,2.0,0.0,0.0,12.0,41.0,1.0,35.0,11.0,13.0,0.0,2.0,0.0,85.0,6.0,22.0,21.4,,,,
2019-2020,22,Bournemouth,engENG,1.Premier League,31.0,"1,646",7.0,0.0,4.0,269.0,0.0,1.0,,,,,35,"1,915",7,1,20.0,"1,646",18.3,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,4.0,4.0,2.4,6.4,29.0,66.0,89.0,0.38,0.0,0.38,0.38,0.38,0.22,0.13,0.35,0.22,0.35,28.0,17.0,11.0,13.0,4.0,11.0,60.0,18.3,49.0,22.0,0.0,22.0,29.0,57.0,14.0,0.0,597.0,906.0,65.9,11286.0,3757.0,252.0,319.0,79.0,222.0,298.0,74.5,100.0,209.0,47.8,11.0,8.4,7.0,2.6,63.0,36.0,42.0,13.0,66.0,906.0,689.0,207.0,71.0,7.0,8.0,157.0,13.0,81.0,52.0,20.0,2.0,597.0,10.0,16.0,17.0,164.0,495.0,548.0,69.0,1190.0,37.0,16.0,43.2,21.0,56.8,602.0,3510.0,1465.0,43.0,26.0,14.0,59.0,18.0,658.0,114.0,7.0,73.0,23.0,31.5,2.34,0.74,0.1,0.3,21.5,11.0,0.0,0.0,6.3,6.3,0.09,0.7,0.7,129.0,4.13,49.0,44.0,2.0,10.0,20.0,4.0,18.0,0.58,6.0,6.0,0.0,2.0,3.0,1.0,"1,646",53.0,48.1,18.3,20.0,67.0,2.0,11.0,28.0,3.0,0.84,21.0,32.0,-11.0,-0.6,0.11,23.0,31.3,-8.3,-0.45,0.01,3.0,0.0,0.0,42.0,64.0,8.0,157.0,29.0,17.0,1.0,1.0,0.0,118.0,18.0,41.0,30.5,,,,
2020-2021,23,Cardiff City,engENG,2.Championship,37.0,"2,811",7.0,11.0,1.0,90.0,0.0,0.0,,,,,38,"2,901",7,11,33.0,"2,811",31.2,7.0,11.0,18.0,7.0,0.0,0.0,3.0,0.0,6.3,6.3,8.4,14.7,43.0,66.0,114.0,0.22,0.35,0.58,0.22,0.58,0.2,0.27,0.47,0.2,0.47,60.0,40.0,20.0,28.0,12.0,22.0,51.0,43.1,29.0,30.0,1.0,29.0,27.0,87.0,22.0,0.0,1257.0,1633.0,77.0,18861.0,5204.0,735.0,827.0,88.9,367.0,476.0,77.1,97.0,197.0,49.2,19.0,14.1,10.4,4.9,102.0,68.0,85.0,15.0,162.0,1633.0,1464.0,164.0,34.0,11.0,14.0,162.0,14.0,116.0,52.0,11.0,1.0,1257.0,5.0,40.0,19.0,207.0,728.0,1138.0,169.0,2047.0,79.0,38.0,48.1,41.0,51.9,1300.0,7396.0,2973.0,92.0,68.0,50.0,84.0,28.0,1491.0,358.0,10.0,94.0,30.0,31.9,2.43,0.78,0.11,0.33,18.9,9.0,0.0,0.0,12.8,12.8,0.14,-2.8,-2.8,200.0,5.18,136.0,31.0,11.0,7.0,14.0,1.0,30.0,0.78,22.0,4.0,2.0,0.0,1.0,1.0,"2,811",76.0,67.9,31.2,33.0,82.0,12.0,4.0,30.0,3.0,1.51,45.0,28.0,17.0,0.54,0.54,37.9,34.6,3.3,0.11,0.05,6.0,1.0,0.0,38.0,73.0,16.0,162.0,27.0,40.0,1.0,1.0,0.0,165.0,15.0,33.0,31.3,,,,
2020-2021,23,Liverpool,engENG,1.Premier League,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,40.0,"3,476",38.6,10.0,19.0,29.0,10.0,0.0,0.0,6.0,1.0,12.8,12.8,14.1,26.9,92.0,162.0,358.0,0.26,0.49,0.75,0.26,0.75,0.33,0.36,0.7,0.33,0.7,21.0,13.0,9.0,9.0,3.0,8.0,18.0,44.4,10.0,17.0,2.0,15.0,6.0,27.0,14.0,0.0,310.0,404.0,76.7,4943.0,1086.0,163.0,192.0,84.9,105.0,127.0,82.7,25.0,46.0,54.3,3.0,0.9,1.0,2.1,12.0,20.0,13.0,1.0,37.0,404.0,383.0,20.0,4.0,1.0,3.0,22.0,5.0,10.0,2.0,3.0,0.0,310.0,1.0,16.0,18.0,89.0,214.0,253.0,37.0,551.0,33.0,12.0,36.4,14.0,42.4,343.0,1989.0,780.0,18.0,16.0,8.0,23.0,15.0,397.0,87.0,2.0,18.0,4.0,22.2,1.47,0.33,0.11,0.5,16.0,1.0,0.0,0.0,2.0,2.0,0.11,0.0,0.0,32.0,2.62,18.0,2.0,1.0,3.0,8.0,0.0,9.0,0.74,4.0,0.0,0.0,1.0,4.0,0.0,"3,476",85.0,84.0,38.6,40.0,86.0,28.0,1.0,28.0,0.0,1.98,91.0,33.0,58.0,1.5,0.82,80.8,36.9,43.9,1.14,0.07,1.0,0.0,0.0,11.0,32.0,2.0,22.0,6.0,13.0,2.0,0.0,0.0,54.0,4.0,12.0,25.0,,,,
2021-2022,24,Fulham,engENG,2.Championship,41.0,"3,476",10.0,19.0,2.0,105.0,1.0,1.0,,,,,43,"3,581",11,20,13.0,"1,100",12.2,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.9,2.9,18.0,37.0,87.0,0.16,0.25,0.41,0.16,0.41,0.16,0.07,0.24,0.16,0.24,21.0,14.0,9.0,8.0,4.0,11.0,28.0,39.3,17.0,27.0,3.0,24.0,10.0,31.0,12.0,0.0,478.0,632.0,75.6,7538.0,1644.0,254.0,294.0,86.4,153.0,196.0,78.1,48.0,83.0,57.8,6.0,3.5,2.7,2.5,22.0,34.0,26.0,7.0,60.0,632.0,591.0,38.0,13.0,3.0,9.0,42.0,5.0,19.0,7.0,6.0,0.0,478.0,3.0,21.0,24.0,118.0,352.0,371.0,53.0,828.0,34.0,15.0,44.1,16.0,47.1,505.0,3258.0,1513.0,41.0,25.0,17.0,32.0,12.0,606.0,130.0,4.0,40.0,13.0,32.5,2.22,0.72,0.1,0.31,19.1,3.0,0.0,0.0,3.4,3.4,0.08,0.6,0.6,65.0,3.61,42.0,4.0,5.0,4.0,8.0,2.0,10.0,0.56,9.0,0.0,0.0,0.0,1.0,0.0,"1,100",38.0,32.2,12.2,13.0,69.0,1.0,16.0,13.0,1.0,1.31,21.0,15.0,6.0,0.49,0.65,15.5,20.9,-5.4,-0.44,0.03,6.0,0.0,0.0,21.0,40.0,5.0,42.0,10.0,14.0,1.0,0.0,0.0,78.0,5.0,6.0,45.5,,,,
