Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Genk,beBEL,1.First Division A,17,"1,262",0,0,,,,,6.0,476.0,0.0,0.0,23,"1,738",0,0,13,"1,262",14.0,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0.0,0.07,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,262",74,46.7,14.0,13,,6,4,,0,2.11,12,5,7,0.5,-0.75,,,,,,2,0,0,,0,0,0,0,0,0,0,0,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2017-2018,19,Genk,beBEL,1.First Division A,13,"1,035",0,0,,,,,,,,,13,"1,035",0,0,12,"1,035",11.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,20.0,70.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,21.0,16,8.0,11.0,2.0,7.0,8.0,87.5,1.0,6.0,0.0,6.0,17,38.0,26.0,1.0,562.0,633.0,88.8,11536.0,2814.0,172.0,191.0,90.1,289.0,311.0,92.9,91.0,113.0,80.5,0,0.1,0.3,-0.1,5.0,83.0,3.0,0.0,70.0,633.0,601.0,32.0,29.0,0.0,10.0,1,2.0,0.0,0.0,0.0,0.0,562.0,0.0,6.0,28.0,142.0,505.0,88.0,1.0,723.0,17.0,16.0,94.1,1.0,5.9,400.0,2839.0,1616.0,20.0,19.0,0.0,16.0,5.0,496.0,21.0,0,4,0,0.0,0.35,0.0,0.0,,28.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,23.0,2.0,19.0,0.0,0.0,1.0,2.0,1.0,3.0,0.26,2.0,0.0,0.0,0.0,1.0,0.0,"1,035",80,28.8,11.5,12,,11,1,,0,1.54,18,17,1,0.09,-0.16,12.9,12.4,0.6,0.05,-0.23,2,0,0,12.0,13,0,1,17,16,0,0,1,59.0,15.0,18.0,45.5,"£ 32,692(€ 37,633, $41,251)","£ 1,700,000(€ 1,956,928, $2,145,067)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2018-2019,20,Genk,beBEL,1.First Division A,28,"2,174",0,3,,,,,5.0,391.0,2.0,1.0,33,"2,565",2,4,24,"2,174",24.2,0,3,3,0,0,0,3,0,0.8,0.8,1.1,1.9,70.0,166.0,33.0,0.0,0.12,0.12,0.0,0.12,0.03,0.04,0.08,0.03,0.08,40.0,31,18.0,21.0,1.0,9.0,14.0,64.3,5.0,21.0,8.0,13.0,20,60.0,36.0,0.0,1177.0,1346.0,87.4,25285.0,7257.0,321.0,373.0,86.1,627.0,693.0,90.5,216.0,254.0,85.0,3,1.1,1.5,1.9,23.0,173.0,14.0,3.0,166.0,1346.0,1289.0,57.0,55.0,0.0,20.0,10,2.0,0.0,0.0,0.0,0.0,1177.0,0.0,11.0,68.0,344.0,982.0,219.0,30.0,1517.0,35.0,32.0,91.4,3.0,8.6,837.0,5823.0,3567.0,70.0,48.0,5.0,21.0,30.0,1030.0,33.0,0,18,3,16.7,0.75,0.12,0.0,0.0,21.0,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,61.0,2.53,53.0,0.0,3.0,2.0,1.0,2.0,6.0,0.25,5.0,0.0,1.0,0.0,0.0,0.0,"2,174",78,60.4,24.2,24,86.0,18,4,27.0,1,2.18,58,25,33,1.37,0.74,50.9,24.3,26.7,1.1,0.44,3,0,0,25.0,24,1,10,20,31,0,0,0,137.0,46.0,40.0,53.5,"£ 40,000(€ 47,347, $50,882)","£ 2,080,000(€ 2,462,068, $2,645,840)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2019-2020,21,Genk,beBEL,1.First Division A,23,"1,985",4,0,,,,,6.0,540.0,0.0,0.0,29,"2,525",4,0,22,"1,985",22.1,4,0,4,4,0,0,2,0,1.8,1.8,1.7,3.5,57.0,197.0,36.0,0.18,0.0,0.18,0.18,0.18,0.08,0.08,0.16,0.08,0.16,56.0,41,13.0,39.0,4.0,19.0,31.0,61.3,12.0,20.0,9.0,11.0,16,72.0,26.0,1.0,1259.0,1429.0,88.1,26445.0,8142.0,382.0,425.0,89.9,645.0,705.0,91.5,223.0,269.0,82.9,0,1.7,2.0,-1.7,24.0,165.0,26.0,7.0,197.0,1429.0,1383.0,45.0,44.0,2.0,15.0,22,0.0,0.0,0.0,0.0,0.0,1259.0,1.0,12.0,45.0,307.0,1094.0,257.0,29.0,1633.0,34.0,28.0,82.4,6.0,17.6,925.0,5875.0,3052.0,57.0,36.0,6.0,21.0,24.0,1159.0,36.0,4,21,8,38.1,0.95,0.36,0.19,0.5,17.9,0.0,0,0,1.8,1.8,0.09,2.2,2.2,67.0,3.04,56.0,2.0,5.0,0.0,2.0,2.0,4.0,0.18,1.0,0.0,3.0,0.0,0.0,0.0,"1,985",86,76.1,22.1,22,89.0,20,1,38.0,0,1.48,34,34,0,0.0,-0.43,34.6,24.8,9.7,0.44,0.39,2,0,0,25.0,20,0,22,16,41,0,0,0,154.0,43.0,32.0,57.3,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2019-2020,21,Sheffield Utd,engENG,1.Premier League,14,943,1,1,2.0,154.0,0.0,0.0,,,,,16,"1,097",1,1,12,943,10.5,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,18.0,52.0,35.0,0.1,0.1,0.19,0.1,0.19,0.06,0.06,0.12,0.06,0.12,22.0,15,3.0,14.0,5.0,5.0,10.0,50.0,5.0,15.0,1.0,14.0,10,32.0,16.0,0.0,298.0,392.0,76.0,4903.0,1051.0,124.0,158.0,78.5,135.0,158.0,85.4,24.0,38.0,63.2,1,0.6,0.9,0.4,2.0,33.0,8.0,2.0,52.0,392.0,384.0,8.0,6.0,0.0,3.0,22,2.0,0.0,0.0,0.0,0.0,298.0,0.0,7.0,20.0,74.0,251.0,184.0,19.0,502.0,20.0,15.0,75.0,5.0,25.0,261.0,1479.0,655.0,18.0,8.0,3.0,15.0,7.0,309.0,35.0,1,5,2,40.0,0.48,0.19,0.2,0.5,13.5,0.0,0,0,0.6,0.6,0.12,0.4,0.4,7.0,0.67,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0,943,67,27.6,10.5,12,75.0,5,2,23.0,0,1.5,11,11,0,0.0,0.0,9.3,11.8,-2.5,-0.24,-0.05,0,0,0,18.0,5,1,22,10,15,0,0,0,56.0,35.0,16.0,68.6,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2020-2021,22,Sheffield Utd,engENG,1.Premier League,15,"1,120",1,1,1.0,90.0,0.0,0.0,,,,,16,"1,210",1,1,13,"1,120",12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6,39.0,39.0,33.0,0.08,0.08,0.16,0.0,0.08,0.1,0.09,0.19,0.04,0.13,16.0,7,8.0,5.0,3.0,7.0,15.0,46.7,8.0,11.0,2.0,9.0,4,20.0,18.0,0.0,378.0,464.0,81.5,5944.0,1357.0,198.0,229.0,86.5,138.0,154.0,89.6,28.0,45.0,62.2,1,1.1,0.8,-0.1,13.0,28.0,4.0,2.0,39.0,464.0,454.0,8.0,3.0,0.0,3.0,23,3.0,2.0,2.0,0.0,0.0,378.0,2.0,9.0,31.0,109.0,295.0,199.0,31.0,589.0,32.0,20.0,62.5,12.0,37.5,363.0,2831.0,1397.0,39.0,30.0,10.0,24.0,13.0,390.0,33.0,1,9,1,11.1,0.72,0.08,0.0,0.0,18.0,0.0,1,1,1.2,0.4,0.05,-0.2,-0.4,23.0,1.85,20.0,0.0,2.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,"1,120",75,32.7,12.4,13,82.0,11,2,30.0,0,0.07,6,23,-17,-1.37,-0.35,12.0,19.7,-7.8,-0.62,0.23,4,0,0,14.0,4,2,23,4,7,0,0,0,68.0,16.0,15.0,51.6,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2021-2022,23,Sheffield Utd,engENG,2.Championship,31,"2,082",5,3,1.0,78.0,0.0,0.0,,,,,32,"2,160",5,3,22,"2,082",23.1,5,3,8,5,0,0,2,0,4.8,4.8,3.2,8.0,94.0,139.0,109.0,0.22,0.13,0.35,0.22,0.35,0.21,0.14,0.35,0.21,0.35,35.0,21,16.0,14.0,5.0,12.0,25.0,48.0,13.0,18.0,2.0,16.0,8,43.0,16.0,1.0,860.0,1078.0,79.8,14538.0,3650.0,398.0,467.0,85.2,350.0,408.0,85.8,77.0,113.0,68.1,3,3.2,3.3,-0.2,25.0,87.0,40.0,12.0,139.0,1078.0,1051.0,18.0,8.0,2.0,14.0,48,7.0,0.0,0.0,0.0,0.0,860.0,9.0,25.0,26.0,178.0,621.0,507.0,66.0,1288.0,59.0,40.0,67.8,19.0,32.2,867.0,6312.0,2954.0,94.0,58.0,17.0,32.0,45.0,968.0,109.0,5,31,13,41.9,1.34,0.56,0.16,0.38,16.6,0.0,0,0,4.8,4.8,0.16,0.2,0.2,54.0,2.33,44.0,0.0,7.0,1.0,1.0,1.0,5.0,0.22,4.0,0.0,0.0,1.0,0.0,0.0,"2,082",67,50.3,23.1,22,86.0,17,9,20.0,3,1.58,27,20,7,0.3,-0.18,30.7,28.6,2.0,0.09,-0.69,2,0,0,20.0,24,2,48,8,21,0,0,0,112.0,33.0,30.0,52.4,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2022-2023,24,Sheffield Utd,engENG,2.Championship,37,"3,103",6,5,6.0,320.0,1.0,1.0,,,,,43,"3,423",7,6,34,"3,103",34.5,6,5,11,6,0,0,4,0,4.9,4.7,5.7,10.4,106.0,158.0,131.0,0.17,0.15,0.32,0.17,0.32,0.14,0.16,0.31,0.14,0.3,45.0,32,18.0,22.0,5.0,15.0,27.0,55.6,12.0,35.0,11.0,24.0,14,59.0,24.0,1.0,1089.0,1402.0,77.7,18707.0,4640.0,515.0,619.0,83.2,438.0,522.0,83.9,104.0,154.0,67.5,5,5.7,4.1,-0.7,39.0,121.0,50.0,8.0,158.0,1402.0,1371.0,26.0,10.0,5.0,18.0,61,5.0,1.0,0.0,1.0,0.0,1089.0,5.0,47.0,47.0,261.0,862.0,630.0,108.0,1728.0,88.0,50.0,56.8,31.0,35.2,1038.0,7273.0,3319.0,106.0,70.0,38.0,49.0,35.0,1171.0,131.0,6,54,14,25.9,1.57,0.41,0.11,0.43,19.0,1.0,0,0,4.9,4.7,0.09,1.1,1.3,83.0,2.41,69.0,0.0,9.0,4.0,1.0,0.0,7.0,0.2,4.0,0.0,2.0,1.0,0.0,0.0,"3,103",84,75.0,34.5,34,88.0,27,3,32.0,0,2.08,56,27,29,0.84,0.41,51.6,32.5,19.1,0.56,-0.17,4,0,0,29.0,17,2,61,14,32,0,0,0,191.0,41.0,46.0,47.1,"£ 55,000(€ 63,985, $72,671)","£ 2,860,000(€ 3,327,215, $3,778,868)",Estimación no verificada,https://fbref.com/es/jugadores/d0b6129f/Sander-Berge
2023-2024,25,Burnley,engENG,1.Premier League,37,"3,005",1,2,3.0,212.0,1.0,0.0,,,,,40,"3,217",2,2,34,"3,005",33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64.0,164.0,29.0,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,76.0,46,35.0,36.0,5.0,34.0,58.0,58.6,24.0,49.0,20.0,29.0,23,99.0,60.0,2.0,1376.0,1562.0,88.1,24429.0,5168.0,568.0,637.0,89.2,658.0,711.0,92.5,125.0,154.0,81.2,2,2.4,1.6,-0.4,29.0,129.0,16.0,1.0,164.0,1562.0,1529.0,31.0,21.0,7.0,10.0,12,1.0,0.0,0.0,0.0,0.0,1376.0,2.0,14.0,133.0,494.0,997.0,414.0,41.0,1887.0,41.0,20.0,48.8,16.0,39.0,1076.0,6419.0,3091.0,64.0,57.0,9.0,23.0,23.0,1233.0,29.0,1,25,3,12.0,0.75,0.09,0.04,0.33,17.6,0.0,0,0,1.9,1.9,0.08,-0.9,-0.9,67.0,2.01,63.0,0.0,3.0,0.0,1.0,0.0,8.0,0.24,7.0,0.0,1.0,0.0,0.0,0.0,"3,005",81,87.9,33.4,34,86.0,28,3,26.0,0,0.62,36,69,-33,-0.99,-0.12,36.0,63.5,-27.4,-0.82,-0.33,10,1,1,40.0,19,2,12,23,46,0,0,0,202.0,64.0,48.0,57.1,,,,
2024-2025,26,Fulham,engENG,1.Premier League,27,"2,017",0,0,5.0,370.0,0.0,0.0,,,,,32,"2,387",0,0,23,"2,017",22.4,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,27.0,110.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,48.0,28,22.0,22.0,4.0,25.0,37.0,67.6,12.0,26.0,8.0,18.0,20,68.0,33.0,1.0,985.0,1079.0,91.3,17541.0,4200.0,406.0,443.0,91.6,474.0,502.0,94.4,89.0,106.0,84.0,0,0.6,0.6,-0.6,17.0,104.0,4.0,0.0,110.0,1079.0,1043.0,36.0,35.0,3.0,7.0,3,1.0,0.0,0.0,0.0,0.0,985.0,0.0,7.0,75.0,345.0,720.0,196.0,13.0,1255.0,20.0,11.0,55.0,6.0,30.0,734.0,3957.0,1794.0,27.0,22.0,2.0,11.0,15.0,809.0,8.0,0,2,0,0.0,0.09,0.0,0.0,,7.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,41.0,1.83,36.0,1.0,1.0,1.0,0.0,2.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,"2,017",75,65.9,22.4,23,83.0,16,4,28.0,0,1.59,31,29,2,0.09,-0.08,27.6,26.5,1.1,0.05,-0.33,4,0,0,27.0,8,0,3,20,28,0,0,0,116.0,25.0,20.0,55.6,,,,
