Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Sochaux,frFRA,2.Ligue 2,12,997,1,0.0,1.0,120.0,0.0,0.0,,,,,13,"1,117",1,0,11,997,11.1,1,0.0,1.0,1,0,0,1,0,,,,,,,,0.09,0.0,0.09,0.09,0.09,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,,0.0,0.09,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,997,83,29.2,11.1,11,,10,1,,5,0.82,12,18,-6,-0.54,-0.58,,,,,,1,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,"€ 5,962(£ 5,178, $6,534)","€ 310,000(£ 269,274, $339,753)",Estimación no verificada,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2017-2018,18,Leipzig U19,deGER,Jr.U19 Bundesliga,1,90,0,,,,,,,,,,1,90,0,0,1,90,1.0,0,,,0,0,0,1,0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,3.8,1.0,1,90.0,1,0,,0,1.0,0,0,0,0.0,-1.32,,,,,,1,0,0,,,,,,,,,0,,,,,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2017-2018,18,RB Leipzig,deGER,1.Bundesliga,16,"1,228",0,0.0,,,,,4.0,314.0,0.0,0.0,20,"1,542",0,0,14,"1,228",13.6,0,0.0,0.0,0,0,0,1,0,0.3,0.3,0.5,0.8,7.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,32.0,25.0,20.0,12.0,0.0,18.0,23.0,78.3,5.0,14.0,3.0,11.0,20.0,52.0,66.0,0.0,527.0,651.0,81.0,9792.0,4235.0,209.0,239.0,87.4,264.0,303.0,87.1,47.0,100.0,47.0,0.0,0.5,0.4,-0.5,3.0,39.0,1.0,0.0,51.0,651.0,631.0,20.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,2.0,68.0,367.0,413.0,15.0,6.0,786.0,3.0,1.0,33.3,2.0,66.7,444.0,2486.0,1425.0,7.0,3.0,0.0,5.0,7.0,490.0,3.0,0,2.0,0.0,0.0,0.15,0.0,0.0,,8.4,0.0,0,0,0.3,0.3,0.16,-0.3,-0.3,9.0,0.66,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,228",77,40.1,13.6,14,,12,2,,11,1.56,25,23,2,0.15,0.05,20.2,19.8,0.3,0.03,-0.21,1,0,0,13.0,10.0,0.0,0.0,20.0,25.0,0.0,1.0,0,58.0,36.0,19.0,65.5,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2018-2019,19,RB Leipzig,deGER,1.Bundesliga,28,"2,431",1,1.0,6.0,483.0,0.0,0.0,3.0,270.0,1.0,0.0,37,"3,184",2,1,27,"2,431",27.0,1,1.0,2.0,1,0,0,7,0,1.7,1.7,0.4,2.0,33.0,108.0,5.0,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.08,0.06,0.08,44.0,32.0,30.0,14.0,0.0,17.0,27.0,63.0,10.0,29.0,18.0,11.0,58.0,102.0,126.0,0.0,789.0,1042.0,75.7,14644.0,6121.0,299.0,364.0,82.1,378.0,466.0,81.1,92.0,159.0,57.9,1.0,0.4,0.4,0.6,6.0,76.0,5.0,1.0,108.0,1042.0,993.0,46.0,46.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,789.0,3.0,15.0,113.0,588.0,727.0,64.0,22.0,1362.0,26.0,22.0,84.6,4.0,15.4,579.0,4084.0,2569.0,33.0,16.0,1.0,19.0,10.0,646.0,5.0,1,13.0,3.0,23.1,0.48,0.11,0.08,0.33,11.7,0.0,0,0,1.7,1.7,0.13,-0.7,-0.7,26.0,0.96,19.0,1.0,2.0,2.0,2.0,0.0,3.0,0.11,1.0,0.0,2.0,0.0,0.0,0.0,"2,431",87,79.4,27.0,27,90.0,27,1,0.0,2,2.04,52,25,27,1.0,0.0,51.3,33.8,17.6,0.65,-0.44,7,0,0,37.0,25.0,0.0,2.0,58.0,32.0,0.0,1.0,0,140.0,97.0,36.0,72.9,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2019-2020,20,RB Leipzig,deGER,1.Bundesliga,8,569,0,0.0,1.0,90.0,0.0,0.0,2.0,112.0,0.0,0.0,11,771,0,0,6,569,6.3,0,0.0,0.0,0,0,0,2,0,0.1,0.1,0.1,0.2,9.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,11.0,6.0,10.0,1.0,0.0,2.0,7.0,28.6,5.0,9.0,4.0,5.0,5.0,16.0,35.0,1.0,305.0,345.0,88.4,5244.0,1747.0,125.0,134.0,93.3,152.0,168.0,90.5,20.0,34.0,58.8,0.0,0.1,0.2,-0.1,1.0,12.0,4.0,2.0,18.0,345.0,339.0,6.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,45.0,204.0,193.0,21.0,3.0,414.0,4.0,3.0,75.0,1.0,25.0,245.0,1500.0,866.0,9.0,6.0,1.0,4.0,1.0,265.0,3.0,0,1.0,0.0,0.0,0.16,0.0,0.0,,6.4,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1,3.0,0.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569,71,18.6,6.3,6,90.0,6,2,15.0,4,2.38,15,5,10,1.58,0.35,13.9,6.9,7.0,1.1,0.18,2,0,0,4.0,6.0,0.0,3.0,5.0,6.0,0.0,0.0,0,34.0,18.0,4.0,81.8,"£ 70,000(€ 80,579, $88,326)","£ 3,640,000(€ 4,190,127, $4,592,967)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2020-2021,21,RB Leipzig,deGER,1.Bundesliga,14,695,1,0.0,1.0,120.0,0.0,0.0,6.0,476.0,0.0,0.0,21,"1,291",1,0,8,695,7.7,1,0.0,1.0,1,0,0,2,0,0.7,0.7,0.0,0.7,6.0,29.0,1.0,0.13,0.0,0.13,0.13,0.13,0.09,0.0,0.09,0.09,0.09,6.0,4.0,2.0,3.0,1.0,2.0,8.0,25.0,6.0,6.0,3.0,3.0,8.0,14.0,24.0,0.0,480.0,561.0,85.6,9065.0,3046.0,152.0,171.0,88.9,288.0,317.0,90.9,34.0,61.0,55.7,0.0,0.0,0.1,0.0,0.0,27.0,0.0,0.0,29.0,561.0,542.0,15.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,4.0,0.0,57.0,268.0,338.0,25.0,9.0,628.0,8.0,8.0,100.0,0.0,0.0,419.0,2365.0,1373.0,6.0,5.0,0.0,3.0,7.0,472.0,1.0,1,4.0,2.0,50.0,0.52,0.26,0.25,0.5,9.1,0.0,0,0,0.7,0.7,0.18,0.3,0.3,2.0,0.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695,50,22.7,7.7,8,76.0,4,6,15.0,10,2.21,15,9,6,0.78,-0.06,11.9,8.0,3.9,0.51,-0.67,2,0,0,13.0,15.0,0.0,0.0,8.0,4.0,0.0,1.0,0,50.0,29.0,9.0,76.3,"£ 70,000(€ 81,366, $88,971)","£ 3,640,000(€ 4,231,031, $4,626,466)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2021-2022,22,Liverpool,engENG,1.Premier League,11,990,0,0.0,10.0,780.0,1.0,1.0,8.0,720.0,2.0,0.0,29,"2,490",3,1,11,990,11.0,0,0.0,0.0,0,0,0,2,0,0.2,0.2,0.0,0.2,7.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,16.0,10.0,9.0,6.0,1.0,7.0,10.0,70.0,3.0,13.0,9.0,4.0,16.0,32.0,37.0,1.0,663.0,754.0,87.9,12042.0,5092.0,237.0,257.0,92.2,379.0,410.0,92.4,38.0,67.0,56.7,0.0,0.0,0.2,0.0,0.0,47.0,5.0,0.0,51.0,754.0,745.0,7.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,663.0,2.0,1.0,69.0,341.0,496.0,20.0,6.0,855.0,3.0,2.0,66.7,1.0,33.3,497.0,2286.0,1467.0,7.0,2.0,0.0,4.0,1.0,581.0,2.0,0,4.0,0.0,0.0,0.36,0.0,0.0,,11.5,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,6.0,0.55,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,990,90,28.9,11.0,11,90.0,11,0,,26,2.27,28,10,18,1.64,-0.22,23.6,12.2,11.4,1.04,-0.57,2,0,0,10.0,3.0,0.0,0.0,16.0,10.0,0.0,0.0,0,64.0,34.0,19.0,64.2,"£ 70,000(€ 82,858, $89,043)","£ 3,640,000(€ 4,308,618, $4,630,220)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2022-2023,23,Liverpool,engENG,1.Premier League,18,"1,552",0,0.0,3.0,270.0,0.0,0.0,3.0,258.0,0.0,0.0,24,"2,080",0,0,17,"1,552",17.2,0,0.0,0.0,0,0,0,5,0,1.1,1.1,0.1,1.3,7.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,38.0,26.0,25.0,13.0,0.0,16.0,27.0,59.3,11.0,12.0,5.0,7.0,26.0,64.0,61.0,4.0,988.0,1135.0,87.0,17712.0,6925.0,374.0,413.0,90.6,539.0,588.0,91.7,59.0,109.0,54.1,0.0,0.1,0.8,-0.1,1.0,56.0,2.0,0.0,56.0,1135.0,1115.0,19.0,16.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,988.0,1.0,5.0,107.0,589.0,691.0,43.0,22.0,1317.0,14.0,10.0,71.4,2.0,14.3,830.0,3628.0,1871.0,7.0,7.0,0.0,12.0,4.0,918.0,5.0,0,11.0,3.0,27.3,0.64,0.17,0.0,0.0,9.7,0.0,0,0,1.1,1.1,0.1,-1.1,-1.1,17.0,0.99,12.0,0.0,1.0,2.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"1,552",86,45.4,17.2,17,90.0,17,1,22.0,3,1.72,34,22,12,0.7,-0.08,30.9,23.2,7.6,0.44,-0.19,5,0,0,29.0,15.0,1.0,1.0,26.0,26.0,0.0,1.0,1,107.0,46.0,14.0,76.7,"£ 70,000(€ 81,435, $92,490)","£ 3,640,000(€ 4,234,637, $4,809,468)",,https://fbref.com/es/jugadores/5ed9b537/Ibrahima-Konate
2023-2024,24,Liverpool,engENG,1.Premier League,22,"1,574",0,0.0,8.0,512.0,0.0,1.0,7.0,500.0,0.0,0.0,37,"2,586",0,1,17,"1,574",17.5,0,0.0,0.0,0,0,0,5,1,0.7,0.7,0.4,1.1,24.0,118.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,36.0,22.0,22.0,13.0,1.0,18.0,24.0,75.0,6.0,18.0,12.0,6.0,20.0,56.0,51.0,1.0,1286.0,1463.0,87.9,22733.0,9043.0,514.0,566.0,90.8,673.0,718.0,93.7,81.0,140.0,57.9,0.0,0.4,0.5,-0.4,8.0,145.0,8.0,0.0,118.0,1463.0,1426.0,35.0,24.0,5.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,1286.0,2.0,8.0,86.0,533.0,1018.0,80.0,16.0,1622.0,10.0,6.0,60.0,1.0,10.0,1081.0,5747.0,3590.0,24.0,17.0,0.0,8.0,5.0,1162.0,3.0,0,11.0,2.0,18.2,0.63,0.11,0.0,0.0,11.6,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,24.0,1.37,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"1,574",72,46.0,17.5,17,87.0,14,5,20.0,11,2.0,38,18,20,1.14,-0.08,41.3,21.9,19.4,1.11,0.01,5,1,1,25.0,13.0,0.0,1.0,20.0,22.0,0.0,0.0,0,97.0,77.0,31.0,71.3,,,,
2024-2025,25,Liverpool,engENG,1.Premier League,28,"2,320",1,2.0,4.0,158.0,0.0,0.0,7.0,647.0,1.0,0.0,39,"3,125",2,2,27,"2,320",25.8,1,2.0,3.0,1,0,0,5,0,1.7,1.7,1.0,2.7,21.0,103.0,3.0,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.1,0.07,0.1,36.0,25.0,24.0,11.0,1.0,24.0,34.0,70.6,10.0,27.0,15.0,12.0,12.0,48.0,124.0,2.0,1581.0,1751.0,90.3,29259.0,10055.0,547.0,584.0,93.7,937.0,985.0,95.1,88.0,158.0,55.7,2.0,1.0,0.9,1.0,10.0,125.0,8.0,0.0,103.0,1751.0,1708.0,41.0,38.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1581.0,2.0,9.0,211.0,854.0,1047.0,110.0,22.0,2005.0,4.0,2.0,50.0,1.0,25.0,1184.0,5470.0,3160.0,21.0,13.0,0.0,8.0,2.0,1454.0,3.0,1,18.0,3.0,16.7,0.7,0.12,0.06,0.33,10.5,0.0,0,0,1.7,1.7,0.1,-0.7,-0.7,30.0,1.16,25.0,0.0,0.0,4.0,0.0,1.0,7.0,0.27,6.0,0.0,0.0,0.0,0.0,1.0,"2,320",83,75.8,25.8,27,84.0,22,1,45.0,0,2.43,55,22,33,1.28,-0.54,53.1,20.9,32.2,1.25,-0.36,5,0,0,26.0,18.0,0.0,0.0,12.0,25.0,0.0,0.0,0,86.0,72.0,28.0,72.0,,,,
