Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,19,Olympiacos,grGRE,1.Super League,3,197,0,0,,,,,,,,,3,197,0,0,2,197,2.2,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.46,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,197,66,7.3,2.2,2,,2,1,,1,3.0,7,0,7,3.2,1.11,,,,,,1,0,,7.0,,,,,,,,,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2016-2017,20,Olympiacos,grGRE,1.Super League,1,62,0,0,,,,,,,,,1,62,0,0,1,62,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,62,62,2.3,0.7,1,,0,0,,0,0.0,0,0,0,0.0,-1.4,,,,,,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2016-2017,20,Esbjerg,dkDEN,1.Danish Superliga,9,689,2,2,,,,,,,,,9,689,2,2,8,689,7.7,2,2,4,2,0,0,3,0,,,,,,,,0.26,0.26,0.52,0.26,0.52,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,3.0,,0.0,0.39,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,689,77,23.9,7.7,8,,5,1,,2,1.25,9,7,2,0.26,1.25,,,,,,3,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 50,000(€ 58,119, $63,550)","£ 2,600,000(€ 3,022,165, $3,304,619)",,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2017-2018,21,Willem II,nlNED,1.Eredivisie,33,"2,813",3,3,,,,,,,,,33,"2,813",3,3,32,"2,813",31.3,3,3,6,3,0,0,3,0,,,,,,,,0.1,0.1,0.19,0.1,0.19,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,6.0,,0.0,0.19,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,813",85,91.9,31.3,32,,27,1,,0,1.09,41,58,-17,-0.54,-2.0,,,,,,3,0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 75,000(€ 88,776, $95,403)","£ 3,900,000(€ 4,616,377, $4,960,950)",Estimación no verificada,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2018-2019,22,Olympiacos,grGRE,1.Super League,15,"1,264",0,1,,,,,5.0,432.0,0.0,1.0,20,"1,696",0,2,13,"1,264",14.0,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,264",84,46.8,14.0,13,90.0,13,2,46.0,1,2.47,37,7,30,2.14,0.63,,,,,,2,0,0.0,,,,,,,,,0.0,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",Estimación no verificada,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2019-2020,23,Olympiacos,grGRE,1.Super League,27,"2,315",0,2,,,,,10.0,923.0,0.0,1.0,37,"3,238",0,3,27,"2,315",25.7,0,2,2,0,0,0,5,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,315",86,71.5,25.7,27,86.0,23,0,,0,2.44,50,12,38,1.48,-0.47,,,,,,5,0,0.0,,,,,,,,,0.0,,,,,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",Estimación no verificada,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2020-2021,24,Liverpool,engENG,1.Premier League,2,7,0,0,1.0,90.0,0.0,0.0,4.0,130.0,0.0,0.0,7,227,0,0,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,103.0,0.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,,0.0,,7.0,21.0,9.0,1.0,0.0,0.0,1.0,0.0,8.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,0.2,0.1,0,,0,2,4.0,20,1.5,0,0,0,0.0,-0.69,0.0,0.0,0.0,0.0,-0.65,0,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"£ 75,000(€ 87,252, $99,096)","£ 3,900,000(€ 4,537,111, $5,153,002)",Estimación no verificada,https://fbref.com/es/jugadores/f315ca93/Kostas-Tsimikas
2021-2022,25,Liverpool,engENG,1.Premier League,13,877,0,2,8.0,494.0,0.0,2.0,5.0,344.0,0.0,2.0,26,"1,715",0,6,9,877,9.7,0,2,2,0,0,0,3,0,0.6,0.6,2.7,3.3,48.0,47.0,109.0,0.0,0.21,0.21,0.0,0.21,0.06,0.27,0.34,0.06,0.34,27.0,12.0,12.0,8.0,7.0,12.0,16.0,75.0,4.0,6.0,2.0,4.0,10.0,37.0,22.0,2.0,508.0,705.0,72.1,8423.0,2744.0,249.0,278.0,89.6,219.0,288.0,76.0,36.0,98.0,36.7,2,2.7,1.9,-0.7,25.0,34.0,16.0,7.0,47.0,705.0,573.0,131.0,11.0,0.0,2.0,116.0,76.0,44.0,7.0,35.0,0.0,508.0,1.0,24.0,39.0,170.0,313.0,332.0,32.0,809.0,20.0,8.0,40.0,12.0,60.0,430.0,2581.0,1422.0,48.0,22.0,7.0,8.0,5.0,485.0,109.0,0,8.0,2.0,25.0,0.82,0.21,0.0,0.0,16.9,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,42.0,4.31,26.0,13.0,1.0,2.0,0.0,0.0,3.0,0.31,2.0,1.0,0.0,0.0,0.0,0.0,877,67,25.6,9.7,9,90.0,8,4,17.0,23,2.15,23,6,17,1.74,-0.06,23.9,7.0,17.0,1.74,0.4,3,0,0.0,20.0,6.0,0.0,116.0,10.0,12.0,0.0,0.0,0.0,62.0,12.0,11.0,52.2,,,,
2022-2023,26,Liverpool,engENG,1.Premier League,20,771,0,4,2.0,210.0,0.0,0.0,6.0,342.0,0.0,2.0,28,"1,323",0,6,9,771,8.6,0,4,4,0,0,0,3,0,0.3,0.3,1.5,1.9,23.0,26.0,77.0,0.0,0.47,0.47,0.0,0.47,0.04,0.18,0.22,0.04,0.22,14.0,9.0,10.0,2.0,2.0,10.0,16.0,62.5,6.0,8.0,1.0,7.0,12.0,26.0,15.0,0.0,474.0,618.0,76.7,8379.0,2366.0,223.0,255.0,87.5,185.0,225.0,82.2,56.0,111.0,50.5,4,1.5,1.3,2.5,18.0,20.0,7.0,4.0,26.0,618.0,470.0,146.0,23.0,1.0,2.0,85.0,87.0,36.0,11.0,23.0,0.0,474.0,2.0,9.0,23.0,170.0,281.0,268.0,22.0,713.0,15.0,4.0,26.7,8.0,53.3,355.0,1833.0,874.0,23.0,9.0,5.0,13.0,7.0,409.0,77.0,0,7.0,2.0,28.6,0.82,0.23,0.0,0.0,15.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,27.0,3.14,12.0,13.0,0.0,2.0,0.0,0.0,4.0,0.47,3.0,1.0,0.0,0.0,0.0,0.0,771,39,22.5,8.6,9,67.0,2,11,15.0,17,1.65,14,11,3,0.35,-0.5,13.9,13.6,0.3,0.03,-0.67,3,0,0.0,13.0,9.0,0.0,85.0,12.0,9.0,0.0,0.0,0.0,50.0,7.0,7.0,50.0,,,,
2023-2024,27,Liverpool,engENG,1.Premier League,13,679,0,3,6.0,391.0,0.0,1.0,6.0,396.0,0.0,0.0,25,"1,466",0,4,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,24.0,31.0,73.0,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15,19.0,13.0,9.0,6.0,4.0,9.0,15.0,60.0,6.0,9.0,1.0,8.0,6.0,25.0,10.0,0.0,383.0,500.0,76.6,6585.0,1715.0,185.0,206.0,89.8,145.0,183.0,79.2,42.0,85.0,49.4,3,1.0,1.3,2.0,16.0,16.0,7.0,4.0,31.0,500.0,389.0,110.0,14.0,0.0,1.0,72.0,67.0,29.0,7.0,22.0,0.0,383.0,1.0,10.0,17.0,119.0,235.0,225.0,17.0,573.0,15.0,4.0,26.7,10.0,66.7,310.0,1689.0,861.0,24.0,20.0,3.0,9.0,4.0,338.0,73.0,0,3.0,0.0,0.0,0.4,0.0,0.0,,23.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,32.0,4.24,20.0,9.0,0.0,0.0,2.0,1.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,679,52,19.9,7.5,8,79.0,6,5,9.0,17,2.15,16,7,9,1.19,0.01,14.3,8.4,5.8,0.77,-0.41,0,0,0.0,11.0,7.0,1.0,72.0,6.0,13.0,0.0,0.0,0.0,43.0,3.0,13.0,18.8,,,,
