Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Liverpool,engENG,Jr.PL2 — Div. 1,12,"1,072",4,4,,,,,,,,,12,"1,072",4,4,12,"1,072",11.9,4,4,8,4,0,0,3,0,,,,,,,,0.34,0.34,0.67,0.34,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,072",89,54.1,11.9,12,89.0,11,0,,0,2.58,35,12,23,1.93,2.23,,,,,,3,0,0,,,,,,,,,0,,,,,"£ 3,000(€ 3,453, $3,785)","£ 156,000(€ 179,577, $196,841)",Estimación no verificada,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2016-2017,17,Liverpool,engENG,1.Premier League,7,167,0,0,5.0,427.0,0.0,1.0,,,,,12,594,0,1,2,167,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,2.0,66.7,1.62,1.08,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,167,24,4.9,1.9,2,,1,5,,16,2.29,1,2,-1,-0.54,-1.56,,,,,,0,0,0,1.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0,,,,,"£ 12,000(€ 13,814, $15,142)","£ 624,000(€ 718,308, $787,366)",Estimación no verificada,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2017-2018,18,Liverpool,engENG,Jr.PL2 — Div. 1,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,4.5,1.0,1,90.0,1,0,,0,3.0,3,1,2,2.0,1.33,,,,,,0,0,0,,,,,,,,,0,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2017-2018,18,Liverpool,engENG,1.Premier League,19,"1,573",1,1,2.0,104.0,0.0,0.0,10.0,820.0,1.0,1.0,31,"2,497",2,2,18,"1,573",17.5,1,1,2,1,0,0,3,0,1.0,1.0,2.6,3.6,39.0,94.0,126.0,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21,37.0,25.0,23.0,9.0,5.0,22.0,36.0,61.1,14.0,20.0,5.0,15.0,28.0,65.0,46.0,1.0,963.0,1309.0,73.6,17689.0,5965.0,408.0,458.0,89.1,418.0,546.0,76.6,117.0,243.0,48.1,1,2.6,1.7,-1.6,25.0,76.0,25.0,6.0,94.0,1309.0,1083.0,222.0,15.0,3.0,11.0,102.0,196.0,11.0,7.0,3.0,1.0,963.0,4.0,39.0,39.0,374.0,718.0,409.0,28.0,1487.0,33.0,20.0,60.6,13.0,39.4,743.0,3232.0,1791.0,39.0,38.0,9.0,18.0,13.0,910.0,126.0,1,12.0,5.0,41.7,0.69,0.29,0.08,0.2,21.5,1.0,0,0,1.0,1.0,0.08,0.0,0.0,42.0,2.4,29.0,7.0,2.0,2.0,0.0,2.0,3.0,0.17,2.0,0.0,1.0,0.0,0.0,0.0,"1,573",83,46.0,17.5,18,,14,1,,16,1.89,39,17,22,1.26,0.09,33.8,15.7,18.1,1.03,0.01,3,0,0,12.0,1.0,3.0,102.0,28.0,25.0,0.0,0.0,0,133.0,5.0,17.0,22.7,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2018-2019,19,Liverpool,engENG,1.Premier League,29,"2,462",1,12,,,,,11.0,919.0,0.0,2.0,40,"3,381",1,14,27,"2,462",27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70.0,157.0,174.0,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29,61.0,39.0,31.0,22.0,8.0,36.0,68.0,52.9,32.0,19.0,3.0,16.0,35.0,96.0,68.0,0.0,1644.0,2236.0,73.5,30562.0,10915.0,692.0,794.0,87.2,712.0,902.0,78.9,208.0,422.0,49.3,12,6.3,6.6,5.7,48.0,123.0,55.0,25.0,157.0,2236.0,1774.0,449.0,51.0,3.0,40.0,201.0,324.0,74.0,28.0,31.0,3.0,1644.0,13.0,51.0,70.0,528.0,1210.0,798.0,39.0,2514.0,27.0,14.0,51.9,13.0,48.1,1416.0,5548.0,3296.0,70.0,64.0,7.0,41.0,14.0,1538.0,174.0,1,29.0,9.0,31.0,1.06,0.33,0.03,0.11,25.1,9.0,0,0,1.6,1.6,0.05,-0.6,-0.6,96.0,3.51,62.0,24.0,6.0,2.0,1.0,1.0,18.0,0.66,13.0,5.0,0.0,0.0,0.0,0.0,"2,462",85,72.0,27.4,27,88.0,20,2,40.0,4,2.69,67,14,53,1.94,0.62,58.8,21.2,37.6,1.38,0.69,3,0,0,14.0,7.0,4.0,201.0,35.0,39.0,0.0,0.0,0,169.0,9.0,23.0,28.1,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2019-2020,20,Liverpool,engENG,1.Premier League,38,"3,175",4,13,1.0,66.0,0.0,0.0,8.0,613.0,0.0,1.0,47,"3,854",4,14,35,"3,175",35.3,4,13,17,4,0,0,5,0,2.8,2.8,10.9,13.7,98.0,247.0,226.0,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,55.0,34.0,35.0,17.0,3.0,36.0,78.0,46.2,42.0,27.0,9.0,18.0,45.0,100.0,84.0,3.0,2278.0,3230.0,70.5,43250.0,16071.0,993.0,1095.0,90.7,912.0,1250.0,73.0,315.0,700.0,45.0,13,10.9,9.7,2.1,87.0,190.0,88.0,31.0,247.0,3230.0,2573.0,645.0,87.0,5.0,103.0,382.0,396.0,162.0,45.0,76.0,2.0,2278.0,12.0,69.0,99.0,825.0,1590.0,1194.0,54.0,3583.0,51.0,21.0,41.2,30.0,58.8,2137.0,9099.0,5332.0,98.0,113.0,16.0,47.0,12.0,2281.0,226.0,4,44.0,13.0,29.5,1.25,0.37,0.09,0.31,22.6,13.0,0,0,2.8,2.8,0.06,1.2,1.2,155.0,4.39,93.0,51.0,3.0,6.0,1.0,1.0,24.0,0.68,15.0,7.0,0.0,2.0,0.0,0.0,"3,175",84,92.8,35.3,35,88.0,31,3,26.0,0,2.61,80,32,48,1.36,-0.11,65.7,36.7,29.0,0.82,0.04,5,0,0,22.0,9.0,3.0,382.0,45.0,34.0,0.0,0.0,0,221.0,15.0,30.0,33.3,"£ 180,000(€ 207,204, $227,125)","£ 9,360,000(€ 10,774,613, $11,810,487)",,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2020-2021,21,Liverpool,engENG,1.Premier League,36,"3,031",2,7,1.0,90.0,0.0,0.0,8.0,711.0,0.0,2.0,45,"3,832",2,9,34,"3,031",33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98.0,251.0,249.0,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33,56.0,33.0,31.0,18.0,7.0,36.0,56.0,64.3,20.0,24.0,3.0,21.0,49.0,105.0,50.0,3.0,2245.0,3015.0,74.5,40719.0,15754.0,1064.0,1184.0,89.9,897.0,1145.0,78.3,256.0,545.0,47.0,7,8.6,7.5,-1.6,77.0,193.0,101.0,29.0,251.0,3015.0,2516.0,488.0,56.0,6.0,55.0,297.0,326.0,106.0,16.0,61.0,2.0,2245.0,11.0,52.0,73.0,699.0,1494.0,1151.0,81.0,3318.0,61.0,32.0,52.5,29.0,47.5,1992.0,9462.0,5442.0,98.0,95.0,24.0,31.0,22.0,2202.0,249.0,2,55.0,12.0,21.8,1.63,0.36,0.04,0.17,24.9,18.0,0,0,2.6,2.6,0.05,-0.6,-0.6,131.0,3.89,84.0,34.0,6.0,7.0,0.0,0.0,13.0,0.39,8.0,2.0,1.0,2.0,0.0,0.0,"3,031",84,88.6,33.7,34,88.0,30,2,19.0,0,1.81,60,40,20,0.59,-0.79,61.2,37.5,23.8,0.71,0.53,2,0,0,21.0,9.0,5.0,297.0,49.0,33.0,0.0,1.0,0,258.0,8.0,23.0,25.8,"£ 180,000(€ 209,227, $228,781)","£ 9,360,000(€ 10,879,794, $11,896,627)",,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2021-2022,22,Liverpool,engENG,1.Premier League,32,"2,853",2,12,6.0,585.0,0.0,3.0,9.0,791.0,0.0,3.0,47,"4,229",2,18,32,"2,853",31.7,2,12,14,2,0,0,2,0,2.4,2.4,12.0,14.4,53.0,267.0,201.0,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,40.0,23.0,19.0,13.0,8.0,27.0,60.0,45.0,33.0,22.0,4.0,18.0,43.0,83.0,40.0,0.0,2039.0,2757.0,74.0,40112.0,15683.0,841.0,964.0,87.2,811.0,1048.0,77.4,344.0,636.0,54.1,12,12.0,13.0,0.0,90.0,245.0,85.0,25.0,267.0,2757.0,2204.0,548.0,93.0,17.0,69.0,273.0,324.0,131.0,29.0,89.0,0.0,2039.0,5.0,34.0,71.0,602.0,1386.0,1070.0,83.0,3036.0,39.0,19.0,48.7,20.0,51.3,1504.0,5687.0,2824.0,53.0,55.0,14.0,41.0,19.0,1897.0,201.0,2,51.0,15.0,29.4,1.61,0.47,0.04,0.13,24.0,8.0,0,0,2.4,2.4,0.05,-0.4,-0.4,160.0,5.05,96.0,53.0,3.0,7.0,1.0,0.0,18.0,0.57,13.0,4.0,0.0,1.0,0.0,0.0,"2,853",89,83.4,31.7,32,89.0,30,0,,2,2.38,80,22,58,1.83,0.24,74.1,30.0,44.1,1.39,-0.32,2,0,0,12.0,7.0,11.0,273.0,43.0,23.0,0.0,0.0,0,235.0,15.0,13.0,53.6,"£ 180,000(€ 213,064, $228,967)","£ 9,360,000(€ 11,079,304, $11,906,280)",,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2022-2023,23,Liverpool,engENG,1.Premier League,37,"2,923",2,9,3.0,215.0,1.0,1.0,7.0,625.0,1.0,0.0,47,"3,763",4,10,34,"2,923",32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43.0,235.0,139.0,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43,57.0,40.0,32.0,16.0,9.0,42.0,80.0,52.5,38.0,25.0,7.0,18.0,43.0,100.0,41.0,2.0,2188.0,2912.0,75.1,41590.0,16323.0,1000.0,1123.0,89.0,822.0,1045.0,78.7,331.0,642.0,51.6,9,11.5,9.1,-2.5,71.0,239.0,82.0,28.0,235.0,2912.0,2393.0,509.0,70.0,26.0,59.0,252.0,341.0,98.0,16.0,74.0,1.0,2188.0,10.0,37.0,89.0,737.0,1631.0,837.0,44.0,3180.0,45.0,30.0,66.7,13.0,28.9,1778.0,6848.0,3312.0,43.0,39.0,8.0,35.0,21.0,2042.0,139.0,2,40.0,8.0,20.0,1.23,0.25,0.05,0.25,23.8,5.0,0,0,2.4,2.4,0.06,-0.4,-0.4,124.0,3.82,81.0,34.0,3.0,5.0,1.0,0.0,17.0,0.52,14.0,2.0,1.0,0.0,0.0,0.0,"2,923",79,85.5,32.5,34,85.0,23,3,16.0,1,1.78,70,44,26,0.8,0.44,63.1,42.5,20.7,0.64,0.62,5,0,0,22.0,6.0,5.0,252.0,43.0,40.0,0.0,0.0,0,239.0,20.0,13.0,60.6,"£ 180,000(€ 209,405, $237,831)","£ 9,360,000(€ 10,889,067, $12,367,204)",,https://fbref.com/es/jugadores/cd1acf9d/Trent-Alexander-Arnold
2023-2024,24,Liverpool,engENG,1.Premier League,28,"2,155",3,4,4.0,176.0,0.0,3.0,5.0,278.0,0.0,3.0,37,"2,609",3,10,25,"2,155",23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45.0,205.0,97.0,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4,39.0,26.0,26.0,11.0,2.0,27.0,87.0,31.0,60.0,22.0,2.0,20.0,31.0,70.0,48.0,5.0,1553.0,2062.0,75.3,30386.0,12434.0,676.0,734.0,92.1,607.0,762.0,79.7,244.0,495.0,49.3,4,7.2,6.1,-3.2,64.0,202.0,57.0,18.0,205.0,2062.0,1705.0,346.0,77.0,22.0,32.0,168.0,198.0,71.0,10.0,52.0,0.0,1553.0,11.0,23.0,75.0,523.0,1217.0,582.0,34.0,2296.0,52.0,28.0,53.8,21.0,40.4,1250.0,5701.0,2724.0,45.0,48.0,7.0,27.0,6.0,1492.0,97.0,3,47.0,8.0,17.0,1.96,0.33,0.06,0.38,24.4,5.0,0,0,2.6,2.3,0.05,0.4,0.7,126.0,5.27,80.0,33.0,5.0,6.0,0.0,2.0,7.0,0.29,4.0,3.0,0.0,0.0,0.0,0.0,"2,155",77,63.0,23.9,25,83.0,14,3,28.0,0,2.0,53,28,25,1.04,-0.38,54.5,28.5,26.0,1.09,-0.05,6,0,0,9.0,9.0,2.0,168.0,31.0,26.0,0.0,0.0,0,176.0,8.0,6.0,57.1,,,,
