Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,17,Novara,itITA,2.Serie B,21,"1,313",4,1,,,,,,,,,21,"1,313",4,1,15,"1,313",14.6,4,1,5,4,0,0,2,0,,,,,,,,0.27,0.07,0.34,0.27,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11,,,0.75,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,313",63,34.7,14.6,15,,,6,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 4,615(£ 4,009, $5,058)","€ 240,000(£ 208,470, $263,035)",Estimación no verificada,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2013-2014,18,Udinese,itITA,1.Serie A,24,"1,553",4,5,,,,,,,,,24,"1,553",4,5,17,"1,553",17.3,4,5,9,4,0,0,4,0,,,,,,,,0.23,0.29,0.52,0.23,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,22,,,1.27,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,553",65,45.4,17.3,17,,7.0,7,,,,,,,,,,,,,,4,0,,26.0,,,,,,,,,,,,,"€ 8,269(£ 7,183, $9,063)","€ 430,000(£ 373,509, $471,271)",Estimación no verificada,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2014-2015,19,Udinese,itITA,1.Serie A,31,"1,611",3,2,3.0,280.0,1.0,0.0,,,,,34,"1,891",4,2,16,"1,611",17.9,3,2,5,3,0,0,5,0,,,,,,,,0.17,0.11,0.28,0.17,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12,,,0.67,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,611",52,47.1,17.9,16,,6.0,15,,6.0,1.0,17.0,22.0,-5.0,-0.28,0.12,,,,,,5,0,,25.0,,,,,,,,,,,,,"€ 14,615(£ 12,695, $16,018)","€ 760,000(£ 660,155, $832,943)",Estimación no verificada,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2015-2016,20,Udinese,itITA,1.Serie A,31,"2,110",3,4,2.0,180.0,0.0,0.0,,,,,33,"2,290",3,4,24,"2,110",23.4,3,4,7,2,1,1,9,1,,,,,,,,0.13,0.17,0.3,0.09,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,16,,,0.68,,0.13,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,110",68,61.7,23.4,24,,10.0,7,,5.0,0.97,24.0,36.0,-12.0,-0.51,0.38,,,,,,9,1,1.0,24.0,,,,,,,,,,,,,"€ 23,846(£ 20,713, $26,135)","€ 1,240,000(£ 1,077,095, $1,359,013)",Estimación no verificada,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2016-2017,21,Sampdoria,itITA,1.Serie A,33,"1,714",5,2,2.0,123.0,0.0,1.0,,,,,35,"1,837",5,3,22,"1,714",19.0,5,2,7,5,0,0,2,0,,,,,,,,0.26,0.11,0.37,0.26,0.37,,,,,,,13.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,60.0,19,31.7,3.15,1.0,0.08,0.26,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,714",52,50.1,19.0,22,,4.0,11,,5.0,1.36,24.0,25.0,-1.0,-0.05,0.21,,,,,,2,0,0.0,21.0,40.0,3.0,121.0,11.0,13.0,0.0,0.0,0.0,,,,,"£ 180,000(€ 207,204, $227,125)","£ 9,360,000(€ 10,774,613, $11,810,487)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2017-2018,22,Sporting CP,ptPOR,1.Primeira Liga,33,"2,796",11,8,,,,,12.0,"1,104",4.0,5.0,45,"3,900",15,13,32,"2,796",31.1,11,8,19,9,2,2,6,0,,,,,,,,0.35,0.26,0.61,0.29,0.55,,,,,,,50.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,91.0,36,39.6,2.93,1.16,0.1,0.25,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,796",85,91.4,31.1,32,,23.0,1,,0.0,2.27,59.0,23.0,36.0,1.16,0.14,,,,,,6,0,0.0,39.0,69.0,12.0,216.0,29.0,50.0,0.0,0.0,0.0,,,,,"£ 180,000(€ 207,204, $227,125)","£ 9,360,000(€ 10,774,613, $11,810,487)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2018-2019,23,Sporting CP,ptPOR,1.Primeira Liga,33,"2,940",20,13,,,,,8.0,702,3.0,2.0,41,"3,642",23,15,33,"2,940",32.7,20,13,33,14,6,6,9,0,13.0,8.3,8.6,16.9,93.0,298.0,235.0,0.61,0.4,1.01,0.43,0.83,0.4,0.26,0.66,0.25,0.52,56.0,41.0,24.0,23.0,9.0,16.0,55.0,29.1,39.0,28.0,5.0,23.0,14.0,70.0,24.0,0.0,1421.0,2017.0,70.5,27218.0,9811.0,578.0,706.0,81.9,565.0,729.0,77.5,228.0,432.0,52.8,13,8.6,9.2,4.4,104.0,208.0,76.0,20.0,298.0,2017.0,1739.0,262.0,88.0,7.0,26.0,199.0,41.0,101.0,19.0,56.0,8.0,1421.0,16.0,62.0,28.0,247.0,1138.0,1010.0,101.0,2362.0,49.0,31.0,63.3,18.0,36.7,1330.0,6827.0,3356.0,93.0,68.0,15.0,71.0,61.0,1720.0,235.0,20,114.0,49,43.0,3.49,1.5,0.12,0.29,23.7,12.0,6,6,13.0,8.3,0.07,7.0,5.7,226.0,6.92,153.0,43.0,5.0,10.0,13.0,2.0,29.0,0.89,19.0,2.0,2.0,3.0,3.0,0.0,"2,940",89,96.1,32.7,33,89.0,30.0,0,,0.0,2.15,70.0,30.0,40.0,1.22,1.97,60.6,35.3,25.3,0.78,1.91,9,0,0.0,52.0,80.0,5.0,199.0,14.0,41.0,1.0,0.0,0.0,196.0,26.0,40.0,39.4,"£ 240,000(€ 276,272, $302,833)","£ 12,480,000(€ 14,366,151, $15,747,316)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2019-2020,24,Sporting CP,ptPOR,1.Primeira Liga,17,"1,529",8,7,,,,,5.0,449,5.0,3.0,22,"1,978",13,10,17,"1,529",17.0,8,7,15,4,4,4,5,1,6.9,3.8,7.2,11.0,48.0,167.0,123.0,0.47,0.41,0.88,0.24,0.65,0.41,0.43,0.83,0.22,0.65,39.0,28.0,10.0,18.0,11.0,8.0,30.0,26.7,22.0,20.0,1.0,19.0,4.0,43.0,15.0,0.0,776.0,1086.0,71.5,14434.0,5007.0,334.0,400.0,83.5,300.0,378.0,79.4,109.0,212.0,51.4,7,7.2,5.2,-0.2,63.0,120.0,42.0,8.0,167.0,1086.0,928.0,146.0,47.0,15.0,27.0,106.0,14.0,64.0,15.0,31.0,2.0,776.0,12.0,34.0,16.0,118.0,644.0,562.0,48.0,1295.0,45.0,30.0,66.7,15.0,33.3,644.0,3915.0,1845.0,48.0,40.0,11.0,43.0,36.0,917.0,123.0,8,56.0,19,33.9,3.3,1.12,0.07,0.21,24.8,14.0,4,4,6.9,3.8,0.07,1.1,0.2,118.0,6.95,68.0,22.0,10.0,8.0,9.0,1.0,12.0,0.71,7.0,1.0,1.0,1.0,1.0,1.0,"1,529",90,50.0,17.0,17,90.0,16.0,0,,0.0,1.88,28.0,18.0,10.0,0.59,0.29,26.9,19.1,7.9,0.46,0.16,5,1,1.0,26.0,45.0,7.0,106.0,4.0,28.0,1.0,0.0,0.0,86.0,12.0,10.0,54.5,"£ 240,000(€ 278,969, $305,042)","£ 12,480,000(€ 14,506,393, $15,862,170)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2019-2020,24,Manchester Utd,engENG,1.Premier League,14,"1,186",8,7,3.0,276.0,1.0,0.0,5.0,361,3.0,1.0,22,"1,823",12,8,14,"1,186",13.2,8,7,15,4,4,4,2,0,6.2,3.0,2.5,5.5,34.0,110.0,92.0,0.61,0.53,1.14,0.3,0.83,0.47,0.19,0.66,0.23,0.42,22.0,12.0,9.0,9.0,4.0,5.0,38.0,13.2,33.0,6.0,0.0,6.0,11.0,33.0,16.0,0.0,607.0,861.0,70.5,10342.0,2939.0,319.0,369.0,86.4,199.0,276.0,72.1,71.0,152.0,46.7,7,2.5,2.3,4.5,30.0,66.0,25.0,2.0,110.0,861.0,758.0,99.0,24.0,8.0,14.0,75.0,5.0,56.0,23.0,22.0,0.0,607.0,4.0,20.0,18.0,98.0,438.0,479.0,39.0,1002.0,21.0,15.0,71.4,6.0,28.6,554.0,2610.0,1487.0,34.0,32.0,7.0,29.0,13.0,737.0,92.0,8,40.0,14,35.0,3.04,1.06,0.1,0.29,24.6,7.0,4,4,6.2,3.0,0.08,1.8,1.0,53.0,4.02,36.0,10.0,1.0,3.0,3.0,0.0,12.0,0.91,6.0,3.0,0.0,0.0,3.0,0.0,"1,186",85,34.7,13.2,14,85.0,7.0,0,,0.0,2.29,28.0,6.0,22.0,1.67,1.35,20.8,11.6,9.2,0.7,0.08,2,0,0.0,9.0,14.0,2.0,75.0,11.0,12.0,2.0,0.0,0.0,67.0,3.0,11.0,21.4,"£ 240,000(€ 284,085, $305,289)","£ 12,480,000(€ 14,772,405, $15,875,040)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
2020-2021,25,Manchester Utd,engENG,1.Premier League,37,"3,099",18,12,6.0,293.0,1.0,1.0,15.0,"1,181",9.0,5.0,58,"4,573",28,18,35,"3,099",34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80.0,285.0,263.0,0.52,0.35,0.87,0.26,0.61,0.47,0.33,0.8,0.24,0.57,57.0,30.0,16.0,29.0,12.0,26.0,100.0,26.0,74.0,38.0,0.0,38.0,26.0,83.0,29.0,0.0,1733.0,2338.0,74.1,29646.0,8587.0,871.0,1008.0,86.4,560.0,728.0,76.9,218.0,366.0,59.6,12,11.4,9.7,0.6,95.0,193.0,90.0,8.0,285.0,2338.0,2097.0,220.0,63.0,12.0,43.0,166.0,40.0,59.0,27.0,21.0,2.0,1733.0,21.0,68.0,40.0,284.0,1165.0,1279.0,124.0,2700.0,45.0,23.0,51.1,22.0,48.9,1496.0,6475.0,3529.0,80.0,76.0,10.0,56.0,37.0,2063.0,263.0,18,111.0,40,36.0,3.22,1.16,0.08,0.23,22.9,16.0,9,10,16.1,8.2,0.07,1.9,0.8,184.0,5.34,136.0,21.0,3.0,14.0,9.0,1.0,25.0,0.73,22.0,1.0,0.0,2.0,0.0,0.0,"3,099",84,90.6,34.4,35,87.0,23.0,2,29.0,0.0,1.92,68.0,36.0,32.0,0.93,1.77,55.6,35.0,20.6,0.6,1.15,6,0,0.0,43.0,52.0,3.0,166.0,26.0,30.0,0.0,1.0,0.0,162.0,15.0,41.0,26.8,"£ 300,000(€ 349,009, $396,385)","£ 15,600,000(€ 18,148,446, $20,612,007)",,https://fbref.com/es/jugadores/507c7bdf/Bruno-Fernandes
