Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,17,Ajax,nlNED,1.Eredivisie,15,611,0,1,,,,,2.0,107,0.0,0.0,17,718,0,1,5,611,6.8,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.15,0.15,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9,,,1.33,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,611,41,20.0,6.8,5,,2,10,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2010-2011,18,Ajax,nlNED,1.Eredivisie,28,"1,970",6,10,,,,,8.0,437,1.0,2.0,36,"2,407",7,12,21,"1,970",21.9,6,10,16,6,0,0,1,0,,,,,,,,0.27,0.46,0.73,0.27,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,28,,,1.28,,0.21,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,970",70,64.4,21.9,21,,17,7,,,,,,,,,,,,,,1,0,,9,,,,,,,,,,,,,"£ 65,000(€ 74,824, $82,017)","£ 3,380,000(€ 3,890,833, $4,264,898)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2011-2012,19,Ajax,nlNED,1.Eredivisie,33,"2,829",7,17,,,,,8.0,680,1.0,2.0,41,"3,509",8,19,33,"2,829",31.4,7,17,24,7,0,0,2,0,,,,,,,,0.22,0.54,0.76,0.22,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,32,,,1.02,,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,829",86,92.5,31.4,33,,25,0,,,,,,,,,,,,,,2,0,,17,,,,,,,,,,,,,"£ 65,000(€ 74,824, $82,017)","£ 3,380,000(€ 3,890,833, $4,264,898)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2012-2013,20,Ajax,nlNED,1.Eredivisie,33,"2,887",10,13,,,,,8.0,750,1.0,5.0,41,"3,637",11,18,33,"2,887",32.1,10,13,23,10,0,0,0,0,,,,,,,,0.31,0.41,0.72,0.31,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,41,,,1.28,,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,887",87,94.3,32.1,33,,27,0,,,,,,,,,,,,,,0,0,,24,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2013-2014,21,Ajax,nlNED,1.Eredivisie,4,360,2,3,,,,,,,,,4,360,2,3,4,360,4.0,2,3,5,2,0,0,1,0,,,,,,,,0.5,0.75,1.25,0.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,2.0,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,360,90,11.8,4.0,4,,4,0,,,,,,,,,,,,,,1,0,,3,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2013-2014,21,Tottenham,engENG,1.Premier League,25,"1,975",7,8,,,,,9.0,455,3.0,2.0,34,"2,430",10,10,23,"1,975",21.9,7,8,15,7,0,0,3,0,,,,,,,,0.32,0.36,0.68,0.32,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,28,,,1.28,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,975",79,57.7,21.9,23,,14,2,,,,,,,,,,,,,,3,0,,9,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2014-2015,22,Tottenham,engENG,1.Premier League,38,"3,131",10,2,6.0,477.0,2.0,2.0,4.0,257,0.0,0.0,48,"3,865",12,4,37,"3,131",34.8,10,2,12,10,0,0,4,0,,,,,,,,0.29,0.06,0.34,0.29,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,26,,,0.75,,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,131",82,91.5,34.8,37,,26,1,,0.0,1.68,54.0,49.0,5.0,0.14,0.14,,,,,,4,0,,16,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2015-2016,23,Tottenham,engENG,1.Premier League,35,"2,933",6,13,5.0,390.0,1.0,0.0,7.0,574,1.0,1.0,47,"3,897",8,14,33,"2,933",32.6,6,13,19,6,0,0,2,0,,,,,,,,0.18,0.4,0.58,0.18,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,42,,,1.29,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,933",84,85.8,32.6,33,,23,2,,0.0,1.86,63.0,32.0,31.0,0.95,0.4,,,,,,2,0,,13,,,,,,,,,,,,,"€ 185,000(£ 160,696, $202,756)","€ 9,620,000(£ 8,356,169, $10,543,310)",,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2016-2017,24,Tottenham,engENG,1.Premier League,36,"3,157",8,15,4.0,320.0,3.0,5.0,8.0,550,1.0,1.0,48,"4,027",12,21,36,"3,157",35.1,8,15,23,8,0,0,0,0,,,,,,,,0.23,0.43,0.66,0.23,0.66,,,,,,,35.0,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,133.0,45,33.8,3.79,1.28,0.06,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,157",88,92.3,35.1,36,,26,0,,2.0,2.22,76.0,24.0,52.0,1.48,-1.26,,,,,,0,0,0.0,20,27.0,2.0,246.0,25.0,35.0,0.0,0.0,0.0,,,,,"€ 185,000(£ 160,696, $202,756)","€ 9,620,000(£ 8,356,169, $10,543,310)",,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
2017-2018,25,Tottenham,engENG,1.Premier League,37,"3,218",10,10,4.0,220.0,2.0,1.0,6.0,535,2.0,1.0,47,"3,973",14,12,37,"3,218",35.8,10,10,20,10,0,0,0,0,7.0,7.0,11.6,18.6,83.0,333.0,237.0,0.28,0.28,0.56,0.28,0.56,0.2,0.32,0.52,0.2,0.52,51.0,29.0,16.0,30.0,5.0,17.0,59.0,28.8,42.0,38.0,1.0,37.0,31.0,82.0,21.0,0.0,1919.0,2509.0,76.5,35000.0,9566.0,820.0,947.0,86.6,838.0,1042.0,80.4,226.0,398.0,56.8,10,11.6,10.7,-1.6,95.0,264.0,66.0,8.0,333.0,2509.0,2221.0,270.0,105.0,24.0,28.0,222.0,11.0,125.0,48.0,48.0,6.0,1919.0,18.0,57.0,19.0,189.0,1472.0,1225.0,93.0,2863.0,53.0,29.0,54.7,24.0,45.3,1604.0,8387.0,3836.0,83.0,103.0,11.0,75.0,72.0,2081.0,237.0,10,97.0,39,40.2,2.71,1.09,0.1,0.26,23.0,16.0,0,0,7.0,7.0,0.07,3.0,3.0,181.0,5.06,129.0,33.0,6.0,11.0,2.0,0.0,15.0,0.42,10.0,4.0,0.0,1.0,0.0,0.0,"3,218",87,94.1,35.8,37,,29,0,,0.0,2.05,71.0,33.0,38.0,1.06,1.06,62.2,31.8,30.4,0.85,0.66,0,0,0.0,14,21.0,1.0,222.0,31.0,29.0,0.0,0.0,0.0,227.0,17.0,27.0,38.6,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/980522ec/Christian-Eriksen
