Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18.0,Hoffenheim,deGER,1.Bundesliga,1.0,1,0.0,0.0,,,,,,,,,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,0.0,0.0,,0.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.44,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"€ 6,731(£ 5,847, $7,377)","€ 350,000(£ 304,019, $383,592)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2016-2017,19.0,Rapid Wien,atAUT,1.Bundesliga,33.0,"2,388",8.0,3.0,,,,,6.0,418.0,2.0,0.0,39.0,"2,806",10.0,3.0,26.0,"2,388",26.5,8.0,3.0,11.0,7.0,1.0,1.0,8.0,2.0,,,,,,,,0.3,0.11,0.41,0.26,0.38,,,,,,,30.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,73.0,33.0,45.2,2.75,1.24,0.1,0.21,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,388",72.0,73.7,26.5,26.0,,19.0,7.0,,1.0,1.33,40.0,31.0,9.0,0.34,0.23,,,,,,8.0,2.0,1.0,56.0,67.0,17.0,2.0,26.0,30.0,1.0,0.0,0.0,,,,,"€ 8,654(£ 7,517, $9,484)","€ 450,000(£ 390,881, $493,190)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2017-2018,20.0,Rapid Wien,atAUT,1.Bundesliga,27.0,"1,768",7.0,2.0,,,,,,,,,27.0,"1,768",7.0,2.0,19.0,"1,768",19.6,7.0,2.0,9.0,7.0,0.0,1.0,6.0,1.0,,,,,,,,0.36,0.1,0.46,0.36,0.46,,,,,,,25.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,65.0,21.0,32.3,3.31,1.07,0.11,0.33,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,768",65.0,54.6,19.6,19.0,,12.0,8.0,,0.0,1.41,24.0,20.0,4.0,0.2,-1.08,,,,,,6.0,1.0,0.0,51.0,50.0,6.0,11.0,14.0,25.0,1.0,0.0,0.0,,,,,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2018-2019,21.0,Hoffenheim,deGER,1.Bundesliga,28.0,"2,130",7.0,5.0,2.0,122.0,3.0,1.0,5.0,391.0,1.0,1.0,35.0,"2,643",11.0,7.0,25.0,"2,130",23.7,7.0,5.0,12.0,7.0,0.0,0.0,5.0,0.0,8.3,8.3,5.2,13.5,53.0,72.0,160.0,0.3,0.21,0.51,0.3,0.51,0.35,0.22,0.57,0.35,0.57,35.0,22.0,9.0,20.0,6.0,10.0,30.0,33.3,20.0,36.0,3.0,33.0,14.0,49.0,8.0,0.0,558.0,711.0,78.5,7047.0,1802.0,359.0,422.0,85.1,140.0,174.0,80.5,14.0,25.0,56.0,5.0,5.2,4.6,-0.2,43.0,42.0,32.0,4.0,72.0,711.0,668.0,36.0,2.0,2.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,558.0,7.0,22.0,17.0,84.0,497.0,479.0,102.0,1047.0,84.0,47.0,56.0,37.0,44.0,643.0,3624.0,1720.0,53.0,46.0,24.0,81.0,62.0,742.0,160.0,7.0,56.0,24.0,42.9,2.37,1.01,0.13,0.29,16.4,0.0,0.0,0.0,8.3,8.3,0.15,-1.3,-1.3,89.0,3.76,63.0,1.0,14.0,3.0,7.0,1.0,13.0,0.55,10.0,0.0,1.0,1.0,1.0,0.0,"2,130",76.0,69.6,23.7,25.0,82.0,15.0,3.0,26.0,0.0,1.43,49.0,32.0,17.0,0.72,0.62,50.1,37.4,12.7,0.54,-0.5,5.0,0.0,0.0,56.0,28.0,4.0,7.0,14.0,22.0,1.0,0.0,0.0,110.0,62.0,96.0,39.2,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2019-2020,22.0,Newcastle Utd,engENG,1.Premier League,38.0,"2,683",2.0,2.0,6.0,422.0,2.0,2.0,,,,,44.0,"3,105",4.0,4.0,32.0,"2,683",29.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,5.5,5.5,2.9,8.3,47.0,56.0,133.0,0.07,0.07,0.13,0.07,0.13,0.18,0.1,0.28,0.18,0.28,34.0,20.0,7.0,22.0,5.0,9.0,32.0,28.1,23.0,32.0,6.0,26.0,11.0,45.0,30.0,0.0,637.0,835.0,76.3,7959.0,1525.0,416.0,502.0,82.9,137.0,185.0,74.1,27.0,35.0,77.1,2.0,2.9,1.8,-0.9,30.0,38.0,13.0,2.0,56.0,835.0,803.0,29.0,2.0,3.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,637.0,3.0,22.0,39.0,112.0,712.0,424.0,94.0,1235.0,80.0,41.0,51.3,39.0,48.8,699.0,3690.0,1486.0,47.0,37.0,26.0,134.0,60.0,875.0,133.0,2.0,50.0,15.0,30.0,1.68,0.5,0.04,0.13,14.9,0.0,0.0,0.0,5.5,5.5,0.11,-3.5,-3.5,71.0,2.38,60.0,1.0,3.0,4.0,3.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,"2,683",71.0,78.5,29.8,32.0,79.0,11.0,6.0,25.0,0.0,1.16,23.0,46.0,-23.0,-0.77,-1.14,25.5,51.0,-25.4,-0.85,-0.28,7.0,0.0,0.0,32.0,40.0,20.0,6.0,11.0,20.0,0.0,0.0,0.0,118.0,169.0,234.0,41.9,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2020-2021,23.0,Newcastle Utd,engENG,1.Premier League,31.0,"1,983",4.0,2.0,5.0,297.0,2.0,1.0,,,,,36.0,"2,280",6.0,3.0,23.0,"1,983",22.0,4.0,2.0,6.0,3.0,1.0,1.0,3.0,0.0,5.4,4.6,2.4,7.1,34.0,39.0,104.0,0.18,0.09,0.27,0.14,0.23,0.25,0.11,0.36,0.21,0.32,33.0,21.0,7.0,21.0,5.0,14.0,37.0,37.8,23.0,30.0,2.0,28.0,9.0,42.0,24.0,0.0,427.0,598.0,71.4,5385.0,1019.0,257.0,331.0,77.6,115.0,152.0,75.7,14.0,23.0,60.9,2.0,2.4,1.0,-0.4,17.0,24.0,9.0,1.0,39.0,598.0,587.0,8.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,427.0,3.0,24.0,33.0,124.0,502.0,324.0,74.0,933.0,67.0,37.0,55.2,30.0,44.8,513.0,2672.0,1033.0,34.0,21.0,13.0,80.0,42.0,650.0,104.0,4.0,43.0,19.0,44.2,1.95,0.86,0.07,0.16,15.4,0.0,1.0,1.0,5.4,4.6,0.11,-1.4,-1.6,54.0,2.45,33.0,0.0,6.0,4.0,9.0,2.0,7.0,0.32,3.0,0.0,2.0,1.0,1.0,0.0,"1,983",64.0,58.0,22.0,23.0,79.0,10.0,8.0,21.0,6.0,1.16,27.0,36.0,-9.0,-0.41,0.03,25.3,33.3,-8.0,-0.36,0.07,3.0,0.0,0.0,24.0,36.0,6.0,12.0,9.0,21.0,1.0,0.0,0.0,105.0,81.0,118.0,40.7,"£ 85,000(€ 98,802, $108,036)","£ 4,420,000(€ 5,137,681, $5,617,852)",,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2021-2022,24.0,Newcastle Utd,engENG,1.Premier League,35.0,"2,558",4.0,1.0,2.0,180.0,0.0,0.0,,,,,37.0,"2,738",4.0,1.0,30.0,"2,558",28.4,4.0,1.0,5.0,4.0,0.0,0.0,8.0,0.0,3.3,3.3,1.9,5.2,45.0,92.0,90.0,0.14,0.04,0.18,0.14,0.18,0.12,0.07,0.18,0.12,0.18,72.0,38.0,30.0,33.0,9.0,26.0,61.0,42.6,35.0,46.0,11.0,35.0,34.0,106.0,50.0,2.0,718.0,944.0,76.1,10060.0,2661.0,421.0,515.0,81.7,216.0,275.0,78.5,35.0,54.0,64.8,1.0,1.9,1.3,-0.9,29.0,68.0,17.0,2.0,92.0,944.0,931.0,11.0,0.0,1.0,4.0,22.0,9.0,0.0,0.0,0.0,0.0,718.0,2.0,26.0,83.0,297.0,692.0,429.0,78.0,1395.0,70.0,37.0,52.9,33.0,47.1,719.0,4203.0,1946.0,45.0,42.0,10.0,85.0,60.0,836.0,90.0,4.0,45.0,14.0,31.1,1.58,0.49,0.09,0.29,17.6,0.0,0.0,0.0,3.3,3.3,0.07,0.7,0.7,67.0,2.36,49.0,0.0,6.0,9.0,3.0,0.0,5.0,0.18,4.0,0.0,0.0,1.0,0.0,0.0,"2,558",73.0,74.8,28.4,30.0,83.0,24.0,5.0,14.0,1.0,1.31,34.0,46.0,-12.0,-0.42,0.2,31.0,40.0,-9.0,-0.32,0.72,8.0,0.0,0.0,64.0,33.0,3.0,22.0,34.0,38.0,0.0,0.0,0.0,181.0,99.0,97.0,50.5,"£ 150,000(€ 177,553, $190,806)","£ 7,800,000(€ 9,232,753, $9,921,900)",,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2022-2023,25.0,Newcastle Utd,engENG,1.Premier League,32.0,"2,661",6.0,1.0,8.0,681.0,2.0,1.0,,,,,40.0,"3,342",8.0,2.0,30.0,"2,661",29.6,6.0,1.0,7.0,6.0,0.0,0.0,12.0,0.0,7.1,7.1,2.4,9.4,64.0,130.0,150.0,0.2,0.03,0.24,0.2,0.24,0.24,0.08,0.32,0.24,0.32,70.0,49.0,36.0,26.0,8.0,26.0,62.0,41.9,36.0,52.0,7.0,45.0,48.0,118.0,39.0,0.0,1035.0,1268.0,81.6,15180.0,4014.0,581.0,668.0,87.0,338.0,390.0,86.7,59.0,75.0,78.7,1.0,2.4,1.9,-1.4,26.0,78.0,21.0,3.0,130.0,1268.0,1227.0,38.0,14.0,3.0,4.0,16.0,19.0,4.0,0.0,0.0,0.0,1035.0,3.0,40.0,71.0,312.0,852.0,562.0,96.0,1703.0,111.0,53.0,47.7,42.0,37.8,897.0,4853.0,2286.0,64.0,45.0,13.0,72.0,51.0,1115.0,150.0,6.0,51.0,19.0,37.3,1.72,0.64,0.12,0.32,14.6,0.0,0.0,0.0,7.1,7.1,0.14,-1.1,-1.1,80.0,2.71,54.0,1.0,9.0,8.0,7.0,1.0,10.0,0.34,4.0,1.0,2.0,2.0,1.0,0.0,"2,661",83.0,77.8,29.6,30.0,87.0,25.0,2.0,24.0,1.0,1.78,51.0,26.0,25.0,0.85,-0.34,55.1,31.6,23.5,0.8,-0.25,12.0,0.0,0.0,65.0,34.0,1.0,16.0,48.0,49.0,1.0,1.0,0.0,198.0,66.0,58.0,53.2,"£ 150,000(€ 174,504, $198,192)","£ 7,800,000(€ 9,074,223, $10,306,004)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2023-2024,26.0,Newcastle Utd,engENG,1.Premier League,20.0,"1,279",2.0,1.0,3.0,226.0,0.0,2.0,4.0,334.0,1.0,0.0,27.0,"1,839",3.0,3.0,15.0,"1,279",14.2,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,3.1,3.1,2.8,5.9,29.0,56.0,60.0,0.14,0.07,0.21,0.14,0.21,0.22,0.2,0.41,0.22,0.41,39.0,27.0,21.0,15.0,3.0,14.0,38.0,36.8,24.0,23.0,7.0,16.0,19.0,58.0,11.0,1.0,524.0,627.0,83.6,7295.0,1898.0,312.0,350.0,89.1,166.0,191.0,86.9,19.0,25.0,76.0,1.0,2.8,1.1,-1.8,23.0,38.0,9.0,0.0,56.0,627.0,600.0,25.0,18.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,524.0,2.0,18.0,37.0,152.0,410.0,253.0,38.0,808.0,35.0,17.0,48.6,11.0,31.4,436.0,2159.0,1061.0,29.0,24.0,6.0,22.0,28.0,583.0,60.0,2.0,19.0,7.0,36.8,1.34,0.49,0.11,0.29,15.5,0.0,0.0,0.0,3.1,3.1,0.16,-1.1,-1.1,47.0,3.3,37.0,0.0,6.0,4.0,0.0,0.0,3.0,0.21,2.0,0.0,0.0,1.0,0.0,0.0,"1,279",64.0,37.4,14.2,15.0,79.0,8.0,5.0,18.0,0.0,1.45,26.0,23.0,3.0,0.21,-0.63,26.6,24.7,1.9,0.13,-0.41,6.0,0.0,0.0,28.0,23.0,0.0,2.0,19.0,27.0,0.0,0.0,0.0,85.0,18.0,31.0,36.7,"£ 150,000(€ 174,504, $198,192)","£ 7,800,000(€ 9,074,223, $10,306,004)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
2024-2025,27.0,Newcastle Utd,engENG,1.Premier League,29.0,"2,393",4.0,3.0,8.0,566.0,0.0,0.0,,,,,37.0,"2,959",4.0,3.0,29.0,"2,393",26.6,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,3.9,3.9,2.5,6.4,40.0,116.0,110.0,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,57.0,35.0,23.0,23.0,11.0,25.0,44.0,56.8,19.0,37.0,7.0,30.0,23.0,80.0,47.0,2.0,863.0,1043.0,82.7,12199.0,3384.0,529.0,603.0,87.7,277.0,320.0,86.6,33.0,55.0,60.0,3.0,2.5,2.3,0.5,23.0,80.0,17.0,2.0,116.0,1043.0,1014.0,26.0,11.0,7.0,2.0,16.0,14.0,0.0,0.0,0.0,0.0,863.0,3.0,23.0,67.0,256.0,670.0,448.0,83.0,1360.0,46.0,15.0,32.6,28.0,60.9,729.0,3598.0,1786.0,40.0,26.0,9.0,39.0,53.0,934.0,110.0,4.0,45.0,13.0,28.9,1.69,0.49,0.09,0.31,14.0,0.0,0.0,0.0,3.9,3.9,0.09,0.1,0.1,61.0,2.29,46.0,2.0,1.0,5.0,1.0,6.0,9.0,0.34,7.0,0.0,0.0,1.0,0.0,1.0,"2,393",83.0,78.2,26.6,29.0,83.0,18.0,0.0,,0.0,1.83,51.0,32.0,19.0,0.71,0.44,46.4,31.5,14.9,0.56,0.5,10.0,0.0,0.0,58.0,35.0,7.0,16.0,23.0,35.0,0.0,0.0,0.0,149.0,59.0,46.0,56.2,"£ 150,000(€ 174,504, $198,192)","£ 7,800,000(€ 9,074,223, $10,306,004)",Estimación no verificada,https://fbref.com/es/jugadores/c17bfb65/Joelinton
