Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,21,MŠK Žilina,,,,,,,,,,,6.0,540.0,0.0,0.0,6,540,0,0,15.0,"1,350",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350",90.0,45.5,15.0,15.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2013-2014,24,Esbjerg,dkDEN,1.Danish Superliga,15.0,"1,350",0.0,0.0,,,,,2.0,180.0,0.0,0.0,17,"1,530",0,0,33.0,"2,970",33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,970",90.0,100.0,33.0,33.0,,33.0,0.0,,0.0,1.21,47.0,45.0,2.0,0.06,,,,,,,0.0,0.0,,,,,,,,,,,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2014-2015,25,Esbjerg,dkDEN,1.Danish Superliga,33.0,"2,970",0.0,0.0,,,,,,,,,33,"2,970",0,0,18.0,"1,620",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,620",90.0,54.5,18.0,18.0,,18.0,0.0,,13.0,0.83,24.0,37.0,-13.0,-0.72,0.14,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2015-2016,26,Esbjerg,dkDEN,1.Danish Superliga,18.0,"1,620",0.0,0.0,,,,,,,,,18,"1,620",0,0,28.0,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,520",90.0,93.3,28.0,28.0,,28.0,0.0,,0.0,1.25,29.0,28.0,1.0,0.04,-0.96,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2016-2017,27,Slovan Liberec,czCZE,1.First League,28.0,"2,520",0.0,0.0,,,,,5.0,450.0,0.0,0.0,33,"2,970",0,0,11.0,990,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,90.0,36.7,11.0,11.0,,11.0,0.0,,4.0,1.64,15.0,7.0,8.0,0.73,0.2,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2017-2018,28,Sparta Prague,czCZE,1.First League,11.0,990,0.0,0.0,,,,,,,,,11,990,0,0,12.0,"1,080",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,203.0,348.0,58.3,6648.0,5297.0,24.0,24.0,100.0,93.0,94.0,98.9,86.0,230.0,37.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,348.0,212.0,136.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,291.0,367.0,4.0,0.0,0.0,370.0,0.0,0.0,,0.0,,172.0,1184.0,742.0,0.0,1.0,1.0,0.0,0.0,128.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,080",90.0,31.6,12.0,12.0,,12.0,0.0,,1.0,1.58,15.0,11.0,4.0,0.33,0.79,15.2,13.8,1.4,0.12,0.59,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0,"£ 40,000(€ 46,495, $50,840)","£ 2,080,000(€ 2,417,732, $2,643,695)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2017-2018,28,Newcastle Utd,engENG,1.Premier League,12.0,"1,080",0.0,0.0,,,,,,,,,12,"1,080",0,0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,691.0,1175.0,58.8,24354.0,18976.0,73.0,73.0,100.0,274.0,279.0,98.2,342.0,817.0,41.9,0.0,0.0,0.1,0.0,0.0,12.0,0.0,0.0,0.0,1175.0,749.0,424.0,101.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,2.0,2.0,1046.0,1245.0,9.0,0.0,0.0,1254.0,1.0,1.0,100.0,0.0,0.0,618.0,4513.0,2991.0,0.0,1.0,0.0,0.0,0.0,436.0,0.0,,,,,,,,,,,,,,,,,,5.0,0.13,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.18,42.0,48.0,-6.0,-0.16,,39.1,53.6,-14.5,-0.38,,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,15.0,2.0,88.2,"£ 40,000(€ 46,495, $50,840)","£ 2,080,000(€ 2,417,732, $2,643,695)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2018-2019,29,Newcastle Utd,engENG,1.Premier League,38.0,"3,420",0.0,0.0,,,,,,,,,38,"3,420",0,0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1.0,2.0,17.0,5.0,609.0,1097.0,55.5,23225.0,19598.0,62.0,62.0,100.0,206.0,210.0,98.1,340.0,814.0,41.8,0.0,0.0,0.1,0.0,0.0,12.0,1.0,0.0,0.0,1097.0,596.0,493.0,152.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,609.0,8.0,2.0,1000.0,1192.0,6.0,0.0,0.0,1198.0,0.0,0.0,,0.0,,508.0,3675.0,2574.0,0.0,0.0,0.0,3.0,0.0,331.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.16,38.0,58.0,-20.0,-0.53,,35.5,65.6,-30.1,-0.79,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,9.0,0.0,100.0,"£ 40,000(€ 47,347, $50,882)","£ 2,080,000(€ 2,462,068, $2,645,840)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2019-2020,30,Newcastle Utd,engENG,1.Premier League,38.0,"3,420",0.0,0.0,1.0,90.0,0.0,0.0,,,,,39,"3,510",0,0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,322.0,438.0,73.5,8867.0,5683.0,75.0,77.0,97.4,134.0,138.0,97.1,107.0,216.0,49.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,438.0,272.0,166.0,44.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,1.0,400.0,465.0,2.0,0.0,0.0,467.0,0.0,0.0,,0.0,,232.0,1356.0,698.0,0.0,0.0,0.0,1.0,0.0,165.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,170",90.0,34.2,13.0,13.0,90.0,13.0,0.0,,11.0,1.54,20.0,19.0,1.0,0.08,0.76,19.7,21.4,-1.7,-0.13,0.39,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,100.0,"£ 40,000(€ 46,534, $52,851)","£ 2,080,000(€ 2,419,793, $2,748,268)",,https://fbref.com/es/jugadores/3a949a25/Martin-Dubravka
2020-2021,31,Newcastle Utd,engENG,1.Premier League,13.0,"1,170",0.0,0.0,1.0,120.0,0.0,0.0,,,,,14,"1,290",0,0,26.0,"2,340",26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,534.0,846.0,63.1,18819.0,14800.0,62.0,62.0,100.0,228.0,233.0,97.9,242.0,544.0,44.5,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,846.0,501.0,340.0,104.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,5.0,0.0,688.0,887.0,9.0,0.0,0.0,895.0,0.0,0.0,,0.0,,462.0,2679.0,1338.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,340",90.0,68.4,26.0,26.0,90.0,26.0,0.0,,3.0,1.65,29.0,35.0,-6.0,-0.23,0.77,27.6,35.6,-7.9,-0.31,0.62,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,4.0,1.0,80.0,,,,
