Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,20,Cambridge Utd,engENG,5.Conf Premier,9.0,810,0.0,0.0,,,,,,,,,9,810,0,0,9.0,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,810,90.0,19.6,9.0,9.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2012-2013,20,Charlton Ath,engENG,2.Championship,1.0,20,0.0,0.0,,,,,,,,,1,20,0,0,0.0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20,20.0,0.5,0.2,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2013-2014,21,Aldershot Town,engENG,5.Conf Premier,5.0,450,0.0,0.0,,,,,,,,,5,450,0,0,5.0,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,450,90.0,10.9,5.0,5.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2013-2014,21,York City,engENG,4.League Two,22.0,"1,980",0.0,0.0,,,,,,,,,22,"1,980",0,0,22.0,"1,980",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,980",90.0,47.8,22.0,22.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2014-2015,22,Bury,engENG,4.League Two,22.0,"1,980",0.0,0.0,,,,,,,,,22,"1,980",0,0,22.0,"1,980",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,980",90.0,47.8,22.0,22.0,,22.0,0.0,,0.0,2.18,25.0,10.0,15.0,0.68,0.47,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2014-2015,22,Charlton Ath,engENG,2.Championship,8.0,654,0.0,0.0,1.0,90.0,0.0,0.0,,,,,9,744,0,0,7.0,654,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,654,82.0,15.8,7.3,7.0,,7.0,1.0,,16.0,1.25,8.0,9.0,-1.0,-0.14,-0.01,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 60,000(€ 69,742, $76,260)","£ 3,120,000(€ 3,626,598, $3,965,542)",,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2015-2016,23,Charlton Ath,engENG,2.Championship,24.0,"2,160",0.0,0.0,4.0,360.0,0.0,0.0,,,,,28,"2,520",0,0,24.0,"2,160",24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,160",90.0,52.2,24.0,24.0,,24.0,0.0,,22.0,1.04,21.0,33.0,-12.0,-0.5,0.77,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 60,000(€ 71,021, $76,322)","£ 3,120,000(€ 3,693,101, $3,968,760)",,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2016-2017,24,Burnley,engENG,1.Premier League,,,,,4.0,390.0,0.0,0.0,,,,,4,390,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,546.0,1224.0,44.6,26090.0,23787.0,17.0,17.0,100.0,138.0,144.0,95.8,391.0,1055.0,37.1,0.0,0.5,0.3,-0.5,4.0,74.0,1.0,0.0,0.0,1224.0,714.0,503.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,7.0,1.0,1005.0,1238.0,70.0,0.0,0.0,1307.0,0.0,0.0,,0.0,,584.0,4470.0,3278.0,0.0,1.0,1.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.0,0.32,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,11.0,,,,,,,,,,,,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,12.0,1.0,92.3,"£ 60,000(€ 69,802, $79,277)","£ 3,120,000(€ 3,629,689, $4,122,401)",,https://fbref.com/es/jugadores/4b40d9ca/Nick-Pope
2017-2018,25,Burnley,engENG,1.Premier League,35.0,"3,115",0.0,0.0,3.0,300.0,0.0,0.0,,,,,38,"3,415",0,0,34.0,"3,115",34.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0,4.0,15.0,3.0,556.0,1194.0,46.6,22391.0,19476.0,48.0,48.0,100.0,172.0,176.0,97.7,336.0,961.0,35.0,0.0,0.4,0.2,-0.4,3.0,34.0,1.0,0.0,0.0,1194.0,721.0,466.0,162.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,7.0,2.0,986.0,1239.0,40.0,1.0,1.0,1280.0,0.0,0.0,,0.0,,613.0,4417.0,3490.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.34,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,115",89.0,91.1,34.6,34.0,,34.0,1.0,,3.0,1.43,31.0,35.0,-4.0,-0.12,-0.41,29.3,46.2,-17.0,-0.49,0.07,1.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,37.0,20.0,1.0,95.2,,,,
2018-2019,26,Burnley,engENG,1.Premier League,,,,,2.0,180.0,0.0,0.0,,,,,2,180,0,0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,29.0,2.0,505.0,989.0,51.1,20828.0,18354.0,35.0,35.0,100.0,143.0,150.0,95.3,327.0,789.0,41.4,0.0,0.1,0.1,-0.1,2.0,37.0,1.0,0.0,1.0,989.0,591.0,384.0,133.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,14.0,1.0,836.0,1051.0,29.0,1.0,1.0,1078.0,0.0,0.0,,0.0,,484.0,3570.0,2238.0,0.0,0.0,0.0,2.0,0.0,295.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.0,0.34,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.42,43.0,50.0,-7.0,-0.18,,47.4,49.8,-2.4,-0.06,,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,40.0,7.0,4.0,63.6,,,,
