Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,14,Duisburg U17,deGER,Jr.U17 Bundesliga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 5,577(£ 4,844, $6,112)","€ 290,000(£ 251,901, $317,834)",Estimación no verificada,https://fbref.com/es/jugadores/a39d11bc/Armel-Bella-Kotchap
2017-2018,15,Bochum U17,deGER,Jr.U17 Bundesliga,24.0,"2,043",1.0,,,,,,,,,,24.0,"2,043",1,0,22,"2,043",22.7,1.0,,,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,043",85.0,87.3,22.7,22,90.0,22,2,31.0,0,1.75,29.0,20.0,9.0,0.4,-0.51,,,,,,1.0,1.0,0.0,,,,,,,,,0.0,,,,,"£ 15,000(€ 17,436, $19,065)","£ 780,000(€ 906,650, $991,386)",Estimación no verificada,https://fbref.com/es/jugadores/a39d11bc/Armel-Bella-Kotchap
2018-2019,16,Bochum U19,deGER,Jr.U19 Bundesliga,19.0,"1,444",2.0,,,,,,,,,,19.0,"1,444",2,0,16,"1,444",16.0,2.0,,,2.0,0.0,0.0,1.0,1.0,,,,,,,,0.12,,,0.12,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,33.3,0.75,0.25,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,444",76.0,61.7,16.0,16,88.0,15,3,10.0,1,1.74,31.0,20.0,11.0,0.69,0.79,,,,,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,,,,,"£ 15,000(€ 17,450, $19,819)","£ 780,000(€ 907,422, $1,030,600)",Estimación no verificada,https://fbref.com/es/jugadores/a39d11bc/Armel-Bella-Kotchap
2018-2019,16,Bochum,deGER,2.2. Bundesliga,4.0,360,0.0,0.0,,,,,,,,,4.0,360,0,0,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,360,90.0,11.8,4.0,4,90.0,4,0,,2,1.25,8.0,7.0,1.0,0.25,0.32,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,17,Bochum U19,deGER,Jr.U19 Bundesliga,6.0,462,0.0,,,,,,,,,,6.0,462,0,0,6,462,5.1,0.0,,,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,7.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,33.3,0.41,0.14,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,462,77.0,25.7,5.1,6,77.0,4,0,,0,1.0,8.0,13.0,-5.0,-0.97,-1.78,,,,,,1.0,0.0,0.0,6.0,5.0,0.0,1.0,10.0,7.0,,,0.0,,,,,,,,
2019-2020,17,Bochum,deGER,2.2. Bundesliga,12.0,662,0.0,0.0,2.0,177.0,0.0,0.0,,,,,14.0,839,0,0,7,662,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,23.0,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,2.0,20.0,0.37,0.07,0.1,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,662,55.0,21.6,7.4,7,81.0,6,5,19.0,13,1.83,11.0,12.0,-1.0,-0.14,-0.25,,,,,,3.0,0.0,0.0,28.0,42.0,0.0,4.0,72.0,23.0,,,0.0,,,,,,,,
2020-2021,18,Bochum,deGER,2.2. Bundesliga,28.0,"2,406",1.0,0.0,2.0,210.0,0.0,0.0,,,,,30.0,"2,616",1,0,26,"2,406",26.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,,34.0,20.0,25.0,9.0,0.0,18.0,28.0,64.3,10.0,21.0,16.0,5.0,42.0,76.0,84.0,2.0,565.0,739.0,76.5,12193.0,3595.0,152.0,183.0,83.1,320.0,368.0,87.0,89.0,174.0,51.1,0.0,0.1,0.1,-0.1,2.0,28.0,1.0,1.0,37.0,739.0,719.0,18.0,10.0,0.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,565.0,2.0,4.0,158.0,554.0,391.0,29.0,13.0,965.0,3.0,2.0,66.7,1.0,33.3,539.0,3098.0,1345.0,9.0,10.0,1.0,6.0,5.0,509.0,1.0,0.0,10.0,3.0,30.0,0.51,0.15,0.0,0.0,16.4,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,10.0,0.54,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,406",86.0,78.6,26.7,26,90.0,24,2,37.0,6,2.11,56.0,30.0,26.0,0.97,0.83,,,,,,5.0,0.0,0.0,26.0,27.0,3.0,2.0,42.0,20.0,0.0,0.0,2.0,126.0,35.0,17.0,67.3,,,,
2021-2022,19,Bochum,deGER,1.Bundesliga,22.0,"1,768",0.0,0.0,4.0,353.0,0.0,0.0,,,,,26.0,"2,121",0,0,20,"1,768",19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.6,9.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,37.0,17.0,28.0,9.0,0.0,15.0,20.0,75.0,5.0,29.0,12.0,17.0,44.0,81.0,110.0,0.0,749.0,937.0,79.9,13980.0,4521.0,290.0,325.0,89.2,384.0,424.0,90.6,67.0,159.0,42.1,2.0,1.0,0.5,1.0,6.0,32.0,4.0,0.0,39.0,937.0,908.0,28.0,21.0,1.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,749.0,1.0,12.0,209.0,654.0,519.0,46.0,22.0,1211.0,11.0,4.0,36.4,3.0,27.3,697.0,3570.0,1899.0,9.0,12.0,2.0,9.0,6.0,682.0,2.0,0.0,14.0,2.0,14.3,0.67,0.1,0.0,0.0,16.1,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,14.0,0.67,7.0,0.0,1.0,3.0,2.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,"1,768",80.0,57.8,19.6,20,88.0,18,2,2.0,9,0.95,18.0,35.0,-17.0,-0.87,-1.07,20.5,30.3,-9.8,-0.52,-0.18,4.0,0.0,0.0,9.0,33.0,0.0,4.0,44.0,17.0,0.0,0.0,0.0,145.0,40.0,28.0,58.8,,,,
2022-2023,20,Southampton,engENG,1.Premier League,24.0,"1,879",0.0,2.0,2.0,135.0,0.0,0.0,,,,,26.0,"2,014",0,2,24,"1,879",20.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.1,9.0,39.0,2.0,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.1,0.05,0.1,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,879",78.0,54.9,20.9,24,78.0,18,0,,2,0.71,18.0,39.0,-21.0,-1.01,-0.07,20.1,35.2,-15.1,-0.72,-0.26,0.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,2.0,,,0.0,,,,,,,,
2023-2024,21,Jong PSV,nlNED,2.Eerste Divisie,3.0,211,0.0,0.0,,,,,,,,,3.0,211,0,0,2,211,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,0.0,135.0,152.0,88.8,2516.0,818.0,44.0,48.0,91.7,82.0,84.0,97.6,7.0,16.0,43.8,0.0,0.0,0.1,0.0,0.0,24.0,0.0,0.0,13.0,152.0,152.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,5.0,28.0,125.0,12.0,2.0,165.0,0.0,0.0,,0.0,,131.0,763.0,453.0,3.0,1.0,0.0,2.0,0.0,132.0,0.0,0.0,1.0,0.0,0.0,0.56,0.0,0.0,,3.8,0.0,0.0,0.0,0.7,0.7,0.67,-0.7,-0.7,2.0,1.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,70.0,6.2,2.3,2,90.0,2,1,31.0,0,2.0,4.0,2.0,2.0,0.85,1.41,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,71.4,,,,
