Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2020-2021,15,Tottenham,engENG,1.Premier League,,,,,1.0,45.0,1.0,0.0,,,,,1.0,45,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,2,,,,,,,,,,,,4.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,
2020-2021,15,Tottenham,engENG,Jr.PL2 — Div. 1,12.0,"1,054",2.0,0.0,,,,,,,,,12.0,"1,054",2,0,12,"1,054",11.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,,,,,,,,0.17,0.0,0.17,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,054",88.0,48.8,11.7,12,88.0,10.0,0,,0,0.92,18.0,30.0,-12.0,-1.02,-2.08,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2021-2022,16,Tottenham,engENG,Jr.PL2 — Div. 1,17.0,"1,396",9.0,0.0,,,,,,,,,17.0,"1,396",9,0,16,"1,396",15.5,9.0,0.0,9.0,9.0,0.0,0.0,3.0,0.0,,,,,,,,0.58,0.0,0.58,0.58,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,396",82.0,59.7,15.5,16,86.0,13.0,1,15.0,0,1.12,29.0,35.0,-6.0,-0.39,-1.34,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2021-2022,16,Tottenham,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,3,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2022-2023,17,Tottenham,engENG,1.Premier League,,,,,1.0,1.0,0.0,0.0,,,,,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,3.0,5.0,2.0,4.0,9.0,44.4,5.0,8.0,2.0,6.0,6.0,16.0,11.0,0.0,221.0,301.0,73.4,3800.0,890.0,106.0,131.0,80.9,79.0,100.0,79.0,24.0,35.0,68.6,2.0,1.0,0.5,1.0,11.0,23.0,7.0,1.0,44.0,301.0,286.0,10.0,3.0,1.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,221.0,5.0,14.0,14.0,71.0,204.0,121.0,11.0,392.0,19.0,9.0,47.4,8.0,42.1,247.0,1700.0,712.0,24.0,15.0,3.0,11.0,14.0,288.0,33.0,0.0,12.0,3.0,25.0,1.27,0.32,0.0,0.0,18.4,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,25.0,2.65,18.0,0.0,1.0,1.0,1.0,4.0,4.0,0.42,4.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0,,5,,,,,,,,,,,,4.0,1.0,1.0,9.0,18.0,0.0,4.0,6.0,7.0,0.0,0.0,0.0,38.0,3.0,9.0,25.0,,,,
2022-2023,17,Tottenham Hotspur,engENG,Jr.PL2 — Div. 1,17.0,"1,378",2.0,2.0,,,,,,,,,17.0,"1,378",2,2,16,"1,378",15.3,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,,,,,,,,0.13,0.13,0.26,0.13,0.26,,,,,,,14.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,29.0,12.0,41.4,2.06,0.85,0.03,0.08,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,378",81.0,58.9,15.3,16,83.0,12.0,1,45.0,0,1.41,23.0,23.0,0.0,0.0,1.12,,,,,,3.0,0.0,0.0,13.0,11.0,2.0,37.0,2.0,14.0,,,0.0,,,,,,,,
2023-2024,18,Tottenham Hotspur,engENG,Jr.PL2,1.0,85,0.0,1.0,,,,,,,,,1.0,85,0,1,1,85,0.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,1.06,1.06,0.0,1.06,,,,,,23.0,14.0,5.0,14.0,4.0,14.0,20.0,70.0,6.0,12.0,0.0,12.0,15.0,38.0,13.0,0.0,498.0,653.0,76.3,8855.0,2414.0,199.0,256.0,77.7,226.0,270.0,83.7,50.0,85.0,58.8,0.0,1.3,1.8,-1.3,20.0,62.0,13.0,2.0,92.0,653.0,634.0,15.0,5.0,0.0,3.0,29.0,5.0,4.0,1.0,2.0,0.0,498.0,4.0,19.0,19.0,110.0,391.0,338.0,61.0,820.0,32.0,13.0,40.6,18.0,56.3,572.0,3739.0,1384.0,32.0,33.0,9.0,27.0,9.0,533.0,91.0,4.0,42.0,15.0,35.7,2.35,0.84,0.1,0.27,19.2,0.0,0.0,0.0,3.3,3.2,0.08,0.7,0.8,53.0,2.97,44.0,0.0,2.0,3.0,3.0,1.0,4.0,0.22,3.0,0.0,0.0,1.0,0.0,0.0,85,85.0,4.7,0.9,1,85.0,0.0,0,,0,3.0,4.0,1.0,3.0,3.18,,,,,,,3.0,0.0,0.0,10.0,8.0,0.0,29.0,15.0,14.0,1.0,0.0,0.0,86.0,12.0,11.0,52.2,,,,
2023-2024,18,Plymouth Argyle,engENG,2.Championship,15.0,850,0.0,2.0,,,,,,,,,15.0,850,0,2,9,850,9.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.0,1.9,24.0,44.0,33.0,0.0,0.21,0.21,0.0,0.21,0.1,0.1,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,57.0,20.5,9.4,9,80.0,2.0,6,21.0,3,0.93,9.0,14.0,-5.0,-0.53,-0.37,8.0,12.6,-4.6,-0.49,-0.05,,,,,,,,,,,,,,,,,,,,
2023-2024,18,Port Vale,engENG,3.League One,20.0,"1,265",2.0,1.0,6.0,542.0,1.0,2.0,,,,,26.0,"1,807",3,3,14,"1,265",14.1,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,,,,,,,,0.14,0.07,0.21,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,265",63.0,30.6,14.1,14,80.0,9.0,6,25.0,0,1.0,19.0,26.0,-7.0,-0.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,19,Tottenham,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
