Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,20.0,Maidenhead Utd,engENG,5.National League,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,8.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 2,000(€ 2,302, $2,524)","£ 104,000(€ 119,718, $131,228)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2018-2019,21.0,Maidenhead Utd,engENG,5.National League,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0.0,0.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,90,90.0,2.2,1.0,1.0,90.0,1.0,0.0,,1.0,0.0,1.0,3.0,-2.0,-2.0,-1.49,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 2,000(€ 2,302, $2,524)","£ 104,000(€ 119,718, $131,228)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2018-2019,21.0,Wolves,engENG,Jr.PL2 — Div. 2,16.0,"1,440",2.0,0.0,,,,,,,,,16.0,"1,440",2.0,0.0,16.0,"1,440",16.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,0.12,0.0,0.12,0.12,0.12,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,440",90.0,72.7,16.0,16.0,90.0,16.0,0.0,,0.0,1.88,38.0,19.0,19.0,1.19,0.52,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"£ 2,000(€ 2,302, $2,524)","£ 104,000(€ 119,718, $131,228)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2018-2019,21.0,Wolves,engENG,1.Premier League,1.0,1,0.0,0.0,,,,,,,,,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2019-2020,22.0,Wolves,engENG,Jr.PL2 — Div. 1,2.0,180,0.0,0.0,,,,,,,,,2.0,180,0.0,0.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,2.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,4.0,8.0,7.0,0.0,78.0,102.0,76.5,1275.0,537.0,33.0,36.0,91.7,42.0,51.0,82.4,2.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,102.0,100.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0,12.0,57.0,63.0,0.0,0.0,120.0,1.0,1.0,100.0,0.0,0.0,61.0,285.0,169.0,0.0,0.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,90.0,11.1,2.0,2.0,90.0,2.0,0.0,,0.0,0.5,2.0,4.0,-2.0,-1.0,-0.25,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,9.0,12.0,9.0,57.1,"£ 15,000(€ 17,436, $19,065)","£ 780,000(€ 906,650, $991,386)",,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2019-2020,22.0,Wolves,engENG,1.Premier League,3.0,185,0.0,0.0,3.0,300.0,0.0,0.0,4.0,360.0,0.0,0.0,10.0,845,0.0,0.0,2.0,185,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,13.0,4.0,4.0,8.0,14.0,57.1,6.0,17.0,8.0,9.0,19.0,40.0,46.0,0.0,664.0,757.0,87.7,11110.0,4141.0,292.0,314.0,93.0,330.0,355.0,93.0,31.0,71.0,43.7,1.0,0.5,0.3,0.5,5.0,45.0,2.0,0.0,46.0,757.0,735.0,21.0,10.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,664.0,1.0,3.0,77.0,386.0,453.0,41.0,9.0,877.0,8.0,7.0,87.5,1.0,12.5,550.0,2671.0,1676.0,11.0,7.0,0.0,4.0,2.0,628.0,2.0,0.0,7.0,2.0,28.6,0.48,0.14,0.0,0.0,12.2,0.0,0.0,0.0,0.8,0.8,0.11,-0.8,-0.8,8.0,0.55,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,185,62.0,5.4,2.1,2.0,90.0,2.0,1.0,5.0,30.0,1.33,1.0,2.0,-1.0,-0.49,-0.82,1.8,2.9,-1.1,-0.53,-1.01,4.0,0.0,0.0,20.0,4.0,0.0,0.0,19.0,14.0,0.0,1.0,0.0,64.0,20.0,25.0,44.4,"£ 50,000(€ 59,184, $63,602)","£ 2,600,000(€ 3,077,584, $3,307,300)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2020-2021,23.0,Wolves,engENG,1.Premier League,18.0,"1,310",0.0,1.0,2.0,180.0,0.0,1.0,,,,,20.0,"1,490",0.0,2.0,14.0,"1,310",14.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.5,1.3,11.0,46.0,2.0,0.0,0.07,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,50.0,26.0,38.0,10.0,2.0,24.0,37.0,64.9,13.0,36.0,21.0,15.0,45.0,95.0,113.0,3.0,1313.0,1535.0,85.5,23958.0,8631.0,537.0,588.0,91.3,626.0,692.0,90.5,131.0,210.0,62.4,0.0,0.2,0.4,-0.2,3.0,98.0,3.0,0.0,95.0,1535.0,1507.0,26.0,18.0,0.0,14.0,2.0,8.0,0.0,0.0,0.0,0.0,1313.0,2.0,15.0,206.0,925.0,844.0,92.0,22.0,1846.0,20.0,17.0,85.0,3.0,15.0,1039.0,5650.0,3243.0,31.0,23.0,0.0,21.0,5.0,1221.0,7.0,1.0,13.0,4.0,30.8,0.44,0.13,0.08,0.25,9.4,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,10.0,0.33,7.0,0.0,1.0,1.0,0.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,"1,310",73.0,38.3,14.6,14.0,90.0,14.0,4.0,13.0,19.0,1.5,11.0,11.0,0.0,0.0,0.68,13.3,14.9,-1.6,-0.11,0.38,3.0,0.0,0.0,17.0,11.0,0.0,2.0,45.0,26.0,0.0,1.0,0.0,155.0,66.0,39.0,62.9,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2021-2022,24.0,Wolves,engENG,1.Premier League,30.0,"2,687",1.0,0.0,4.0,390.0,0.0,0.0,,,,,34.0,"3,077",1.0,0.0,30.0,"2,687",29.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.2,1.3,31.0,95.0,7.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04,36.0,20.0,26.0,9.0,1.0,16.0,30.0,53.3,14.0,70.0,42.0,28.0,19.0,55.0,164.0,1.0,1748.0,2107.0,83.0,34713.0,12450.0,574.0,621.0,92.4,964.0,1046.0,92.2,189.0,384.0,49.2,0.0,0.2,0.6,-0.2,4.0,133.0,7.0,2.0,127.0,2107.0,2069.0,29.0,28.0,0.0,31.0,5.0,1.0,0.0,0.0,0.0,0.0,1748.0,9.0,20.0,432.0,1460.0,952.0,75.0,26.0,2470.0,25.0,19.0,76.0,6.0,24.0,1443.0,7679.0,4615.0,30.0,15.0,2.0,15.0,9.0,1699.0,5.0,0.0,14.0,0.0,0.0,0.38,0.0,0.0,,10.1,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,23.0,0.63,20.0,0.0,0.0,2.0,1.0,0.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,"2,687",90.0,78.6,29.9,30.0,90.0,28.0,0.0,,2.0,1.53,27.0,25.0,2.0,0.07,0.93,29.2,42.4,-13.1,-0.44,0.33,3.0,0.0,0.0,18.0,12.0,0.0,5.0,19.0,20.0,0.0,0.0,0.0,219.0,86.0,42.0,67.2,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2022-2023,25.0,Wolves,engENG,1.Premier League,37.0,"3,307",0.0,0.0,4.0,390.0,0.0,0.0,,,,,41.0,"3,697",0.0,0.0,37.0,"3,307",36.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,0.2,1.6,30.0,127.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,47.0,21.0,40.0,6.0,1.0,24.0,32.0,75.0,8.0,64.0,37.0,27.0,39.0,86.0,182.0,4.0,1979.0,2309.0,85.7,36846.0,13119.0,766.0,824.0,93.0,1008.0,1087.0,92.7,183.0,346.0,52.9,0.0,1.4,1.1,-1.4,17.0,109.0,11.0,1.0,117.0,2309.0,2245.0,55.0,38.0,2.0,20.0,6.0,8.0,0.0,0.0,0.0,0.0,1979.0,9.0,13.0,451.0,1478.0,1110.0,133.0,30.0,2706.0,16.0,10.0,62.5,3.0,18.8,1582.0,7276.0,4107.0,22.0,17.0,1.0,8.0,10.0,1877.0,5.0,2.0,14.0,5.0,35.7,0.37,0.13,0.14,0.4,9.8,0.0,0.0,0.0,1.8,1.8,0.13,0.2,0.2,39.0,1.03,34.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,307",89.0,96.7,36.7,37.0,89.0,36.0,0.0,,1.0,1.08,30.0,56.0,-26.0,-0.71,0.09,35.1,57.1,-22.0,-0.6,0.26,7.0,0.0,0.0,38.0,18.0,2.0,6.0,39.0,21.0,0.0,1.0,0.0,177.0,86.0,36.0,70.5,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
2023-2024,26.0,Wolves,engENG,1.Premier League,38.0,"3,420",2.0,0.0,6.0,560.0,0.0,1.0,,,,,44.0,"3,980",2.0,1.0,38.0,"3,420",38.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,30.0,17.0,13.0,14.0,3.0,19.0,23.0,82.6,4.0,55.0,37.0,18.0,37.0,67.0,191.0,4.0,1511.0,1738.0,86.9,29227.0,9852.0,482.0,523.0,92.2,882.0,950.0,92.8,139.0,238.0,58.4,1.0,1.2,1.2,-0.2,16.0,100.0,4.0,0.0,106.0,1738.0,1701.0,34.0,23.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,1511.0,3.0,8.0,428.0,1178.0,848.0,103.0,30.0,2113.0,20.0,14.0,70.0,2.0,10.0,1119.0,5079.0,2917.0,29.0,12.0,2.0,16.0,2.0,1404.0,6.0,0.0,11.0,2.0,18.2,0.33,0.06,0.0,0.0,8.4,0.0,0.0,0.0,1.4,1.4,0.13,-1.4,-1.4,28.0,0.84,26.0,0.0,2.0,0.0,0.0,0.0,3.0,0.09,2.0,0.0,1.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.21,50.0,65.0,-15.0,-0.39,,46.7,67.7,-21.0,-0.55,,4.0,0.0,0.0,17.0,12.0,2.0,3.0,37.0,17.0,0.0,0.0,0.0,135.0,101.0,48.0,67.8,"£ 100,000(€ 116,336, $132,128)","£ 5,200,000(€ 6,049,482, $6,870,669)",Estimación no verificada,https://fbref.com/es/jugadores/d0f72bf1/Max-Kilman
