nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
PSV Eindhoven,/psv-eindhoven/kader/verein/383/saison_id/2024/plus/1,,27,"26,0","12,12 mill. €","327,25 mill. €"
Feyenoord,/feyenoord-rotterdam/kader/verein/234/saison_id/2024/plus/1,,33,"24,4","8,55 mill. €","282,30 mill. €"
Ajax de Ámsterdam,/ajax-amsterdam/kader/verein/610/saison_id/2024/plus/1,,29,"25,5","7,02 mill. €","203,55 mill. €"
AZ Alkmaar,/az-alkmaar/kader/verein/1090/saison_id/2024/plus/1,,30,"24,0","3,27 mill. €","98,20 mill. €"
FC Twente Enschede,/fc-twente-enschede/kader/verein/317/saison_id/2024/plus/1,,26,"25,3","2,90 mill. €","75,50 mill. €"
FC Utrecht,/fc-utrecht/kader/verein/200/saison_id/2024/plus/1,,27,"25,3","2,16 mill. €","58,40 mill. €"
SC Heerenveen,/sc-heerenveen/kader/verein/306/saison_id/2024/plus/1,,28,"24,7","1,54 mill. €","43,13 mill. €"
NEC Nijmegen,/nec-nijmegen/kader/verein/467/saison_id/2024/plus/1,,29,"25,3","1,18 mill. €","34,25 mill. €"
Sparta Rotterdam,/sparta-rotterdam/kader/verein/468/saison_id/2024/plus/1,,26,"25,0","1,23 mill. €","32,00 mill. €"
Go Ahead Eagles Deventer,/go-ahead-eagles-deventer/kader/verein/1435/saison_id/2024/plus/1,,24,"24,5","1,17 mill. €","28,18 mill. €"
FC Groningen,/fc-groningen/kader/verein/202/saison_id/2024/plus/1,,28,"24,6",888 mil €,"24,88 mill. €"
PEC Zwolle,/pec-zwolle/kader/verein/1269/saison_id/2024/plus/1,,26,"25,2",921 mil €,"23,95 mill. €"
Fortuna Sittard,/fortuna-sittard/kader/verein/385/saison_id/2024/plus/1,,27,"26,0",843 mil €,"22,75 mill. €"
NAC Breda,/nac-breda/kader/verein/132/saison_id/2024/plus/1,,30,"25,4",740 mil €,"22,20 mill. €"
Heracles Almelo,/heracles-almelo/kader/verein/1304/saison_id/2024/plus/1,,30,"24,5",598 mil €,"17,95 mill. €"
Willem II Tilburg,/willem-ii-tilburg/kader/verein/403/saison_id/2024/plus/1,,27,"24,7",595 mil €,"16,08 mill. €"
Almere City FC,/almere-city-fc/kader/verein/723/saison_id/2024/plus/1,,28,"26,2",467 mil €,"13,08 mill. €"
RKC Waalwijk,/rkc-waalwijk/kader/verein/235/saison_id/2024/plus/1,,30,"26,6",392 mil €,"11,75 mill. €"
