Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Nordin Bakker,nlNED,PO,27-180,31,31,"2,790",31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,12,0.39,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,35,3,581,1138,51.1,21005,17205,64,65,98.5,217,223,97.3,298,847,35.2,0.2,0.0,0,51,3,0,830,307,75,0,2,0,0,0,0,0,0,1,0,0.0,0.03,0.00,0.00,,12.3,0.03,0.0,0.0,1245,1,0,0.0,1,100.0,692,0,1,0,511,59.0,1.9,161.0,106.0,63.4,4.0,8.0,19.0,7.0,22.6,0.0,0.0,0.0,0.0,,0.0,6.0,49.0,0.31,-6.0,-0.19,905.0,117.0,61.1,44.8,86.2,61.6,498.0,40.0,8.0,64.0,2.06,14.2,90,100.0,90,31,0,,0,0.65,21,59,-38,-1.23,,31.2,47.5,-16.3,-0.53,,0,0,1,0,0,0,69,77.8,/es/jugadores/12f664ca/Nordin-Bakker
Vasilios Zagaritis,grGRE,DF,23-360,31,31,"2,777",30.9,0,1,1,0,0,0,4,0,0.7,0.7,3.0,3.7,84,118,127,0.00,0.03,0.03,0.00,0.03,0.02,0.10,0.12,0.02,0.12,Partidos,88,2.85,61,16,5,2,3,1,2,0.06,0,2,0,0,0,0,43,25,28,12,3,29,49,59.2,20,31,5,26,45,88,105,1,1088,1463,74.4,18082,7418,544,614,88.6,415,564,73.6,100,199,50.3,4.8,-2.0,44,105,39,26,1110,349,36,1,8,159,273,40,6,31,0,4,0,0.0,0.42,0.00,0.00,,21.5,0.05,-0.7,-0.7,1871,33,52,49.1,47,44.3,876,9,57,34,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,99.5,90,28,0,,0,0.65,21,58,-37,-1.20,+5.72,31.2,47.4,-16.2,-0.52,+0.30,0,22,34,25,0,0,180,51.2,/es/jugadores/b4a3d61a/Vasilios-Zagaritis
Thomas Robinet,frFRA,"CC,DL",28-254,29,29,"2,440",27.1,1,2,3,1,0,0,4,0,4.6,4.6,4.1,8.6,12,54,103,0.04,0.07,0.11,0.04,0.11,0.17,0.15,0.32,0.17,0.32,Partidos,55,2.03,48,0,1,4,2,0,2,0.07,2,0,0,0,0,0,28,18,7,10,11,11,23,47.8,12,22,4,18,13,41,43,0,358,583,61.4,5049,1238,217,310,70.0,109,170,64.1,17,31,54.8,3.1,-2.1,30,29,12,3,566,15,2,0,4,20,1,0,0,0,0,2,12,27.3,1.62,0.44,0.02,0.08,13.6,0.10,-3.6,-3.6,869,116,14,51.9,13,48.1,403,2,52,35,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,87.5,84,25,0,,0,0.69,19,44,-25,-0.92,+2.42,28.9,37.6,-8.7,-0.32,+1.65,0,30,14,18,0,0,67,39.5,/es/jugadores/ec1e1d42/Thomas-Robinet
Hamdi Akujobi,nlNED,DF,25-099,28,27,"2,344",26.0,1,1,2,1,0,0,5,0,0.7,0.7,1.7,2.4,50,89,85,0.04,0.04,0.08,0.04,0.08,0.03,0.07,0.09,0.03,0.09,Partidos,42,1.61,35,3,1,1,2,0,4,0.15,4,0,0,0,0,0,54,40,38,13,3,22,34,64.7,12,27,17,10,28,82,86,0,761,1058,71.9,13394,5021,347,392,88.5,319,445,71.7,77,178,43.3,2.1,-0.7,18,57,29,12,815,242,7,0,4,44,235,0,0,0,0,1,5,33.3,0.58,0.19,0.07,0.20,21.3,0.04,+0.3,+0.3,1350,24,13,46.4,15,53.6,606,7,31,11,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84.0,86,23,1,32,0,0.64,18,53,-35,-1.34,-0.74,23.1,42.8,-19.7,-0.76,-1.44,0,28,24,40,0,0,104,61.1,/es/jugadores/0b524c25/Hamdi-Akujobi
Junior Kadile,frFRA,"DL,CC",22-134,27,26,"1,995",22.2,4,1,5,4,0,0,6,0,6.4,6.4,1.5,7.9,69,41,174,0.18,0.05,0.23,0.18,0.23,0.29,0.07,0.36,0.29,0.36,Partidos,56,2.52,32,0,9,8,4,3,3,0.14,2,0,1,0,0,0,45,22,18,17,10,13,30,43.3,17,22,4,18,11,56,21,0,367,541,67.8,5227,1187,208,257,80.9,123,174,70.7,14,39,35.9,1.9,-0.5,17,15,19,6,509,30,1,2,2,51,17,3,1,0,0,2,20,27.8,3.25,0.90,0.06,0.20,18.1,0.09,-2.4,-2.4,895,101,35,36.1,59,60.8,541,27,73,47,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,71.5,75,4,1,45,0,0.74,15,38,-23,-1.04,+0.66,23.4,27.4,-4.0,-0.18,+1.22,0,53,18,22,0,0,85,53.8,/es/jugadores/03b22796/Junior-Kadile
Jochem van de Kamp,nlNED,"CC,DL",21-178,26,22,"2,001",22.2,0,1,1,0,0,0,5,0,1.0,1.0,1.1,2.1,17,72,46,0.00,0.04,0.04,0.00,0.04,0.04,0.05,0.09,0.04,0.09,Partidos,47,2.11,33,1,2,2,4,5,1,0.04,1,0,0,0,0,0,51,29,16,29,6,20,34,58.8,14,25,6,19,32,83,40,0,623,776,80.3,10591,1978,290,343,84.5,254,308,82.5,61,76,80.3,1.8,-0.1,19,51,18,2,733,43,9,0,0,8,4,0,0,0,0,0,2,13.3,0.67,0.09,0.00,0.00,20.6,0.07,-1.0,-1.0,1020,28,17,54.8,9,29.0,420,5,19,15,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,71.7,85,14,4,33,1,0.73,18,38,-20,-0.90,+1.15,20.7,29.7,-8.9,-0.40,+0.44,0,24,26,29,0,0,99,40.0,/es/jugadores/9d00bcd3/Jochem-van-de-Kamp
Thom Haye,idIDN,CC,30-079,26,22,"1,770",19.7,0,2,2,0,0,0,5,0,1.3,1.3,3.5,4.8,23,148,28,0.00,0.10,0.10,0.00,0.10,0.07,0.18,0.24,0.07,0.24,Partidos,79,4.02,49,20,0,6,1,3,3,0.15,2,1,0,0,0,0,45,28,19,20,6,23,42,54.8,19,26,3,23,29,74,32,1,691,994,69.5,15686,5852,218,274,79.6,286,361,79.2,178,308,57.8,3.9,-1.5,44,126,42,14,859,127,53,1,25,137,5,69,30,36,1,8,8,22.9,1.78,0.41,0.00,0.00,27.9,0.04,-1.3,-1.3,1208,6,9,37.5,14,58.3,573,2,14,17,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,63.4,77,8,4,22,0,0.73,18,31,-13,-0.66,+1.54,23.5,27.4,-3.9,-0.20,+0.90,0,15,6,28,0,0,126,43.3,/es/jugadores/1d110865/Thom-Haye
Ricardo Visus,esESP,DF,24-005,22,21,"1,782",19.8,1,0,1,1,0,0,4,1,0.6,0.6,0.6,1.3,22,73,3,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Partidos,16,0.81,12,1,1,1,0,1,1,0.05,1,0,0,0,0,0,23,18,19,4,0,15,26,57.7,11,26,16,10,44,67,118,1,680,861,79.0,14585,5515,180,211,85.3,384,434,88.5,109,199,54.8,0.4,-0.6,5,61,3,1,825,35,33,0,13,8,1,0,0,0,0,1,4,36.4,0.56,0.20,0.09,0.25,12.1,0.06,+0.4,+0.4,1125,18,6,66.7,3,33.3,612,0,10,1,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,63.9,82,14,1,63,2,0.73,12,30,-18,-0.91,+0.88,21.8,23.2,-1.4,-0.07,+1.26,0,29,14,18,0,0,78,54.7,/es/jugadores/7016332f/Ricardo-Visus
Kornelius Hansen,noNOR,"DL,CC",23-358,30,20,"1,819",20.2,2,2,4,2,0,0,0,0,4.6,4.6,1.5,6.0,45,32,130,0.10,0.10,0.20,0.10,0.20,0.23,0.07,0.30,0.23,0.30,Partidos,48,2.37,33,2,5,5,2,1,4,0.20,3,0,0,1,0,0,14,8,6,3,5,8,24,33.3,16,8,1,7,6,20,25,0,289,430,67.2,4149,868,167,212,78.8,95,135,70.4,13,40,32.5,1.5,+0.5,20,14,14,7,405,23,1,1,3,38,2,2,0,2,0,2,16,34.0,2.33,0.79,0.04,0.13,16.3,0.10,-2.6,-2.6,680,74,19,28.8,41,62.1,417,15,59,30,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,65.2,79,7,10,25,1,0.63,15,43,-28,-1.39,-0.46,20.4,35.1,-14.6,-0.72,-0.57,0,8,23,8,0,0,83,19.3,/es/jugadores/a7273643/Kornelius-Hansen
Anas Tahiri,beBEL,CC,29-349,23,20,"1,545",17.2,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,13,64,16,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Partidos,24,1.40,24,0,0,0,0,0,2,0.12,2,0,0,0,0,0,25,12,11,12,2,13,20,65.0,7,11,4,7,6,31,28,0,686,769,89.2,10965,2572,344,373,92.2,263,280,93.9,56,76,73.7,0.8,+0.6,10,75,11,2,735,34,21,2,3,3,8,0,0,0,0,0,0,0.0,0.29,0.00,0.00,,24.0,0.04,-0.2,-0.2,901,2,4,66.7,2,33.3,510,0,20,14,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,55.4,74,3,3,21,4,0.61,8,33,-25,-1.46,-0.52,15.5,24.7,-9.2,-0.54,-0.02,0,5,1,12,0,0,73,55.6,/es/jugadores/e43e11a0/Anas-Tahiri
