Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,18,Heerenveen,nlNED,1.Eredivisie,15,557,0,4,,,,,,,,,15,557,0,4,5,557,6.2,0,4,4,0,0,0,2,0,,,,,,,,0.0,0.65,0.65,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.32,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,557,37,18.2,6.2,5,,2,10,,,,,,,,,,,,,,2,0,,9.0,,,,,,,,,,,,,"€ 23,462(£ 20,379, $25,713)","€ 1,220,000(£ 1,059,722, $1,337,093)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2014-2015,19,Heerenveen,nlNED,1.Eredivisie,20,"1,733",4,2,,,,,,,,,20,"1,733",4,2,20,"1,733",19.3,4,2,6,4,0,0,3,0,,,,,,,,0.21,0.1,0.31,0.21,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,,0.47,,0.44,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,733",87,56.6,19.3,20,,13,0,,0.0,1.45,26.0,20.0,6.0,0.31,0.24,,,,,,3,0,,24.0,,,,,,,,,,,,,"€ 23,462(£ 20,379, $25,713)","€ 1,220,000(£ 1,059,722, $1,337,093)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2014-2015,19,Ajax,nlNED,1.Eredivisie,10,755,0,0,,,,,4.0,170.0,0.0,0.0,14,925,0,0,9,755,8.4,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,755,76,24.7,8.4,9,,5,1,,1.0,2.0,16.0,6.0,10.0,1.19,0.02,,,,,,1,0,,7.0,,,,,,,,,,,,,"€ 23,462(£ 20,379, $25,713)","€ 1,220,000(£ 1,059,722, $1,337,093)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2015-2016,20,Jong Ajax,nlNED,2.Eerste Divisie,5,397,1,0,,,,,,,,,5,397,1,0,5,397,4.4,1,0,1,1,0,0,1,0,,,,,,,,0.23,0.0,0.23,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.45,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,397,79,12.3,4.4,5,,4,0,,0.0,1.2,5.0,8.0,-3.0,-0.68,-0.84,,,,,,1,0,,,,,,,,,,,,,,,"€ 23,462(£ 20,184, $25,654)","€ 1,220,000(£ 1,049,579, $1,334,022)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2015-2016,20,Ajax,nlNED,1.Eredivisie,16,944,0,0,,,,,2.0,75.0,0.0,0.0,18,"1,019",0,0,10,944,10.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.29,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,944,59,30.8,10.5,10,,7,6,,9.0,2.38,26.0,7.0,19.0,1.81,0.07,,,,,,1,0,,7.0,,,,,,,,,,,,,"€ 28,846(£ 24,370, $30,999)","€ 1,500,000(£ 1,267,244, $1,611,967)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2016-2017,21,Ajax,nlNED,1.Eredivisie,24,"1,782",1,5,,,,,7.0,499.0,0.0,0.0,31,"2,281",1,5,21,"1,782",19.8,1,5,6,1,0,0,3,0,,,,,,,,0.05,0.25,0.3,0.05,0.3,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,4,,0.0,0.2,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,782",74,58.2,19.8,21,,11,3,,2.0,2.38,46.0,12.0,34.0,1.72,0.17,,,,,,3,0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 28,846(£ 24,796, $32,761)","€ 1,500,000(£ 1,289,376, $1,703,568)",Estimación no verificada,https://fbref.com/es/jugadores/73000a79/Daley-Sinkgraven
2017-2018,22,Jong Ajax,nlNED,2.Eerste Divisie,4,330,0,0,,,,,,,,,4,330,0,0,4,330,3.7,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,,0.0,0.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,330,83,9.6,3.7,4,,3,0,,0.0,2.5,8.0,2.0,6.0,1.64,0.76,,,,,,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,22,Ajax,nlNED,1.Eredivisie,4,145,0,0,,,,,,,,,4,145,0,0,1,145,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,145,36,4.7,1.6,1,,0,3,,1.0,2.25,11.0,1.0,10.0,6.21,4.79,,,,,,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,23,Ajax,nlNED,1.Eredivisie,9,225,0,0,,,,,2.0,95.0,0.0,0.0,11,320,0,0,1,225,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,7.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,4.0,1.0,3.0,1.0,0.0,3.0,5.0,60.0,2.0,6.0,0.0,6.0,7.0,11.0,3.0,1.0,150.0,182.0,82.4,2167.0,639.0,90.0,99.0,90.9,47.0,56.0,83.9,8.0,14.0,57.1,0,0.2,0.5,-0.2,1.0,20.0,6.0,2.0,19.0,182.0,164.0,18.0,3.0,0.0,1.0,6.0,15.0,0.0,0.0,0.0,0.0,150.0,0.0,3.0,5.0,25.0,116.0,80.0,7.0,217.0,8.0,5.0,62.5,3.0,37.5,131.0,735.0,350.0,7.0,7.0,1.0,2.0,1.0,137.0,18.0,0,3.0,1,33.3,1.2,0.4,0.0,0.0,21.8,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,7.0,2.8,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,25,7.4,2.5,1,75.0,0,8,19.0,11.0,2.44,11.0,6.0,5.0,2.0,-0.6,9.3,3.0,6.3,2.51,0.84,0,0,0.0,3.0,2.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,100.0,,,,
2019-2020,24,Leverkusen,deGER,1.Bundesliga,13,909,0,1,2.0,174.0,0.0,0.0,6.0,438.0,0.0,0.0,21,"1,521",0,1,11,909,10.1,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,18.0,41.0,29.0,0.0,0.1,0.1,0.0,0.1,0.0,0.04,0.04,0.0,0.04,20.0,16.0,11.0,6.0,3.0,8.0,24.0,33.3,16.0,12.0,3.0,9.0,10.0,30.0,16.0,0.0,621.0,741.0,83.8,10610.0,2917.0,282.0,311.0,90.7,265.0,301.0,88.0,54.0,93.0,58.1,1,0.4,0.5,0.6,9.0,40.0,7.0,1.0,41.0,741.0,654.0,83.0,8.0,3.0,3.0,19.0,73.0,2.0,0.0,2.0,0.0,621.0,4.0,8.0,36.0,218.0,505.0,120.0,4.0,838.0,19.0,13.0,68.4,6.0,31.6,449.0,2139.0,1026.0,18.0,15.0,1.0,11.0,6.0,563.0,29.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,18.0,1.78,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,909,70,29.7,10.1,11,78.0,5,2,24.0,12.0,2.23,23.0,9.0,14.0,1.39,1.26,19.6,14.7,4.9,0.49,0.37,1,0,0.0,12.0,5.0,0.0,19.0,10.0,16.0,0.0,0.0,0.0,60.0,10.0,9.0,52.6,,,,
