Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,18,Liverpool,engENG,Jr.PL2 — Div. 1,14.0,545,1.0,0.0,,,,,,,,,14.0,545,1,0,5,545,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.17,0.0,0.17,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,545,39.0,27.5,6.1,5,83.0,3,9,15.0,1,1.93,13.0,13.0,0.0,0.0,-1.0,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 12,308(£ 10,691, $13,489)","€ 640,000(£ 555,920, $701,426)",,https://fbref.com/es/jugadores/3ed84b2c/Bobby-Adekanye
2018-2019,19,Liverpool,engENG,Jr.PL2 — Div. 1,9.0,729,1.0,2.0,,,,,,,,,9.0,729,1,2,8,729,8.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.12,0.25,0.37,0.12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,729,81.0,36.8,8.1,8,88.0,7,1,25.0,0,1.33,10.0,12.0,-2.0,-0.25,-1.18,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 17,692(£ 15,368, $19,390)","€ 920,000(£ 799,135, $1,008,300)",Estimación no verificada,https://fbref.com/es/jugadores/3ed84b2c/Bobby-Adekanye
2019-2020,20,Lazio,itITA,1.Serie A,11.0,188,1.0,0.0,1.0,90.0,0.0,0.0,3.0,98.0,0.0,1.0,15.0,376,1,1,0,188,2.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.2,1.6,6.0,2.0,12.0,0.48,0.0,0.48,0.48,0.48,0.65,0.09,0.74,0.65,0.74,3.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,38.0,43.0,88.4,500.0,64.0,20.0,24.0,83.3,12.0,12.0,100.0,2.0,2.0,100.0,0.0,0.2,0.1,-0.2,3.0,0.0,1.0,1.0,2.0,43.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,6.0,31.0,26.0,10.0,62.0,3.0,3.0,100.0,0.0,0.0,43.0,224.0,118.0,6.0,2.0,5.0,3.0,6.0,49.0,12.0,1.0,5.0,4.0,80.0,2.39,1.91,0.2,0.25,11.3,0.0,0.0,0.0,1.4,1.4,0.27,-0.4,-0.4,7.0,3.35,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,17.0,5.5,2.1,0,,0,11,17.0,21,1.45,3.0,5.0,-2.0,-0.96,-2.04,5.8,3.4,2.3,1.12,0.72,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0,,,,
2020-2021,21,Lazio,itITA,1.Serie A,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,5.0,3.0,1.0,4.0,10.0,40.0,6.0,7.0,0.0,7.0,2.0,11.0,7.0,0.0,124.0,159.0,78.0,1711.0,374.0,81.0,92.0,88.0,33.0,45.0,73.3,6.0,11.0,54.5,0.0,0.3,0.5,-0.3,2.0,8.0,5.0,0.0,12.0,159.0,156.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,124.0,0.0,6.0,10.0,63.0,115.0,108.0,19.0,277.0,21.0,8.0,38.1,13.0,61.9,192.0,1350.0,576.0,21.0,20.0,5.0,34.0,21.0,190.0,49.0,2.0,12.0,6.0,50.0,1.46,0.73,0.17,0.33,18.4,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8,12.0,1.46,9.0,0.0,1.0,0.0,2.0,0.0,2.0,0.24,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,1.0,0.0,0.0,10.0,23.0,1.0,7.0,2.0,5.0,0.0,1.0,0.0,42.0,6.0,9.0,40.0,,,,
2020-2021,21,ADO Den Haag,nlNED,1.Eredivisie,14.0,741,2.0,0.0,,,,,,,,,14.0,741,2,0,11,741,8.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.3,1.5,21.0,12.0,49.0,0.24,0.0,0.24,0.24,0.24,0.15,0.04,0.19,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,99.0,0.0,5.0,5.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,5.0,11.0,3.0,18.0,1.0,1.0,100.0,0.0,0.0,13.0,103.0,68.0,4.0,3.0,0.0,3.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,17.1,0.0,0.0,0.0,0.3,0.3,0.34,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741,53.0,24.2,8.2,11,58.0,0,3,35.0,0,0.71,7.0,19.0,-12.0,-1.46,-0.1,6.6,17.0,-10.4,-1.27,0.22,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,
2020-2021,21,Cádiz,esESP,1.La Liga,3.0,36,0.0,0.0,2.0,119.0,0.0,0.0,,,,,5.0,155,0,0,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,20.0,85.0,236.0,59.0,12.0,13.0,92.3,3.0,3.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,20.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,11.0,16.0,2.0,30.0,2.0,1.0,50.0,1.0,50.0,22.0,155.0,66.0,4.0,3.0,2.0,2.0,1.0,21.0,6.0,0.0,1.0,0.0,0.0,1.2,0.0,0.0,,18.6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.0,4.74,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,12.0,1.1,0.4,0,,0,3,12.0,6,2.33,0.0,0.0,0.0,0.0,0.59,0.9,0.5,0.4,0.91,1.47,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,
2021-2022,22,Crotone,itITA,2.Serie B,4.0,75,0.0,0.0,,,,,,,,,4.0,75,0,0,0,75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,30.0,17.0,8.0,18.0,4.0,11.0,45.0,24.4,34.0,28.0,4.0,24.0,9.0,39.0,5.0,0.0,435.0,618.0,70.4,6631.0,2142.0,245.0,301.0,81.4,130.0,186.0,69.9,34.0,70.0,48.6,4.0,3.4,2.7,0.6,31.0,44.0,25.0,6.0,78.0,618.0,605.0,12.0,6.0,6.0,4.0,42.0,2.0,2.0,1.0,0.0,0.0,435.0,1.0,22.0,9.0,118.0,423.0,441.0,89.0,958.0,114.0,52.0,45.6,46.0,40.4,645.0,3914.0,1864.0,64.0,39.0,22.0,72.0,45.0,664.0,167.0,6.0,46.0,15.0,32.6,1.93,0.63,0.13,0.4,18.4,0.0,0.0,0.0,4.0,4.0,0.09,2.0,2.0,81.0,3.39,53.0,1.0,11.0,8.0,8.0,0.0,9.0,0.38,8.0,0.0,0.0,1.0,0.0,0.0,75,19.0,2.2,0.8,0,,0,4,19.0,6,0.25,0.0,1.0,-1.0,-1.2,-0.69,1.4,3.0,-1.5,-1.79,-1.46,8.0,0.0,0.0,44.0,68.0,4.0,42.0,9.0,17.0,0.0,0.0,0.0,128.0,8.0,37.0,17.8,,,,
2022-2023,23,Go Ahead Eag,nlNED,1.Eredivisie,31.0,"2,146",6.0,4.0,,,,,,,,,31.0,"2,146",6,4,28,"2,146",23.8,6.0,4.0,10.0,6.0,0.0,0.0,8.0,0.0,4.0,4.0,3.4,7.4,64.0,78.0,167.0,0.25,0.17,0.42,0.25,0.42,0.17,0.14,0.31,0.17,0.31,18.0,11.0,6.0,9.0,3.0,8.0,27.0,29.6,19.0,18.0,2.0,16.0,4.0,22.0,12.0,0.0,314.0,453.0,69.3,5075.0,1606.0,169.0,205.0,82.4,104.0,147.0,70.7,33.0,61.0,54.1,5.0,5.7,4.0,-0.7,31.0,27.0,24.0,12.0,51.0,453.0,448.0,3.0,2.0,5.0,4.0,46.0,1.0,0.0,0.0,0.0,0.0,314.0,2.0,15.0,12.0,102.0,300.0,355.0,85.0,734.0,108.0,48.0,44.4,48.0,44.4,450.0,3299.0,1620.0,67.0,35.0,38.0,65.0,31.0,507.0,114.0,0.0,40.0,10.0,25.0,2.0,0.5,0.0,0.0,18.7,0.0,0.0,0.0,2.6,2.6,0.06,-2.6,-2.6,71.0,3.54,45.0,0.0,11.0,7.0,8.0,0.0,12.0,0.6,6.0,0.0,3.0,2.0,1.0,0.0,"2,146",69.0,70.1,23.8,28,74.0,3,3,24.0,0,1.19,31.0,35.0,-4.0,-0.17,0.42,27.8,32.9,-5.1,-0.21,-0.38,4.0,1.0,0.0,21.0,40.0,4.0,46.0,4.0,11.0,0.0,0.0,0.0,91.0,8.0,20.0,28.6,,,,
2023-2024,24,Go Ahead Eag,nlNED,1.Eredivisie,28.0,"1,804",0.0,5.0,,,,,,,,,28.0,"1,804",0,5,23,"1,804",20.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,2.6,2.6,5.7,8.3,67.0,51.0,114.0,0.0,0.25,0.25,0.0,0.25,0.13,0.29,0.41,0.13,0.41,9.0,4.0,2.0,6.0,1.0,3.0,13.0,23.1,10.0,5.0,0.0,5.0,0.0,9.0,6.0,0.0,147.0,214.0,68.7,2389.0,636.0,82.0,105.0,78.1,49.0,66.0,74.2,13.0,31.0,41.9,0.0,0.9,0.7,-0.9,7.0,11.0,17.0,8.0,22.0,214.0,209.0,5.0,1.0,1.0,1.0,33.0,2.0,2.0,0.0,0.0,0.0,147.0,0.0,9.0,11.0,37.0,99.0,174.0,36.0,304.0,28.0,12.0,42.9,16.0,57.1,201.0,1634.0,859.0,31.0,14.0,12.0,16.0,12.0,214.0,60.0,1.0,18.0,5.0,27.8,2.08,0.58,0.06,0.2,17.2,0.0,0.0,0.0,1.3,1.3,0.07,-0.3,-0.3,23.0,2.66,17.0,1.0,1.0,2.0,2.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,"1,804",64.0,59.0,20.0,23,73.0,6,5,24.0,1,1.47,29.0,29.0,0.0,0.0,-0.07,29.4,32.2,-2.9,-0.14,0.09,2.0,0.0,0.0,9.0,13.0,1.0,33.0,0.0,4.0,0.0,0.0,0.0,29.0,1.0,12.0,7.7,,,,
2024-2025,25,Go Ahead Eag,nlNED,1.Eredivisie,13.0,778,1.0,0.0,,,,,,,,,13.0,778,1,0,10,778,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.9,2.2,31.0,22.0,60.0,0.12,0.0,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,60.0,28.8,8.6,10,72.0,1,3,19.0,3,1.15,10.0,14.0,-4.0,-0.46,-0.93,15.0,8.6,6.4,0.74,0.62,,,,,,,,,,,,,,,,,,,,
