Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6.0,,0.0,0.18,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,2,,,,,,,,,,,,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,34,"3,054",33.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.04,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,054",85.0,89.3,33.9,34,,30.0,2,,0,0.67,41.0,63.0,-22.0,-0.65,1.32,,,,,,3.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,1,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,25,"2,233",24.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,34.0,100.0,722.0,167.0,7.0,7.0,100.0,25.0,25.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,7.0,17.0,20.0,0.0,0.0,37.0,0.0,0.0,,0.0,,21.0,65.0,36.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,233",83.0,65.3,24.8,25,,20.0,2,,5,1.31,34.0,39.0,-5.0,-0.2,0.41,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,25,"2,395",26.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,9.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,20.0,0.6,0.12,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,395",80.0,70.0,26.6,25,89.0,24.0,5,32.0,2,0.8,30.0,47.0,-17.0,-0.64,-0.29,,,,,,3.0,0.0,0.0,15.0,1.0,0.0,3.0,23.0,9.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,28.0,37.0,10.0,0.0,30.0,44.0,68.2,14.0,47.0,31.0,16.0,55.0,102.0,130.0,2.0,1046.0,1297.0,80.6,19834.0,6670.0,376.0,417.0,90.2,543.0,623.0,87.2,108.0,211.0,51.2,1.0,0.9,0.3,0.1,7.0,64.0,1.0,1.0,68.0,1297.0,1243.0,53.0,25.0,1.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,1046.0,1.0,15.0,279.0,955.0,645.0,60.0,16.0,1653.0,7.0,4.0,57.1,3.0,42.9,801.0,4298.0,2375.0,22.0,6.0,1.0,15.0,10.0,917.0,5.0,2.0,9.0,5.0,55.6,0.37,0.21,0.22,0.4,13.0,0.0,0.0,0.0,0.7,0.7,0.07,1.3,1.3,18.0,0.74,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,,0.0,0,,5,,,,,,,,,,,,3.0,2.0,1.0,21.0,7.0,0.0,4.0,55.0,28.0,0.0,1.0,1.0,168.0,74.0,64.0,53.6,,,,
,,,,,,,,,,,,,,,,,,,,,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,8.0,5.0,2.0,5.0,7.0,71.4,2.0,16.0,10.0,6.0,27.0,42.0,47.0,0.0,602.0,684.0,88.0,11248.0,3849.0,212.0,228.0,93.0,338.0,363.0,93.1,45.0,67.0,67.2,2.0,0.7,0.5,1.3,5.0,29.0,1.0,0.0,39.0,684.0,661.0,22.0,12.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,602.0,1.0,9.0,104.0,427.0,351.0,32.0,14.0,807.0,3.0,2.0,66.7,1.0,33.3,451.0,2510.0,1098.0,3.0,2.0,1.0,2.0,2.0,510.0,3.0,0.0,5.0,1.0,20.0,0.39,0.08,0.0,0.0,12.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,12.0,0.93,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,28,28.0,1.2,0.3,0,,0.0,1,27.0,22,1.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.4,-0.3,-0.99,-2.24,1.0,0.0,0.0,13.0,1.0,0.0,1.0,27.0,7.0,0.0,0.0,0.0,64.0,25.0,23.0,52.1,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,25.0,25.0,12.0,0.0,20.0,29.0,69.0,9.0,48.0,35.0,13.0,26.0,63.0,174.0,1.0,1272.0,1527.0,83.3,24627.0,8357.0,446.0,493.0,90.5,683.0,752.0,90.8,134.0,238.0,56.3,0.0,0.1,0.5,-0.1,4.0,89.0,2.0,1.0,79.0,1527.0,1397.0,128.0,34.0,1.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,1272.0,2.0,16.0,385.0,1076.0,742.0,70.0,27.0,1881.0,6.0,5.0,83.3,1.0,16.7,830.0,4569.0,2569.0,14.0,13.0,1.0,12.0,5.0,1020.0,8.0,2.0,19.0,6.0,31.6,0.67,0.21,0.11,0.33,13.8,0.0,0.0,0.0,1.6,1.6,0.08,0.4,0.4,19.0,0.67,14.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,,0,,3,,,,,,,,,,,,2.0,0.0,0.0,10.0,6.0,0.0,5.0,26.0,25.0,0.0,0.0,0.0,157.0,98.0,92.0,51.6,,,,
,,,,,,,,,,,,,,,,,,,,,5,747,8.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,24.0,14.0,13.0,10.0,1.0,11.0,18.0,61.1,7.0,32.0,26.0,6.0,24.0,48.0,223.0,2.0,1899.0,2140.0,88.7,36072.0,12495.0,674.0,714.0,94.4,1029.0,1089.0,94.5,179.0,286.0,62.6,0.0,0.7,1.3,-0.7,13.0,157.0,14.0,2.0,120.0,2140.0,2033.0,103.0,46.0,4.0,10.0,4.0,13.0,0.0,0.0,0.0,0.0,1899.0,4.0,22.0,348.0,1286.0,1124.0,123.0,40.0,2517.0,8.0,4.0,50.0,3.0,37.5,1491.0,7207.0,4266.0,27.0,24.0,1.0,18.0,6.0,1735.0,14.0,0.0,25.0,7.0,28.0,0.84,0.23,0.0,0.0,12.2,0.0,0.0,0.0,1.6,1.6,0.07,-1.6,-1.6,41.0,1.37,31.0,0.0,0.0,7.0,3.0,0.0,4.0,0.13,2.0,0.0,0.0,2.0,0.0,0.0,747,32.0,21.8,8.3,5,90.0,5.0,18,17.0,8,2.43,16.0,8.0,8.0,0.96,-1.22,,,,,,2.0,0.0,0.0,24.0,17.0,0.0,4.0,24.0,14.0,0.0,1.0,0.0,119.0,79.0,72.0,52.3,,,,
,,,,,,,,,,,,,,,,,,,,,25,"2,194",24.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,0.7,0.7,0.9,1.6,22.0,68.0,5.0,0.08,0.04,0.12,0.08,0.12,0.03,0.04,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,194",84.0,71.7,24.4,25,87.0,22.0,1,11.0,2,1.23,31.0,36.0,-5.0,-0.21,0.73,27.7,42.7,-15.0,-0.61,0.19,,,,,,,,,,,,,,,,,,,,
