Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,19,NEC Nijmegen,nlNED,1.Eredivisie,27,"1,294",5,4,,,,,,,,,27,"1,294",5,4,11,"1,294",14.4,5,4,9,5,0,0,6,0,,,,,,,,0.35,0.28,0.63,0.35,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,16.0,,,1.11,,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,294",48,42.3,14.4,11,,4,16,,,,,,,,,,,,,,6,0,,27.0,,,,,,,,,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",Estimación no verificada,https://fbref.com/es/jugadores/08452314/Alireza-Jahanbakhsh
2014-2015,20,NEC Nijmegen,nlNED,2.Eerste Divisie,28,"2,327",12,15,,,,,,,,,28,"2,327",12,15,28,"2,327",25.9,12,15,27,11,1,1,3,1,,,,,,,,0.46,0.58,1.04,0.43,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,38.0,,,1.47,,0.29,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,327",83,68.0,25.9,28,,14,0,,0.0,2.75,71.0,18.0,53.0,2.05,0.81,,,,,,3,1,,,,,,,,,,,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",Estimación no verificada,https://fbref.com/es/jugadores/08452314/Alireza-Jahanbakhsh
2015-2016,21,AZ Alkmaar,nlNED,1.Eredivisie,23,"1,661",3,5,,,,,3.0,168.0,0.0,0.0,26,"1,829",3,5,21,"1,661",18.5,3,5,8,3,0,0,5,0,,,,,,,,0.16,0.27,0.43,0.16,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,24.0,,,1.3,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,661",72,54.3,18.5,21,,7,2,,1.0,2.13,47.0,23.0,24.0,1.3,1.75,,,,,,5,0,,30.0,,,,,,,,,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",,https://fbref.com/es/jugadores/08452314/Alireza-Jahanbakhsh
2016-2017,22,AZ Alkmaar,nlNED,1.Eredivisie,29,"2,226",10,8,,,,,5.0,333.0,1.0,0.0,34,"2,559",11,8,25,"2,226",24.7,10,8,18,9,1,1,4,0,,,,,,,,0.4,0.32,0.73,0.36,0.69,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0,26.0,,0.0,1.05,,0.35,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,226",77,72.7,24.7,25,,17,4,,0.0,1.5,42.0,38.0,4.0,0.16,0.16,,,,,,4,0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,23,AZ Alkmaar,nlNED,1.Eredivisie,33,"2,839",21,12,,,,,,,,,33,"2,839",21,12,33,"2,839",31.5,21,12,33,17,4,4,3,0,,,,,,,,0.67,0.38,1.05,0.54,0.92,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.0,62.0,,0.0,1.97,,0.27,,,4,4,,,,,,,,,,,,,,,,,,,,,,"2,839",86,92.8,31.5,33,,23,0,,0.0,2.06,67.0,35.0,32.0,1.01,0.2,,,,,,3,0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,24,Brighton,engENG,Jr.PL2 — Div. 1,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,4.5,1.0,1,90.0,1,0,,0.0,1.0,1.0,1.0,0.0,0.0,-0.48,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,24,Brighton,engENG,1.Premier League,19,"1,020",0,0,5.0,415.0,0.0,0.0,,,,,24,"1,435",0,0,12,"1,020",11.3,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1.0,14.0,18.0,56.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,32.0,18.0,17.0,11.0,4.0,11.0,30.0,36.7,19.0,16.0,0.0,16.0,11.0,43.0,4.0,0.0,201.0,308.0,65.3,3128.0,913.0,122.0,148.0,82.4,57.0,82.0,69.5,16.0,39.0,41.0,0,0.2,0.3,-0.2,5.0,13.0,6.0,2.0,18.0,308.0,289.0,15.0,6.0,1.0,3.0,23.0,4.0,5.0,2.0,0.0,2.0,201.0,4.0,17.0,11.0,105.0,195.0,184.0,14.0,475.0,36.0,11.0,30.6,25.0,69.4,278.0,1550.0,741.0,14.0,17.0,1.0,27.0,21.0,284.0,56.0,0,21.0,6.0,28.6,1.85,0.53,0.0,0.0,23.4,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,21.0,1.86,10.0,4.0,2.0,1.0,2.0,2.0,2.0,0.18,0.0,1.0,0.0,1.0,0.0,0.0,"1,020",54,29.8,11.3,12,75.0,3,7,17.0,5.0,0.95,11.0,16.0,-5.0,-0.44,0.31,8.6,18.5,-9.9,-0.88,-0.35,2,0,0.0,19.0,8.0,6.0,23.0,11.0,18.0,0.0,1.0,0.0,76.0,11.0,18.0,37.9,,,,
2019-2020,25,Brighton,engENG,1.Premier League,10,311,2,0,2.0,118.0,0.0,0.0,,,,,12,429,2,0,3,311,3.5,2,0,2,2,0,0,0,0,0.6,0.6,0.6,1.2,8.0,12.0,51.0,0.58,0.0,0.58,0.58,0.58,0.17,0.18,0.35,0.17,0.35,8.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,3.0,11.0,2.0,0.0,86.0,138.0,62.3,1113.0,338.0,55.0,67.0,82.1,25.0,46.0,54.3,2.0,12.0,16.7,0,0.6,0.4,-0.6,4.0,5.0,3.0,0.0,12.0,138.0,135.0,3.0,0.0,1.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,86.0,0.0,5.0,3.0,21.0,60.0,115.0,10.0,193.0,15.0,8.0,53.3,7.0,46.7,118.0,560.0,252.0,8.0,5.0,1.0,8.0,6.0,137.0,51.0,2,12.0,2.0,16.7,3.47,0.58,0.17,1.0,19.2,0.0,0,0,0.6,0.6,0.05,1.4,1.4,12.0,3.47,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,31,9.1,3.5,3,68.0,0,7,15.0,9.0,1.0,4.0,4.0,0.0,0.0,0.43,3.6,3.9,-0.2,-0.06,0.21,0,0,0.0,2.0,7.0,1.0,24.0,3.0,4.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,,,,
2020-2021,26,Brighton,engENG,1.Premier League,21,528,0,1,4.0,269.0,2.0,1.0,,,,,25,797,2,2,6,528,5.9,0,1,1,0,0,0,3,0,1.5,1.5,3.0,4.5,18.0,28.0,53.0,0.0,0.17,0.17,0.0,0.17,0.26,0.51,0.77,0.26,0.77,9.0,7.0,3.0,5.0,1.0,2.0,12.0,16.7,10.0,8.0,0.0,8.0,8.0,17.0,1.0,0.0,188.0,266.0,70.7,2801.0,657.0,103.0,126.0,81.7,61.0,82.0,74.4,14.0,28.0,50.0,1,3.0,2.3,-2.0,10.0,10.0,19.0,4.0,28.0,266.0,257.0,8.0,1.0,2.0,1.0,30.0,3.0,2.0,0.0,2.0,0.0,188.0,1.0,11.0,4.0,23.0,113.0,199.0,29.0,331.0,17.0,11.0,64.7,6.0,35.3,219.0,991.0,552.0,18.0,13.0,6.0,12.0,7.0,254.0,53.0,0,18.0,3.0,16.7,3.07,0.51,0.0,0.0,18.1,0.0,0,0,1.5,1.5,0.09,-1.5,-1.5,21.0,3.57,16.0,0.0,2.0,2.0,1.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,528,25,15.4,5.9,6,58.0,0,15,12.0,6.0,0.76,4.0,9.0,-5.0,-0.85,-0.82,8.8,8.1,0.8,0.13,-0.33,3,0,0.0,7.0,4.0,0.0,30.0,8.0,7.0,0.0,0.0,0.0,25.0,5.0,11.0,31.3,,,,
2021-2022,27,Feyenoord,nlNED,1.Eredivisie,27,"1,556",4,3,,,,,9.0,223.0,1.0,0.0,36,"1,779",5,3,18,"1,556",17.3,4,3,7,4,0,0,2,0,4.5,4.5,3.1,7.6,62.0,80.0,214.0,0.23,0.17,0.4,0.23,0.4,0.26,0.18,0.44,0.26,0.44,40.0,21.0,16.0,12.0,12.0,19.0,42.0,45.2,23.0,16.0,3.0,13.0,11.0,51.0,7.0,0.0,561.0,822.0,68.2,8976.0,2369.0,301.0,367.0,82.0,183.0,254.0,72.0,50.0,103.0,48.5,3,3.1,3.1,-0.1,35.0,39.0,42.0,9.0,80.0,822.0,773.0,42.0,2.0,6.0,10.0,73.0,26.0,14.0,0.0,10.0,0.0,561.0,7.0,35.0,13.0,97.0,383.0,597.0,78.0,1064.0,86.0,43.0,50.0,43.0,50.0,703.0,4275.0,2143.0,62.0,57.0,20.0,44.0,22.0,779.0,214.0,4,54.0,21.0,38.9,3.12,1.21,0.07,0.19,19.8,1.0,0,0,4.5,4.5,0.08,-0.5,-0.5,87.0,5.03,54.0,7.0,10.0,5.0,6.0,5.0,9.0,0.52,5.0,0.0,0.0,2.0,1.0,1.0,"1,556",58,50.8,17.3,18,75.0,5,9,22.0,5.0,2.04,35.0,15.0,20.0,1.16,-0.16,35.4,17.9,17.4,1.01,-0.23,2,0,0.0,27.0,20.0,4.0,73.0,11.0,21.0,1.0,0.0,0.0,99.0,15.0,16.0,48.4,,,,
