Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,18,Feyenoord,nlNED,1.Eredivisie,16.0,"1,036",1.0,0.0,,,,,2.0,69.0,0.0,,18.0,"1,105",1,0,11,"1,036",11.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.09,0.0,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,0.26,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,036",65.0,33.9,11.5,11,,8,5,,,,,,,,,,,,,,3.0,0.0,,22.0,,,,,,,,,,,,,,,,
2009-2010,19,Feyenoord,nlNED,1.Eredivisie,17.0,"1,197",0.0,1.0,,,,,,,,,17.0,"1,197",0,1,13,"1,197",13.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.15,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,197",70.0,39.1,13.3,13,,11,4,,,,,,,,,,,,,,1.0,0.0,,11.0,,,,,,,,,,,,,,,,
2010-2011,20,Feyenoord,nlNED,1.Eredivisie,22.0,"1,736",3.0,2.0,,,,,,,,,22.0,"1,736",3,2,20,"1,736",19.3,3.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,,,,,,,,0.16,0.1,0.26,0.16,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,7.0,,,0.36,,0.43,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,736",79.0,56.7,19.3,20,,17,2,,,,,,,,,,,,,,3.0,1.0,,40.0,,,,,,,,,,,,,,,,
2011-2012,21,Feyenoord,nlNED,1.Eredivisie,31.0,"2,677",1.0,6.0,,,,,,,,,31.0,"2,677",1,6,31,"2,677",29.7,1.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,,,,,,,,0.03,0.2,0.24,0.03,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,0.24,,0.14,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,677",86.0,87.5,29.7,31,,26,0,,,,,,,,,,,,,,5.0,1.0,,37.0,,,,,,,,,,,,,,,,
2012-2013,22,Feyenoord,nlNED,1.Eredivisie,11.0,680,0.0,0.0,,,,,,,,,11.0,680,0,0,7,680,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.13,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,680,62.0,22.2,7.6,7,,6,4,,,,,,,,,,,,,,0.0,0.0,,7.0,,,,,,,,,,,,,,,,
2013-2014,23,Vitesse,nlNED,1.Eredivisie,26.0,"2,220",8.0,1.0,,,,,,,,,26.0,"2,220",8,1,25,"2,220",24.7,8.0,1.0,9.0,8.0,0.0,0.0,10.0,0.0,,,,,,,,0.32,0.04,0.36,0.32,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,16.0,,,0.65,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,220",85.0,72.5,24.7,25,,23,1,,,,,,,,,,,,,,10.0,0.0,,53.0,,,,,,,,,,,,,,,,
2014-2015,24,Vitesse,nlNED,1.Eredivisie,20.0,"1,267",2.0,1.0,,,,,,,,,20.0,"1,267",2,1,14,"1,267",14.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.14,0.07,0.21,0.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,,,1.07,,0.13,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,267",63.0,41.4,14.1,14,,8,6,,9.0,1.4,25.0,22.0,3.0,0.21,-0.79,,,,,,2.0,0.0,,25.0,,,,,,,,,,,,,,,,
2015-2016,25,Vitesse,nlNED,1.Eredivisie,15.0,"1,270",1.0,1.0,,,,,,,,,15.0,"1,270",1,1,14,"1,270",14.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,0.07,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,270",85.0,41.5,14.1,14,,14,1,,4.0,1.47,27.0,14.0,13.0,0.92,0.72,,,,,,4.0,0.0,,27.0,,,,,,,,,,,,,,,,
2016-2017,26,Vitesse,nlNED,1.Eredivisie,28.0,"2,280",1.0,5.0,,,,,,,,,28.0,"2,280",1,5,25,"2,280",25.3,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,0.04,0.2,0.24,0.04,0.24,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.0,,0.0,0.28,,0.14,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,280",81.0,74.5,25.3,25,,24,3,,2.0,1.61,39.0,32.0,7.0,0.28,-0.19,,,,,,5.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2023-2024,33,Heracles Almelo,nlNED,1.Eredivisie,12.0,781,0.0,1.0,,,,,,,,,12.0,781,0,1,10,781,8.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,2.0,27.0,0.0,0.0,0.12,0.12,0.0,0.12,0.01,0.06,0.06,0.01,0.06,8.0,6.0,6.0,2.0,0.0,5.0,6.0,83.3,1.0,18.0,13.0,5.0,7.0,15.0,42.0,1.0,418.0,484.0,86.4,8119.0,2950.0,145.0,154.0,94.2,226.0,247.0,91.5,44.0,73.0,60.3,1.0,0.5,0.2,0.5,2.0,19.0,1.0,0.0,27.0,484.0,455.0,29.0,13.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,418.0,0.0,4.0,102.0,307.0,249.0,15.0,3.0,568.0,1.0,1.0,100.0,0.0,0.0,283.0,1286.0,635.0,2.0,0.0,1.0,2.0,1.0,362.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,,11.7,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,7.0,0.81,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,781,65.0,25.5,8.7,10,76.0,4,2,11.0,0.0,0.92,6.0,18.0,-12.0,-1.38,-0.55,7.5,18.1,-10.6,-1.22,-0.59,0.0,0.0,0.0,6.0,3.0,1.0,1.0,7.0,6.0,0.0,0.0,0.0,42.0,10.0,10.0,50.0,,,,
