Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2007-2008,21,De Graafschap,nlNED,1.Eredivisie,34.0,"2,770",7.0,4.0,,,,,,,,,34.0,"2,770",7,4,33,"2,770",30.8,7.0,4.0,11.0,6.0,1.0,1.0,0.0,0.0,,,,,,,,0.23,0.13,0.36,0.19,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,27.0,,,0.88,,0.22,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,770",81.0,90.5,30.8,33,,24.0,1,,,,,,,,,,,,,,0.0,0.0,,22.0,,,,,,,,,,,,,"€ 36,923(£ 32,072, $40,467)","€ 1,920,000(£ 1,667,759, $2,104,278)",,https://fbref.com/es/jugadores/c3a8bcd8/Lasse-Schone
2008-2009,22,NEC Nijmegen,nlNED,1.Eredivisie,34.0,"2,824",6.0,4.0,,,,,7.0,500.0,1.0,,41.0,"3,324",7,4,33,"2,824",31.4,6.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,,,,,,,,0.19,0.13,0.32,0.19,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,22.0,,,0.7,,0.27,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,824",83.0,92.3,31.4,33,,24.0,1,,,,,,,,,,,,,,1.0,0.0,,38.0,,,,,,,,,,,,,"€ 36,923(£ 32,072, $40,467)","€ 1,920,000(£ 1,667,759, $2,104,278)",,https://fbref.com/es/jugadores/c3a8bcd8/Lasse-Schone
2009-2010,23,NEC Nijmegen,nlNED,1.Eredivisie,5.0,404,0.0,1.0,,,,,,,,,5.0,404,0,1,4,404,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.22,0.22,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.0,,,1.11,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,404,81.0,13.2,4.5,4,,4.0,1,,,,,,,,,,,,,,0.0,0.0,,7.0,,,,,,,,,,,,,,,,
2010-2011,24,NEC Nijmegen,nlNED,1.Eredivisie,34.0,"2,996",7.0,10.0,,,,,,,,,34.0,"2,996",7,10,34,"2,996",33.3,7.0,10.0,17.0,6.0,1.0,1.0,4.0,0.0,,,,,,,,0.21,0.3,0.51,0.18,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,24.0,,,0.72,,0.25,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,996",88.0,97.9,33.3,34,,26.0,0,,,,,,,,,,,,,,4.0,0.0,,42.0,,,,,,,,,,,,,,,,
2011-2012,25,NEC Nijmegen,nlNED,1.Eredivisie,34.0,"2,869",11.0,4.0,,,,,,,,,34.0,"2,869",11,4,34,"2,869",31.9,11.0,4.0,15.0,7.0,4.0,4.0,2.0,0.0,,,,,,,,0.35,0.13,0.47,0.22,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,38.0,,,1.19,,0.18,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,"2,869",84.0,93.8,31.9,34,,22.0,0,,,,,,,,,,,,,,2.0,0.0,,42.0,,,,,,,,,,,,,,,,
2012-2013,26,Ajax,nlNED,1.Eredivisie,32.0,"2,432",6.0,7.0,,,,,7.0,411.0,0.0,0.0,39.0,"2,843",6,7,28,"2,432",27.0,6.0,7.0,13.0,5.0,1.0,1.0,4.0,0.0,,,,,,,,0.22,0.26,0.48,0.19,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,12.0,,,0.44,,0.42,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,432",76.0,79.5,27.0,28,,18.0,4,,,,,,,,,,,,,,4.0,0.0,,39.0,,,,,,,,,,,,,,,,
2013-2014,27,Jong Ajax,nlNED,2.Eerste Divisie,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0,0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,90,90.0,2.6,1.0,1,,,0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-2014,27,Ajax,nlNED,1.Eredivisie,29.0,"2,146",9.0,8.0,,,,,6.0,284.0,2.0,1.0,35.0,"2,430",11,9,25,"2,146",23.8,9.0,8.0,17.0,6.0,3.0,3.0,1.0,0.0,,,,,,,,0.38,0.34,0.71,0.25,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,23.0,,,0.96,,0.26,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,"2,146",74.0,70.1,23.8,25,,19.0,4,,,,,,,,,,,,,,1.0,0.0,,23.0,,,,,,,,,,,,,,,,
2014-2015,28,Ajax,nlNED,1.Eredivisie,29.0,"2,271",8.0,9.0,,,,,8.0,578.0,3.0,1.0,37.0,"2,849",11,10,26,"2,271",25.2,8.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,0.32,0.36,0.67,0.32,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,28.0,,,1.11,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,271",78.0,74.2,25.2,26,,18.0,3,,3.0,2.0,47.0,24.0,23.0,0.91,-1.03,,,,,,0.0,0.0,,32.0,,,,,,,,,,,,,,,,
2015-2016,29,Ajax,nlNED,1.Eredivisie,24.0,"1,078",4.0,4.0,,,,,5.0,246.0,1.0,0.0,29.0,"1,324",5,4,12,"1,078",12.0,4.0,4.0,8.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,0.33,0.33,0.67,0.25,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,10.0,,,0.83,,0.3,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,078",45.0,35.2,12.0,12,,3.0,12,,10.0,2.5,25.0,5.0,20.0,1.67,-0.15,,,,,,1.0,0.0,,11.0,,,,,,,,,,,,,,,,
