Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,19,Roeselare,beBEL,1.First Division,17,"1,421",5,1,,,,,,,,,17,"1,421",5,1,16,"1,421",15.8,5,1,6,5,0,0,3,0,,,,,,,,0.32,0.06,0.38,0.32,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,8,,,0.51,,0.63,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,421",84,46.4,15.8,16,,,1,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 50,577(£ 43,932, $55,431)","€ 2,630,000(£ 2,284,483, $2,882,423)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2009-2010,20,Club Brugge,beBEL,1.Pro League,32,"2,635",9,8,,,,,8.0,721.0,4.0,1.0,40,"3,356",13,9,29,"2,635",29.3,9,8,17,9,0,0,8,0,,,,,,,,0.31,0.27,0.58,0.31,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,26,,,0.89,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,635",82,77.0,29.3,29,,,3,,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,"€ 44,423(£ 38,587, $48,687)","€ 2,310,000(£ 2,006,523, $2,531,710)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2010-2011,21,Club Brugge,beBEL,1.Pro League,37,"3,027",22,9,,,,,6.0,487.0,0.0,0.0,43,"3,514",22,9,34,"3,027",33.6,22,9,31,21,1,1,7,2,,,,,,,,0.65,0.27,0.92,0.62,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,54,,,1.61,,0.39,,,1,1,,,,,,,,,,,,,,,,,,,,,,"3,027",82,84.1,33.6,34,,,3,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,"€ 72,308(£ 62,808, $79,248)","€ 3,760,000(£ 3,266,029, $4,120,878)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2011-2012,22,Dortmund,deGER,1.Bundesliga,28,974,7,2,,,,,6.0,318.0,1.0,0.0,34,"1,292",8,2,8,974,10.8,7,2,9,7,0,0,3,1,,,,,,,,0.65,0.18,0.83,0.65,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,17,,,1.57,,0.41,,,0,0,,,,,,,,,,,,,,,,,,,,,,974,35,31.8,10.8,8,,5.0,20,,,,,,,,,,,,,,3,1,1.0,13.0,,,,,,,,,,,,,"€ 102,115(£ 88,700, $111,916)","€ 5,310,000(£ 4,612,397, $5,819,644)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2012-2013,23,Dortmund,deGER,1.Bundesliga,14,511,2,0,,,,,5.0,144.0,0.0,0.0,19,655,2,0,5,511,5.7,2,0,2,2,0,0,1,0,,,,,,,,0.35,0.0,0.35,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,1.06,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,511,37,16.7,5.7,5,,2.0,9,,,,,,,,,,,,,,1,0,,5.0,,,,,,,,,,,,,"€ 105,769(£ 91,874, $115,921)","€ 5,500,000(£ 4,777,435, $6,027,880)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2012-2013,23,Wolfsburg,deGER,1.Bundesliga,11,542,2,2,,,,,,,,,11,542,2,2,7,542,6.0,2,2,4,2,0,0,1,0,,,,,,,,0.33,0.33,0.66,0.33,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,0.5,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,542,49,17.7,6.0,7,,2.0,4,,,,,,,,,,,,,,1,0,,6.0,,,,,,,,,,,,,"€ 142,500(£ 123,779, $156,177)","€ 7,410,000(£ 6,436,508, $8,121,198)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2013-2014,24,Wolfsburg,deGER,1.Bundesliga,33,"2,193",10,4,,,,,,,,,33,"2,193",10,4,24,"2,193",24.4,10,4,14,10,0,0,4,0,,,,,,,,0.41,0.16,0.57,0.41,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,1.23,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,193",66,71.7,24.4,24,,10.0,9,,,,,,,,,,,,,,4,0,,26.0,,,,,,,,,,,,,"€ 163,269(£ 141,820, $178,940)","€ 8,490,000(£ 7,374,623, $9,304,855)",Estimación no verificada,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2014-2015,25,Wolfsburg,deGER,1.Bundesliga,24,"1,719",5,4,2.0,141.0,1.0,0.0,9.0,513.0,1.0,0.0,35,"2,373",7,4,21,"1,719",19.1,5,4,9,5,0,1,4,0,,,,,,,,0.26,0.21,0.47,0.26,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,,,1.05,,0.25,,,0,1,,,,,,,,,,,,,,,,,,,,,,"1,719",72,56.2,19.1,21,,6.0,3,,1.0,2.04,41.0,16.0,25.0,1.31,0.7,,,,,,4,0,,26.0,,,,,,,,,,,,,"€ 178,077(£ 154,682, $195,168)","€ 9,260,000(£ 8,043,464, $10,148,758)",,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2015-2016,26,Wolfsburg,deGER,1.Bundesliga,2,163,1,0,2.0,131.0,0.0,0.0,,,,,4,294,1,0,2,163,1.8,1,0,1,1,0,0,0,0,,,,,,,,0.55,0.0,0.55,0.55,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.55,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,163,82,5.3,1.8,2,,1.0,0,,0.0,2.0,2.0,2.0,0.0,0.0,0.06,,,,,,0,0,,0.0,,,,,,,,,,,,,"€ 178,077(£ 154,682, $195,168)","€ 9,260,000(£ 8,043,464, $10,148,758)",,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
2015-2016,26,Inter,itITA,1.Serie A,34,"2,408",7,6,3.0,210.0,2.0,0.0,,,,,37,"2,618",9,6,26,"2,408",26.8,7,6,13,7,0,0,5,0,,,,,,,,0.26,0.22,0.49,0.26,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,21,,,0.78,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,408",71,70.4,26.8,26,,18.0,8,,1.0,1.71,37.0,25.0,12.0,0.45,0.45,,,,,,5,0,,24.0,,,,,,,,,,,,,"£ 180,000(€ 209,227, $228,781)","£ 9,360,000(€ 10,879,794, $11,896,627)",,https://fbref.com/es/jugadores/6fe90922/Ivan-Perisic
