Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Jong Ajax,nlNED,2.Eerste Divisie,2.0,38,0.0,1.0,,,,,2.0,38,0,1,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,0,38,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.37,2.37,0.0,2.37,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,38,19.0,1.1,0.4,0,,0,2,,0,3.0,1.0,0.0,1.0,2.37,1.36,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,18,Ajax,nlNED,1.Eredivisie,,,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,11.0,,0.0,1.21,,0.18,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,3,,,,,,,,,,,,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,18,Jong Ajax,nlNED,2.Eerste Divisie,14.0,819,2.0,2.0,,,,,14.0,819,2,2,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,9,819,9.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.22,0.22,0.44,0.22,0.44,,,,,,3.0,2.0,0.0,2.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,26.0,34.0,76.5,481.0,120.0,15.0,16.0,93.8,7.0,9.0,77.8,4.0,7.0,57.1,1.0,0.4,0.6,0.6,2.0,1.0,1.0,0.0,2.0,34.0,28.0,6.0,1.0,0.0,0.0,7.0,0.0,5.0,0.0,4.0,1.0,26.0,0.0,2.0,0.0,1.0,14.0,29.0,6.0,42.0,2.0,2.0,100.0,0.0,0.0,26.0,221.0,84.0,5.0,2.0,1.0,0.0,0.0,26.0,6.0,0.0,2.0,0.0,0.0,3.75,0.0,0.0,,13.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,5.0,9.37,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.87,1.0,0.0,0.0,0.0,0.0,0.0,819,59.0,23.9,9.1,9,,2,5,,0,2.0,26.0,8.0,18.0,1.98,1.36,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,,,,
2018-2019,19,Ajax,nlNED,1.Eredivisie,3.0,48,0.0,1.0,,,,,3.0,48,0,1,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,0,48,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,5.0,2.0,6.0,0.0,1.87,1.87,0.0,1.87,0.26,0.75,1.01,0.26,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,48,16.0,1.6,0.5,0,,0,3,15.0,4,2.0,1.0,1.0,0.0,0.0,-2.6,1.6,0.4,1.2,2.29,0.57,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,19,Jong Ajax,nlNED,2.Eerste Divisie,21.0,"1,549",5.0,3.0,,,,,21.0,"1,549",5,3,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,19,"1,549",17.2,5.0,3.0,8.0,5.0,0.0,1.0,3.0,0.0,,,,,,,,0.29,0.17,0.46,0.29,0.46,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,28.0,13.0,46.4,3.5,1.63,0.18,0.38,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,549",74.0,45.3,17.2,19,78.0,14,2,36.0,2,1.43,39.0,30.0,9.0,0.52,0.28,,,,,,3.0,1.0,1.0,6.0,14.0,3.0,62.0,6.0,3.0,,,0.0,,,,,,,,
2019-2020,20,Jong Ajax,nlNED,2.Eerste Divisie,9.0,719,5.0,3.0,,,,,9.0,719,5,3,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,9,719,8.0,5.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,,,,,,,,0.63,0.38,1.0,0.63,1.0,,,,,,3.0,3.0,0.0,2.0,1.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,143.0,221.0,64.7,2279.0,735.0,75.0,95.0,78.9,41.0,54.0,75.9,16.0,39.0,41.0,0.0,1.1,0.9,-1.1,14.0,12.0,8.0,1.0,21.0,221.0,180.0,37.0,10.0,1.0,0.0,37.0,5.0,20.0,9.0,8.0,0.0,143.0,4.0,11.0,0.0,22.0,110.0,170.0,30.0,297.0,28.0,19.0,67.9,9.0,32.1,186.0,1625.0,600.0,16.0,7.0,11.0,25.0,13.0,201.0,51.0,1.0,17.0,5.0,29.4,2.55,0.75,0.06,0.2,15.8,0.0,0.0,0.0,2.5,2.5,0.15,-1.5,-1.5,22.0,3.3,13.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,80.0,27.5,8.0,9,80.0,5,0,,0,2.33,27.0,11.0,16.0,2.0,1.57,,,,,,1.0,0.0,0.0,6.0,16.0,2.0,37.0,0.0,3.0,0.0,0.0,0.0,33.0,3.0,8.0,27.3,,,,
2019-2020,20,Twente,nlNED,1.Eredivisie,7.0,600,1.0,0.0,,,,,7.0,600,1,0,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,7,600,6.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.1,3.5,16.0,21.0,51.0,0.15,0.0,0.15,0.15,0.15,0.37,0.16,0.53,0.37,0.53,9.0,4.0,2.0,5.0,2.0,2.0,3.0,66.7,1.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,76.0,95.0,80.0,886.0,171.0,53.0,61.0,86.9,13.0,19.0,68.4,4.0,5.0,80.0,0.0,0.6,0.6,-0.6,5.0,1.0,4.0,0.0,8.0,95.0,92.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,76.0,1.0,1.0,0.0,8.0,47.0,84.0,14.0,137.0,6.0,4.0,66.7,2.0,33.3,105.0,814.0,328.0,12.0,12.0,7.0,7.0,7.0,101.0,30.0,3.0,11.0,5.0,45.5,4.71,2.14,0.27,0.6,15.1,0.0,0.0,0.0,2.0,2.0,0.18,1.0,1.0,9.0,3.86,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,86.0,25.6,6.7,7,86.0,5,0,,0,1.0,7.0,9.0,-2.0,-0.3,0.22,8.2,7.5,0.7,0.11,0.62,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,13.0,3.0,4.0,42.9,,,,
2019-2020,20,Ajax,nlNED,1.Eredivisie,5.0,210,3.0,0.0,3.0,129.0,0.0,0.0,8.0,339,3,0,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,2,210,2.3,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6,2.7,12.0,8.0,30.0,1.29,0.0,1.29,1.29,1.29,0.87,0.28,1.15,0.87,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,36.0,3.0,3.0,3.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.1,0.1,-0.1,2.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,9.0,1.0,0.0,0.0,1.0,100.0,6.0,37.0,32.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,22.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,42.0,9.3,2.3,2,70.0,0,3,24.0,4,2.4,6.0,4.0,2.0,0.86,-1.04,6.0,2.9,3.1,1.31,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2020-2021,21,Ajax,nlNED,1.Eredivisie,1.0,8,0.0,0.0,,,,,1.0,8,0,0,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.17,0.0,1.17,18.0,12.0,5.0,7.0,6.0,7.0,15.0,46.7,8.0,21.0,0.0,21.0,9.0,27.0,3.0,0.0,803.0,1060.0,75.8,12517.0,3640.0,460.0,555.0,82.9,267.0,345.0,77.4,57.0,110.0,51.8,7.0,7.0,4.6,0.0,43.0,88.0,49.0,2.0,148.0,1060.0,982.0,73.0,16.0,6.0,8.0,42.0,32.0,23.0,6.0,4.0,0.0,803.0,5.0,33.0,6.0,69.0,451.0,801.0,110.0,1289.0,65.0,38.0,58.5,27.0,41.5,862.0,6185.0,2616.0,86.0,62.0,36.0,40.0,38.0,1001.0,216.0,14.0,65.0,34.0,52.3,3.34,1.75,0.2,0.38,15.8,0.0,1.0,1.0,11.7,11.0,0.17,2.3,2.0,83.0,4.27,69.0,1.0,7.0,4.0,2.0,0.0,17.0,0.87,10.0,0.0,4.0,3.0,0.0,0.0,8,8.0,0.3,0.1,0,,0,1,8.0,1,3.0,0.0,0.0,0.0,0.0,-2.33,0.8,0.0,0.8,8.5,6.58,6.0,1.0,1.0,15.0,34.0,9.0,42.0,9.0,12.0,0.0,0.0,0.0,138.0,2.0,16.0,11.1,,,,
2020-2021,21,Club Brugge,beBEL,1.First Division A,24.0,"1,749",14.0,7.0,6.0,297.0,1.0,1.0,30.0,"2,046",15,8,Partidos,https://fbref.com/es/jugadores/8e034340/Noa-Lang,,,21,"1,749",19.4,14.0,7.0,21.0,13.0,1.0,1.0,6.0,1.0,11.7,11.0,7.0,18.0,86.0,148.0,216.0,0.72,0.36,1.08,0.67,1.03,0.6,0.36,0.96,0.56,0.92,20.0,15.0,5.0,7.0,8.0,8.0,20.0,40.0,12.0,13.0,0.0,13.0,10.0,30.0,2.0,0.0,993.0,1313.0,75.6,15286.0,5298.0,558.0,677.0,82.4,337.0,439.0,76.8,68.0,115.0,59.1,12.0,8.9,9.6,3.1,59.0,118.0,95.0,11.0,216.0,1313.0,1206.0,95.0,20.0,7.0,9.0,62.0,50.0,21.0,8.0,3.0,1.0,993.0,12.0,48.0,8.0,76.0,595.0,937.0,155.0,1592.0,120.0,56.0,46.7,64.0,53.3,1141.0,8234.0,3528.0,129.0,85.0,69.0,61.0,47.0,1291.0,286.0,7.0,62.0,18.0,29.0,2.38,0.69,0.11,0.39,15.5,0.0,0.0,0.0,8.5,8.3,0.13,-1.5,-1.3,129.0,4.96,104.0,4.0,10.0,5.0,6.0,0.0,16.0,0.62,13.0,1.0,2.0,0.0,0.0,0.0,"1,749",73.0,57.2,19.4,21,77.0,5,3,41.0,0,2.0,41.0,18.0,23.0,1.18,-0.26,38.5,19.7,18.8,0.97,0.03,8.0,2.0,1.0,26.0,45.0,6.0,62.0,10.0,15.0,0.0,0.0,0.0,112.0,1.0,15.0,6.3,,,,
