Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Feyenoord,nlNED,1.Eredivisie,19,"1,246",0,2,,,,,3.0,194.0,0.0,0.0,22,"1,440",0,2,14,"1,246",13.8,0,2,2,0,0,0,1,1,,,,,,,,0.0,0.14,0.14,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,246",66,40.7,13.8,14,,10,5,,13,1.65,19,17,2,0.14,-0.6,,,,,,1,1,,13,,,,,,,,,,,,,"€ 52,692(£ 45,770, $57,750)","€ 2,740,000(£ 2,380,031, $3,002,980)",Estimación no verificada,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2015-2016,20,Feyenoord,nlNED,1.Eredivisie,29,"2,461",0,10,,,,,,,,,29,"2,461",0,10,28,"2,461",27.3,0,10,10,0,0,0,4,1,,,,,,,,0.0,0.37,0.37,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.04,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,461",85,80.4,27.3,28,,25,1,,0,1.83,45,28,17,0.62,-0.13,,,,,,4,1,,24,,,,,,,,,,,,,"€ 53,462(£ 46,438, $58,593)","€ 2,780,000(£ 2,414,776, $3,046,819)",Estimación no verificada,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2016-2017,21,Feyenoord,nlNED,1.Eredivisie,30,"2,537",1,4,,,,,6.0,540.0,0.0,0.0,36,"3,077",1,4,29,"2,537",28.2,1,4,5,1,0,0,3,0,,,,,,,,0.04,0.14,0.18,0.04,0.18,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,6,,0.0,0.21,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,537",85,82.9,28.2,29,,24,1,,1,2.4,68,23,45,1.6,-1.16,,,,,,3,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 78,269(£ 67,987, $85,781)","€ 4,070,000(£ 3,535,302, $4,460,631)",,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2017-2018,22,Roma,itITA,1.Serie A,1,81,0,0,,,,,,,,,1,81,0,0,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,48.0,63.0,76.2,791.0,139.0,24.0,27.0,88.9,18.0,23.0,78.3,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,63.0,51.0,11.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,48.0,1.0,2.0,2.0,12.0,35.0,18.0,0.0,65.0,1.0,0.0,0.0,1.0,100.0,40.0,191.0,71.0,2.0,1.0,0.0,1.0,2.0,45.0,3.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,81,2.4,0.9,1,,0,0,,3,3.0,1,0,1,1.11,0.25,2.1,0.4,1.8,1.96,1.3,0,0,0.0,0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,"€ 78,269(£ 67,987, $85,781)","€ 4,070,000(£ 3,535,302, $4,460,631)",,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2018-2019,23,Roma,itITA,1.Serie A,11,593,0,1,1.0,90.0,0.0,0.0,2.0,76.0,0.0,0.0,14,759,0,1,7,593,6.6,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,20.0,44.0,28.0,0.0,0.15,0.15,0.0,0.15,0.0,0.04,0.04,0.0,0.04,9.0,6.0,3.0,5.0,1.0,5.0,11.0,45.5,6.0,4.0,2.0,2.0,12.0,21.0,12.0,1.0,317.0,414.0,76.6,5597.0,2741.0,144.0,165.0,87.3,134.0,160.0,83.8,36.0,65.0,55.4,1,0.3,0.9,0.7,4.0,32.0,13.0,5.0,44.0,414.0,338.0,74.0,3.0,4.0,1.0,24.0,71.0,0.0,0.0,0.0,0.0,317.0,2.0,11.0,20.0,118.0,245.0,105.0,2.0,460.0,9.0,7.0,77.8,2.0,22.2,228.0,1397.0,842.0,20.0,19.0,1.0,5.0,6.0,267.0,28.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,13.0,1.97,10.0,3.0,0.0,0.0,0.0,0.0,3.0,0.45,3.0,0.0,0.0,0.0,0.0,0.0,593,54,17.3,6.6,7,77.0,1,4,14.0,15,1.55,12,11,1,0.15,-0.39,11.5,9.2,2.4,0.36,0.04,1,0,0.0,5,2.0,0.0,24.0,12.0,6.0,0.0,0.0,0.0,54.0,4.0,9.0,30.8,"€ 78,269(£ 67,336, $85,584)","€ 4,070,000(£ 3,501,463, $4,450,385)",,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2019-2020,24,Feyenoord,nlNED,1.Eredivisie,15,"1,135",1,3,,,,,3.0,264.0,1.0,0.0,18,"1,399",2,3,13,"1,135",12.6,1,3,4,0,1,1,1,0,1.4,0.7,3.1,3.7,41.0,64.0,82.0,0.08,0.24,0.32,0.0,0.24,0.11,0.25,0.36,0.05,0.3,18.0,16.0,9.0,8.0,1.0,6.0,12.0,50.0,6.0,7.0,2.0,5.0,27.0,45.0,24.0,1.0,748.0,933.0,80.2,13413.0,3739.0,325.0,366.0,88.8,305.0,356.0,85.7,94.0,162.0,58.0,3,3.1,1.7,-0.1,18.0,53.0,26.0,6.0,64.0,933.0,806.0,126.0,8.0,1.0,3.0,37.0,118.0,0.0,0.0,0.0,0.0,748.0,1.0,13.0,45.0,263.0,553.0,245.0,19.0,1052.0,21.0,11.0,52.4,10.0,47.6,568.0,3401.0,1651.0,41.0,27.0,2.0,10.0,11.0,673.0,82.0,1,8.0,1,12.5,0.63,0.08,0.0,0.0,23.9,0.0,1,1,1.4,0.7,0.08,-0.4,-0.7,30.0,2.38,26.0,1.0,1.0,2.0,0.0,0.0,5.0,0.4,2.0,1.0,1.0,1.0,0.0,0.0,"1,135",76,50.4,12.6,13,83.0,8,2,26.0,3,1.93,25,19,6,0.48,-0.25,23.6,13.7,9.9,0.79,0.05,1,0,0.0,8,2.0,0.0,37.0,27.0,16.0,0.0,0.0,0.0,99.0,6.0,2.0,75.0,"€ 78,269(£ 66,124, $84,112)","€ 4,070,000(£ 3,438,454, $4,373,804)",,https://fbref.com/es/jugadores/9f84febe/Rick-Karsdorp
2020-2021,25,Roma,itITA,1.Serie A,34,"2,544",1,6,1.0,52.0,0.0,0.0,10.0,715.0,0.0,0.0,45,"3,311",1,6,28,"2,544",28.3,1,6,7,1,0,0,2,0,1.0,1.0,5.1,6.2,32.0,97.0,150.0,0.04,0.21,0.25,0.04,0.25,0.04,0.19,0.23,0.04,0.23,36.0,23.0,19.0,12.0,5.0,21.0,48.0,43.8,27.0,18.0,1.0,17.0,30.0,66.0,32.0,0.0,1070.0,1298.0,82.4,18576.0,4636.0,462.0,523.0,88.3,516.0,588.0,87.8,75.0,132.0,56.8,6,5.1,3.0,0.9,24.0,62.0,35.0,8.0,97.0,1298.0,1106.0,190.0,11.0,2.0,4.0,55.0,179.0,0.0,0.0,0.0,0.0,1070.0,2.0,29.0,57.0,377.0,678.0,425.0,40.0,1462.0,23.0,18.0,78.3,5.0,21.7,737.0,3711.0,1559.0,32.0,26.0,5.0,19.0,12.0,932.0,150.0,1,13.0,4,30.8,0.46,0.14,0.08,0.25,15.4,0.0,0,0,1.0,1.0,0.08,0.0,0.0,43.0,1.56,38.0,0.0,2.0,3.0,0.0,0.0,8.0,0.29,7.0,0.0,1.0,0.0,0.0,0.0,"2,544",75,74.4,28.3,28,86.0,19,6,23.0,1,1.62,51,39,12,0.42,0.63,46.6,29.2,17.4,0.63,0.42,2,0,0.0,36,13.0,3.0,55.0,30.0,23.0,0.0,0.0,0.0,141.0,6.0,21.0,22.2,,,,
2021-2022,26,Roma,itITA,1.Serie A,36,"2,883",0,2,2.0,180.0,0.0,0.0,11.0,833.0,0.0,4.0,49,"3,896",0,6,32,"2,883",32.0,0,2,2,0,0,0,9,1,0.1,0.1,4.8,4.9,46.0,150.0,210.0,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,53.0,38.0,33.0,13.0,7.0,28.0,50.0,56.0,22.0,22.0,5.0,17.0,34.0,87.0,26.0,1.0,1466.0,1819.0,80.6,26822.0,8528.0,621.0,710.0,87.5,655.0,772.0,84.8,164.0,253.0,64.8,2,4.8,4.5,-2.8,42.0,111.0,57.0,24.0,150.0,1819.0,1526.0,281.0,15.0,3.0,11.0,103.0,266.0,0.0,0.0,0.0,0.0,1466.0,12.0,33.0,59.0,538.0,923.0,571.0,40.0,2008.0,23.0,13.0,56.5,10.0,43.5,1082.0,4702.0,2273.0,46.0,45.0,10.0,31.0,8.0,1303.0,210.0,0,2.0,1,50.0,0.06,0.03,0.0,0.0,25.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,93.0,2.9,81.0,4.0,5.0,0.0,2.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,"2,883",80,84.3,32.0,32,86.0,21,4,29.0,0,1.75,49,34,15,0.47,0.3,54.8,31.7,23.1,0.72,0.11,9,1,1.0,27,13.0,0.0,103.0,34.0,38.0,0.0,1.0,0.0,179.0,5.0,12.0,29.4,,,,
2022-2023,27,Roma,itITA,1.Serie A,13,711,0,0,,,,,5.0,276.0,0.0,0.0,18,987,0,0,8,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,16.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.19,0.03,0.19,21.0,13.0,11.0,7.0,3.0,13.0,22.0,59.1,9.0,0.0,0.0,0.0,7.0,28.0,15.0,1.0,295.0,380.0,77.6,5109.0,1611.0,134.0,153.0,87.6,131.0,155.0,84.5,27.0,53.0,50.9,0,1.2,1.1,-1.2,6.0,13.0,11.0,1.0,24.0,380.0,306.0,73.0,4.0,3.0,1.0,14.0,69.0,0.0,0.0,0.0,0.0,295.0,1.0,8.0,30.0,156.0,185.0,110.0,9.0,444.0,6.0,0.0,0.0,5.0,83.3,236.0,1148.0,575.0,16.0,8.0,2.0,11.0,6.0,260.0,33.0,0,2.0,0,0.0,0.25,0.0,0.0,,19.4,0.0,0,0,0.3,0.3,0.14,-0.3,-0.3,16.0,2.03,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711,55,20.8,7.9,8,73.0,2,5,26.0,3,1.54,10,8,2,0.25,-0.08,12.3,7.3,5.0,0.63,-0.05,0,0,0.0,4,0.0,1.0,14.0,7.0,13.0,0.0,0.0,0.0,45.0,5.0,2.0,71.4,,,,
2023-2024,28,Roma,itITA,1.Serie A,18,"1,191",0,2,2.0,130.0,0.0,0.0,8.0,480.0,0.0,0.0,28,"1,801",0,2,14,"1,191",13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,12.0,33.0,71.0,0.0,0.15,0.15,0.0,0.15,0.03,0.17,0.2,0.03,0.2,25.0,18.0,11.0,8.0,6.0,16.0,24.0,66.7,8.0,13.0,4.0,9.0,9.0,34.0,16.0,0.0,544.0,684.0,79.5,8723.0,2416.0,286.0,326.0,87.7,209.0,257.0,81.3,36.0,63.0,57.1,2,2.2,1.6,-0.2,10.0,21.0,7.0,3.0,33.0,684.0,559.0,119.0,4.0,0.0,2.0,28.0,115.0,0.0,0.0,0.0,0.0,544.0,6.0,15.0,33.0,201.0,336.0,241.0,24.0,772.0,7.0,3.0,42.9,3.0,42.9,394.0,1648.0,685.0,12.0,11.0,3.0,5.0,1.0,476.0,71.0,0,8.0,1,12.5,0.6,0.08,0.0,0.0,16.7,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,22.0,1.64,20.0,1.0,0.0,0.0,1.0,0.0,3.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0,"1,191",66,34.8,13.2,14,76.0,4,4,31.0,16,2.06,22,11,11,0.83,0.51,20.1,10.9,9.1,0.68,0.66,2,0,0.0,9,9.0,0.0,28.0,9.0,18.0,1.0,0.0,0.0,50.0,5.0,2.0,71.4,,,,
