Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Nick Olij,nlNED,PO,29-271,30,30,"2,700",30.0,0,1,1,0,0,0,1,0,0.0,0.0,1.6,1.6,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.05,0.05,0.00,0.05,Partidos,16.0,0.53,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1023.0,1308.0,78.2,28492.0,20890.0,196.0,197.0,99.5,519.0,525.0,98.9,305.0,581.0,52.5,0.8,-0.6,6.0,49.0,1.0,0.0,1145.0,161.0,35.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,1380.0,0.0,0.0,,0.0,,968.0,0.0,2.0,0.0,843.0,37.0,1.23,127.0,91.0,74.0,8.0,11.0,11.0,5.0,16.7,4.0,4.0,4.0,4.0,20.0,0.0,6.0,36.6,0.27,1.6,0.05,1181.0,125.0,32.9,32.9,54.4,45.1,481.0,37.0,7.7,22.0,0.73,12.5,90,100.0,90,30,0,,0,1.17,34,37,-3,-0.10,,38.1,37.8,+0.4,+0.01,,0.0,0.0,3.0,0.0,0.0,0.0,47.0,92.3,/es/jugadores/fdc67d9a/Nick-Olij
Mike Eerdhuijzen,nlNED,DF,24-290,28,28,"2,449",27.2,0,0,0,0,0,0,7,1,0.7,0.7,0.5,1.2,28,169,9,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Partidos,28.0,1.03,25.0,1.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,20.0,9.0,1.0,15.0,33.0,45.5,18.0,36.0,21.0,15.0,41.0,71.0,173.0,2.0,1647.0,1886.0,87.3,36473.0,13332.0,421.0,461.0,91.3,929.0,992.0,93.6,282.0,397.0,71.0,1.4,-0.5,13.0,175.0,14.0,2.0,1755.0,126.0,38.0,2.0,40.0,11.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,9.1,0.4,0.04,0.0,0.0,14.1,0.07,-0.7,-0.7,2228.0,27.0,10.0,71.4,3.0,21.4,1226.0,1.0,15.0,6.0,1437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,90.7,87,24,0,,0,1.25,32,32,0,0.00,+1.08,35.6,34.4,+1.3,+0.05,+0.36,0.0,14.0,8.0,18.0,0.0,0.0,120.0,66.9,/es/jugadores/7c0ade01/Mike-Eerdhuijzen
Tobias Lauritsen,noNOR,DL,27-242,29,28,"2,348",26.1,9,2,11,7,2,2,2,0,9.1,7.5,2.4,9.9,14,47,104,0.34,0.08,0.42,0.27,0.34,0.35,0.09,0.44,0.29,0.38,Partidos,63.0,2.41,49.0,0.0,3.0,6.0,4.0,1.0,7.0,0.27,6.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,3.0,3.0,5.0,4.0,13.0,30.8,9.0,17.0,2.0,15.0,0.0,11.0,29.0,0.0,326.0,555.0,58.7,4129.0,864.0,205.0,325.0,63.1,80.0,142.0,56.3,8.0,11.0,72.7,2.4,-0.4,29.0,26.0,14.0,0.0,539.0,13.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,36.1,3.18,1.15,0.08,0.23,13.3,0.09,-0.1,-0.5,804.0,128.0,9.0,52.9,8.0,47.1,298.0,5.0,57.0,15.0,579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,87.0,83,19,1,18,0,1.17,28,32,-4,-0.15,-0.41,31.1,32.9,-1.8,-0.07,-0.63,0.0,19.0,45.0,6.0,0.0,0.0,44.0,59.7,/es/jugadores/d266f8c9/Tobias-Lauritsen
Marvin Young,nlNED,DF,19-209,22,20,"1,811",20.1,0,0,0,0,0,0,4,1,0.7,0.7,0.6,1.3,13,62,10,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Partidos,14.0,0.7,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,34.0,33.0,27.0,0.0,32.0,42.0,76.2,10.0,34.0,17.0,17.0,23.0,83.0,135.0,1.0,1042.0,1204.0,86.5,21165.0,5330.0,271.0,300.0,90.3,660.0,704.0,93.8,104.0,181.0,57.5,0.3,-0.6,4.0,53.0,2.0,0.0,1162.0,41.0,17.0,0.0,3.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.25,0.05,0.0,0.0,18.8,0.13,-0.7,-0.7,1497.0,7.0,0.0,0.0,6.0,100.0,847.0,1.0,10.0,4.0,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,67.1,88,15,2,30,7,1.23,23,20,+3,+0.15,+0.76,26.8,21.2,+5.6,+0.28,+0.81,1.0,23.0,8.0,34.0,0.0,1.0,71.0,39.2,/es/jugadores/bd94ce40/Marvin-Young
Saïd Bakari,kmCOM,DF,30-219,22,20,"1,784",19.8,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,37,96,60,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Partidos,31.0,1.56,26.0,1.0,2.0,1.0,1.0,0.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,46.0,28.0,29.0,16.0,1.0,31.0,59.0,52.5,28.0,31.0,11.0,20.0,21.0,67.0,75.0,0.0,808.0,965.0,83.7,14457.0,4146.0,339.0,386.0,87.8,384.0,430.0,89.3,75.0,116.0,64.7,0.7,-0.3,8.0,80.0,14.0,6.0,820.0,142.0,6.0,1.0,4.0,38.0,136.0,0.0,0.0,0.0,0.0,3.0,2.0,18.2,0.55,0.1,0.09,0.5,23.4,0.06,0.4,0.4,1195.0,10.0,11.0,42.3,12.0,46.2,573.0,5.0,27.0,3.0,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,66.1,86,15,2,30,8,1.27,25,23,+2,+0.10,+0.59,24.5,24.6,-0.2,-0.01,-0.06,0.0,15.0,5.0,28.0,0.0,1.0,91.0,46.9,/es/jugadores/3a0fbf82/Said-Bakari
Arno Verschueren,beBEL,CC,28-021,20,20,"1,658",18.4,1,2,3,1,0,0,3,0,3.4,3.4,2.3,5.6,36,52,103,0.05,0.11,0.16,0.05,0.16,0.18,0.12,0.31,0.18,0.31,Partidos,42.0,2.28,35.0,0.0,2.0,4.0,0.0,1.0,4.0,0.22,3.0,0.0,0.0,1.0,0.0,0.0,36.0,18.0,9.0,18.0,9.0,15.0,28.0,53.6,13.0,21.0,1.0,20.0,14.0,50.0,30.0,0.0,357.0,520.0,68.7,5091.0,1502.0,204.0,256.0,79.7,122.0,163.0,74.8,19.0,44.0,43.2,2.3,-0.3,26.0,50.0,17.0,7.0,505.0,13.0,1.0,3.0,2.0,24.0,3.0,0.0,0.0,0.0,0.0,2.0,10.0,23.8,2.28,0.54,0.02,0.1,15.5,0.08,-2.4,-2.4,749.0,80.0,5.0,31.3,11.0,68.8,357.0,13.0,38.0,9.0,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,61.4,83,11,0,,0,0.85,15,25,-10,-0.54,-1.15,21.7,23.8,-2.1,-0.11,-0.33,0.0,36.0,12.0,18.0,0.0,0.0,72.0,60.0,/es/jugadores/0ae2b36f/Arno-Verschueren
Pelle Clement,nlNED,"CC,DL",28-345,28,19,"1,551",17.2,2,3,5,2,0,0,6,0,1.5,1.5,2.2,3.7,22,98,35,0.12,0.17,0.29,0.12,0.29,0.09,0.12,0.21,0.09,0.21,Partidos,48.0,2.79,31.0,13.0,1.0,0.0,0.0,3.0,6.0,0.35,3.0,3.0,0.0,0.0,0.0,0.0,25.0,15.0,13.0,9.0,3.0,12.0,30.0,40.0,18.0,19.0,9.0,10.0,22.0,47.0,44.0,0.0,654.0,840.0,77.9,10730.0,3429.0,329.0,374.0,88.0,245.0,297.0,82.5,57.0,116.0,49.1,2.7,0.8,27.0,74.0,23.0,2.0,769.0,68.0,19.0,5.0,1.0,44.0,8.0,28.0,12.0,11.0,1.0,3.0,4.0,22.2,1.04,0.23,0.11,0.5,21.0,0.08,0.5,0.5,1039.0,25.0,8.0,42.1,11.0,57.9,518.0,7.0,24.0,6.0,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,57.4,76,7,9,11,1,1.21,18,23,-5,-0.29,-0.45,19.5,20.2,-0.7,-0.04,-0.12,0.0,25.0,14.0,15.0,0.0,2.0,82.0,53.4,/es/jugadores/f7226e46/Pelle-Clement
Patrick van Aanholt,nlNED,DF,34-243,18,18,"1,497",16.6,0,0,0,0,0,0,4,0,0.5,0.5,1.2,1.7,35,78,60,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Partidos,42.0,2.53,37.0,1.0,1.0,2.0,0.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,12.0,11.0,1.0,8.0,26.0,30.8,18.0,14.0,4.0,10.0,19.0,43.0,41.0,0.0,616.0,739.0,83.4,10390.0,3678.0,283.0,321.0,88.2,266.0,301.0,88.4,53.0,83.0,63.9,2.1,-1.2,15.0,51.0,23.0,7.0,594.0,144.0,17.0,2.0,2.0,23.0,126.0,1.0,0.0,0.0,0.0,1.0,1.0,5.9,1.02,0.06,0.0,0.0,23.8,0.03,-0.5,-0.5,897.0,18.0,6.0,33.3,12.0,66.7,441.0,3.0,23.0,3.0,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,55.4,83,13,0,,0,1.33,21,17,+4,+0.24,+0.76,22.5,22.2,+0.3,+0.02,+0.01,0.0,14.0,4.0,16.0,0.0,0.0,79.0,60.0,/es/jugadores/5f09991f/Patrick-van-Aanholt
Camiel Neghli,nlNED,DL,23-174,20,15,"1,382",15.4,5,2,7,5,0,0,2,0,3.2,3.2,2.6,5.9,55,73,121,0.33,0.13,0.46,0.33,0.46,0.21,0.17,0.38,0.21,0.38,Partidos,58.0,3.78,43.0,2.0,5.0,5.0,3.0,0.0,4.0,0.26,3.0,0.0,1.0,0.0,0.0,0.0,18.0,12.0,6.0,10.0,2.0,9.0,28.0,32.1,19.0,19.0,2.0,17.0,15.0,33.0,13.0,0.0,430.0,608.0,70.7,7480.0,1731.0,200.0,251.0,79.7,181.0,232.0,78.0,40.0,74.0,54.1,2.7,-0.6,24.0,42.0,22.0,6.0,578.0,28.0,4.0,3.0,2.0,55.0,16.0,8.0,8.0,0.0,0.0,2.0,17.0,51.5,2.15,1.11,0.15,0.29,21.0,0.1,1.8,1.8,810.0,46.0,20.0,43.5,23.0,50.0,469.0,14.0,47.0,20.0,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,51.2,83,5,5,28,0,0.85,16,23,-7,-0.46,-0.73,19.9,19.1,+0.8,+0.05,+0.08,0.0,12.0,9.0,12.0,0.0,0.0,79.0,28.9,/es/jugadores/ad0d3536/Camiel-Neghli
Shunsuke Mito,jpJPN,DL,22-213,26,15,"1,343",14.9,5,0,5,5,0,0,0,0,5.1,5.1,1.2,6.3,47,30,136,0.34,0.00,0.34,0.34,0.34,0.34,0.08,0.42,0.34,0.42,Partidos,38.0,2.55,27.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,9.0,16.0,2.0,15.0,26.0,57.7,11.0,16.0,0.0,16.0,11.0,38.0,18.0,1.0,282.0,392.0,71.9,4302.0,1117.0,154.0,183.0,84.2,97.0,136.0,71.3,17.0,37.0,45.9,1.5,-1.2,14.0,17.0,15.0,10.0,383.0,7.0,1.0,0.0,1.0,44.0,6.0,0.0,0.0,0.0,0.0,2.0,17.0,39.5,2.88,1.14,0.12,0.29,16.1,0.12,-0.1,-0.1,607.0,73.0,13.0,27.7,32.0,68.1,377.0,28.0,39.0,28.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,49.7,73,4,11,22,2,1.08,18,11,+7,+0.47,+1.13,17.7,19.0,-1.3,-0.09,-0.20,0.0,6.0,18.0,19.0,0.0,0.0,62.0,35.3,/es/jugadores/59b5dca2/Shunsuke-Mito
