Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2007-2008,18,Vitesse,nlNED,1.Eredivisie,1.0,7,0.0,0.0,,,,,,,,,1,7,0,0,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,7,7.0,0.2,0.1,0,,,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/dbe16ade/Ricky-van-Wolfswinkel
2008-2009,19,Vitesse,nlNED,1.Eredivisie,32.0,"2,296",8.0,1.0,,,,,,,,,32,"2,296",8,1,29,"2,296",25.5,8.0,1.0,9.0,8.0,0.0,0.0,5.0,1.0,,,,,,,,0.31,0.04,0.35,0.31,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,33.0,,,1.29,,0.24,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,296",72.0,75.0,25.5,29,,11.0,3,,,,,,,,,,,,,,5.0,1.0,,56.0,,,,,,,,,,,,,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",Estimación no verificada,https://fbref.com/es/jugadores/dbe16ade/Ricky-van-Wolfswinkel
2009-2010,20,Utrecht,nlNED,1.Eredivisie,31.0,"2,322",7.0,3.0,,,,,,,,,31,"2,322",7,3,27,"2,322",25.8,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,0.27,0.12,0.39,0.27,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,30.0,,,1.16,,0.23,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,322",75.0,75.9,25.8,27,,15.0,4,,,,,,,,,,,,,,0.0,0.0,,42.0,,,,,,,,,,,,,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",Estimación no verificada,https://fbref.com/es/jugadores/dbe16ade/Ricky-van-Wolfswinkel
2010-2011,21,Utrecht,nlNED,1.Eredivisie,29.0,"2,211",15.0,5.0,,,,,6.0,495,2.0,1.0,35,"2,706",17,6,26,"2,211",24.6,15.0,5.0,20.0,9.0,6.0,7.0,3.0,0.0,,,,,,,,0.61,0.2,0.81,0.37,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,27.0,,,1.1,,0.33,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,"2,211",76.0,72.3,24.6,26,,19.0,3,,,,,,,,,,,,,,3.0,0.0,,41.0,,,,,,,,,,,,,,,,
2011-2012,22,Sporting CP,ptPOR,1.Primeira Liga,25.0,"1,941",14.0,0.0,,,,,13.0,"1,044",6.0,0.0,38,"2,985",20,0,21,"1,941",21.6,14.0,0.0,14.0,9.0,5.0,6.0,4.0,0.0,,,,,,,,0.65,0.0,0.65,0.42,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,34.0,,,1.58,,0.26,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,"1,941",78.0,71.9,21.6,21,,18.0,4,,,,,,,,,,,,,,4.0,0.0,,30.0,,,,,,,,,,,,,,,,
2012-2013,23,Sporting CP,ptPOR,1.Primeira Liga,30.0,"2,700",14.0,1.0,,,,,5.0,420,1.0,0.0,35,"3,120",15,1,30,"2,700",30.0,14.0,1.0,15.0,14.0,0.0,3.0,4.0,0.0,,,,,,,,0.47,0.03,0.5,0.47,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,34.0,,,1.13,,0.41,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,"2,700",90.0,100.0,30.0,30,,30.0,0,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,
2013-2014,24,Norwich City,engENG,1.Premier League,25.0,"1,392",1.0,1.0,,,,,,,,,25,"1,392",1,1,16,"1,392",15.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.06,0.06,0.13,0.06,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,0.58,,0.11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,392",56.0,40.7,15.5,16,,5.0,9,,,,,,,,,,,,,,1.0,0.0,,39.0,,,,,,,,,,,,,,,,
2014-2015,25,Saint-Étienne,frFRA,1.Ligue 1,28.0,"1,599",5.0,4.0,3.0,255.0,3.0,0.0,5.0,357,1.0,0.0,36,"2,211",9,4,18,"1,599",17.8,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,0.28,0.23,0.51,0.28,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,15.0,,,0.84,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,599",57.0,46.8,17.8,18,,4.0,10,,7.0,1.54,20.0,15.0,5.0,0.28,-0.51,,,,,,2.0,0.0,,32.0,,,,,,,,,,,,,,,,
2015-2016,26,Betis,esESP,1.La Liga,16.0,621,1.0,2.0,3.0,256.0,2.0,0.0,,,,,19,877,3,2,5,621,6.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.14,0.29,0.43,0.14,0.43,,,,,,,8.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,4.0,28.6,2.03,0.58,0.07,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,621,39.0,18.2,6.9,5,73.0,2.0,11,23.0,9.0,0.94,9.0,14.0,-5.0,-0.72,-0.31,,,,,,2.0,0.0,0.0,20.0,12.0,3.0,1.0,9.0,8.0,0.0,0.0,0.0,,,,,,,,
2015-2016,26,Norwich City,engENG,1.Premier League,,,,,1.0,90.0,1.0,0.0,,,,,1,90,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,40.0,,0.0,1.31,,0.4,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,1.0,,,,,,,,,,,,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2016-2017,27,Vitesse,nlNED,1.Eredivisie,32.0,"2,755",20.0,5.0,,,,,,,,,32,"2,755",20,5,32,"2,755",30.6,20.0,5.0,25.0,16.0,4.0,4.0,5.0,0.0,,,,,,,,0.65,0.16,0.82,0.52,0.69,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,21.0,,0.0,1.4,,0.38,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,"2,755",86.0,90.0,30.6,32,,23.0,0,,0.0,1.5,48.0,33.0,15.0,0.49,1.67,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,28,Basel,chSUI,1.Super Lg,21.0,"1,353",11.0,1.0,,,,,3.0,172,1.0,0.0,24,"1,525",12,1,15,"1,353",15.0,11.0,1.0,12.0,8.0,3.0,5.0,1.0,0.0,,,,,,,,0.73,0.07,0.8,0.53,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,353",64.0,41.8,15.0,15,,8.0,6,,3.0,1.76,27.0,19.0,8.0,0.53,-0.8,,,,,,6.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
2018-2019,29,Basel,chSUI,1.Super Lg,32.0,"2,527",13.0,6.0,,,,,,,,,32,"2,527",13,6,29,"2,527",28.1,13.0,6.0,19.0,13.0,0.0,1.0,6.0,0.0,,,,,,,,0.46,0.21,0.68,0.46,0.68,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,5.0,35.7,3.23,1.15,0.14,0.4,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,527",79.0,78.0,28.1,29,86.0,21.0,3,8.0,1.0,2.0,60.0,35.0,25.0,0.89,0.89,,,,,,0.0,0.0,0.0,9.0,4.0,1.0,4.0,2.0,4.0,,,0.0,,,,,,,,
2019-2020,30,Basel,chSUI,1.Super Lg,10.0,390,2.0,1.0,,,,,2.0,43,1.0,0.0,12,433,3,1,3,390,4.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.46,0.23,0.69,0.46,0.69,,,,,,,6.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,24.0,7.0,29.2,2.07,0.6,0.08,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,390,39.0,12.0,4.3,3,81.0,2.0,7,21.0,0.0,1.9,10.0,4.0,6.0,1.38,0.44,,,,,,2.0,0.0,0.0,14.0,5.0,6.0,5.0,13.0,6.0,,,0.0,,,,,,,,
2020-2021,31,Basel,chSUI,1.Super Lg,25.0,"1,045",2.0,1.0,,,,,,,,,25,"1,045",2,1,10,"1,045",11.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.17,0.09,0.26,0.17,0.26,,,,,,26.0,12.0,6.0,10.0,10.0,4.0,20.0,20.0,16.0,31.0,1.0,30.0,14.0,40.0,28.0,0.0,323.0,567.0,57.0,4824.0,1365.0,175.0,273.0,64.1,104.0,177.0,58.8,20.0,33.0,60.6,8.0,5.1,3.4,2.9,31.0,28.0,19.0,1.0,59.0,567.0,537.0,28.0,2.0,2.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0,323.0,2.0,18.0,34.0,102.0,376.0,420.0,130.0,885.0,25.0,13.0,52.0,12.0,48.0,390.0,1443.0,450.0,14.0,8.0,8.0,81.0,16.0,576.0,118.0,16.0,62.0,22.0,35.5,2.18,0.77,0.18,0.5,14.6,0.0,5.0,6.0,15.2,10.5,0.17,0.8,0.5,61.0,2.14,41.0,0.0,2.0,10.0,6.0,2.0,11.0,0.39,8.0,0.0,1.0,0.0,2.0,0.0,"1,045",42.0,32.3,11.6,10,85.0,5.0,15,13.0,5.0,1.52,19.0,13.0,6.0,0.52,0.48,,,,,,6.0,0.0,0.0,51.0,21.0,11.0,5.0,14.0,12.0,1.0,0.0,0.0,78.0,89.0,104.0,46.1,,,,
2021-2022,32,Twente,nlNED,1.Eredivisie,32.0,"2,560",16.0,8.0,,,,,,,,,32,"2,560",16,8,31,"2,560",28.4,16.0,8.0,24.0,11.0,5.0,6.0,6.0,0.0,15.2,10.5,5.1,15.6,14.0,59.0,118.0,0.56,0.28,0.84,0.39,0.67,0.54,0.18,0.71,0.37,0.55,33.0,23.0,5.0,14.0,14.0,8.0,30.0,26.7,22.0,32.0,5.0,27.0,10.0,43.0,32.0,0.0,452.0,659.0,68.6,6536.0,1644.0,246.0,341.0,72.1,150.0,198.0,75.8,23.0,39.0,59.0,6.0,4.1,5.7,1.9,38.0,42.0,20.0,4.0,67.0,659.0,631.0,25.0,3.0,4.0,5.0,25.0,7.0,1.0,0.0,0.0,0.0,452.0,3.0,29.0,40.0,102.0,386.0,494.0,182.0,970.0,31.0,15.0,48.4,13.0,41.9,498.0,1955.0,691.0,27.0,15.0,11.0,58.0,19.0,647.0,161.0,10.0,72.0,24.0,33.3,2.56,0.85,0.1,0.29,12.8,0.0,3.0,3.0,13.0,10.7,0.15,-3.0,-3.7,76.0,2.7,61.0,2.0,2.0,8.0,2.0,1.0,10.0,0.36,8.0,0.0,0.0,2.0,0.0,0.0,"2,560",80.0,83.7,28.4,31,82.0,17.0,1,13.0,0.0,2.0,47.0,28.0,19.0,0.67,0.85,46.8,29.5,17.3,0.61,1.25,4.0,0.0,0.0,29.0,21.0,17.0,25.0,10.0,23.0,0.0,0.0,0.0,84.0,58.0,67.0,46.4,,,,
