Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Lars Unnerstall,deGER,PO,34-283,28,28,"2,520",28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,4.0,0.14,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,737.0,964.0,76.5,17779.0,12002.0,169.0,170.0,99.4,409.0,419.0,97.6,153.0,368.0,41.6,0.1,-0.1,1.0,12.0,1.0,0.0,751.0,213.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,1022.0,0.0,2.0,100.0,0.0,0.0,610.0,0.0,2.0,0.0,554.0,36.0,1.29,93.0,57.0,63.4,12.0,9.0,7.0,9.0,32.1,2.0,2.0,2.0,2.0,0.0,0.0,3.0,33.9,0.36,-2.1,-0.07,799.0,135.0,30.3,30.8,32.1,33.3,356.0,20.0,5.6,33.0,1.18,13.7,90,93.3,90,28,0,,0,1.61,52,36,+16,+0.57,+2.57,47.1,33.9,+13.1,+0.47,+0.84,0.0,0.0,1.0,0.0,0.0,0.0,49.0,100.0,/es/jugadores/4b1793b0/Lars-Unnerstall
Bart van Rooij,nlNED,DF,23-338,28,28,"2,492",27.7,1,4,5,1,0,0,1,0,0.9,0.9,2.9,3.8,62,152,85,0.04,0.14,0.18,0.04,0.18,0.03,0.10,0.14,0.03,0.14,Partidos,53.0,1.91,47.0,3.0,0.0,2.0,1.0,0.0,8.0,0.29,8.0,0.0,0.0,0.0,0.0,0.0,61.0,40.0,32.0,26.0,3.0,28.0,47.0,59.6,19.0,26.0,6.0,20.0,25.0,86.0,120.0,0.0,1376.0,1738.0,79.2,25743.0,7911.0,547.0,624.0,87.7,646.0,786.0,82.2,162.0,257.0,63.0,3.7,1.1,26.0,113.0,39.0,18.0,1437.0,296.0,26.0,1.0,9.0,93.0,270.0,0.0,0.0,0.0,0.0,5.0,5.0,27.8,0.65,0.18,0.06,0.2,20.2,0.05,0.1,0.1,2058.0,23.0,7.0,28.0,14.0,56.0,1033.0,3.0,21.0,10.0,1174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,92.3,89,26,0,,0,1.57,51,42,+9,+0.33,-0.97,44.8,36.0,+8.8,+0.32,-1.21,0.0,22.0,26.0,40.0,0.0,1.0,113.0,43.4,/es/jugadores/30fb2f9c/Bart-van-Rooij
Sem Steijn,nlNED,CC,23-163,29,28,"2,404",26.7,23,5,28,17,6,6,2,0,14.4,9.7,4.2,13.9,32,92,124,0.86,0.19,1.05,0.64,0.82,0.54,0.16,0.70,0.36,0.52,Partidos,76.0,2.85,59.0,5.0,3.0,6.0,2.0,1.0,9.0,0.34,6.0,1.0,1.0,1.0,0.0,0.0,11.0,7.0,0.0,11.0,0.0,4.0,19.0,21.1,15.0,15.0,3.0,12.0,8.0,19.0,21.0,0.0,557.0,746.0,74.7,8793.0,2502.0,288.0,340.0,84.7,203.0,257.0,79.0,42.0,79.0,53.2,5.1,0.8,35.0,58.0,31.0,3.0,679.0,61.0,9.0,13.0,5.0,23.0,7.0,8.0,7.0,1.0,0.0,6.0,32.0,41.0,2.92,1.2,0.22,0.53,18.1,0.13,8.6,7.3,988.0,118.0,12.0,38.7,19.0,61.3,559.0,7.0,39.0,26.0,676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,89.0,85,18,1,30,0,1.55,52,41,+11,+0.41,+0.11,45.3,32.7,+12.7,+0.47,+0.56,0.0,14.0,12.0,7.0,0.0,0.0,82.0,41.5,/es/jugadores/ef58c4bc/Sem-Steijn
Michel Vlap,nlNED,"CC,DL",27-331,30,27,"2,152",23.9,3,7,10,3,0,0,3,0,4.0,4.0,4.8,8.8,34,175,88,0.13,0.29,0.42,0.13,0.42,0.17,0.20,0.37,0.17,0.37,Partidos,108.0,4.52,73.0,25.0,3.0,6.0,1.0,0.0,11.0,0.46,7.0,4.0,0.0,0.0,0.0,0.0,40.0,28.0,12.0,25.0,3.0,13.0,31.0,41.9,18.0,42.0,9.0,33.0,29.0,69.0,29.0,2.0,1290.0,1563.0,82.5,22927.0,6678.0,591.0,654.0,90.4,533.0,618.0,86.2,137.0,227.0,60.4,5.6,2.2,54.0,147.0,42.0,11.0,1408.0,147.0,49.0,8.0,21.0,119.0,18.0,78.0,54.0,10.0,1.0,8.0,10.0,22.2,1.88,0.42,0.07,0.3,19.5,0.09,-1.0,-1.0,1832.0,59.0,15.0,45.5,16.0,48.5,1027.0,8.0,37.0,26.0,1255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,79.7,76,8,3,37,0,1.60,45,37,+8,+0.33,-0.32,36.9,28.5,+8.4,+0.35,-0.31,0.0,20.0,18.0,28.0,0.0,0.0,150.0,55.0,/es/jugadores/02760e49/Michel-Vlap
Daan Rots,nlNED,DL,23-278,28,24,"1,946",21.6,2,5,7,2,0,0,4,0,4.2,4.2,3.5,7.7,36,97,180,0.09,0.23,0.32,0.09,0.32,0.19,0.16,0.36,0.19,0.36,Partidos,76.0,3.52,68.0,0.0,1.0,4.0,3.0,0.0,13.0,0.6,11.0,0.0,0.0,1.0,1.0,0.0,49.0,31.0,17.0,15.0,17.0,26.0,65.0,40.0,39.0,25.0,2.0,23.0,7.0,56.0,25.0,1.0,503.0,714.0,70.4,8397.0,3165.0,248.0,300.0,82.7,192.0,258.0,74.4,44.0,93.0,47.3,4.4,1.5,34.0,60.0,38.0,8.0,683.0,29.0,2.0,13.0,11.0,34.0,24.0,0.0,0.0,0.0,0.0,2.0,16.0,35.6,2.08,0.74,0.04,0.13,19.4,0.09,-2.2,-2.2,974.0,75.0,13.0,34.2,22.0,57.9,570.0,13.0,32.0,25.0,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72.1,76,6,4,29,0,1.57,39,31,+8,+0.37,-0.11,36.1,28.1,+7.9,+0.37,-0.16,0.0,17.0,38.0,31.0,1.0,0.0,91.0,38.7,/es/jugadores/d40b01f6/Daan-Rots
Mees Hilgers,idIDN,DF,23-351,21,19,"1,564",17.4,1,1,2,1,0,0,5,0,2.7,2.7,0.2,2.9,19,85,5,0.06,0.06,0.12,0.06,0.12,0.15,0.01,0.17,0.15,0.17,Partidos,8.0,0.46,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,43.0,25.0,24.0,19.0,0.0,27.0,43.0,62.8,16.0,13.0,0.0,13.0,11.0,54.0,69.0,0.0,851.0,978.0,87.0,16001.0,5637.0,282.0,300.0,94.0,516.0,544.0,94.9,49.0,120.0,40.8,0.3,0.8,5.0,70.0,1.0,0.0,933.0,43.0,38.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,35.7,0.81,0.29,0.07,0.2,12.6,0.19,-1.7,-1.7,1156.0,18.0,3.0,60.0,2.0,40.0,706.0,0.0,11.0,1.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,57.9,80,12,2,22,2,1.43,28,26,+2,+0.12,-0.68,28.3,24.2,+4.1,+0.24,-0.42,0.0,32.0,12.0,25.0,0.0,0.0,83.0,46.9,/es/jugadores/4eb00fda/Mees-Hilgers
Sam Lammers,nlNED,DL,27-364,21,19,"1,501",16.7,7,1,8,7,0,0,0,0,7.0,7.0,2.5,9.5,22,39,122,0.42,0.06,0.48,0.42,0.48,0.42,0.15,0.57,0.42,0.57,Partidos,45.0,2.7,36.0,0.0,2.0,6.0,1.0,0.0,8.0,0.48,4.0,0.0,1.0,2.0,1.0,0.0,8.0,4.0,2.0,2.0,4.0,4.0,7.0,57.1,3.0,9.0,0.0,9.0,4.0,12.0,13.0,0.0,282.0,418.0,67.5,3827.0,843.0,173.0,233.0,74.2,80.0,118.0,67.8,12.0,23.0,52.2,3.0,-1.5,13.0,18.0,12.0,1.0,404.0,12.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0,44.2,3.12,1.38,0.13,0.3,13.6,0.13,0.0,0.0,591.0,99.0,9.0,42.9,12.0,57.1,346.0,16.0,46.0,13.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55.6,76,9,2,25,0,1.95,32,17,+15,+0.90,+1.12,28.8,15.8,+13.0,+0.78,+0.83,0.0,14.0,8.0,4.0,1.0,0.0,28.0,53.6,/es/jugadores/c283ddef/Sam-Lammers
Max Bruns,nlNED,DF,22-174,22,18,"1,545",17.2,0,1,1,0,0,0,3,0,0.7,0.7,0.5,1.3,22,79,2,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Partidos,12.0,0.7,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,12.0,7.0,0.0,9.0,14.0,64.3,5.0,17.0,15.0,2.0,23.0,42.0,66.0,0.0,1023.0,1135.0,90.1,19059.0,6615.0,342.0,373.0,91.7,594.0,624.0,95.2,75.0,114.0,65.8,0.5,0.5,3.0,47.0,0.0,0.0,1091.0,43.0,22.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.29,0.06,0.0,0.0,13.6,0.15,-0.7,-0.7,1291.0,8.0,2.0,40.0,0.0,0.0,822.0,1.0,10.0,3.0,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,57.2,81,11,4,22,7,1.68,31,27,+4,+0.23,-0.39,28.4,21.6,+6.8,+0.40,-0.03,0.0,17.0,10.0,7.0,0.0,0.0,79.0,46.7,/es/jugadores/ff9eae4d/Max-Bruns
Bas Kuipers,nlNED,DF,30-255,26,16,"1,401",15.6,3,3,6,3,0,0,2,1,2.0,2.0,2.7,4.6,19,65,92,0.19,0.19,0.39,0.19,0.39,0.13,0.17,0.30,0.13,0.30,Partidos,37.0,2.38,27.0,8.0,0.0,0.0,2.0,0.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,0.0,15.0,11.0,4.0,5.0,6.0,8.0,12.0,66.7,4.0,28.0,10.0,18.0,15.0,30.0,53.0,0.0,618.0,812.0,76.1,10438.0,3542.0,297.0,333.0,89.2,253.0,310.0,81.6,55.0,119.0,46.2,2.0,0.3,24.0,44.0,21.0,7.0,658.0,150.0,15.0,1.0,4.0,62.0,123.0,12.0,9.0,0.0,0.0,4.0,3.0,25.0,0.77,0.19,0.25,1.0,13.0,0.16,1.0,1.0,977.0,30.0,1.0,14.3,4.0,57.1,449.0,4.0,18.0,3.0,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,51.9,75,7,10,20,4,1.46,26,21,+5,+0.32,-0.16,25.5,18.9,+6.5,+0.42,+0.01,0.0,13.0,14.0,11.0,0.0,0.0,34.0,55.2,/es/jugadores/149b617e/Bas-Kuipers
Youri Regeer,nlNED,CC,21-254,19,16,"1,342",14.9,0,0,0,0,0,0,2,0,0.7,0.7,1.9,2.6,25,98,76,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.17,0.05,0.17,Partidos,50.0,3.36,45.0,1.0,1.0,1.0,2.0,0.0,5.0,0.34,4.0,0.0,0.0,0.0,1.0,0.0,27.0,13.0,8.0,12.0,7.0,13.0,24.0,54.2,11.0,16.0,4.0,12.0,18.0,45.0,24.0,0.0,701.0,851.0,82.4,11989.0,2957.0,304.0,341.0,89.1,328.0,375.0,87.5,50.0,82.0,61.0,2.0,-1.9,18.0,93.0,21.0,6.0,821.0,29.0,19.0,1.0,1.0,25.0,8.0,1.0,0.0,0.0,0.0,1.0,4.0,28.6,0.94,0.27,0.0,0.0,21.4,0.05,-0.7,-0.7,1017.0,31.0,5.0,33.3,10.0,66.7,548.0,3.0,25.0,8.0,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,49.7,79,9,3,25,0,1.79,32,21,+11,+0.74,+0.67,28.2,17.4,+10.8,+0.73,+0.63,0.0,24.0,23.0,13.0,1.0,0.0,66.0,51.2,/es/jugadores/e0782abd/Youri-Regeer
