Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,15,Köln U17,deGER,Jr.U17 Bundesliga,2.0,38,0.0,,,,,,,,,,2.0,38,0,0,0,38,0.4,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,38,19.0,1.6,0.4,0,,0,2,18.0,0,2.0,0.0,1.0,-1.0,-2.37,-3.42,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 577(£ 501, $632)","€ 30,000(£ 26,059, $32,879)",Estimación no verificada,https://fbref.com/es/jugadores/b797f558/Can-Bozdogan
2017-2018,16,Köln U17,deGER,Jr.U17 Bundesliga,21.0,"1,746",7.0,,,,,,,,,,21.0,"1,746",7,0,21,"1,746",19.4,7.0,,,7.0,0.0,0.0,2.0,0.0,,,,,,,,0.36,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,746",83.0,74.6,19.4,21,83.0,16,0,,1,1.76,48.0,19.0,29.0,1.49,0.59,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 577(£ 496, $579)","€ 30,000(£ 25,807, $30,083)",Estimación no verificada,https://fbref.com/es/jugadores/b797f558/Can-Bozdogan
2017-2018,16,Köln U19,deGER,Jr.U19 Bundesliga,1.0,12,0.0,,,,,,,,,,1.0,12,0,0,0,12,0.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12,12.0,0.5,0.1,0,,0,1,11.0,0,3.0,0.0,0.0,0.0,0.0,-1.66,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 577(£ 496, $579)","€ 30,000(£ 25,807, $30,083)",Estimación no verificada,https://fbref.com/es/jugadores/b797f558/Can-Bozdogan
2018-2019,17,Köln U19,deGER,Jr.U19 Bundesliga,24.0,"1,736",1.0,,,,,,,,,,24.0,"1,736",1,0,21,"1,736",19.3,1.0,,,1.0,0.0,0.0,6.0,0.0,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,736",72.0,74.2,19.3,21,79.0,7,3,25.0,1,1.96,45.0,25.0,20.0,1.04,-1.65,,,,,,6.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,18,Schalke U19,deGER,Jr.U19 Bundesliga,13.0,"1,155",3.0,,,,,,,,,,13.0,"1,155",3,0,13,"1,155",12.8,3.0,,,3.0,0.0,0.0,4.0,1.0,,,,,,,,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,155",89.0,64.2,12.8,13,89.0,11,0,,0,1.69,16.0,7.0,9.0,0.7,0.14,,,,,,4.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,
2019-2020,18,Schalke 04,deGER,1.Bundesliga,3.0,235,0.0,0.0,,,,,,,,,3.0,235,0,0,3,235,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.1,5.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,8.0,6.0,5.0,3.0,0.0,3.0,12.0,25.0,9.0,2.0,0.0,2.0,2.0,10.0,2.0,0.0,52.0,74.0,70.3,814.0,234.0,27.0,31.0,87.1,16.0,20.0,80.0,5.0,13.0,38.5,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,12.0,74.0,73.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,27.0,55.0,31.0,0.0,106.0,12.0,9.0,75.0,3.0,25.0,68.0,488.0,276.0,5.0,7.0,0.0,6.0,4.0,61.0,6.0,0.0,4.0,2.0,50.0,1.53,0.77,0.0,0.0,30.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,4.0,1.54,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,78.0,7.7,2.6,3,78.0,1,0,,1,0.33,2.0,6.0,-4.0,-1.53,-1.02,3.1,4.4,-1.2,-0.48,-0.08,2.0,1.0,1.0,4.0,3.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,21.0,2.0,2.0,50.0,,,,
2020-2021,19,Schalke 04,deGER,1.Bundesliga,14.0,651,0.0,2.0,1.0,14.0,0.0,0.0,,,,,15.0,665,0,2,5,651,7.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.2,9.0,16.0,18.0,0.0,0.28,0.28,0.0,0.28,0.07,0.09,0.17,0.07,0.17,13.0,5.0,6.0,6.0,1.0,4.0,15.0,26.7,11.0,10.0,2.0,8.0,7.0,20.0,5.0,0.0,156.0,215.0,72.6,2404.0,580.0,78.0,94.0,83.0,63.0,79.0,79.7,7.0,21.0,33.3,2.0,0.7,0.3,1.3,5.0,10.0,3.0,1.0,16.0,215.0,206.0,8.0,5.0,1.0,1.0,15.0,0.0,3.0,1.0,2.0,0.0,156.0,1.0,10.0,12.0,66.0,202.0,73.0,11.0,339.0,20.0,6.0,30.0,14.0,70.0,192.0,960.0,445.0,9.0,4.0,5.0,29.0,17.0,213.0,18.0,0.0,8.0,2.0,25.0,1.11,0.28,0.0,0.0,23.5,1.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,10.0,1.38,7.0,1.0,1.0,1.0,0.0,0.0,2.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,651,47.0,21.3,7.2,5,64.0,0,9,37.0,14,0.57,6.0,16.0,-10.0,-1.38,0.52,4.7,13.2,-8.4,-1.16,0.04,0.0,0.0,0.0,7.0,16.0,0.0,15.0,7.0,5.0,0.0,0.0,1.0,40.0,3.0,13.0,18.8,,,,
2021-2022,20,Schalke 04,deGER,2.2. Bundesliga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,10.0,43.5,1.83,0.8,0.04,0.1,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,3.0,0.0,0.0,22.0,26.0,0.0,22.0,8.0,16.0,,,0.0,,,,,,,,
2021-2022,20,Beşiktaş,trTUR,1.Süper Lig,23.0,"1,129",1.0,1.0,,,,,4.0,219.0,0.0,0.0,27.0,"1,348",1,1,12,"1,129",12.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.08,0.08,0.16,0.08,0.16,,,,,,43.0,28.0,13.0,24.0,6.0,12.0,29.0,41.4,17.0,19.0,0.0,19.0,15.0,58.0,22.0,0.0,659.0,835.0,78.9,11325.0,2728.0,291.0,333.0,87.4,272.0,313.0,86.9,66.0,134.0,49.3,5.0,3.5,3.4,1.5,20.0,57.0,7.0,0.0,58.0,835.0,741.0,93.0,32.0,4.0,6.0,70.0,4.0,57.0,42.0,8.0,0.0,659.0,1.0,17.0,33.0,198.0,587.0,304.0,25.0,1075.0,64.0,30.0,46.9,23.0,35.9,544.0,2936.0,1364.0,30.0,29.0,3.0,43.0,23.0,667.0,40.0,1.0,34.0,16.0,47.1,1.96,0.92,0.03,0.06,23.4,2.0,0.0,0.0,2.2,2.2,0.06,-1.2,-1.2,43.0,2.48,25.0,11.0,3.0,3.0,1.0,0.0,8.0,0.46,3.0,4.0,0.0,1.0,0.0,0.0,"1,129",49.0,33.0,12.5,12,74.0,3,11,22.0,8,1.57,16.0,18.0,-2.0,-0.16,-0.55,,,,,,3.0,0.0,0.0,25.0,26.0,0.0,70.0,15.0,28.0,0.0,0.0,0.0,114.0,9.0,5.0,64.3,,,,
2022-2023,21,Utrecht,nlNED,1.Eredivisie,24.0,"1,560",1.0,5.0,,,,,,,,,24.0,"1,560",1,5,15,"1,560",17.3,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,3.5,5.7,30.0,58.0,40.0,0.06,0.29,0.35,0.06,0.35,0.13,0.2,0.33,0.13,0.33,55.0,36.0,17.0,32.0,6.0,30.0,58.0,51.7,28.0,28.0,6.0,22.0,25.0,80.0,34.0,0.0,832.0,1043.0,79.8,14874.0,3907.0,352.0,403.0,87.3,375.0,437.0,85.8,85.0,155.0,54.8,1.0,1.7,1.9,-0.7,20.0,82.0,7.0,5.0,86.0,1043.0,952.0,88.0,42.0,3.0,3.0,61.0,10.0,36.0,16.0,15.0,0.0,832.0,3.0,19.0,67.0,288.0,769.0,293.0,23.0,1326.0,46.0,25.0,54.3,17.0,37.0,726.0,4020.0,1774.0,30.0,25.0,6.0,39.0,17.0,799.0,60.0,3.0,30.0,9.0,30.0,1.38,0.41,0.1,0.33,23.7,6.0,0.0,0.0,1.6,1.6,0.05,1.4,1.4,43.0,1.97,22.0,8.0,1.0,4.0,5.0,3.0,3.0,0.14,0.0,1.0,0.0,2.0,0.0,0.0,"1,560",65.0,51.0,17.3,15,87.0,12,9,29.0,2,1.62,30.0,28.0,2.0,0.12,-0.06,26.0,24.0,2.0,0.12,0.01,4.0,0.0,0.0,28.0,43.0,1.0,61.0,25.0,36.0,0.0,1.0,0.0,160.0,29.0,30.0,49.2,,,,
