Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6,610,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,86.0,21.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,,0.0,,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610,87.0,17.8,6.8,6,88.0,5,1,82.0,2,1.14,8.0,13.0,-5.0,-0.74,0.48,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,2.0,18.2,0.56,0.1,0.18,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,5,5.0,0.2,0.1,0,,0,1,4.0,8,3.0,0.0,0.0,0.0,0.0,-0.64,0.1,0.8,-0.6,-11.59,-12.07,2.0,1.0,0.0,23.0,8.0,0.0,1.0,29.0,28.0,,,1.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21,"1,765",19.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,0.1,0.05,0.15,0.1,0.15,,,,,,45.0,30.0,34.0,11.0,0.0,22.0,35.0,62.9,13.0,37.0,25.0,12.0,31.0,76.0,76.0,1.0,1195.0,1367.0,87.4,23881.0,7864.0,360.0,404.0,89.1,689.0,741.0,93.0,139.0,199.0,69.8,0.0,0.3,0.3,-0.3,3.0,58.0,3.0,1.0,74.0,1367.0,1320.0,47.0,40.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,1195.0,0.0,6.0,188.0,830.0,754.0,24.0,10.0,1598.0,13.0,10.0,76.9,3.0,23.1,953.0,5185.0,2843.0,18.0,7.0,0.0,10.0,6.0,1020.0,3.0,0.0,10.0,2.0,20.0,0.44,0.09,0.0,0.0,12.9,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,20.0,0.88,15.0,2.0,2.0,0.0,1.0,0.0,3.0,0.13,2.0,0.0,1.0,0.0,0.0,0.0,"1,765",84.0,67.6,19.6,21,84.0,17,0,,0,1.38,34.0,31.0,3.0,0.15,0.37,,,,,,2.0,0.0,0.0,18.0,14.0,0.0,2.0,31.0,30.0,0.0,1.0,0.0,157.0,64.0,41.0,61.0,,,,
,,,,,,,,,,,,,,,,,,,,,23,"2,056",22.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.2,18.0,74.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,056",86.0,67.2,22.8,23,88.0,22,1,31.0,5,1.75,38.0,27.0,11.0,0.48,0.48,47.9,27.1,20.9,0.91,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,2.0,3.0,1.0,0.0,2.0,4.0,50.0,2.0,7.0,5.0,2.0,2.0,6.0,8.0,0.0,98.0,130.0,75.4,2043.0,752.0,30.0,37.0,81.1,54.0,60.0,90.0,13.0,27.0,48.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,130.0,123.0,6.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,1.0,24.0,85.0,66.0,6.0,3.0,155.0,3.0,3.0,100.0,0.0,0.0,92.0,555.0,281.0,1.0,1.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,45.0,1.3,0.5,1,45.0,0,0,,0,0.0,0.0,1.0,-1.0,-2.0,-1.39,,,,,,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,19.0,7.0,4.0,63.6,,,,
,,,,,,,,,,,,,,,,,,,,,2,198,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,198,66.0,6.5,2.2,2,90.0,2,1,18.0,6,0.0,1.0,4.0,-3.0,-1.36,-1.62,1.9,3.9,-2.0,-0.95,-1.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,401,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.53,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,401,80.0,11.7,4.5,5,80.0,3,0,,0,1.8,5.0,4.0,1.0,0.22,0.97,,,,,,1.0,0.0,0.0,6.0,3.0,0.0,2.0,8.0,4.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7,505,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,56.0,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,4.0,30.8,0.6,0.18,0.15,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,505,72.0,14.8,5.6,7,72.0,4,0,,0,1.0,7.0,8.0,-1.0,-0.18,0.78,,,,,,4.0,0.0,0.0,24.0,17.0,0.0,17.0,31.0,56.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,43.0,50.0,16.0,4.0,39.0,61.0,63.9,22.0,53.0,30.0,23.0,28.0,98.0,138.0,1.0,1295.0,1472.0,88.0,25589.0,7913.0,435.0,467.0,93.1,687.0,733.0,93.7,160.0,239.0,66.9,0.0,0.4,0.9,-0.4,8.0,93.0,9.0,3.0,88.0,1472.0,1341.0,129.0,28.0,1.0,8.0,17.0,92.0,0.0,0.0,0.0,0.0,1295.0,2.0,11.0,245.0,910.0,792.0,142.0,16.0,1825.0,22.0,11.0,50.0,9.0,40.9,1036.0,5075.0,2447.0,22.0,19.0,0.0,29.0,10.0,1103.0,23.0,0.0,9.0,2.0,22.2,0.31,0.07,0.0,0.0,15.0,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,24.0,0.83,23.0,0.0,0.0,0.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,9,,,,,,,,,,,,3.0,0.0,0.0,19.0,20.0,0.0,17.0,28.0,43.0,0.0,0.0,1.0,145.0,50.0,57.0,46.7,,,,
