Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,20,Hallescher,deGER,3.3. Liga,27,968,3,2,,,,,,,,,27,968,3,2,8,968,10.8,3,2,5,3,0,0,0,1,,,,,,,,0.28,0.19,0.46,0.28,0.46,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,6.0,,0.0,0.56,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,968,36,28.3,10.8,8,,2,19,,7,1.22,19,14,5,0.46,0.72,,,,,,0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 10,769(£ 9,098, $11,573)","€ 560,000(£ 473,104, $601,801)",Estimación no verificada,https://fbref.com/es/jugadores/e9a97974/Braydon-Manu
2018-2019,21,Hallescher,deGER,3.3. Liga,31,"2,075",3,3,,,,,,,,,31,"2,075",3,3,23,"2,075",23.1,3,3,6,3,0,0,5,1,,,,,,,,0.13,0.13,0.26,0.13,0.26,,,,,,,22.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.0,10.0,38.5,1.13,0.43,0.12,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,075",67,60.7,23.1,23,81.0,14,8,26.0,0,1.77,32,19,13,0.56,0.56,,,,,,5,1,0,53.0,49.0,2.0,47.0,13.0,22.0,3.0,1.0,0,,,,,,,,
2019-2020,22,Darmstadt 98,deGER,2.2. Bundesliga,4,154,0,0,,,,,,,,,4,154,0,0,1,154,1.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,1.0,50.0,1.17,0.58,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,154,39,5.0,1.7,1,66.0,0,3,29.0,3,1.0,1,3,-2,-1.17,-1.39,,,,,,0,0,0,7.0,7.0,2.0,0.0,0.0,4.0,,,0,,,,,,,,
2020-2021,23,Hallescher,deGER,3.3. Liga,18,"1,361",4,3,,,,,,,,,18,"1,361",4,3,16,"1,361",15.1,4,3,7,4,0,0,1,0,,,,,,,,0.26,0.2,0.46,0.26,0.46,,,,,,,3.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0,2.0,100.0,0.13,0.13,2.0,2.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,361",76,39.8,15.1,16,81.0,6,2,31.0,0,1.44,21,24,-3,-0.2,-0.02,,,,,,1,0,0,7.0,2.0,4.0,2.0,0.0,3.0,,,0,,,,,,,,
2020-2021,23,Darmstadt 98,deGER,2.2. Bundesliga,3,96,0,0,1.0,80.0,0.0,1.0,,,,,4,176,0,1,1,96,1.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,0.0,0.0,2.81,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,96,32,3.1,1.1,1,57.0,0,2,20.0,9,0.67,1,3,-2,-1.87,-2.18,,,,,,0,0,0,4.0,4.0,0.0,4.0,0.0,1.0,,,0,,,,,,,,
2021-2022,24,Darmstadt 98,deGER,2.2. Bundesliga,21,829,4,4,1.0,16.0,0.0,0.0,,,,,22,845,4,4,10,829,9.2,4,4,8,4,0,0,6,0,,,,,,,,0.43,0.43,0.87,0.43,0.87,,,,,,,16.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21.0,8.0,38.1,2.28,0.87,0.19,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,829,39,27.1,9.2,10,57.0,0,11,23.0,6,1.86,24,15,9,0.98,0.33,,,,,,6,0,0,26.0,20.0,4.0,33.0,8.0,16.0,,,0,,,,,,,,
2022-2023,25,Darmstadt 98,deGER,2.2. Bundesliga,28,"1,949",7,7,3.0,170.0,0.0,0.0,,,,,31,"2,119",7,7,25,"1,949",21.7,7,7,14,7,0,0,5,1,,,,,,,,0.32,0.32,0.65,0.32,0.65,,,,,,,13.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,56.0,16.0,28.6,2.59,0.74,0.13,0.44,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,949",70,63.7,21.7,25,75.0,3,3,21.0,2,1.93,34,22,12,0.55,0.15,,,,,,5,1,1,55.0,49.0,17.0,42.0,2.0,13.0,,,0,,,,,,,,
2023-2024,26,Darmstadt 98,deGER,1.Bundesliga,4,171,0,0,1.0,48.0,0.0,0.0,,,,,5,219,0,0,3,171,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.23,0.19,0.23,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,24.0,33.0,72.7,353.0,119.0,14.0,16.0,87.5,9.0,11.0,81.8,1.0,3.0,33.3,0,0.1,0.0,-0.1,3.0,4.0,0.0,0.0,1.0,33.0,29.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,1.0,9.0,24.0,24.0,4.0,56.0,9.0,4.0,44.4,5.0,55.6,34.0,203.0,120.0,5.0,0.0,1.0,2.0,1.0,37.0,9.0,0,5.0,1.0,20.0,2.63,0.53,0.0,0.0,14.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,7.0,3.68,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,43,5.6,1.9,3,52.0,0,1,15.0,0,0.25,1,6,-5,-2.63,-1.04,1.6,4.3,-2.7,-1.43,-0.25,1,0,0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0,7.0,0.0,3.0,0.0,,,,
2024-2025,27,Osnabrück,deGER,3.3. Liga,13,462,0,2,,,,,,,,,13,462,0,2,2,462,5.1,0,2,2,0,0,0,1,0,,,,,,,,0.0,0.39,0.39,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,462,36,14.7,5.1,2,74.0,0,11,29.0,0,1.77,6,3,3,0.58,0.89,,,,,,1,0,0,,,,,,,,,0,,,,,,,,
2024-2025,27,Zwolle,nlNED,1.Eredivisie,2,62,0,0,,,,,,,,,2,62,0,0,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,20.0,65.0,232.0,53.0,6.0,9.0,66.7,7.0,8.0,87.5,0.0,0.0,,0,0.2,0.0,-0.2,1.0,1.0,1.0,1.0,1.0,20.0,18.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,5.0,15.0,10.0,1.0,30.0,4.0,1.0,25.0,2.0,50.0,19.0,132.0,54.0,1.0,1.0,0.0,3.0,4.0,19.0,7.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,1.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,31,2.3,0.7,1,54.0,0,1,8.0,10,0.5,0,1,-1,-1.45,-1.04,0.3,1.1,-0.8,-1.15,-0.48,0,0,0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,,,,,
