Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,2,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,3.0,27.3,0.55,0.15,0.18,0.67,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,7,,,,,,,,,,,,7.0,1.0,1.0,29.0,13.0,0.0,0.0,33.0,16.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,17,"1,388",15.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,0.28,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,388",73.0,40.6,15.4,17,79.0,9.0,2,20.0,1,0.42,20.0,41.0,-21.0,-1.36,-0.39,,,,,,1.0,1.0,0.0,13.0,13.0,0.0,0.0,23.0,9.0,,,1.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21,"1,810",20.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.09,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,810",82.0,69.3,20.1,21,83.0,15.0,1,71.0,2,1.36,32.0,26.0,6.0,0.3,0.86,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,2.0,18.2,0.56,0.1,0.18,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,9,,,,,,,,,,,,6.0,0.0,0.0,21.0,18.0,0.0,0.0,34.0,17.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,"1,275",14.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,2.0,4.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,2.0,2.0,4.0,8.0,6.0,0.0,22.0,28.0,78.6,391.0,137.0,9.0,11.0,81.8,11.0,12.0,91.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,28.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,26.0,13.0,14.0,0.0,52.0,1.0,0.0,0.0,1.0,100.0,15.0,81.0,30.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,1.27,0.0,0.0,,30.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,2.0,2.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,275",85.0,37.3,14.2,15,85.0,12.0,0,,0,1.47,25.0,21.0,4.0,0.28,1.46,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,28.6,,,,
,,,,,,,,,,,,,,,,,,,,,1,43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,3.0,2.0,1.0,0.0,2.0,5.0,40.0,3.0,2.0,2.0,0.0,4.0,7.0,10.0,0.0,79.0,98.0,80.6,1465.0,429.0,29.0,37.0,78.4,43.0,46.0,93.5,5.0,10.0,50.0,0.0,0.0,0.1,0.0,1.0,2.0,0.0,0.0,3.0,98.0,93.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,79.0,0.0,2.0,25.0,61.0,51.0,11.0,4.0,123.0,0.0,0.0,,0.0,,65.0,399.0,145.0,1.0,1.0,0.0,3.0,2.0,69.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,43.0,1.3,0.5,1,43.0,0.0,0,,0,1.0,0.0,1.0,-1.0,-2.09,-1.48,,,,,,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,11.0,2.0,4.0,33.3,,,,
,,,,,,,,,,,,,,,,,,,,,21,"1,762",19.6,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,,,,,,,,0.1,0.05,0.15,0.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,762",63.0,51.5,19.6,21,76.0,10.0,7,24.0,1,0.75,23.0,37.0,-14.0,-0.72,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,71,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,8.0,2.3,0.8,0,,0.0,9,8.0,12,0.78,3.0,4.0,-1.0,-1.27,-0.51,1.6,3.0,-1.4,-1.74,-1.15,,,,,,,,,,,,,,,,,,,,
