Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
,,,,,,,,,,,,,,,,,,,,,0,22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,22,22.0,0.6,0.2,0,,,1,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,212,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.42,0.42,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.85,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,212,42.0,6.2,2.4,2,,1.0,3,,3.0,0.8,3.0,3.0,0.0,0.0,0.08,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24,"2,171",24.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,0.17,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,171",75.0,67.0,24.1,24,,17.0,5,,5.0,1.38,43.0,40.0,3.0,0.12,0.21,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,34,"2,947",32.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,,0.0,0.24,,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,947",82.0,86.2,32.7,34,,26.0,2,,0.0,2.0,77.0,46.0,31.0,0.95,-0.58,,,,,,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11,884,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,884,80.0,25.8,9.8,11,,7.0,0,,0.0,2.36,29.0,7.0,22.0,2.24,1.74,,,,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,7.0,,,,,,,,,,,,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3,292,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,54.0,33.0,27.0,23.0,4.0,29.0,48.0,60.4,19.0,27.0,2.0,25.0,37.0,91.0,52.0,1.0,786.0,1026.0,76.6,11697.0,4169.0,429.0,498.0,86.1,260.0,342.0,76.0,46.0,87.0,52.9,7.0,3.6,3.1,3.4,22.0,51.0,17.0,9.0,66.0,1026.0,850.0,174.0,19.0,2.0,2.0,49.0,151.0,4.0,0.0,3.0,0.0,786.0,2.0,27.0,54.0,340.0,687.0,326.0,44.0,1335.0,49.0,27.0,55.1,22.0,44.9,654.0,3760.0,1902.0,58.0,41.0,10.0,64.0,33.0,729.0,128.0,3.0,19.0,5.0,26.3,0.7,0.18,0.16,0.6,15.8,0.0,0.0,0.0,3.5,3.5,0.18,-0.5,-0.5,37.0,1.36,29.0,3.0,2.0,0.0,2.0,1.0,12.0,0.44,8.0,1.0,1.0,0.0,1.0,1.0,292,42.0,9.5,3.2,3,,1.0,4,,9.0,1.14,5.0,4.0,1.0,0.31,0.76,,,,,,5.0,1.0,1.0,36.0,12.0,5.0,49.0,37.0,33.0,0.0,1.0,0.0,133.0,27.0,48.0,36.0,,,,
,,,,,,,,,,,,,,,,,,,,,29,"2,458",27.3,3.0,7.0,10.0,3.0,0.0,0.0,5.0,1.0,3.5,3.5,3.6,7.1,58.0,66.0,128.0,0.11,0.26,0.37,0.11,0.37,0.13,0.13,0.26,0.13,0.26,18.0,9.0,7.0,6.0,5.0,8.0,21.0,38.1,13.0,9.0,3.0,6.0,6.0,24.0,15.0,1.0,345.0,452.0,76.3,5511.0,1833.0,172.0,201.0,85.6,140.0,176.0,79.5,22.0,38.0,57.9,3.0,1.2,0.5,1.8,7.0,28.0,4.0,1.0,39.0,452.0,367.0,84.0,11.0,0.0,1.0,14.0,71.0,1.0,0.0,1.0,0.0,345.0,1.0,12.0,21.0,102.0,319.0,120.0,4.0,530.0,18.0,12.0,66.7,6.0,33.3,282.0,1638.0,938.0,23.0,19.0,2.0,13.0,8.0,297.0,17.0,1.0,6.0,1.0,16.7,0.7,0.12,0.17,1.0,24.9,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8,16.0,1.87,13.0,0.0,1.0,1.0,1.0,0.0,3.0,0.35,3.0,0.0,0.0,0.0,0.0,0.0,"2,458",77.0,80.3,27.3,29,81.0,19.0,3,34.0,2.0,1.38,49.0,51.0,-2.0,-0.07,1.72,36.9,39.6,-2.7,-0.1,0.32,0.0,0.0,0.0,7.0,7.0,0.0,14.0,6.0,9.0,0.0,0.0,0.0,64.0,6.0,12.0,33.3,,,,
,,,,,,,,,,,,,,,,,,,,,7,770,8.6,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,1.4,23.0,39.0,17.0,0.12,0.35,0.47,0.12,0.47,0.03,0.14,0.17,0.03,0.17,54.0,32.0,35.0,13.0,6.0,31.0,64.0,48.4,33.0,34.0,4.0,30.0,30.0,84.0,34.0,1.0,852.0,1132.0,75.3,16381.0,5120.0,312.0,370.0,84.3,426.0,516.0,82.6,104.0,194.0,53.6,0.0,0.7,1.1,-0.7,9.0,83.0,19.0,11.0,104.0,1132.0,936.0,192.0,15.0,0.0,10.0,62.0,177.0,0.0,0.0,0.0,0.0,852.0,4.0,30.0,48.0,402.0,677.0,299.0,22.0,1365.0,28.0,16.0,57.1,12.0,42.9,703.0,3921.0,2279.0,60.0,34.0,8.0,29.0,14.0,739.0,80.0,0.0,17.0,1.0,5.9,0.77,0.05,0.0,0.0,21.2,0.0,0.0,0.0,0.8,0.8,0.05,-0.8,-0.8,40.0,1.81,34.0,2.0,2.0,2.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,770,48.0,32.9,8.6,7,79.0,3.0,9,24.0,0.0,1.81,12.0,8.0,4.0,0.47,0.52,9.9,13.3,-3.4,-0.4,-0.82,2.0,1.0,0.0,22.0,8.0,0.0,62.0,30.0,32.0,0.0,1.0,0.0,139.0,24.0,35.0,40.7,,,,
,,,,,,,,,,,,,,,,,,,,,21,"1,992",22.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8,0.8,0.7,1.5,60.0,104.0,80.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,46.0,30.0,29.0,14.0,3.0,28.0,60.0,46.7,32.0,21.0,2.0,19.0,25.0,71.0,38.0,4.0,621.0,859.0,72.3,11863.0,3629.0,245.0,294.0,83.3,277.0,353.0,78.5,90.0,173.0,52.0,2.0,2.6,2.3,-0.6,18.0,57.0,14.0,11.0,67.0,859.0,732.0,123.0,11.0,5.0,5.0,58.0,111.0,1.0,1.0,0.0,0.0,621.0,4.0,21.0,50.0,369.0,486.0,220.0,17.0,1066.0,31.0,16.0,51.6,15.0,48.4,540.0,3110.0,1671.0,51.0,23.0,3.0,27.0,5.0,548.0,66.0,0.0,7.0,1.0,14.3,0.42,0.06,0.0,0.0,21.6,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,38.0,2.29,33.0,0.0,2.0,2.0,0.0,1.0,4.0,0.24,3.0,0.0,1.0,0.0,0.0,0.0,"1,992",71.0,65.1,22.1,21,89.0,17.0,7,19.0,3.0,1.48,32.0,25.0,7.0,0.32,0.65,27.5,30.0,-2.5,-0.11,0.14,1.0,0.0,0.0,21.0,9.0,0.0,58.0,25.0,30.0,0.0,1.0,0.0,123.0,17.0,12.0,58.6,,,,
,,,,,,,,,,,,,,,,,,,,,16,"1,491",16.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,2.6,3.3,51.0,67.0,66.0,0.0,0.12,0.12,0.0,0.12,0.04,0.16,0.2,0.04,0.2,24.0,15.0,15.0,9.0,0.0,13.0,21.0,61.9,8.0,14.0,3.0,11.0,10.0,34.0,18.0,0.0,276.0,404.0,68.3,4530.0,1887.0,141.0,167.0,84.4,94.0,134.0,70.1,30.0,71.0,42.3,1.0,1.0,1.1,0.0,8.0,25.0,7.0,4.0,36.0,404.0,345.0,58.0,5.0,1.0,4.0,32.0,52.0,0.0,0.0,0.0,0.0,276.0,1.0,16.0,30.0,167.0,223.0,137.0,11.0,523.0,17.0,6.0,35.3,9.0,52.9,254.0,1363.0,680.0,21.0,14.0,2.0,21.0,15.0,264.0,34.0,0.0,3.0,1.0,33.3,0.34,0.11,0.0,0.0,16.4,0.0,0.0,0.0,0.4,0.4,0.13,-0.4,-0.4,13.0,1.49,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,"1,491",57.0,48.7,16.6,16,79.0,9.0,10,22.0,4.0,,17.0,29.0,-12.0,-0.72,-0.61,17.9,25.3,-7.4,-0.45,-0.44,2.0,0.0,0.0,11.0,1.0,2.0,32.0,10.0,15.0,0.0,0.0,0.0,59.0,13.0,8.0,61.9,,,,
,,,,,,,,,,,,,,,,,,,,,6,784,8.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0,1.3,21.0,36.0,34.0,0.0,0.11,0.11,0.0,0.11,0.04,0.11,0.15,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,784,44.0,25.6,8.7,6,90.0,5.0,12,21.0,9.0,0.67,7.0,27.0,-20.0,-2.3,-1.35,7.5,21.3,-13.7,-1.57,-0.91,6.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
