Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17,Jong Twente,nlNED,2.Eerste Divisie,6,133,1,0,,,,,,,,,6,133,1,0,1,133,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.68,0.0,0.68,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1.35,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,133,22,3.9,1.5,1,,1,5,,2,1.67,1,1,0,0.0,0.41,,,,,,0,0,,,,,,,,,,,,,,,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",Estimación no verificada,https://fbref.com/es/jugadores/b6667741/Alessio-da-Cruz
2015-2016,18,Twente,nlNED,1.Eredivisie,3,131,0,0,,,,,,,,,3,131,0,0,1,131,1.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,131,44,4.3,1.5,1,,0,2,,10,0.33,2,4,-2,-1.37,-0.97,,,,,,1,0,,1.0,,,,,,,,,,,,,,,,
2016-2017,19,Dordrecht,nlNED,2.Eerste Divisie,29,"1,965",5,1,,,,,,,,,29,"1,965",5,1,21,"1,965",21.8,5,1,6,5,0,0,8,0,,,,,,,,0.23,0.05,0.27,0.23,0.27,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,11,,0.0,0.5,,0.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,965",68,57.5,21.8,21,,12,8,,0,0.72,28,40,-12,-0.55,0.56,,,,,,8,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,20,Novara,itITA,2.Serie B,19,"1,344",5,4,,,,,,,,,19,"1,344",5,4,16,"1,344",14.9,5,4,9,5,0,0,5,2,,,,,,,,0.33,0.27,0.6,0.33,0.6,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,11,,0.0,0.74,,0.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,344",71,35.6,14.9,16,,7,3,,0,1.05,16,15,1,0.07,0.47,,,,,,5,2,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,20,Parma,itITA,2.Serie B,6,474,0,1,,,,,,,,,6,474,0,1,6,474,5.3,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.19,0.19,0.0,0.19,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,4,,0.0,0.76,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,474,79,12.5,5.3,6,,4,0,,2,0.83,4,9,-5,-0.95,-1.63,,,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,21,Parma,itITA,1.Serie A,3,144,0,0,1.0,29.0,0.0,0.0,,,,,4,173,0,0,1,144,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,27.0,77.8,299.0,31.0,11.0,13.0,84.6,8.0,9.0,88.9,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,27.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,23.0,13.0,2.0,37.0,3.0,2.0,66.7,1.0,33.3,29.0,217.0,93.0,1.0,1.0,1.0,5.0,6.0,30.0,5.0,0,1.0,0,0.0,0.62,0.0,0.0,,13.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,48,4.2,1.6,1,90.0,1,2,27.0,7,1.0,0,1,-1,-0.62,-0.1,0.3,2.0,-1.7,-1.06,-0.42,0,0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,4.0,33.3,,,,
2018-2019,21,Spezia,itITA,2.Serie B,13,883,2,1,,,,,,,,,13,883,2,1,9,883,9.8,2,1,3,2,0,0,2,1,1.7,1.7,1.2,2.9,59.0,39.0,85.0,0.2,0.1,0.31,0.2,0.31,0.17,0.12,0.29,0.17,0.29,4.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,4.0,5.0,9.0,0.0,0.0,290.0,347.0,83.6,3563.0,743.0,175.0,189.0,92.6,71.0,87.0,81.6,9.0,13.0,69.2,1,1.2,1.6,-0.2,10.0,18.0,9.0,2.0,39.0,347.0,342.0,3.0,2.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,290.0,2.0,13.0,0.0,41.0,210.0,231.0,39.0,473.0,48.0,40.0,83.3,8.0,16.7,360.0,3279.0,1550.0,59.0,46.0,20.0,51.0,34.0,413.0,85.0,2,20.0,5,25.0,2.04,0.51,0.1,0.4,16.0,0.0,0,0,1.7,1.7,0.09,0.3,0.3,35.0,3.57,22.0,1.0,9.0,1.0,2.0,0.0,3.0,0.31,3.0,0.0,0.0,0.0,0.0,0.0,883,68,27.3,9.8,9,80.0,3,4,40.0,0,1.64,15,10,5,0.51,0.43,14.3,12.4,2.0,0.2,0.05,2,1,1.0,15.0,29.0,1.0,11.0,5.0,2.0,0.0,0.0,0.0,55.0,3.0,10.0,23.1,,,,
2019-2020,22,Ascoli,itITA,2.Serie B,15,"1,170",5,5,3.0,142.0,1.0,0.0,,,,,18,"1,312",6,5,13,"1,170",13.0,5,5,10,4,1,1,2,3,3.1,2.4,3.6,5.9,86.0,50.0,103.0,0.38,0.38,0.77,0.31,0.69,0.24,0.28,0.52,0.18,0.46,6.0,4.0,2.0,3.0,1.0,2.0,7.0,28.6,5.0,7.0,1.0,6.0,2.0,8.0,1.0,0.0,293.0,379.0,77.3,4326.0,812.0,176.0,202.0,87.1,95.0,122.0,77.9,16.0,30.0,53.3,5,3.6,2.2,1.4,27.0,15.0,16.0,4.0,50.0,379.0,361.0,16.0,1.0,1.0,1.0,32.0,5.0,6.0,0.0,5.0,0.0,293.0,2.0,11.0,1.0,39.0,199.0,310.0,70.0,535.0,73.0,44.0,60.3,29.0,39.7,381.0,3756.0,1941.0,86.0,41.0,36.0,47.0,23.0,442.0,103.0,5,22.0,8,36.4,1.69,0.62,0.18,0.5,15.9,0.0,1,1,3.1,2.4,0.11,1.9,1.6,50.0,3.85,35.0,1.0,7.0,1.0,6.0,0.0,7.0,0.54,5.0,0.0,1.0,0.0,1.0,0.0,"1,170",78,34.2,13.0,13,84.0,8,2,38.0,0,1.33,22,17,5,0.38,0.9,17.3,17.2,0.1,0.01,0.62,2,3,0.0,20.0,29.0,4.0,32.0,2.0,4.0,0.0,0.0,0.0,38.0,6.0,16.0,27.3,,,,
2019-2020,22,Sheffield Weds,engENG,2.Championship,14,687,0,2,1.0,90.0,0.0,0.0,,,,,15,777,0,2,8,687,7.6,0,2,2,0,0,0,1,0,1.3,1.3,1.4,2.7,26.0,8.0,49.0,0.0,0.26,0.26,0.0,0.26,0.17,0.19,0.36,0.17,0.36,7.0,5.0,1.0,3.0,3.0,3.0,7.0,42.9,4.0,5.0,0.0,5.0,4.0,11.0,7.0,0.0,142.0,186.0,76.3,1968.0,433.0,84.0,99.0,84.8,37.0,51.0,72.5,9.0,14.0,64.3,2,1.4,0.8,0.6,11.0,7.0,4.0,2.0,8.0,186.0,158.0,25.0,1.0,0.0,0.0,24.0,1.0,13.0,11.0,0.0,1.0,142.0,3.0,6.0,8.0,20.0,103.0,160.0,27.0,277.0,26.0,15.0,57.7,11.0,42.3,185.0,1390.0,568.0,26.0,7.0,12.0,16.0,21.0,189.0,49.0,0,11.0,2,18.2,1.44,0.26,0.0,0.0,14.9,0.0,0,0,1.3,1.3,0.12,-1.3,-1.3,23.0,3.01,14.0,3.0,4.0,0.0,2.0,0.0,2.0,0.26,0.0,2.0,0.0,0.0,0.0,0.0,687,49,16.6,7.6,8,66.0,2,6,27.0,3,0.93,6,14,-8,-1.05,-1.05,9.2,12.5,-3.3,-0.44,-0.61,1,0,0.0,19.0,12.0,3.0,24.0,4.0,5.0,0.0,0.0,0.0,26.0,5.0,25.0,16.7,,,,
2020-2021,23,Groningen,nlNED,1.Eredivisie,22,"1,470",4,3,,,,,,,,,22,"1,470",4,3,18,"1,470",16.3,4,3,7,4,0,0,5,0,3.3,3.3,2.9,6.2,47.0,31.0,98.0,0.24,0.18,0.43,0.24,0.43,0.2,0.18,0.38,0.2,0.38,6.0,5.0,3.0,3.0,0.0,3.0,13.0,23.1,10.0,11.0,1.0,10.0,6.0,12.0,15.0,0.0,258.0,357.0,72.3,4050.0,915.0,134.0,169.0,79.3,87.0,111.0,78.4,20.0,38.0,52.6,3,2.9,2.1,0.1,19.0,21.0,9.0,4.0,31.0,357.0,327.0,28.0,10.0,0.0,3.0,31.0,3.0,6.0,2.0,3.0,1.0,258.0,2.0,9.0,16.0,55.0,231.0,277.0,47.0,552.0,58.0,35.0,60.3,23.0,39.7,325.0,2778.0,1174.0,47.0,36.0,17.0,63.0,30.0,371.0,98.0,4,22.0,12,54.5,1.35,0.73,0.18,0.33,14.4,0.0,0,0,3.3,3.3,0.15,0.7,0.7,38.0,2.32,28.0,2.0,2.0,2.0,3.0,1.0,6.0,0.37,4.0,0.0,0.0,0.0,2.0,0.0,"1,470",67,48.0,16.3,18,76.0,6,4,27.0,0,1.48,21,16,5,0.31,0.42,21.0,23.2,-2.2,-0.14,0.05,5,0,0.0,22.0,25.0,5.0,31.0,6.0,5.0,0.0,0.0,0.0,62.0,26.0,43.0,37.7,,,,
