Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
,,,,,,,,,,,,,,,,,,,,,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,2.0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,45,45,1.3,0.5,0,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,228,2.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.39,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,228,57,6.7,2.5,2,,2.0,2,,6.0,1.75,8.0,7.0,1.0,0.39,0.51,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11,"1,144",12.7,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.16,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,144",60,35.3,12.7,11,,9.0,8,,12.0,1.16,18.0,25.0,-7.0,-0.55,-0.94,,,,,,3,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,33,"2,920",32.4,1,0,1,1,0,0,4,0,,,,,,,,0.03,0.0,0.03,0.03,0.03,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,5.0,,0.0,0.15,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,920",88,85.4,32.4,33,,31.0,0,,0.0,1.64,69.0,58.0,11.0,0.34,0.88,,,,,,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,"2,600",28.9,3,0,3,3,0,0,4,0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,4.0,,0.0,0.14,,0.75,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,600",84,76.0,28.9,30,,24.0,1,,3.0,1.39,51.0,56.0,-5.0,-0.17,-0.06,,,,,,4,0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,32,"2,870",31.9,4,1,5,4,0,0,3,1,,,,,,,,0.13,0.03,0.16,0.13,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,870",90,83.9,31.9,32,90.0,31.0,0,,0.0,1.84,52.0,45.0,7.0,0.22,1.86,,,,,,3,1,0.0,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29,"2,610",29.0,1,2,3,1,0,0,3,0,,,,,,,,0.03,0.07,0.1,0.03,0.1,,,,,,,33.0,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.0,2.0,14.3,0.48,0.07,0.07,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,610",90,100.0,29.0,29,90.0,29.0,0,,0.0,1.52,44.0,42.0,2.0,0.07,,,,,,,3,0,0.0,19.0,18.0,2.0,1.0,42.0,33.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,38,"3,412",37.9,5,1,6,5,0,0,2,0,,,,,,,,0.13,0.03,0.16,0.13,0.16,,,,,,,30.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29.0,11.0,37.9,0.76,0.29,0.17,0.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,412",90,99.8,37.9,38,90.0,37.0,0,,0.0,1.97,75.0,48.0,27.0,0.71,0.71,,,,,,2,0,0.0,23.0,14.0,1.0,5.0,68.0,30.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,38,"3,420",38.0,4,1,5,4,0,0,4,0,,,,,,,,0.11,0.03,0.13,0.11,0.13,,,,,,,26.0,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12.0,4.0,33.3,0.32,0.11,0.33,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,420",90,100.0,38.0,38,90.0,38.0,0,,0.0,1.97,81.0,53.0,28.0,0.74,,,,,,,4,0,0.0,12.0,18.0,0.0,1.0,47.0,26.0,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29,"2,607",29.0,3,1,4,3,0,0,0,0,2.6,2.6,0.8,3.4,17.0,133.0,13.0,0.1,0.03,0.14,0.1,0.14,0.09,0.03,0.12,0.09,0.12,53.0,31.0,35.0,16.0,2.0,28.0,56.0,50.0,28.0,36.0,22.0,14.0,36.0,89.0,134.0,0.0,1031.0,1285.0,80.2,19397.0,7241.0,374.0,439.0,85.2,523.0,602.0,86.9,113.0,197.0,57.4,1,0.8,0.6,0.2,13.0,112.0,4.0,0.0,133.0,1285.0,1241.0,42.0,36.0,0.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,1031.0,2.0,9.0,219.0,701.0,805.0,117.0,28.0,1618.0,1.0,0.0,0.0,0.0,0.0,730.0,3741.0,2053.0,17.0,7.0,0.0,11.0,10.0,888.0,13.0,3,16.0,6.0,37.5,0.55,0.21,0.19,0.5,9.7,0.0,0,0,2.6,2.6,0.17,0.4,0.4,43.0,1.48,38.0,0.0,0.0,3.0,2.0,0.0,5.0,0.17,4.0,0.0,0.0,1.0,0.0,0.0,"2,607",84,85.2,29.0,29,87.0,25.0,2,45.0,3.0,1.03,37.0,65.0,-28.0,-0.97,-0.77,37.3,53.2,-15.9,-0.55,0.51,0,0,0.0,20.0,14.0,1.0,1.0,36.0,31.0,0.0,0.0,2.0,141.0,77.0,78.0,49.7,,,,
