Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,15,Vitesse,nlNED,1.Eredivisie,1,5,0,0,,,,,,,,,1,5,0,0,0,5,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,0.2,0.1,0,,0,1,,2,3.0,0,0,0,0.0,-0.5,,,,,,0,0,,0,,,,,,,,,,,,,"€ 6,731(£ 5,847, $7,377)","€ 350,000(£ 304,019, $383,592)",Estimación no verificada,https://fbref.com/es/jugadores/0b2c9aec/Mitchell-van-Bergen
2016-2017,16,Vitesse,nlNED,1.Eredivisie,17,477,0,2,,,,,,,,,17,477,0,2,2,477,5.3,0,2,2,0,0,0,1,0,,,,,,,,0.0,0.38,0.38,0.0,0.38,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,6,,0.0,1.13,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,477,28,15.6,5.3,2,,0,15,,16,1.59,10,9,1,0.19,-0.16,,,,,,1,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 6,731(£ 5,791, $7,360)","€ 350,000(£ 301,109, $382,711)",Estimación no verificada,https://fbref.com/es/jugadores/0b2c9aec/Mitchell-van-Bergen
2017-2018,17,Vitesse,nlNED,1.Eredivisie,10,386,0,2,,,,,1.0,21.0,0.0,0.0,11,407,0,2,3,386,4.3,0,2,2,0,0,0,0,0,,,,,,,,0.0,0.47,0.47,0.0,0.47,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,5,,0.0,1.17,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,386,39,12.6,4.3,3,,2,7,,15,1.45,11,2,9,2.1,1.86,,,,,,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 6,731(£ 5,752, $7,325)","€ 350,000(£ 299,117, $380,876)",Estimación no verificada,https://fbref.com/es/jugadores/0b2c9aec/Mitchell-van-Bergen
2018-2019,18,Vitesse,nlNED,1.Eredivisie,3,42,0,0,,,,,,,,,3,42,0,0,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,15.0,66.7,244.0,43.0,5.0,5.0,100.0,2.0,6.0,33.3,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,4.0,9.0,1.0,19.0,4.0,3.0,75.0,1.0,25.0,14.0,148.0,32.0,2.0,0.0,1.0,0.0,1.0,14.0,3.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,14,1.4,0.5,0,,0,3,13.0,0,1.67,0,0,0,0.0,-0.57,0.3,1.2,-0.9,-2.03,-2.43,0,0,0.0,0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,"€ 6,731(£ 5,752, $7,325)","€ 350,000(£ 299,117, $380,876)",Estimación no verificada,https://fbref.com/es/jugadores/0b2c9aec/Mitchell-van-Bergen
2018-2019,18,Heerenveen,nlNED,1.Eredivisie,30,"1,953",7,2,,,,,,,,,30,"1,953",7,2,23,"1,953",21.7,7,2,9,7,0,0,0,0,4.1,4.1,3.9,8.0,91.0,26.0,184.0,0.32,0.09,0.41,0.32,0.41,0.19,0.18,0.37,0.19,0.37,26.0,16.0,13.0,8.0,5.0,13.0,30.0,43.3,17.0,24.0,3.0,21.0,9.0,35.0,23.0,0.0,429.0,650.0,66.0,6271.0,1800.0,254.0,306.0,83.0,115.0,179.0,64.2,33.0,89.0,37.1,2,3.9,3.7,-1.9,32.0,21.0,24.0,18.0,26.0,650.0,611.0,36.0,4.0,1.0,3.0,114.0,19.0,13.0,4.0,6.0,1.0,429.0,3.0,28.0,24.0,121.0,372.0,444.0,61.0,921.0,80.0,35.0,43.8,45.0,56.3,559.0,4348.0,2355.0,91.0,54.0,32.0,68.0,15.0,634.0,184.0,7,36.0,16,44.4,1.66,0.74,0.19,0.44,18.8,0.0,0,0,4.1,4.1,0.11,2.9,2.9,67.0,3.09,46.0,4.0,11.0,3.0,3.0,0.0,7.0,0.32,5.0,0.0,1.0,0.0,1.0,0.0,"1,953",65,63.8,21.7,23,80.0,10,7,17.0,1,1.13,35,47,-12,-0.55,-0.8,32.9,39.8,-6.9,-0.32,0.17,0,0,0.0,13,14.0,10.0,114.0,9.0,16.0,1.0,0.0,0.0,99.0,10.0,26.0,27.8,,,,
2019-2020,19,Heerenveen,nlNED,1.Eredivisie,25,"2,236",5,4,,,,,,,,,25,"2,236",5,4,25,"2,236",24.8,5,4,9,5,0,0,1,0,5.4,5.4,5.8,11.2,181.0,60.0,291.0,0.2,0.16,0.36,0.2,0.36,0.22,0.23,0.45,0.22,0.45,18.0,12.0,6.0,9.0,3.0,5.0,20.0,25.0,15.0,22.0,2.0,20.0,15.0,33.0,7.0,0.0,583.0,871.0,66.9,8554.0,2277.0,350.0,432.0,81.0,151.0,247.0,61.1,39.0,104.0,37.5,4,5.8,6.1,-1.8,51.0,29.0,39.0,16.0,60.0,871.0,829.0,41.0,3.0,0.0,6.0,140.0,34.0,4.0,3.0,0.0,0.0,583.0,1.0,17.0,11.0,89.0,389.0,699.0,127.0,1162.0,117.0,50.0,42.7,63.0,53.8,837.0,7319.0,4015.0,181.0,93.0,70.0,54.0,14.0,859.0,291.0,5,63.0,26,41.3,2.54,1.05,0.08,0.19,19.2,0.0,0,0,5.4,5.4,0.09,-0.4,-0.4,103.0,4.15,83.0,1.0,17.0,2.0,0.0,0.0,8.0,0.32,7.0,0.0,1.0,0.0,0.0,0.0,"2,236",89,95.6,24.8,25,89.0,23,0,,0,1.28,40,40,0,0.0,0.0,39.6,37.1,2.5,0.1,0.53,1,0,0.0,7,10.0,9.0,140.0,15.0,12.0,0.0,0.0,0.0,92.0,5.0,24.0,17.2,,,,
2020-2021,20,Heerenveen,nlNED,1.Eredivisie,32,"2,717",4,1,,,,,,,,,32,"2,717",4,1,32,"2,717",30.2,4,1,5,4,0,0,2,0,6.4,6.4,4.9,11.2,148.0,50.0,293.0,0.13,0.03,0.17,0.13,0.17,0.21,0.16,0.37,0.21,0.37,28.0,17.0,18.0,8.0,2.0,18.0,47.0,38.3,29.0,31.0,2.0,29.0,20.0,48.0,15.0,0.0,673.0,933.0,72.1,10318.0,2125.0,368.0,437.0,84.2,232.0,307.0,75.6,46.0,101.0,45.5,1,4.9,4.8,-3.9,47.0,26.0,46.0,25.0,50.0,933.0,909.0,22.0,4.0,0.0,1.0,113.0,13.0,2.0,2.0,0.0,0.0,673.0,2.0,33.0,19.0,159.0,489.0,656.0,112.0,1288.0,103.0,45.0,43.7,58.0,56.3,832.0,6959.0,3475.0,148.0,82.0,59.0,84.0,23.0,895.0,293.0,4,55.0,26,47.3,1.82,0.86,0.07,0.15,17.6,0.0,0,0,6.4,6.4,0.12,-2.4,-2.4,86.0,2.85,72.0,0.0,5.0,7.0,1.0,1.0,5.0,0.17,3.0,0.0,1.0,1.0,0.0,0.0,"2,717",85,88.8,30.2,32,85.0,21,0,,0,1.13,38,44,-6,-0.2,-0.2,40.0,47.6,-7.6,-0.25,0.15,2,0,0.0,13,17.0,13.0,113.0,20.0,17.0,0.0,0.0,0.0,124.0,9.0,34.0,20.9,,,,
2021-2022,21,Heerenveen,nlNED,1.Eredivisie,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,3.0,1.0,0.0,2.0,1.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,32.0,41.0,78.0,501.0,94.0,17.0,19.0,89.5,11.0,14.0,78.6,2.0,4.0,50.0,0,0.1,0.1,-0.1,1.0,0.0,2.0,1.0,1.0,41.0,40.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,1.0,4.0,12.0,34.0,2.0,50.0,0.0,0.0,,0.0,,40.0,291.0,164.0,7.0,4.0,1.0,1.0,0.0,37.0,17.0,0,2.0,0,0.0,2.0,0.0,0.0,,19.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90,2.9,1.0,1,90.0,1,0,,1,3.0,1,0,1,1.0,1.42,1.2,0.8,0.4,0.44,0.65,0,0,0.0,2,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,,,,
2021-2022,21,Reims,frFRA,1.Ligue 1,20,983,0,0,2.0,165.0,0.0,0.0,,,,,22,"1,148",0,0,11,983,10.9,0,0,0,0,0,0,1,0,1.2,1.2,1.3,2.5,24.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.23,0.11,0.23,8.0,5.0,7.0,0.0,1.0,6.0,15.0,40.0,9.0,9.0,0.0,9.0,4.0,12.0,7.0,0.0,139.0,225.0,61.8,2171.0,618.0,77.0,95.0,81.1,34.0,55.0,61.8,20.0,47.0,42.6,0,1.3,1.1,-1.3,18.0,1.0,12.0,5.0,14.0,225.0,185.0,36.0,10.0,1.0,0.0,49.0,1.0,19.0,7.0,11.0,0.0,139.0,4.0,8.0,7.0,47.0,108.0,179.0,27.0,327.0,23.0,14.0,60.9,9.0,39.1,203.0,1404.0,548.0,24.0,14.0,11.0,35.0,7.0,193.0,54.0,0,12.0,5,41.7,1.1,0.46,0.0,0.0,18.0,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2,27.0,2.47,17.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983,49,28.7,10.9,11,61.0,0,9,35.0,5,1.15,9,11,-2,-0.18,-0.22,9.6,11.9,-2.2,-0.2,0.04,1,0,0.0,8,4.0,10.0,49.0,4.0,5.0,0.0,0.0,0.0,49.0,3.0,17.0,15.0,,,,
2022-2023,22,Reims,frFRA,1.Ligue 1,28,905,0,1,1.0,69.0,0.0,0.0,,,,,29,974,0,1,6,905,10.1,0,1,1,0,0,0,1,0,2.2,2.2,2.7,4.8,51.0,21.0,89.0,0.0,0.1,0.1,0.0,0.1,0.22,0.26,0.48,0.22,0.48,18.0,8.0,6.0,7.0,5.0,8.0,20.0,40.0,12.0,8.0,2.0,6.0,6.0,24.0,11.0,0.0,205.0,303.0,67.7,3177.0,1016.0,110.0,134.0,82.1,63.0,97.0,64.9,19.0,46.0,41.3,1,2.7,2.6,-1.7,19.0,11.0,18.0,10.0,21.0,303.0,270.0,33.0,10.0,1.0,0.0,59.0,5.0,15.0,5.0,8.0,0.0,205.0,0.0,11.0,10.0,57.0,158.0,239.0,37.0,437.0,38.0,14.0,36.8,23.0,60.5,314.0,2931.0,1489.0,51.0,44.0,15.0,24.0,11.0,275.0,89.0,0,25.0,11,44.0,2.49,1.09,0.0,0.0,19.2,0.0,0,0,2.2,2.2,0.09,-2.2,-2.2,34.0,3.38,25.0,2.0,2.0,3.0,1.0,1.0,3.0,0.3,1.0,0.0,0.0,1.0,1.0,0.0,905,32,26.5,10.1,6,74.0,2,22,21.0,2,1.39,13,15,-2,-0.2,-0.27,18.4,13.0,5.4,0.53,0.41,1,0,0.0,10,7.0,3.0,59.0,6.0,8.0,1.0,1.0,0.0,56.0,5.0,8.0,38.5,,,,
