Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2019-2020,15,Jong Ajax,nlNED,2.Eerste Divisie,3,221,0,0,,,,,3,221,0,0,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,3,221,2.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0.0,1.63,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,221,74,8.5,2.5,3,74.0,0,0,,0,1.33,3,4,-1,-0.41,-1.39,,,,,,1,0,0,2,4,0,0,5,5,,,0,,,,,,,,
2020-2021,16,Jong Ajax,nlNED,2.Eerste Divisie,37,"3,206",0,4,,,,,37,"3,206",0,4,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,37,"3,206",35.6,0,4,4,0,0,0,6,0,,,,,,,,0.0,0.11,0.11,0.0,0.11,,,,,,,52,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,10,40.0,0.7,0.28,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,206",87,93.7,35.6,37,87.0,33,0,,0,1.0,52,65,-13,-0.36,0.9,,,,,,6,0,0,35,45,4,26,66,52,,,0,,,,,,,,
2021-2022,17,Ajax,nlNED,1.Eredivisie,3,153,0,0,,,,,3,153,0,0,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,4.0,2,3.0,1.0,0.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,4,8.0,2.0,0.0,102.0,112.0,91.1,1938.0,556.0,27.0,32.0,84.4,64.0,67.0,95.5,9.0,10.0,90.0,0,0.1,0.2,-0.1,1.0,10.0,3.0,0.0,11.0,112.0,102.0,10.0,3.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,102.0,0.0,1.0,3.0,46.0,58.0,23.0,0.0,127.0,3.0,2.0,66.7,1.0,33.3,89.0,370.0,204.0,2.0,0.0,0.0,0.0,0.0,92.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,51,5.0,1.7,2,72.0,0,1,9.0,8,2.33,5,2,3,1.76,-0.59,4.2,3.6,0.6,0.34,-1.67,0,0,0,0,2,0,1,4,2,0.0,0.0,0,6.0,1.0,0.0,100.0,,,,
2021-2022,17,Jong Ajax,nlNED,2.Eerste Divisie,25,"2,036",5,7,,,,,25,"2,036",5,7,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,24,"2,036",22.6,5,7,12,5,0,0,4,0,,,,,,,,0.22,0.31,0.53,0.22,0.53,,,,,,,23,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,8,40.0,0.88,0.35,0.25,0.63,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,036",81,59.5,22.6,24,84.0,18,1,30.0,0,1.84,53,36,17,0.75,0.62,,,,,,4,0,0,17,36,2,25,29,23,,,0,,,,,,,,
2022-2023,18,Ajax,nlNED,1.Eredivisie,3,11,0,0,,,,,3,11,0,0,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0,13.0,16.0,81.3,221.0,78.0,5.0,6.0,83.3,7.0,8.0,87.5,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,16.0,12.0,4.0,1.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,6.0,9.0,4.0,0.0,19.0,0.0,0.0,,0.0,,7.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,0.4,0.1,0,,0,3,4.0,20,3.0,1,0,1,8.18,6.79,0.9,0.1,0.7,5.43,4.02,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,,,,
2022-2023,18,Jong Ajax,nlNED,2.Eerste Divisie,26,"2,062",1,4,,,,,26,"2,062",1,4,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,26,"2,062",22.9,1,4,5,1,0,0,5,0,,,,,,,,0.04,0.17,0.22,0.04,0.22,,,,,,,36,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,9,52.9,0.74,0.39,0.06,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,062",79,60.3,22.9,26,79.0,15,0,,0,1.23,49,42,7,0.31,0.97,,,,,,5,0,0,13,18,4,33,27,36,,,0,,,,,,,,
2023-2024,19,Twente,nlNED,1.Eredivisie,32,"1,751",2,1,,,,,32,"1,751",2,1,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,18,"1,751",19.5,2,1,3,2,0,0,3,0,1.3,1.3,3.1,4.4,37.0,107.0,130.0,0.1,0.05,0.15,0.1,0.15,0.07,0.16,0.22,0.07,0.22,41.0,23,20.0,16.0,5.0,23.0,37.0,62.2,14.0,19.0,2.0,17.0,14,55.0,38.0,2.0,917.0,1126.0,81.4,15353.0,4336.0,432.0,485.0,89.1,392.0,466.0,84.1,64.0,104.0,61.5,1,3.1,2.8,-2.1,28.0,75.0,19.0,6.0,107.0,1126.0,973.0,147.0,16.0,3.0,3.0,52,127.0,3.0,0.0,0.0,0.0,917.0,6.0,26.0,39.0,329.0,559.0,448.0,49.0,1325.0,27.0,14.0,51.9,8.0,29.6,617.0,3034.0,1339.0,37.0,20.0,11.0,34.0,13.0,800.0,130.0,2,12,4,33.3,0.62,0.21,0.17,0.5,13.3,0.0,0,0,1.3,1.3,0.11,0.7,0.7,69.0,3.55,56.0,2.0,3.0,2.0,6.0,0.0,8.0,0.41,4.0,0.0,2.0,1.0,1.0,0.0,"1,751",55,57.2,19.5,18,77.0,8,14,27.0,0,2.13,46,17,29,1.49,1.22,35.8,16.1,19.7,1.01,0.91,3,0,0,19,32,1,52,14,23,1.0,0.0,0,108.0,29.0,32.0,47.5,,,,
2024-2025,20,Twente,nlNED,1.Eredivisie,19,"1,342",0,0,6.0,464.0,0.0,2.0,25,"1,806",0,2,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,16,"1,342",14.9,0,0,0,0,0,0,2,0,0.7,0.7,1.9,2.6,25.0,98.0,76.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.17,0.05,0.17,27.0,13,8.0,12.0,7.0,13.0,24.0,54.2,11.0,16.0,4.0,12.0,18,45.0,24.0,0.0,701.0,851.0,82.4,11989.0,2957.0,304.0,341.0,89.1,328.0,375.0,87.5,50.0,82.0,61.0,0,1.9,2.0,-1.9,18.0,93.0,21.0,6.0,98.0,851.0,821.0,29.0,19.0,1.0,1.0,25,8.0,1.0,0.0,0.0,0.0,701.0,1.0,18.0,38.0,197.0,566.0,261.0,31.0,1017.0,15.0,5.0,33.3,10.0,66.7,548.0,2640.0,1222.0,25.0,16.0,3.0,25.0,8.0,692.0,76.0,0,14,4,28.6,0.94,0.27,0.0,0.0,21.4,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,50.0,3.36,45.0,1.0,1.0,1.0,2.0,0.0,5.0,0.34,4.0,0.0,0.0,0.0,1.0,0.0,"1,342",71,49.7,14.9,16,79.0,9,3,25.0,0,1.79,32,21,11,0.74,0.67,28.2,17.4,10.8,0.73,0.63,2,0,0,24,23,0,25,18,13,1.0,0.0,0,66.0,22.0,21.0,51.2,,,,
2024-2025,20,Ajax,nlNED,1.Eredivisie,2,25,1,0,,,,,2,25,1,0,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,0,25,0.3,1,0,1,1,0,0,1,0,0.8,0.8,0.2,0.9,0.0,3.0,0.0,3.6,0.0,3.6,3.6,3.6,2.76,0.59,3.35,2.76,3.35,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,10.0,11.0,90.9,196.0,81.0,3.0,3.0,100.0,6.0,6.0,100.0,1.0,1.0,100.0,0,0.2,0.3,-0.2,1.0,1.0,0.0,0.0,3.0,11.0,11.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,9.0,7.0,3.0,18.0,1.0,1.0,100.0,0.0,0.0,6.0,31.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1,4,1,25.0,14.4,3.6,0.25,1.0,17.2,0.0,0,0,0.8,0.8,0.19,0.2,0.2,2.0,7.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,13,0.9,0.3,0,,0,2,13.0,1,2.0,2,1,1,3.6,2.46,2.3,0.3,2.0,7.24,6.29,1,0,0,3,0,0,1,0,1,0.0,0.0,0,2.0,0.0,0.0,,,,,
2024-2025,20,Jong Ajax,nlNED,2.Eerste Divisie,2,121,0,0,,,,,2,121,0,0,Partidos,https://fbref.com/es/jugadores/e0782abd/Youri-Regeer,,,2,121,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,121,61,3.7,1.3,2,61.0,0,0,,0,0.5,1,2,-1,-0.74,-0.37,,,,,,0,0,0,2,2,0,2,2,1,,,0,,,,,,,,
