Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,17,Bayern U19,deGER,Jr.U19 Bundesliga,7.0,420,1.0,,,,,,,,,,7,420,1,0,5.0,420,4.7,1.0,,,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,420,60.0,17.9,4.7,5.0,77.0,3.0,2.0,19.0,0.0,1.29,9.0,3.0,6.0,1.29,0.72,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,18,Bayern U19,deGER,Jr.U19 Bundesliga,11.0,822,0.0,,,,,,,,,,11,822,0,0,10.0,822,9.1,0.0,,,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,822,75.0,48.1,9.1,10.0,79.0,4.0,1.0,33.0,0.0,2.73,34.0,7.0,27.0,2.96,1.44,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,18,Bayern Munich II,deGER,3.3. Liga,2.0,70,0.0,0.0,,,,,,,,,2,70,0,0,1.0,70,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,70,35.0,2.0,0.8,1.0,52.0,0.0,1.0,18.0,0.0,2.0,0.0,3.0,-3.0,-3.86,-4.37,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
2020-2021,19,Bayern Munich II,deGER,3.3. Liga,2.0,75,0.0,0.0,,,,,,,,,2,75,0,0,1.0,75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,1.2,1.2,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,75,38.0,2.2,0.8,1.0,73.0,0.0,1.0,2.0,4.0,1.5,0.0,2.0,-2.0,-2.4,-2.16,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,
2020-2021,19,St. Pölten,atAUT,1.Bundesliga,15.0,921,3.0,2.0,,,,,,,,,15,921,3,2,9.0,921,10.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.29,0.2,0.49,0.29,0.49,,,,,,,7.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,29.0,6.0,20.7,2.83,0.59,0.1,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,921,61.0,32.0,10.2,9.0,77.0,2.0,6.0,38.0,0.0,0.53,11.0,21.0,-10.0,-0.98,-0.61,,,,,,3.0,0.0,0.0,11.0,12.0,0.0,35.0,4.0,7.0,,,0.0,,,,,,,,
2021-2022,20,Bayern Munich,deGER,1.Bundesliga,,,,,1.0,23.0,0.0,0.0,,,,,1,23,0,0,3.0,213,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,0.0,0.0,3.8,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,213,71.0,6.2,2.4,3.0,71.0,1.0,0.0,,0.0,0.67,1.0,2.0,-1.0,-0.42,0.45,,,,,,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,1.0,,,0.0,,,,,,,,
2022-2023,21,Jong Utrecht,nlNED,2.Eerste Divisie,3.0,213,0.0,0.0,,,,,,,,,3,213,0,0,20.0,"1,553",17.3,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,3.2,5.5,56.0,58.0,105.0,0.12,0.23,0.35,0.12,0.35,0.13,0.19,0.32,0.13,0.32,30.0,15.0,16.0,8.0,6.0,14.0,29.0,48.3,15.0,12.0,1.0,11.0,9.0,39.0,9.0,0.0,487.0,685.0,71.1,8089.0,2207.0,229.0,268.0,85.4,183.0,245.0,74.7,49.0,115.0,42.6,4.0,3.2,3.6,0.8,30.0,36.0,25.0,16.0,58.0,685.0,605.0,79.0,20.0,6.0,6.0,105.0,17.0,40.0,22.0,15.0,0.0,487.0,1.0,25.0,16.0,131.0,388.0,391.0,29.0,891.0,74.0,25.0,33.8,35.0,47.3,547.0,3919.0,1639.0,56.0,53.0,11.0,52.0,22.0,615.0,105.0,2.0,27.0,13.0,48.1,1.56,0.75,0.07,0.15,20.1,0.0,0.0,0.0,2.2,2.2,0.08,-0.2,-0.2,52.0,3.01,33.0,11.0,3.0,4.0,1.0,0.0,6.0,0.35,3.0,2.0,1.0,0.0,0.0,0.0,"1,553",65.0,50.8,17.3,20.0,72.0,4.0,4.0,29.0,5.0,1.48,25.0,24.0,1.0,0.06,-0.18,21.9,23.7,-1.8,-0.1,-0.44,5.0,0.0,0.0,24.0,31.0,1.0,105.0,9.0,15.0,0.0,0.0,0.0,73.0,6.0,10.0,37.5,,,,
2022-2023,21,Utrecht,nlNED,1.Eredivisie,24.0,"1,553",2.0,4.0,,,,,,,,,24,"1,553",2,4,13.0,867,9.6,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.7,2.8,37.0,21.0,81.0,0.52,0.0,0.52,0.52,0.52,0.21,0.08,0.29,0.21,0.29,11.0,5.0,4.0,4.0,3.0,4.0,12.0,33.3,8.0,7.0,2.0,5.0,7.0,18.0,7.0,0.0,162.0,259.0,62.5,2545.0,635.0,86.0,105.0,81.9,63.0,88.0,71.6,8.0,37.0,21.6,0.0,0.7,0.6,-0.7,7.0,11.0,12.0,7.0,21.0,259.0,241.0,15.0,2.0,0.0,1.0,57.0,7.0,5.0,3.0,2.0,0.0,162.0,3.0,21.0,9.0,41.0,156.0,210.0,36.0,401.0,42.0,18.0,42.9,21.0,50.0,253.0,1877.0,825.0,37.0,21.0,14.0,26.0,17.0,272.0,81.0,5.0,29.0,7.0,24.1,3.01,0.73,0.17,0.71,17.3,0.0,0.0,0.0,2.0,2.0,0.07,3.0,3.0,22.0,2.28,14.0,1.0,3.0,3.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,867,51.0,28.3,9.6,13.0,61.0,1.0,4.0,20.0,3.0,1.58,16.0,12.0,4.0,0.42,0.5,13.4,11.7,1.7,0.17,0.31,0.0,0.0,0.0,8.0,12.0,5.0,57.0,7.0,5.0,0.0,0.0,0.0,41.0,7.0,5.0,58.3,,,,
2023-2024,22,Utrecht,nlNED,1.Eredivisie,17.0,867,5.0,0.0,,,,,,,,,17,867,5,0,2.0,259,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,4.0,3.0,1.0,2.0,1.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,3.0,7.0,11.0,0.0,26.0,59.0,44.1,326.0,135.0,20.0,26.0,76.9,5.0,17.0,29.4,1.0,4.0,25.0,0.0,0.1,0.0,-0.1,2.0,4.0,1.0,0.0,4.0,59.0,55.0,4.0,1.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,26.0,0.0,8.0,8.0,23.0,39.0,46.0,7.0,106.0,10.0,3.0,30.0,5.0,50.0,46.0,242.0,108.0,7.0,2.0,2.0,13.0,6.0,52.0,12.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,1.39,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,29.0,9.3,2.9,2.0,59.0,0.0,7.0,20.0,4.0,2.11,3.0,6.0,-3.0,-1.04,-1.82,1.8,5.6,-3.8,-1.34,-1.62,0.0,0.0,0.0,3.0,5.0,1.0,12.0,3.0,3.0,0.0,0.0,0.0,9.0,7.0,6.0,53.8,,,,
2024-2025,23,Utrecht,nlNED,1.Eredivisie,9.0,259,0.0,0.0,,,,,,,,,9,259,0,0,4.0,271,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,9.0,8.0,23.0,0.0,0.33,0.33,0.0,0.33,0.03,0.2,0.23,0.03,0.23,7.0,2.0,1.0,3.0,3.0,3.0,7.0,42.9,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,50.0,89.0,56.2,748.0,146.0,30.0,42.0,71.4,14.0,18.0,77.8,4.0,17.0,23.5,1.0,0.6,0.1,0.4,5.0,4.0,2.0,0.0,8.0,89.0,86.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,6.0,2.0,20.0,52.0,57.0,11.0,126.0,4.0,2.0,50.0,2.0,50.0,85.0,545.0,256.0,9.0,4.0,3.0,10.0,7.0,84.0,23.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,25.6,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,5.0,1.66,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,271,45.0,10.0,3.0,4.0,61.0,0.0,2.0,13.0,0.0,1.83,5.0,7.0,-2.0,-0.66,-1.18,4.2,6.5,-2.2,-0.75,-1.29,0.0,0.0,0.0,3.0,6.0,5.0,12.0,0.0,2.0,1.0,0.0,0.0,12.0,2.0,8.0,20.0,,,,
