Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Álvaro Fernández,Goalkeeper,"Apr 13, 1998 (27)",Spain,"1,85m",right,"Aug 12, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/453704
13,Ørjan Nyland,Goalkeeper,"Sep 10, 1990 (34)",Norway,"1,92m",right,"Aug 20, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/orjan-nyland/profil/spieler/73517
22,Loïc Badé,Centre-Back,"Apr 11, 2000 (25)","France, Cote d'Ivoire","1,91m",right,"Jul 1, 2023",,"Jun 30, 2029",€30.00m,https://www.transfermarkt.com/loic-bade/profil/spieler/730581
4,Kike Salas,Centre-Back,"Apr 23, 2002 (23)",Spain,"1,88m",left,"Jan 1, 2023",,"Jun 30, 2029",€8.00m,https://www.transfermarkt.com/kike-salas/profil/spieler/766583
23,Marcão,Centre-Back,"Jun 5, 1996 (28)",Brazil,"1,85m",left,"Jul 8, 2022",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/marcao/profil/spieler/439022
24,Tanguy Nianzou,Centre-Back,"Jun 7, 2002 (22)","France, Cote d'Ivoire","1,91m",right,"Aug 17, 2022",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/tanguy-nianzou/profil/spieler/538996
3,Adrià Pedrosa,Left-Back,"May 13, 1998 (26)",Spain,"1,72m",left,"Jul 1, 2023",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/adria-pedrosa/profil/spieler/501418
2,José Ángel Carmona,Right-Back,"Jan 29, 2002 (23)",Spain,"1,84m",right,"Jul 1, 2022",,"Jun 30, 2028",€12.00m,https://www.transfermarkt.com/jose-angel-carmona/profil/spieler/711625
26,Juanlu Sánchez,Right-Back,"Aug 15, 2003 (21)",Spain,"1,86m",right,"Jul 1, 2022",,"Jun 30, 2029",€12.00m,https://www.transfermarkt.com/juanlu-sanchez/profil/spieler/676042
18,Lucien Agoumé,Defensive Midfield,"Feb 9, 2002 (23)","France, Cameroon","1,85m",right,"Aug 6, 2024",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/lucien-agoume/profil/spieler/569384
6,Nemanja Gudelj,Defensive Midfield,"Nov 16, 1991 (33)","Serbia, Netherlands","1,87m",right,"Jul 23, 2019",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/nemanja-gudelj/profil/spieler/74294
12,Albert Sambi Lokonga,Central Midfield,"Oct 22, 1999 (25)","Belgium, DR Congo","1,83m",right,"Jul 15, 2024",,"Jun 30, 2025",€9.00m,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967
20,Djibril Sow,Central Midfield,"Feb 6, 1997 (28)","Switzerland, Senegal","1,84m",right,"Aug 4, 2023",,"Jun 30, 2028",€7.50m,https://www.transfermarkt.com/djibril-sow/profil/spieler/212723
17,Saúl Ñíguez,Central Midfield,"Nov 21, 1994 (30)",Spain,"1,84m",left,"Jul 15, 2024",,"Jun 30, 2025",€3.50m,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928
28,Manu Bueno,Central Midfield,"Jul 27, 2004 (20)",Spain,"1,78m",left,,,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/manu-bueno/profil/spieler/766723
27,Stanis Idumbo,Attacking Midfield,"Jun 29, 2005 (19)","Belgium, DR Congo","1,71m",right,"Jul 1, 2024",,"Jun 30, 2028",€2.50m,https://www.transfermarkt.com/stanis-idumbo/profil/spieler/743387
5,Rubén Vargas,Left Winger,"Aug 5, 1998 (26)","Switzerland, Dominican Republic","1,79m",right,"Jan 10, 2025",,"Jun 30, 2029",€7.00m,https://www.transfermarkt.com/ruben-vargas/profil/spieler/345886
21,Chidera Ejuke,Left Winger,"Jan 2, 1998 (27)",Nigeria,"1,76m",right,"Jul 1, 2024",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/chidera-ejuke/profil/spieler/500067
11,Dodi Lukébakio,Right Winger,"Sep 24, 1997 (27)","Belgium, DR Congo","1,87m",left,"Aug 24, 2023",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
10,Suso,Right Winger,"Nov 19, 1993 (31)",Spain,"1,77m",left,"Jul 21, 2020",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/suso/profil/spieler/111961
14,Peque Fernández,Second Striker,"Oct 4, 2002 (22)",Spain,"1,72m",right,"Jul 11, 2024",,"Jun 30, 2028",€3.50m,https://www.transfermarkt.com/peque-fernandez/profil/spieler/639733
7,Isaac Romero,Centre-Forward,"May 18, 2000 (24)",Spain,"1,83m",left,"Jan 11, 2024",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/isaac-romero/profil/spieler/687609
15,Akor Adams,Centre-Forward,"Jan 29, 2000 (25)",Nigeria,"1,90m",right,"Jan 27, 2025",,"Jun 30, 2029",€7.50m,https://www.transfermarkt.com/akor-adams/profil/spieler/607034
