Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Espanyol,esESP,1.La Liga,3,119,0,0,2,41,0,0,,,,,5,160,0,0,1,119,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,119,40,3.5,1.3,1,,0,2,,4,0.0,1,2,-1,-0.76,-0.67,,,,,,0,0,,0,,,,,,,,,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2015-2016,21,Espanyol,esESP,1.La Liga,9,626,1,0,2,140,0,0,,,,,11,766,1,0,5,626,7.0,1,0,1,1,0,0,3,0,,,,,,,,0.14,0.0,0.14,0.14,0.14,,,,,,,17.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.0,4,44.4,1.29,0.58,0.11,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,626,70,18.3,7.0,5,88.0,4,4,47.0,10,0.22,3,21,-18,-2.59,-2.07,,,,,,3,0,0.0,12,3.0,1.0,6.0,15.0,17.0,0.0,0.0,0.0,,,,,"€ 6,538(£ 5,679, $7,166)","€ 340,000(£ 295,332, $372,633)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2016-2017,22,Valladolid,esESP,2.La Liga 2,35,"2,964",3,4,2,167,0,0,,,,,37,"3,131",3,4,35,"2,964",32.9,3,4,7,3,0,0,5,0,,,,,,,,0.09,0.12,0.21,0.09,0.21,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,17,,0.0,0.52,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,964",85,78.4,32.9,35,,29,0,,3,1.6,46,38,8,0.24,0.57,,,,,,5,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 16,154(£ 14,032, $17,704)","€ 840,000(£ 729,645, $920,622)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2017-2018,23,Eibar,esESP,1.La Liga,35,"2,427",6,4,2,140,0,0,,,,,37,"2,567",6,4,25,"2,427",27.0,6,4,10,5,1,2,2,1,4.1,2.6,3.1,5.7,42.0,130.0,109.0,0.22,0.15,0.37,0.19,0.33,0.15,0.12,0.27,0.1,0.21,31.0,24.0,8.0,19.0,4.0,10.0,68.0,14.7,58.0,24.0,0.0,24.0,30.0,61.0,12.0,0.0,1013.0,1301.0,77.9,18719.0,4160.0,460.0,526.0,87.5,358.0,449.0,79.7,159.0,254.0,62.6,4,3.1,3.6,0.9,39.0,93.0,24.0,7.0,130.0,1301.0,1180.0,116.0,46.0,3.0,31.0,114.0,1.0,66.0,20.0,40.0,1.0,1013.0,5.0,16.0,16.0,140.0,831.0,587.0,46.0,1535.0,64.0,42.0,65.6,22.0,34.4,888.0,4221.0,1863.0,42.0,56.0,7.0,41.0,40.0,1005.0,109.0,6,38.0,16,42.1,1.41,0.59,0.13,0.31,20.6,4.0,1,2,4.1,2.6,0.07,1.9,2.4,79.0,2.93,48.0,18.0,5.0,3.0,4.0,1.0,5.0,0.19,4.0,1.0,0.0,0.0,0.0,0.0,"2,427",69,71.0,27.0,25,88.0,20,10,22.0,2,1.4,31,33,-2,-0.07,0.29,27.9,30.3,-2.3,-0.09,0.02,2,1,1.0,37,17.0,5.0,114.0,30.0,24.0,0.0,0.0,0.0,176.0,36.0,35.0,50.7,"€ 16,154(£ 14,032, $17,704)","€ 840,000(£ 729,645, $920,622)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2018-2019,24,Eibar,esESP,1.La Liga,36,"2,875",4,4,2,135,0,0,,,,,38,"3,010",4,4,32,"2,875",31.9,4,4,8,4,0,0,10,0,2.6,2.6,5.0,7.6,44.0,184.0,92.0,0.13,0.13,0.25,0.13,0.25,0.08,0.16,0.24,0.08,0.24,63.0,40.0,16.0,38.0,9.0,28.0,80.0,35.0,52.0,38.0,4.0,34.0,32.0,95.0,18.0,1.0,1473.0,1875.0,78.6,30052.0,7182.0,563.0,649.0,86.7,587.0,704.0,83.4,282.0,420.0,67.1,4,5.0,5.9,-1.0,68.0,165.0,31.0,11.0,184.0,1875.0,1650.0,215.0,89.0,1.0,68.0,177.0,4.0,121.0,22.0,79.0,0.0,1473.0,10.0,27.0,25.0,220.0,1255.0,745.0,32.0,2195.0,63.0,47.0,74.6,16.0,25.4,1113.0,5519.0,2545.0,44.0,52.0,5.0,45.0,34.0,1303.0,92.0,4,58.0,17,29.3,1.82,0.53,0.07,0.24,24.4,9.0,0,0,2.6,2.6,0.05,1.4,1.4,143.0,4.48,76.0,51.0,5.0,2.0,6.0,3.0,11.0,0.34,5.0,5.0,0.0,0.0,1.0,0.0,"2,875",80,84.1,31.9,32,86.0,25,4,32.0,0,1.28,37,38,-1,-0.03,0.46,42.2,36.7,5.5,0.17,-0.39,10,0,0.0,59,37.0,4.0,177.0,32.0,40.0,0.0,0.0,0.0,249.0,50.0,35.0,58.8,"€ 46,154(£ 40,090, $50,584)","€ 2,400,000(£ 2,084,699, $2,630,348)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2019-2020,25,Sevilla,esESP,1.La Liga,34,"2,254",2,2,1,45,0,0,10.0,748.0,0.0,0.0,45,"3,047",2,2,27,"2,254",25.0,2,2,4,2,0,0,7,0,1.9,1.9,3.4,5.3,40.0,184.0,82.0,0.08,0.08,0.16,0.08,0.16,0.08,0.13,0.21,0.08,0.21,64.0,34.0,27.0,31.0,6.0,21.0,76.0,27.6,55.0,25.0,5.0,20.0,26.0,90.0,20.0,4.0,1482.0,1759.0,84.3,26468.0,6433.0,711.0,783.0,90.8,492.0,569.0,86.5,210.0,278.0,75.5,2,3.4,2.8,-1.4,36.0,152.0,21.0,8.0,184.0,1759.0,1622.0,132.0,60.0,0.0,55.0,88.0,7.0,60.0,12.0,25.0,3.0,1482.0,5.0,21.0,40.0,332.0,1127.0,556.0,38.0,1998.0,54.0,40.0,74.1,14.0,25.9,1125.0,5212.0,2335.0,40.0,40.0,6.0,36.0,21.0,1416.0,82.0,2,29.0,7,24.1,1.16,0.28,0.07,0.29,23.0,8.0,0,0,1.9,1.9,0.07,0.1,0.1,88.0,3.51,56.0,20.0,4.0,3.0,5.0,0.0,8.0,0.32,5.0,2.0,0.0,0.0,1.0,0.0,"2,254",66,65.9,25.0,27,76.0,10,7,30.0,0,1.85,30,15,15,0.6,0.21,33.9,20.6,13.3,0.53,0.23,7,0,0.0,64,37.0,2.0,88.0,26.0,34.0,1.0,0.0,0.0,190.0,34.0,28.0,54.8,"€ 46,154(£ 40,090, $50,584)","€ 2,400,000(£ 2,084,699, $2,630,348)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2020-2021,26,Sevilla,esESP,1.La Liga,35,"2,406",1,6,7,420,1,0,8.0,497.0,0.0,1.0,50,"3,323",2,7,28,"2,406",26.7,1,6,7,1,0,0,8,1,1.7,1.7,3.3,4.9,40.0,178.0,59.0,0.04,0.22,0.26,0.04,0.26,0.06,0.12,0.19,0.06,0.18,52.0,28.0,17.0,29.0,6.0,17.0,76.0,22.4,59.0,22.0,3.0,19.0,27.0,79.0,25.0,0.0,1771.0,2034.0,87.1,31924.0,7437.0,802.0,883.0,90.8,643.0,705.0,91.2,252.0,326.0,77.3,6,3.3,4.7,2.7,38.0,170.0,34.0,13.0,178.0,2034.0,1911.0,120.0,79.0,4.0,56.0,50.0,8.0,31.0,3.0,11.0,0.0,1771.0,3.0,25.0,58.0,441.0,1325.0,509.0,29.0,2256.0,42.0,30.0,71.4,12.0,28.6,1289.0,5886.0,2607.0,40.0,43.0,3.0,33.0,21.0,1736.0,59.0,1,24.0,4,16.7,0.9,0.15,0.04,0.25,22.7,5.0,0,0,1.7,1.7,0.07,-0.7,-0.7,77.0,2.88,61.0,12.0,2.0,1.0,1.0,0.0,7.0,0.26,6.0,1.0,0.0,0.0,0.0,0.0,"2,406",69,70.4,26.7,28,79.0,8,7,29.0,0,2.11,37,22,15,0.56,0.12,35.9,25.1,10.7,0.4,-0.39,8,1,1.0,54,42.0,0.0,50.0,27.0,28.0,0.0,0.0,0.0,170.0,17.0,16.0,51.5,"€ 46,154(£ 40,090, $50,584)","€ 2,400,000(£ 2,084,699, $2,630,348)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2021-2022,27,Sevilla,esESP,1.La Liga,36,"2,514",0,1,4,225,0,0,9.0,556.0,1.0,0.0,49,"3,295",1,1,31,"2,514",27.9,0,1,1,0,0,0,9,0,0.8,0.8,1.6,2.5,17.0,170.0,64.0,0.0,0.04,0.04,0.0,0.04,0.03,0.06,0.09,0.03,0.09,61.0,30.0,22.0,31.0,8.0,28.0,65.0,43.1,37.0,27.0,6.0,21.0,30.0,91.0,18.0,1.0,1601.0,1833.0,87.3,29338.0,7166.0,698.0,766.0,91.1,658.0,725.0,90.8,199.0,254.0,78.3,1,1.6,2.1,-0.6,24.0,158.0,19.0,2.0,170.0,1833.0,1755.0,70.0,59.0,2.0,41.0,23.0,6.0,5.0,0.0,3.0,0.0,1601.0,8.0,25.0,53.0,457.0,1172.0,444.0,23.0,2062.0,37.0,23.0,62.2,14.0,37.8,1139.0,4217.0,1739.0,17.0,34.0,3.0,36.0,21.0,1520.0,64.0,0,16.0,1,6.3,0.57,0.04,0.0,0.0,21.5,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8,60.0,2.15,49.0,5.0,1.0,1.0,2.0,2.0,6.0,0.21,5.0,0.0,0.0,0.0,1.0,0.0,"2,514",70,73.5,27.9,31,75.0,11,5,36.0,1,1.89,38,21,17,0.61,0.01,31.4,25.8,5.6,0.2,0.22,9,0,0.0,54,26.0,1.0,23.0,30.0,30.0,0.0,0.0,0.0,185.0,11.0,23.0,32.4,"€ 69,231(£ 59,560, $75,701)","€ 3,600,000(£ 3,097,117, $3,936,458)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2022-2023,28,Sevilla,esESP,1.La Liga,23,"1,592",0,1,5,480,1,1,11.0,494.0,1.0,0.0,39,"2,566",2,2,19,"1,592",17.7,0,1,1,0,0,0,8,0,0.9,0.9,0.6,1.5,9.0,123.0,22.0,0.0,0.06,0.06,0.0,0.06,0.05,0.03,0.08,0.05,0.08,32.0,17.0,13.0,17.0,2.0,16.0,38.0,42.1,22.0,14.0,7.0,7.0,16.0,48.0,14.0,2.0,963.0,1102.0,87.4,17030.0,4971.0,473.0,511.0,92.6,357.0,397.0,89.9,113.0,148.0,76.4,1,0.6,0.8,0.4,8.0,134.0,6.0,0.0,123.0,1102.0,1051.0,44.0,34.0,2.0,21.0,8.0,3.0,7.0,3.0,2.0,0.0,963.0,7.0,11.0,30.0,248.0,734.0,243.0,8.0,1221.0,10.0,5.0,50.0,4.0,40.0,690.0,2675.0,1112.0,9.0,19.0,0.0,16.0,5.0,903.0,22.0,0,13.0,3,23.1,0.73,0.17,0.0,0.0,21.4,3.0,0,0,0.9,0.9,0.07,-0.9,-0.9,30.0,1.7,23.0,3.0,0.0,0.0,2.0,2.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,"1,592",69,46.5,17.7,19,78.0,11,4,28.0,4,1.26,18,28,-10,-0.57,-0.71,21.4,28.3,-6.9,-0.39,-0.34,8,0,0.0,34,12.0,0.0,8.0,16.0,17.0,0.0,0.0,0.0,113.0,11.0,12.0,47.8,"€ 69,231(£ 58,488, $74,398)","€ 3,600,000(£ 3,041,385, $3,868,721)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
2023-2024,29,Sevilla,esESP,1.La Liga,8,380,0,0,2,180,0,1,3.0,171.0,0.0,0.0,13,731,0,1,4,380,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,8.0,7.0,3.0,3.0,2.0,7.0,15.0,46.7,8.0,4.0,2.0,2.0,4.0,12.0,2.0,0.0,212.0,243.0,87.2,3715.0,1165.0,101.0,109.0,92.7,86.0,94.0,91.5,20.0,24.0,83.3,0,0.0,0.1,0.0,2.0,34.0,1.0,0.0,32.0,243.0,232.0,10.0,7.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,212.0,1.0,3.0,6.0,47.0,175.0,59.0,3.0,279.0,1.0,1.0,100.0,0.0,0.0,138.0,573.0,239.0,0.0,2.0,0.0,5.0,3.0,176.0,1.0,0,6.0,1,16.7,1.42,0.24,0.0,0.0,21.9,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,11.0,2.61,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,48,11.1,4.2,4,86.0,3,4,9.0,22,0.89,5,15,-10,-2.37,-2.49,3.3,9.3,-5.9,-1.41,-1.26,1,0,0.0,1,3.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,19.0,4.0,5.0,44.4,"€ 69,231(£ 59,510, $78,626)","€ 3,600,000(£ 3,094,502, $4,088,562)",Estimación no verificada,https://fbref.com/es/jugadores/2a0c8ba4/Joan-Jordan
