Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,18,Zaragoza,esESP,2.La Liga 2,19,927,2,0,,,,,,,,,19,927,2,0,10,927,10.3,2,0,2,2,0,0,4,0,,,,,,,,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,0.78,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,927,49,24.5,10.3,10,,,9,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,"€ 47,308(£ 41,093, $51,848)","€ 2,460,000(£ 2,136,817, $2,696,106)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2009-2010,19,Zaragoza,esESP,1.La Liga,30,"2,225",2,0,,,,,,,,,30,"2,225",2,0,23,"2,225",24.7,2,0,2,2,0,0,9,1,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,0.32,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,225",74,65.1,24.7,23,,13.0,7,,,,,,,,,,,,,,9,1,,51.0,,,,,,,,,,,,,"£ 115,000(€ 132,380, $145,107)","£ 5,980,000(€ 6,883,781, $7,545,589)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2010-2011,20,Zaragoza,esESP,1.La Liga,33,"2,604",2,2,,,,,,,,,33,"2,604",2,2,30,"2,604",28.9,2,2,4,2,0,0,13,2,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,,,0.45,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,604",79,76.1,28.9,30,,18.0,3,,,,,,,,,,,,,,13,2,,68.0,,,,,,,,,,,,,"£ 115,000(€ 132,380, $145,107)","£ 5,980,000(€ 6,883,781, $7,545,589)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2011-2012,21,Athletic Club,esESP,1.La Liga,32,"2,136",1,8,,,,,12.0,831.0,1.0,1.0,44,"2,967",2,9,25,"2,136",23.7,1,8,9,1,0,0,10,0,,,,,,,,0.04,0.34,0.38,0.04,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,0.42,,0.1,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,136",67,62.5,23.7,25,,12.0,7,,,,,,,,,,,,,,10,0,,51.0,,,,,,,,,,,,,"£ 115,000(€ 132,380, $145,107)","£ 5,980,000(€ 6,883,781, $7,545,589)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2012-2013,22,Athletic Club,esESP,1.La Liga,29,"2,417",1,2,,,,,3.0,208.0,1.0,0.0,32,"2,625",2,2,29,"2,417",26.9,1,2,3,1,0,0,12,2,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,0.41,,0.09,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,417",83,70.7,26.9,29,,20.0,0,,,,,,,,,,,,,,12,2,1.0,49.0,,,,,,,,,,,,,"£ 115,000(€ 132,380, $145,107)","£ 5,980,000(€ 6,883,781, $7,545,589)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2013-2014,23,Athletic Club,esESP,1.La Liga,33,"2,547",5,5,,,,,,,,,33,"2,547",5,5,31,"2,547",28.3,5,5,10,5,0,0,7,0,,,,,,,,0.18,0.18,0.35,0.18,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,23,,,0.81,,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,547",77,74.5,28.3,31,,14.0,2,,,,,,,,,,,,,,7,0,,49.0,,,,,,,,,,,,,"£ 115,000(€ 132,380, $145,107)","£ 5,980,000(€ 6,883,781, $7,545,589)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2014-2015,24,Manchester Utd,engENG,1.Premier League,26,"1,870",6,4,5.0,270.0,2.0,0.0,,,,,31,"2,140",8,4,19,"1,870",20.8,6,4,10,6,0,0,6,0,,,,,,,,0.29,0.19,0.48,0.29,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,7,,,0.34,,0.86,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,870",72,54.7,20.8,19,,14.0,7,,6.0,1.88,38.0,23.0,15.0,0.72,0.14,,,,,,6,0,,30.0,,,,,,,,,,,,,"€ 150,000(£ 130,294, $164,397)","€ 7,800,000(£ 6,775,272, $8,548,630)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2015-2016,25,Manchester Utd,engENG,1.Premier League,27,"1,532",3,2,7.0,415.0,0.0,2.0,6.0,339.0,1.0,0.0,40,"2,286",4,4,17,"1,532",17.0,3,2,5,2,1,1,4,0,,,,,,,,0.18,0.12,0.29,0.12,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,0.35,,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,532",57,44.8,17.0,17,,6.0,10,,5.0,1.89,21.0,15.0,6.0,0.35,-0.03,,,,,,4,0,,28.0,,,,,,,,,,,,,"€ 150,000(£ 130,294, $164,397)","€ 7,800,000(£ 6,775,272, $8,548,630)",,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2016-2017,26,Manchester Utd,engENG,1.Premier League,31,"2,464",1,5,10.0,715.0,1.0,4.0,9.0,810.0,0.0,1.0,50,"3,989",2,10,27,"2,464",27.4,1,5,6,1,0,0,7,1,,,,,,,,0.04,0.18,0.22,0.04,0.22,,,,,,,63.0,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,5,13.2,1.39,0.18,0.03,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,464",79,72.0,27.4,27,,21.0,4,,3.0,1.77,39.0,18.0,21.0,0.77,0.39,,,,,,7,1,1.0,48.0,45.0,0.0,50.0,86.0,63.0,0.0,0.0,0.0,,,,,"€ 150,000(£ 130,294, $164,397)","€ 7,800,000(£ 6,775,272, $8,548,630)",,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
2017-2018,27,Manchester Utd,engENG,1.Premier League,26,"1,268",0,2,6.0,516.0,2.0,0.0,7.0,431.0,0.0,0.0,39,"2,215",2,2,13,"1,268",14.1,0,2,2,0,0,0,5,0,0.4,0.4,1.6,1.9,12.0,81.0,19.0,0.0,0.14,0.14,0.0,0.14,0.03,0.11,0.14,0.03,0.14,56.0,29.0,32.0,20.0,4.0,20.0,69.0,29.0,49.0,33.0,6.0,27.0,34.0,90.0,22.0,2.0,917.0,1064.0,86.2,13708.0,3978.0,471.0,513.0,91.8,307.0,342.0,89.8,66.0,118.0,55.9,2,1.6,1.6,0.4,11.0,89.0,12.0,1.0,81.0,1064.0,1030.0,31.0,25.0,4.0,3.0,15.0,4.0,1.0,0.0,0.0,0.0,917.0,3.0,6.0,50.0,277.0,720.0,246.0,14.0,1236.0,14.0,10.0,71.4,4.0,28.6,631.0,2790.0,1417.0,12.0,19.0,1.0,15.0,15.0,902.0,19.0,0,12.0,1,8.3,0.85,0.07,0.0,0.0,25.2,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,28.0,1.99,26.0,0.0,0.0,0.0,0.0,2.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,"1,268",49,37.1,14.1,13,,7.0,13,,7.0,2.12,20.0,14.0,6.0,0.43,-1.0,15.5,19.0,-3.6,-0.25,-1.03,5,0,0.0,28.0,28.0,2.0,15.0,34.0,29.0,0.0,0.0,0.0,104.0,9.0,10.0,47.4,"€ 57,692(£ 49,633, $63,084)","€ 3,000,000(£ 2,580,931, $3,280,382)",Estimación no verificada,https://fbref.com/es/jugadores/436a9dd0/Ander-Herrera
